,Date,Time,Open,High,Low,Close,ST_ALMA
0,03/08/2012,21:15:39.000,2628.75,2636,2627.75,2636,2632.13
1,03/09/2012,08:30:00.300,2637,2638.75,2637,2638.75,2634.04
2,03/09/2012,08:30:00.420,2639,2641.25,2637.5,2641.25,2636.58
3,03/09/2012,08:30:02.700,2641.5,2643.75,2641.5,2643.75,2640.08
4,03/09/2012,08:30:02.360,2644,2647,2633.5,2645.5,2641.63
5,03/09/2012,14:30:02.000,2645.75,2651.5,2630.75,2649.75,2643.19
6,03/12/2012,21:16:23.000,2650,2657.5,2650,2657.5,2646.9
7,03/12/2012,22:21:36.120,2658,2660,2654.75,2660,2652.13
8,03/13/2012,00:23:51.600,2660.25,2662.5,2654.5,2662.5,2657.29
9,03/13/2012,06:00:00.230,2662.75,2665,2653.5,2665,2659.9
10,03/13/2012,10:45:11.100,2665.25,2667.5,2662.5,2667.5,2662.4
11,03/13/2012,11:24:07.000,2667.75,2670,2666.5,2670,2665.27
12,03/13/2012,11:41:20.500,2670.25,2672.5,2669.25,2672.5,2668.46
13,03/13/2012,11:54:09.300,2672.75,2675,2670,2675,2670.96
14,03/13/2012,12:50:31.410,2675.25,2677.5,2673,2677.5,2673.38
15,03/13/2012,14:20:29.900,2677.75,2678.75,2673.5,2674.25,2675.02
16,03/13/2012,14:30:00.000,2674.5,2682,2671,2682,2676.42
17,03/13/2012,15:11:32.140,2682.25,2684.5,2681,2684.5,2678.83
18,03/13/2012,15:16:01.370,2684.75,2687,2682.25,2687,2681.9
19,03/13/2012,15:40:02.000,2687.25,2689.5,2686.5,2689.5,2685.5
20,03/13/2012,15:44:07.900,2689.75,2692,2687.25,2692,2687.9
21,03/13/2012,15:58:03.000,2692.25,2694.5,2692,2694.5,2690.58
22,03/13/2012,16:00:00.290,2694.75,2697,2686,2697,2692.42
23,03/13/2012,16:53:35.800,2697.25,2700,2686.5,2700,2694.31
24,03/14/2012,09:32:38.100,2700.25,2702.5,2695.25,2702.5,2696.58
25,03/14/2012,09:46:48.130,2702.75,2705,2700,2705,2699.75
26,03/14/2012,10:06:59.220,2705.25,2707.5,2703.25,2707.5,2703.06
27,03/14/2012,10:19:33.000,2707.75,2710,2697.5,2710,2705.13
28,03/14/2012,13:20:39.130,2710.25,2712.5,2709,2712.5,2707.75
29,03/14/2012,13:28:20.270,2712.75,2713.75,2695,2695,2707.17
30,03/14/2012,14:12:27.560,2694.75,2695.5,2692.5,2692.5,2703
31,03/14/2012,14:15:46.200,2692.25,2693,2690,2690,2696.42
