"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","56.48","56.52","56.67","56.48","1.93K","-0.24%"
"Nov 26, 2020","56.61","56.61","56.69","56.60","0.22K","0.11%"
"Nov 25, 2020","56.55","56.79","56.85","56.53","0.93K","-0.28%"
"Nov 24, 2020","56.71","56.45","56.71","56.34","0.92K","1.50%"
"Nov 23, 2020","55.87","55.87","56.12","55.74","22.02K","-0.28%"
"Nov 20, 2020","56.03","55.80","56.09","55.80","12.88K","0.40%"
"Nov 19, 2020","55.81","55.94","55.98","55.72","14.84K","-1.36%"
"Nov 18, 2020","56.57","56.22","56.63","56.22","7.58K","0.14%"
"Nov 17, 2020","56.50","56.67","56.67","56.26","1.77K","-0.51%"
"Nov 16, 2020","56.79","56.57","56.96","56.55","16.71K","1.60%"
"Nov 13, 2020","55.89","55.79","56.04","55.79","11.69K","-0.03%"
"Nov 12, 2020","55.91","55.96","56.06","55.91","6.12K","-0.81%"
"Nov 11, 2020","56.36","55.87","56.41","55.87","6.73K","1.48%"
"Nov 10, 2020","55.54","55.90","55.97","55.20","7.95K","-2.05%"
"Nov 09, 2020","56.70","55.42","57.22","55.42","15.18K","3.51%"
"Nov 06, 2020","54.78","54.83","54.95","54.29","21.91K","-0.76%"
"Nov 05, 2020","55.20","55.00","55.26","54.81","11.10K","0.47%"
"Nov 04, 2020","54.94","53.36","54.94","53.36","4.38K","2.63%"
"Nov 03, 2020","53.53","52.87","53.56","52.87","2.04K","1.46%"
"Nov 02, 2020","52.76","52.28","52.87","52.27","3.56K","1.59%"
"Oct 30, 2020","51.94","51.71","52.18","51.51","11.69K","-1.07%"
"Oct 29, 2020","52.50","52.20","52.50","51.76","4.70K","0.83%"
"Oct 28, 2020","52.06","52.96","52.96","51.87","10.40K","-2.18%"
"Oct 27, 2020","53.22","53.44","53.58","53.22","7.40K","0.25%"
"Oct 26, 2020","53.09","53.64","53.90","53.09","10.31K","-1.75%"
"Oct 23, 2020","54.04","54.20","54.27","54.04","14.04K","0.43%"
"Oct 22, 2020","53.81","53.54","53.93","53.43","3.11K","0.00%"
"Oct 21, 2020","53.81","54.07","54.07","53.63","7.24K","-0.28%"
"Oct 20, 2020","53.96","54.25","54.33","53.96","7.95K","-1.27%"
"Oct 19, 2020","54.66","55.38","55.43","54.52","12.10K","-1.25%"
"Oct 16, 2020","55.35","55.20","55.48","55.07","5.44K","0.91%"
"Oct 15, 2020","54.85","54.78","54.87","54.55","18.63K","-0.82%"
"Oct 14, 2020","55.31","55.61","55.70","55.31","7.88K","-0.60%"
"Oct 13, 2020","55.64","55.46","55.64","55.41","1.68K","0.48%"
"Oct 12, 2020","55.37","54.68","55.37","54.68","0.59K","1.83%"
"Oct 09, 2020","54.38","54.41","54.46","54.33","0.85K","0.51%"
"Oct 08, 2020","54.10","54.13","54.24","53.99","4.03K","0.93%"
"Oct 07, 2020","53.60","53.24","53.60","53.24","0.63K","0.19%"
"Oct 06, 2020","53.50","53.48","53.52","53.36","1.50K","0.30%"
"Oct 05, 2020","53.34","53.28","53.35","53.04","5.59K","0.60%"
"Oct 02, 2020","53.02","52.64","53.08","52.46","10.38K","-0.55%"
"Oct 01, 2020","53.32","53.40","53.49","53.16","19.82K","0.12%"
"Sep 30, 2020","53.25","52.35","53.31","52.35","3.24K","1.04%"
"Sep 29, 2020","52.70","53.22","53.22","52.68","0.21K","-0.95%"
"Sep 28, 2020","53.21","52.85","53.24","52.85","8.50K","2.22%"
"Sep 25, 2020","52.05","51.67","52.05","51.32","12.96K","0.92%"
"Sep 24, 2020","51.58","51.30","51.58","51.27","3.94K","-1.30%"
"Sep 23, 2020","52.25","52.46","52.63","52.25","5.14K","0.76%"
"Sep 22, 2020","51.86","51.67","52.03","51.59","3.49K","1.64%"
"Sep 21, 2020","51.03","51.68","51.68","50.98","21.59K","-1.94%"
"Sep 18, 2020","52.03","52.45","52.61","52.03","4.76K","-1.20%"
"Sep 17, 2020","52.66","52.42","52.72","52.42","4.16K","-1.52%"
"Sep 16, 2020","53.48","53.31","53.48","53.31","5.92K","0.19%"
"Sep 15, 2020","53.37","52.82","53.39","52.79","10.99K","0.82%"
"Sep 14, 2020","52.94","52.83","52.95","52.51","14.80K","1.05%"
"Sep 11, 2020","52.38","52.60","52.72","52.22","80.26K","-1.20%"
"Sep 10, 2020","53.02","53.25","53.28","52.72","54.24K","-0.47%"
"Sep 09, 2020","53.27","52.49","53.30","52.48","126.70K","1.20%"
"Sep 08, 2020","52.64","53.86","53.87","52.62","85.90K","-2.07%"
"Sep 07, 2020","53.75","53.24","53.76","53.18","6.19K","1.51%"
"Sep 04, 2020","52.96","53.75","54.44","52.59","65.03K","-2.53%"
"Sep 03, 2020","54.33","56.10","56.13","54.18","7.83K","-1.95%"
"Sep 02, 2020","55.41","55.04","55.45","55.04","1.29K","1.96%"
"Sep 01, 2020","54.35","54.25","54.35","54.05","2.01K","0.32%"
"Aug 31, 2020","54.17","54.73","54.76","54.13","2.81K","-0.21%"
"Aug 28, 2020","54.29","54.56","54.56","54.24","1.19K","-0.85%"
"Aug 27, 2020","54.75","54.41","54.75","54.26","1.47K","1.21%"
"Aug 26, 2020","54.09","53.89","54.11","53.89","0.77K","0.72%"
"Aug 25, 2020","53.71","54.00","54.00","53.61","3.10K","0.22%"
"Aug 24, 2020","53.59","53.45","53.59","53.43","1.83K","0.82%"
"Aug 21, 2020","53.15","52.79","53.30","52.73","7.89K","0.86%"
"Aug 20, 2020","52.70","52.44","52.73","52.44","3.12K","-0.16%"
"Aug 19, 2020","52.78","52.50","52.78","52.50","0.96K","0.56%"
"Aug 18, 2020","52.49","52.50","52.64","52.26","14.47K","-0.39%"
"Aug 17, 2020","52.69","52.61","52.73","52.61","1.70K","-0.09%"
"Aug 14, 2020","52.74","52.85","52.85","52.49","2.68K","-0.14%"
"Aug 13, 2020","52.81","52.72","52.86","52.58","2.04K","-0.20%"
"Aug 12, 2020","52.92","52.79","52.92","52.64","11.89K","-0.07%"
"Aug 11, 2020","52.96","53.02","53.07","52.76","9.37K","0.64%"
"Aug 10, 2020","52.62","52.62","52.73","52.48","2.38K","0.37%"
"Aug 07, 2020","52.42","52.12","52.51","52.01","13.24K","1.16%"
"Aug 06, 2020","51.82","51.71","51.84","51.61","0.79K","0.32%"
"Aug 05, 2020","51.66","51.86","51.88","51.64","3.67K","-0.26%"
"Aug 04, 2020","51.79","51.78","51.86","51.44","0.68K","-0.10%"
"Aug 03, 2020","51.85","51.36","51.85","51.22","6.87K","2.37%"
"Jul 31, 2020","50.64","50.66","50.94","50.59","3.26K","-0.02%"
"Jul 30, 2020","50.65","50.93","50.95","50.21","30.37K","-0.46%"
"Jul 29, 2020","50.89","50.71","50.89","50.69","2.52K","-0.17%"
"Jul 28, 2020","50.98","50.98","51.12","50.78","0.55K","0.82%"
"Jul 27, 2020","50.56","50.86","50.87","50.56","0.58K","-1.03%"
"Jul 24, 2020","51.08","51.14","51.47","51.03","9.62K","-1.97%"
"Jul 23, 2020","52.11","52.31","52.37","52.02","3.40K","0.22%"
"Jul 22, 2020","52.00","52.16","52.16","51.87","6.38K","-1.12%"
"Jul 21, 2020","52.59","52.65","52.88","52.54","8.20K","0.77%"
"Jul 20, 2020","52.18","51.65","52.24","51.64","10.22K","0.41%"
"Jul 17, 2020","51.97","52.04","52.08","51.94","1.35K","0.40%"
"Jul 16, 2020","51.77","51.95","51.97","51.77","8.18K","-0.58%"
"Jul 15, 2020","52.07","52.00","52.28","51.85","19.30K","1.54%"
"Jul 14, 2020","51.28","51.61","51.62","50.74","54.61K","-2.26%"
"Jul 13, 2020","52.47","52.16","52.47","52.11","3.27K","1.72%"
"Jul 10, 2020","51.58","51.21","51.58","51.18","5.85K","0.95%"
"Jul 09, 2020","51.09","51.46","51.71","51.09","12.79K","-0.29%"
"Jul 08, 2020","51.24","51.48","51.58","51.21","7.56K","-1.24%"
"Jul 07, 2020","51.89","51.74","52.00","51.57","21.63K","0.00%"
"Jul 06, 2020","51.89","51.83","51.96","51.59","22.42K","1.21%"
"Jul 03, 2020","51.27","51.64","51.64","51.16","7.89K","-0.61%"
"Jul 02, 2020","51.58","51.14","51.81","51.06","18.46K","1.37%"
"Jul 01, 2020","50.88","50.89","51.16","50.69","10.51K","0.92%"
"Jun 30, 2020","50.42","50.29","50.51","50.09","5.50K","1.13%"
"Jun 29, 2020","49.85","49.52","49.85","49.40","8.55K","0.06%"
"Jun 26, 2020","49.82","50.62","50.73","49.81","5.63K","-0.38%"
"Jun 25, 2020","50.01","49.82","50.23","49.63","26.07K","0.11%"
"Jun 24, 2020","49.96","50.95","51.05","49.96","6.86K","-2.55%"
"Jun 23, 2020","51.27","51.11","51.41","51.10","13.48K","0.91%"
"Jun 22, 2020","50.81","50.81","50.98","50.69","29.34K","-1.57%"
"Jun 19, 2020","51.62","51.37","51.69","51.37","10.93K","0.95%"
"Jun 18, 2020","51.13","50.96","51.28","50.82","17.16K","-0.55%"
"Jun 17, 2020","51.41","51.19","51.70","51.14","22.61K","0.54%"
"Jun 16, 2020","51.13","50.38","51.57","50.36","45.73K","3.69%"
"Jun 15, 2020","49.31","48.40","49.38","48.32","52.84K","-0.93%"
"Jun 12, 2020","49.78","49.42","50.19","49.42","37.89K","-0.23%"
"Jun 11, 2020","49.89","50.90","50.96","49.89","13.26K","-3.66%"
"Jun 10, 2020","51.79","52.29","52.30","51.71","4.66K","-0.51%"
"Jun 09, 2020","52.05","52.72","52.72","51.99","6.64K","-0.59%"
"Jun 08, 2020","52.36","52.00","52.41","51.96","7.63K","0.16%"
"Jun 05, 2020","52.28","50.82","52.28","50.82","17.75K","3.15%"
"Jun 04, 2020","50.68","51.13","51.18","50.67","8.09K","-0.87%"
"Jun 03, 2020","51.13","50.76","51.16","50.76","6.09K","1.37%"
"Jun 02, 2020","50.43","50.54","50.71","50.43","9.35K","1.07%"
"May 29, 2020","49.90","50.22","50.24","49.87","6.09K","-1.87%"
"May 28, 2020","50.85","50.89","50.99","50.65","6.64K","1.30%"
"May 27, 2020","50.20","50.64","50.95","49.78","57.32K","-0.47%"
"May 26, 2020","50.44","50.83","50.83","50.40","7.64K","-0.29%"
"May 25, 2020","50.59","50.23","50.59","50.21","3.70K","1.86%"
"May 22, 2020","49.66","49.19","49.74","49.12","7.83K","0.24%"
"May 21, 2020","49.54","49.48","49.73","49.48","6.13K","-0.67%"
"May 20, 2020","49.88","49.41","49.88","49.41","9.65K","0.10%"
"May 19, 2020","49.83","49.95","49.95","49.33","20.95K","-0.35%"
"May 18, 2020","50.00","49.22","50.00","49.20","7.17K","3.86%"
"May 15, 2020","48.15","48.76","48.76","47.91","5.08K","0.61%"
"May 14, 2020","47.85","47.94","48.06","47.22","17.71K","-0.56%"
"May 13, 2020","48.12","48.60","48.78","48.10","18.45K","-2.87%"
"May 12, 2020","49.54","49.50","49.86","49.50","13.66K","-0.29%"
"May 11, 2020","49.69","49.88","50.01","49.31","2.96K","0.50%"
"May 08, 2020","49.44","49.51","49.54","49.32","5.16K","0.35%"
"May 07, 2020","49.27","48.80","49.32","48.80","4.81K","0.97%"
"May 06, 2020","48.79","49.04","49.24","48.65","11.58K","-0.50%"
"May 05, 2020","49.04","48.21","49.04","48.21","43.57K","3.24%"
"May 04, 2020","47.50","47.30","47.55","46.98","35.03K","-2.89%"
"Apr 30, 2020","48.91","49.92","50.01","48.91","8.71K","-1.48%"
"Apr 29, 2020","49.64","49.09","49.71","48.97","16.26K","1.55%"
"Apr 28, 2020","48.89","48.84","49.38","48.60","24.63K","0.27%"
"Apr 27, 2020","48.76","48.36","48.76","48.33","14.40K","2.37%"
"Apr 24, 2020","47.63","47.57","47.91","47.56","18.01K","-0.89%"
"Apr 23, 2020","48.06","47.67","48.22","47.44","13.36K","1.50%"
"Apr 22, 2020","47.35","46.80","47.36","46.70","17.50K","2.46%"
"Apr 21, 2020","46.21","47.74","47.74","46.21","7.02K","-4.59%"
"Apr 20, 2020","48.43","48.41","48.43","47.72","26.89K","1.03%"
"Apr 17, 2020","47.94","48.65","48.87","47.89","11.91K","1.25%"
"Apr 16, 2020","47.35","47.38","47.43","46.79","6.35K","1.38%"
"Apr 15, 2020","46.71","47.54","47.54","46.56","29.20K","-1.11%"
"Apr 14, 2020","47.23","47.22","47.58","47.03","10.89K","0.70%"
"Apr 09, 2020","46.90","46.78","47.12","45.83","34.81K","2.14%"
"Apr 08, 2020","45.92","44.99","45.92","44.72","30.66K","-0.06%"
"Apr 07, 2020","45.95","45.72","46.34","45.53","15.60K","3.80%"
"Apr 06, 2020","44.27","43.91","44.39","43.88","48.98K","4.37%"
"Apr 03, 2020","42.42","42.51","43.18","42.36","16.12K","-0.03%"
"Apr 02, 2020","42.43","42.00","42.65","41.29","66.75K","0.87%"
"Apr 01, 2020","42.06","42.18","42.29","41.67","55.43K","-4.53%"
"Mar 31, 2020","44.06","43.93","44.21","43.37","37.46K","1.79%"
"Mar 30, 2020","43.28","42.25","43.36","41.63","23.99K","2.37%"
"Mar 27, 2020","42.28","42.84","43.08","42.02","71.30K","-2.12%"
"Mar 26, 2020","43.20","40.99","43.32","40.62","45.03K","1.64%"
"Mar 25, 2020","42.50","41.96","42.50","40.87","54.02K","2.86%"
