"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","1,389.13","1,413.04","1,415.50","1,386.39","1.27B","-1.26%"
"Nov 26, 2020","1,406.92","1,401.04","1,408.76","1,392.45","1.32B","1.29%"
"Nov 25, 2020","1,389.05","1,396.99","1,406.86","1,387.19","1.38B","-0.03%"
"Nov 24, 2020","1,389.50","1,399.11","1,405.69","1,376.90","1.26B","0.03%"
"Nov 23, 2020","1,389.04","1,404.45","1,412.26","1,373.42","1.60B","-0.42%"
"Nov 20, 2020","1,394.85","1,376.50","1,399.37","1,376.50","1.23B","1.54%"
"Nov 19, 2020","1,373.74","1,354.91","1,380.03","1,340.66","1.31B","1.40%"
"Nov 18, 2020","1,354.75","1,332.80","1,354.75","1,332.80","1.13B","1.84%"
"Nov 17, 2020","1,330.32","1,369.95","1,369.95","1,329.06","1.20B","-3.02%"
"Nov 16, 2020","1,371.71","1,379.34","1,384.97","1,370.46","1.39B","0.23%"
"Nov 13, 2020","1,368.57","1,349.89","1,370.77","1,349.52","1.09B","1.72%"
"Nov 12, 2020","1,345.45","1,355.33","1,370.69","1,335.31","1.90B","-0.32%"
"Nov 11, 2020","1,349.81","1,328.17","1,353.88","1,323.63","1.76B","2.30%"
"Nov 10, 2020","1,319.46","1,310.04","1,324.40","1,303.18","1.67B","0.06%"
"Nov 09, 2020","1,318.64","1,296.87","1,321.86","1,292.33","1.77B","2.77%"
"Nov 06, 2020","1,283.15","1,277.32","1,283.80","1,270.41","1.18B","0.72%"
"Nov 05, 2020","1,273.95","1,254.21","1,277.56","1,251.50","1.57B","2.19%"
"Nov 04, 2020","1,246.60","1,228.93","1,246.73","1,226.01","1.31B","1.84%"
"Nov 03, 2020","1,224.11","1,219.70","1,228.46","1,198.95","1.47B","0.92%"
"Nov 02, 2020","1,212.93","1,190.06","1,221.31","1,188.90","1.53B","2.34%"
"Oct 30, 2020","1,185.25","1,188.17","1,192.42","1,167.21","1.15B","-1.87%"
"Oct 28, 2020","1,207.80","1,233.26","1,234.19","1,207.80","500.83M","-2.25%"
"Oct 27, 2020","1,235.57","1,228.98","1,245.02","1,216.95","1.51B","0.11%"
"Oct 26, 2020","1,234.17","1,288.97","1,288.97","1,232.51","1.66B","-4.88%"
"Oct 23, 2020","1,297.49","1,308.72","1,313.92","1,285.67","1.38B","-0.75%"
"Oct 22, 2020","1,307.29","1,318.24","1,318.73","1,300.41","1.35B","-0.62%"
"Oct 21, 2020","1,315.51","1,336.06","1,337.54","1,315.51","1.55B","-0.93%"
"Oct 20, 2020","1,327.82","1,329.19","1,334.16","1,322.98","1.96B","0.17%"
"Oct 19, 2020","1,325.63","1,317.69","1,329.72","1,315.16","1.43B","1.07%"
"Oct 16, 2020","1,311.55","1,298.18","1,311.95","1,298.00","1.39B","1.31%"
"Oct 15, 2020","1,294.61","1,304.02","1,307.91","1,290.92","1.52B","-0.91%"
"Oct 14, 2020","1,306.50","1,286.55","1,306.50","1,284.77","1.66B","1.55%"
"Oct 13, 2020","1,286.55","1,295.96","1,296.96","1,282.79","1.45B","-0.35%"
"Oct 12, 2020","1,291.01","1,277.60","1,292.47","1,277.60","1.57B","1.42%"
"Oct 09, 2020","1,272.88","1,263.68","1,274.04","1,261.40","1.32B","0.95%"
"Oct 08, 2020","1,260.84","1,265.99","1,269.69","1,252.36","1.86B","0.14%"
"Oct 07, 2020","1,259.09","1,252.54","1,263.50","1,250.36","1.42B","0.34%"
"Oct 06, 2020","1,254.79","1,265.29","1,273.06","1,254.79","1.42B","-0.30%"
"Oct 05, 2020","1,258.51","1,242.52","1,258.75","1,242.52","1.22B","1.84%"
"Oct 02, 2020","1,235.73","1,221.93","1,240.32","1,220.85","1.36B","0.64%"
"Oct 01, 2020","1,227.83","1,238.89","1,241.84","1,226.67","1.38B","-0.69%"
"Sep 30, 2020","1,236.37","1,224.78","1,236.75","1,220.88","1.94B","1.72%"
"Sep 29, 2020","1,215.46","1,221.00","1,226.56","1,204.76","2.01B","0.04%"
"Sep 28, 2020","1,214.92","1,210.91","1,218.91","1,205.83","1.84B","0.42%"
"Sep 25, 2020","1,209.81","1,220.36","1,222.15","1,207.32","1.80B","-0.04%"
"Sep 24, 2020","1,210.33","1,197.44","1,211.94","1,194.23","1.40B","0.70%"
"Sep 23, 2020","1,201.94","1,196.02","1,205.46","1,193.75","1.60B","1.18%"
"Sep 22, 2020","1,187.93","1,177.13","1,188.65","1,169.20","1.37B","1.09%"
"Sep 21, 2020","1,175.09","1,195.08","1,198.92","1,172.96","1.75B","-1.54%"
"Sep 18, 2020","1,193.41","1,189.12","1,193.52","1,185.78","1.09B","0.69%"
"Sep 17, 2020","1,185.18","1,173.88","1,185.18","1,173.88","1.31B","0.26%"
"Sep 16, 2020","1,182.12","1,186.13","1,189.04","1,179.07","1.29B","-0.07%"
"Sep 15, 2020","1,182.95","1,183.51","1,188.15","1,162.02","1.74B","0.24%"
"Sep 14, 2020","1,180.12","1,179.58","1,185.37","1,178.26","1.58B","0.13%"
"Sep 11, 2020","1,178.64","1,175.53","1,181.02","1,173.68","1.54B","0.28%"
"Sep 10, 2020","1,175.31","1,183.35","1,186.53","1,173.43","1.49B","-0.15%"
"Sep 09, 2020","1,177.04","1,170.22","1,179.11","1,169.11","1.45B","0.78%"
"Sep 08, 2020","1,167.92","1,179.65","1,181.21","1,160.60","1.74B","-0.37%"
"Sep 07, 2020","1,172.22","1,160.44","1,172.85","1,160.44","1.50B","1.56%"
"Sep 04, 2020","1,154.24","1,139.45","1,155.79","1,136.51","1.77B","1.27%"
"Sep 03, 2020","1,139.72","1,145.07","1,152.77","1,134.92","1.74B","-0.13%"
"Sep 02, 2020","1,141.21","1,140.12","1,149.17","1,136.80","1.59B","0.29%"
"Sep 01, 2020","1,137.94","1,131.15","1,137.94","1,113.52","1.33B","0.95%"
"Aug 31, 2020","1,127.19","1,146.59","1,146.90","1,124.97","1.02B","-1.60%"
"Aug 28, 2020","1,145.57","1,158.36","1,159.04","1,141.74","1.19B","-0.79%"
"Aug 27, 2020","1,154.75","1,156.08","1,157.73","1,148.33","1.29B","0.81%"
"Aug 26, 2020","1,145.51","1,139.30","1,153.10","1,136.14","1.53B","0.30%"
"Aug 25, 2020","1,142.09","1,167.49","1,172.56","1,133.87","1.37B","-1.50%"
"Aug 24, 2020","1,159.53","1,162.08","1,170.70","1,156.87","1.09B","0.00%"
"Aug 21, 2020","1,159.50","1,178.94","1,182.63","1,153.14","1.37B","-0.64%"
"Aug 20, 2020","1,166.97","1,165.65","1,171.15","1,154.28","1.25B","0.13%"
"Aug 19, 2020","1,165.51","1,143.95","1,165.51","1,143.42","1.18B","2.38%"
"Aug 18, 2020","1,138.41","1,130.72","1,146.59","1,128.09","767.96M","0.71%"
"Aug 17, 2020","1,130.44","1,135.86","1,137.52","1,124.84","699.22M","-0.36%"
"Aug 14, 2020","1,134.55","1,145.37","1,146.11","1,125.19","922.07M","-1.55%"
"Aug 13, 2020","1,152.38","1,174.90","1,181.28","1,146.53","1.20B","-1.40%"
"Aug 12, 2020","1,168.75","1,168.16","1,176.40","1,152.04","1.17B","0.69%"
"Aug 11, 2020","1,160.75","1,131.17","1,162.45","1,131.17","1.44B","3.28%"
"Aug 10, 2020","1,123.93","1,112.47","1,129.35","1,091.73","851.40M","0.26%"
"Aug 07, 2020","1,121.02","1,081.37","1,121.02","1,034.73","1.50B","3.09%"
"Aug 06, 2020","1,087.37","1,148.14","1,151.03","1,086.48","1.50B","-5.49%"
"Aug 05, 2020","1,150.53","1,152.28","1,153.90","1,125.02","1.59B","0.66%"
"Aug 04, 2020","1,143.04","1,180.63","1,184.77","1,114.89","1.49B","-1.84%"
"Jul 30, 2020","1,164.41","1,173.99","1,174.80","1,161.57","419.53M","-0.59%"
"Jul 29, 2020","1,171.29","1,185.92","1,188.79","1,155.34","1.42B","-1.04%"
"Jul 28, 2020","1,183.56","1,235.96","1,235.96","1,182.88","1.68B","-4.01%"
"Jul 27, 2020","1,233.05","1,239.58","1,244.51","1,233.05","1.29B","0.07%"
"Jul 24, 2020","1,232.14","1,223.59","1,232.14","1,220.86","1.38B","0.31%"
"Jul 23, 2020","1,228.29","1,226.47","1,235.34","1,224.26","1.14B","0.68%"
"Jul 22, 2020","1,220.01","1,237.62","1,241.38","1,217.35","1.15B","-0.65%"
"Jul 21, 2020","1,228.05","1,250.72","1,256.37","1,217.73","1.42B","-0.98%"
"Jul 20, 2020","1,240.21","1,233.65","1,242.60","1,229.50","1.26B","0.63%"
"Jul 17, 2020","1,232.40","1,234.29","1,235.87","1,228.48","831.40M","0.05%"
"Jul 16, 2020","1,231.74","1,238.35","1,242.28","1,231.32","1.17B","0.63%"
"Jul 14, 2020","1,224.00","1,229.64","1,232.63","1,216.63","1.54B","-0.91%"
"Jul 13, 2020","1,235.22","1,218.37","1,235.46","1,215.52","1.31B","2.74%"
"Jul 10, 2020","1,202.32","1,208.07","1,208.07","1,177.24","1.68B","-0.74%"
"Jul 09, 2020","1,211.33","1,248.55","1,256.35","1,210.48","2.15B","-2.48%"
"Jul 08, 2020","1,242.13","1,249.75","1,254.17","1,241.79","1.97B","-0.01%"
"Jul 07, 2020","1,242.26","1,233.87","1,245.16","1,214.89","2.34B","0.88%"
"Jul 06, 2020","1,231.39","1,223.15","1,232.13","1,221.30","1.73B","2.08%"
"Jul 03, 2020","1,206.24","1,224.47","1,225.61","1,202.91","1.85B","-1.24%"
"Jul 02, 2020","1,221.44","1,211.87","1,225.98","1,209.34","2.10B","1.30%"
"Jul 01, 2020","1,205.75","1,220.79","1,222.83","1,200.16","1.70B","-0.75%"
"Jun 30, 2020","1,214.89","1,210.33","1,219.05","1,209.75","1.38B","0.84%"
"Jun 29, 2020","1,204.74","1,195.75","1,208.09","1,191.78","1.14B","0.94%"
"Jun 26, 2020","1,193.55","1,196.98","1,200.79","1,190.30","1.12B","0.52%"
"Jun 25, 2020","1,187.37","1,187.95","1,192.96","1,177.27","1.67B","-0.09%"
"Jun 24, 2020","1,188.40","1,199.45","1,201.48","1,187.70","1.45B","-0.85%"
"Jun 23, 2020","1,198.55","1,201.14","1,209.58","1,194.97","1.21B","0.28%"
"Jun 22, 2020","1,195.19","1,195.23","1,199.76","1,187.07","1.14B","0.63%"
"Jun 19, 2020","1,187.73","1,199.36","1,207.99","1,184.55","1.54B","0.78%"
"Jun 18, 2020","1,178.56","1,161.07","1,180.89","1,161.07","1.43B","2.29%"
"Jun 17, 2020","1,152.19","1,158.76","1,161.04","1,147.87","1.90B","0.06%"
"Jun 16, 2020","1,151.52","1,148.40","1,165.95","1,146.31","1.70B","1.46%"
"Jun 15, 2020","1,134.95","1,132.58","1,138.75","1,123.58","1.03B","0.02%"
"Jun 12, 2020","1,134.75","1,114.19","1,136.48","1,108.73","1.40B","0.88%"
"Jun 11, 2020","1,124.80","1,126.42","1,133.59","1,120.17","1.24B","-0.45%"
"Jun 10, 2020","1,129.87","1,129.17","1,137.55","1,127.46","1.46B","0.40%"
"Jun 09, 2020","1,125.42","1,136.89","1,139.23","1,119.71","1.25B","-0.68%"
"Jun 08, 2020","1,133.14","1,138.77","1,145.38","1,127.47","1.14B","-0.10%"
"Jun 05, 2020","1,134.32","1,130.04","1,136.17","1,128.03","879.20M","0.91%"
"Jun 04, 2020","1,124.06","1,126.83","1,132.22","1,119.76","1.13B","0.14%"
"Jun 03, 2020","1,122.46","1,121.83","1,124.62","1,113.25","1.03B","0.88%"
"Jun 02, 2020","1,112.72","1,106.05","1,113.86","1,101.25","1.07B","0.98%"
"Jun 01, 2020","1,101.87","1,095.12","1,104.05","1,093.22","1.15B","1.39%"
"May 29, 2020","1,086.76","1,091.95","1,095.97","1,081.12","1.05B","-0.68%"
"May 28, 2020","1,094.24","1,095.68","1,107.27","1,078.42","1.21B","0.43%"
"May 27, 2020","1,089.54","1,075.92","1,096.46","1,075.92","1.21B","2.70%"
"May 22, 2020","1,060.92","1,052.96","1,062.65","1,048.20","813.38M","0.61%"
"May 21, 2020","1,054.46","1,048.12","1,062.33","1,048.12","943.07M","0.73%"
"May 20, 2020","1,046.85","1,046.30","1,050.74","1,041.24","898.05M","0.63%"
"May 18, 2020","1,040.30","1,028.49","1,042.06","1,028.49","928.03M","2.29%"
"May 15, 2020","1,017.05","1,023.49","1,026.87","1,015.66","845.50M","0.14%"
"May 14, 2020","1,015.66","1,025.79","1,030.02","1,008.23","1.29B","-1.02%"
"May 13, 2020","1,026.14","1,024.12","1,033.98","1,021.80","1.02B","0.40%"
"May 12, 2020","1,022.08","1,006.12","1,024.11","1,003.66","1.20B","1.83%"
"May 11, 2020","1,003.67","1,008.75","1,011.43","1,003.67","920.88M","0.02%"
"May 08, 2020","1,003.51","1,013.42","1,015.96","1,000.36","847.66M","-0.18%"
"May 07, 2020","1,005.27","1,005.43","1,010.16","994.94","899.30M","0.09%"
"May 06, 2020","1,004.33","1,011.51","1,012.72","1,002.09","874.21M","-0.44%"
"May 05, 2020","1,008.80","1,018.57","1,020.55","1,001.03","981.56M","-0.08%"
"May 04, 2020","1,009.63","1,013.67","1,016.79","1,001.69","1.18B","-1.65%"
"Apr 30, 2020","1,026.54","1,031.87","1,035.75","1,006.63","926.24M","0.08%"
"Apr 29, 2020","1,025.75","1,025.15","1,030.21","1,017.50","1.03B","0.51%"
"Apr 28, 2020","1,020.52","1,033.57","1,035.35","1,020.52","1.15B","-0.60%"
"Apr 27, 2020","1,026.69","1,012.84","1,027.80","1,012.84","1.12B","2.71%"
"Apr 24, 2020","999.59","997.57","1,008.19","989.23","1.01B","0.32%"
"Apr 22, 2020","996.36","991.74","1,001.73","988.66","1.18B","1.05%"
"Apr 21, 2020","985.97","989.09","990.03","979.84","1.13B","-0.84%"
"Apr 20, 2020","994.28","994.05","1,000.09","987.03","804.44M","0.45%"
"Apr 17, 2020","989.83","987.83","993.62","979.87","1.05B","2.27%"
"Apr 16, 2020","967.86","977.15","980.59","958.30","1.36B","-0.12%"
"Apr 15, 2020","968.99","1,016.02","1,017.08","963.72","1.54B","-4.02%"
"Apr 14, 2020","1,009.57","994.73","1,009.57","994.69","1.34B","2.66%"
"Apr 13, 2020","983.41","963.97","989.03","957.24","1.20B","1.37%"
"Apr 10, 2020","970.11","962.27","975.78","955.11","1.04B","1.05%"
"Apr 09, 2020","960.02","953.46","962.62","946.54","1.50B","1.96%"
"Apr 08, 2020","941.54","930.19","941.54","923.68","917.75M","1.43%"
"Apr 07, 2020","928.27","934.83","956.34","928.27","1.12B","0.64%"
"Apr 06, 2020","922.40","907.07","922.40","904.63","824.18M","3.30%"
"Apr 03, 2020","892.97","894.31","898.83","888.01","669.27M","0.08%"
"Apr 02, 2020","892.29","894.85","898.53","876.28","1.08B","0.74%"
"Apr 01, 2020","885.73","880.94","900.92","875.42","1.24B","-1.02%"
"Mar 31, 2020","894.86","880.94","894.87","879.17","1.12B","2.87%"
"Mar 30, 2020","869.90","876.59","880.29","863.68","1.01B","-1.20%"
"Mar 27, 2020","880.46","930.18","935.49","880.46","1.27B","-4.65%"
"Mar 26, 2020","923.42","892.42","927.92","890.52","1.13B","3.53%"
"Mar 25, 2020","891.90","890.41","904.03","876.18","1.08B","1.69%"
"Mar 24, 2020","877.04","868.60","882.89","863.00","731.82M","4.83%"
"Mar 23, 2020","836.65","818.90","862.49","814.91","653.14M","-0.94%"
"Mar 20, 2020","844.62","848.23","856.17","841.00","613.80M","1.99%"
"Mar 19, 2020","828.18","824.41","844.40","820.60","646.35M","-0.40%"
"Mar 18, 2020","831.51","834.78","859.66","826.81","687.55M","-1.95%"
"Mar 17, 2020","848.02","871.40","871.40","801.13","694.03M","-1.60%"
"Mar 16, 2020","861.81","904.86","904.86","853.07","542.86M","-7.91%"
"Mar 13, 2020","935.86","908.31","960.66","891.16","984.59M","3.19%"
"Mar 12, 2020","906.95","953.95","954.68","905.29","871.11M","-7.69%"
"Mar 11, 2020","982.51","993.98","1,013.74","965.31","955.33M","-1.81%"
"Mar 10, 2020","1,000.67","1,064.19","1,070.66","999.85","749.16M","-3.59%"
"Mar 09, 2020","1,037.95","1,066.10","1,072.05","1,016.91","650.84M","-5.73%"
"Mar 06, 2020","1,101.08","1,129.87","1,136.12","1,093.91","476.55M","-2.61%"
"Mar 05, 2020","1,130.58","1,142.78","1,153.74","1,130.58","558.10M","0.54%"
"Mar 04, 2020","1,124.55","1,127.36","1,147.91","1,123.29","777.56M","-0.49%"
"Mar 03, 2020","1,130.08","1,116.30","1,130.08","1,114.68","798.57M","3.02%"
"Mar 02, 2020","1,096.97","1,100.42","1,119.68","1,087.25","600.93M","1.70%"
"Feb 28, 2020","1,078.65","1,021.75","1,095.17","1,021.75","748.88M","-4.19%"
"Feb 27, 2020","1,125.86","1,164.75","1,168.78","1,125.86","985.69M","-4.27%"
"Feb 26, 2020","1,176.05","1,170.90","1,179.54","1,154.56","763.40M","-0.01%"
"Feb 25, 2020","1,176.15","1,184.37","1,192.04","1,166.87","921.63M","0.21%"
"Feb 24, 2020","1,173.64","1,179.67","1,179.67","1,157.67","782.81M","-1.92%"
"Feb 21, 2020","1,196.61","1,182.68","1,200.18","1,172.55","957.38M","0.66%"
"Feb 20, 2020","1,188.71","1,233.13","1,233.13","1,185.70","1.66B","-3.48%"
"Feb 19, 2020","1,231.54","1,237.64","1,242.28","1,224.99","1.79B","-0.05%"
"Feb 18, 2020","1,232.11","1,243.72","1,243.72","1,227.99","1.41B","-1.20%"
"Feb 17, 2020","1,247.03","1,240.16","1,248.97","1,238.80","1.30B","1.10%"
"Feb 14, 2020","1,233.51","1,240.97","1,245.88","1,231.25","1.38B","-0.08%"
"Feb 13, 2020","1,234.51","1,227.41","1,236.25","1,222.76","1.13B","0.62%"
"Feb 12, 2020","1,226.85","1,220.16","1,236.21","1,212.45","1.13B","0.76%"
"Feb 11, 2020","1,217.61","1,212.66","1,219.99","1,193.83","1.19B","1.46%"
"Feb 10, 2020","1,200.08","1,231.30","1,237.52","1,180.04","1.31B","-2.89%"
"Feb 07, 2020","1,235.76","1,247.29","1,250.20","1,233.86","789.50M","-0.60%"
