"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","1,103.08","1,096.36","1,105.58","1,095.50","296.71M","0.70%"
"Nov 26, 2020","1,095.42","1,098.83","1,099.07","1,094.87","160.12M","0.06%"
"Nov 25, 2020","1,094.78","1,095.98","1,097.46","1,090.28","297.78M","0.12%"
"Nov 24, 2020","1,093.44","1,093.01","1,096.16","1,090.32","331.93M","0.96%"
"Nov 23, 2020","1,083.04","1,092.36","1,095.11","1,083.04","238.23M","-0.08%"
"Nov 20, 2020","1,083.87","1,076.27","1,086.78","1,075.61","210.72M","0.59%"
"Nov 19, 2020","1,077.55","1,075.08","1,079.89","1,073.17","239.23M","-0.70%"
"Nov 18, 2020","1,085.12","1,077.06","1,087.92","1,075.90","231.15M","0.38%"
"Nov 17, 2020","1,080.98","1,082.30","1,082.62","1,074.69","248.57M","-0.11%"
"Nov 16, 2020","1,082.13","1,076.97","1,089.51","1,072.50","347.48M","1.31%"
"Nov 13, 2020","1,068.17","1,067.11","1,074.95","1,065.27","267.06M","0.01%"
"Nov 12, 2020","1,068.08","1,071.35","1,076.57","1,066.83","327.10M","-0.83%"
"Nov 11, 2020","1,077.00","1,070.89","1,079.26","1,065.98","312.29M","0.74%"
"Nov 10, 2020","1,069.08","1,058.63","1,072.50","1,054.56","523.76M","0.84%"
"Nov 09, 2020","1,060.14","1,013.68","1,067.27","1,013.68","602.86M","5.87%"
"Nov 06, 2020","1,001.38","999.27","1,006.39","991.74","237.70M","-0.18%"
"Nov 05, 2020","1,003.14","997.63","1,005.43","995.97","288.58M","1.37%"
"Nov 04, 2020","989.63","955.09","989.66","953.59","293.23M","2.37%"
"Nov 03, 2020","966.73","956.01","967.78","954.11","281.05M","2.02%"
"Nov 02, 2020","947.61","934.33","950.15","928.74","248.30M","1.79%"
"Oct 30, 2020","930.91","919.54","933.92","918.86","272.80M","0.32%"
"Oct 29, 2020","927.95","928.73","934.80","916.75","287.74M","0.16%"
"Oct 28, 2020","926.45","938.81","940.57","917.43","368.57M","-2.90%"
"Oct 27, 2020","954.16","966.10","966.10","952.30","260.94M","-1.04%"
"Oct 26, 2020","964.16","968.27","977.99","963.83","204.20M","-1.61%"
"Oct 23, 2020","979.97","970.92","985.17","970.43","202.77M","0.76%"
"Oct 22, 2020","972.55","970.36","976.49","961.03","205.51M","-0.20%"
"Oct 21, 2020","974.48","989.21","989.54","973.47","198.70M","-1.51%"
"Oct 20, 2020","989.44","988.11","995.30","986.20","222.79M","0.02%"
"Oct 19, 2020","989.21","995.62","1,001.65","983.62","110.01M","-0.19%"
"Oct 16, 2020","991.05","985.00","995.31","981.00","240.38M","1.76%"
"Oct 15, 2020","973.94","981.63","982.42","968.70","246.94M","-2.20%"
"Oct 14, 2020","995.89","996.21","1,000.02","993.34","194.83M","-0.09%"
"Oct 13, 2020","996.81","1,000.94","1,001.56","993.48","220.68M","-0.49%"
"Oct 12, 2020","1,001.69","995.39","1,003.90","994.29","235.02M","0.82%"
"Oct 09, 2020","993.52","987.48","993.52","987.06","233.74M","0.89%"
"Oct 08, 2020","984.80","983.54","988.22","977.96","345.54M","0.69%"
"Oct 07, 2020","978.06","979.71","983.12","974.85","232.23M","-0.10%"
"Oct 06, 2020","979.08","977.75","983.70","971.28","246.67M","0.39%"
"Oct 05, 2020","975.25","972.78","976.26","969.41","206.58M","1.02%"
"Oct 02, 2020","965.36","954.24","965.36","951.32","218.68M","0.14%"
"Oct 01, 2020","964.00","968.19","970.34","959.63","240.96M","0.52%"
"Sep 30, 2020","958.98","956.49","967.13","954.66","251.22M","-0.33%"
"Sep 29, 2020","962.19","964.55","965.40","958.35","190.70M","-0.36%"
"Sep 28, 2020","965.71","958.47","967.08","954.97","231.85M","2.24%"
"Sep 25, 2020","944.55","948.42","949.15","932.04","227.96M","-0.38%"
"Sep 24, 2020","948.11","944.48","955.52","943.99","247.82M","-0.93%"
"Sep 23, 2020","957.01","958.94","968.68","956.50","221.77M","0.74%"
"Sep 22, 2020","949.99","953.89","959.31","949.99","234.95M","0.05%"
"Sep 21, 2020","949.49","976.75","976.75","946.40","324.30M","-3.39%"
"Sep 18, 2020","982.77","992.21","993.53","982.23","534.56M","-0.94%"
"Sep 17, 2020","992.06","984.89","994.81","983.84","208.78M","-0.69%"
"Sep 16, 2020","998.92","996.04","1,001.41","992.20","203.52M","0.30%"
"Sep 15, 2020","995.97","992.21","999.32","989.23","186.24M","0.48%"
"Sep 14, 2020","991.25","995.47","998.02","988.76","145.24M","0.32%"
"Sep 11, 2020","988.06","985.97","991.75","981.99","180.30M","0.16%"
"Sep 10, 2020","986.47","988.97","992.74","982.90","183.09M","-0.24%"
"Sep 09, 2020","988.89","974.58","990.97","973.94","222.34M","1.58%"
"Sep 08, 2020","973.47","988.06","989.31","964.94","227.82M","-1.56%"
"Sep 07, 2020","988.89","976.71","990.37","976.71","151.56M","1.53%"
"Sep 04, 2020","974.02","979.97","994.88","966.65","267.54M","-1.29%"
