"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","17.29","17.29","17.33","17.27","1.13M","-0.23%"
"Nov 25, 2020","17.33","17.29","17.38","17.14","1.51M","-0.86%"
"Nov 24, 2020","17.48","17.13","17.48","17.13","7.75M","3.55%"
"Nov 23, 2020","16.88","16.90","16.93","16.78","1.20M","1.14%"
"Nov 20, 2020","16.69","16.73","16.76","16.67","1.86M","-0.36%"
"Nov 19, 2020","16.75","16.62","16.92","16.57","4.11M","0.24%"
"Nov 18, 2020","16.71","16.78","16.88","16.66","1.21M","0.12%"
"Nov 17, 2020","16.69","16.55","16.74","16.50","2.29M","0.42%"
"Nov 16, 2020","16.62","16.60","16.62","16.48","2.87M","1.96%"
"Nov 13, 2020","16.30","16.06","16.30","16.06","2.97M","3.16%"
"Nov 12, 2020","15.80","15.85","15.99","15.75","1.32M","-2.11%"
"Nov 11, 2020","16.14","16.12","16.17","16.04","1.26M","0.06%"
"Nov 10, 2020","16.13","16.07","16.23","16.04","2.19M","2.41%"
"Nov 09, 2020","15.75","15.82","15.83","15.56","3.02M","8.85%"
"Nov 06, 2020","14.47","14.54","14.58","14.47","1.04M","0.21%"
"Nov 05, 2020","14.44","14.31","14.48","14.31","1.54M","2.70%"
"Nov 04, 2020","14.06","14.08","14.23","13.98","1.45M","-0.35%"
"Nov 03, 2020","14.11","13.97","14.20","13.95","1.43M","4.36%"
"Nov 02, 2020","13.52","13.48","13.52","13.39","684.42K","2.04%"
"Oct 30, 2020","13.25","13.21","13.27","13.12","1.70M","0.38%"
"Oct 29, 2020","13.20","13.08","13.30","12.99","2.65M","0.08%"
"Oct 28, 2020","13.19","13.30","13.35","13.14","1.58M","-3.86%"
"Oct 27, 2020","13.72","13.97","13.98","13.70","849.83K","-2.35%"
"Oct 26, 2020","14.05","14.15","14.19","13.95","899.68K","-1.82%"
"Oct 23, 2020","14.31","14.35","14.36","14.22","1.16M","1.27%"
"Oct 22, 2020","14.13","13.94","14.13","13.92","858.45K","0.78%"
"Oct 21, 2020","14.02","14.04","14.17","14.01","669.41K","-0.78%"
"Oct 20, 2020","14.13","14.16","14.30","14.13","785.72K","1.58%"
"Oct 19, 2020","13.91","14.05","14.16","13.91","908.45K","0.07%"
"Oct 16, 2020","13.90","13.85","13.95","13.82","384.14K","1.02%"
"Oct 15, 2020","13.76","13.56","13.77","13.56","610.97K","-1.50%"
"Oct 14, 2020","13.97","14.09","14.13","13.97","642.51K","-0.50%"
"Oct 13, 2020","14.04","14.21","14.21","14.00","727.57K","-2.97%"
"Oct 12, 2020","14.47","14.42","14.48","14.39","352.06K","0.52%"
"Oct 09, 2020","14.40","14.48","14.48","14.33","650.41K","0.00%"
"Oct 08, 2020","14.40","14.39","14.41","14.33","558.19K","1.12%"
"Oct 07, 2020","14.24","14.24","14.29","14.19","650.38K","0.49%"
"Oct 06, 2020","14.17","14.36","14.41","14.14","778.12K","0.07%"
"Oct 05, 2020","14.16","14.05","14.16","14.01","450.55K","2.16%"
"Oct 02, 2020","13.86","13.64","13.90","13.59","544.28K","0.80%"
"Oct 01, 2020","13.75","13.80","13.81","13.68","346.89K","0.07%"
"Sep 30, 2020","13.74","13.76","13.87","13.67","469.56K","0.44%"
"Sep 29, 2020","13.68","13.74","13.77","13.62","512.67K","-1.37%"
"Sep 28, 2020","13.87","13.71","13.87","13.71","5.69M","4.29%"
"Sep 25, 2020","13.30","13.19","13.31","13.12","4.36M","-0.67%"
"Sep 24, 2020","13.39","13.39","13.52","13.30","2.16M","0.53%"
"Sep 23, 2020","13.32","13.65","13.72","13.32","500.39K","-2.27%"
"Sep 22, 2020","13.63","13.73","13.78","13.48","496.47K","-1.02%"
"Sep 21, 2020","13.77","13.89","13.89","13.63","985.77K","-4.71%"
"Sep 18, 2020","14.45","14.53","14.58","14.40","538.43K","-1.57%"
"Sep 17, 2020","14.68","14.60","14.73","14.57","375.25K","-0.81%"
"Sep 16, 2020","14.80","14.78","14.91","14.68","519.88K","-0.07%"
"Sep 15, 2020","14.81","14.91","14.93","14.77","548.85K","-0.47%"
"Sep 14, 2020","14.88","14.92","14.96","14.85","651.15K","0.61%"
"Sep 11, 2020","14.79","14.84","14.87","14.70","278.01K","0.07%"
"Sep 10, 2020","14.78","15.07","15.14","14.76","634.09K","-1.07%"
"Sep 09, 2020","14.94","14.92","15.05","14.90","690.04K","2.19%"
"Sep 08, 2020","14.62","14.71","14.76","14.60","503.23K","-2.34%"
"Sep 04, 2020","14.97","14.94","15.05","14.70","498.07K","1.22%"
"Sep 03, 2020","14.79","15.08","15.17","14.70","1.22M","-1.92%"
"Sep 02, 2020","15.08","14.96","15.11","14.93","332.63K","0.33%"
"Sep 01, 2020","15.03","15.00","15.13","14.92","837.39K","-0.73%"
"Aug 31, 2020","15.14","15.30","15.32","15.14","713.69K","-1.82%"
"Aug 28, 2020","15.42","15.43","15.44","15.33","450.85K","1.72%"
"Aug 27, 2020","15.16","15.24","15.24","15.06","354.12K","-1.04%"
"Aug 26, 2020","15.32","15.21","15.32","15.20","465.63K","0.72%"
"Aug 25, 2020","15.21","15.32","15.35","15.10","407.06K","0.53%"
"Aug 24, 2020","15.13","15.04","15.15","15.01","305.52K","1.61%"
"Aug 21, 2020","14.89","14.77","14.89","14.74","348.72K","-1.06%"
"Aug 20, 2020","15.05","14.90","15.05","14.86","686.65K","-0.59%"
