"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","39.88","39.74","39.98","39.74","80.18K","-0.10%"
"Nov 25, 2020","39.92","39.58","39.96","39.50","187.03K","0.73%"
"Nov 24, 2020","39.63","39.25","39.65","39.21","215.42K","1.75%"
"Nov 23, 2020","38.95","39.13","39.25","38.77","90.27K","-0.33%"
"Nov 20, 2020","39.08","39.05","39.20","39.01","213.06K","-0.20%"
"Nov 19, 2020","39.16","38.90","39.20","38.69","184.57K","0.80%"
"Nov 18, 2020","38.85","39.05","39.19","38.76","41.56K","-0.36%"
"Nov 17, 2020","38.99","38.84","39.07","38.73","62.85K","0.52%"
"Nov 16, 2020","38.79","38.72","38.90","38.55","70.21K","1.28%"
"Nov 13, 2020","38.30","38.02","38.31","38.02","124.26K","1.11%"
"Nov 12, 2020","37.88","38.35","38.47","37.76","165.79K","-1.33%"
"Nov 11, 2020","38.39","38.33","38.49","38.28","108.26K","0.97%"
"Nov 10, 2020","38.02","38.29","38.43","37.96","201.48K","-0.16%"
"Nov 09, 2020","38.08","38.73","38.73","38.08","212.63K","2.72%"
"Nov 06, 2020","37.07","37.05","37.27","36.91","126.21K","0.82%"
"Nov 05, 2020","36.77","36.69","36.99","36.60","73.93K","3.05%"
"Nov 04, 2020","35.68","35.54","36.03","35.35","84.11K","1.54%"
"Nov 03, 2020","35.14","34.96","35.35","34.94","127.53K","2.15%"
"Nov 02, 2020","34.40","34.22","34.51","34.10","297.56K","1.84%"
"Oct 30, 2020","33.78","33.96","34.03","33.56","423.34K","-0.03%"
"Oct 29, 2020","33.79","33.67","34.05","33.50","304.30K","-0.47%"
"Oct 28, 2020","33.95","34.16","34.37","33.89","202.25K","-3.66%"
"Oct 27, 2020","35.24","35.52","35.56","35.17","176.75K","-0.84%"
"Oct 26, 2020","35.54","35.90","35.99","35.21","203.81K","-2.82%"
"Oct 23, 2020","36.57","36.43","36.59","36.23","224.75K","0.88%"
"Oct 22, 2020","36.25","36.10","36.30","35.86","256.02K","0.00%"
"Oct 21, 2020","36.25","36.41","36.62","36.22","152.64K","-0.93%"
"Oct 20, 2020","36.59","36.65","36.84","36.51","134.64K","1.53%"
"Oct 19, 2020","36.04","36.48","36.57","35.93","268.04K","-0.36%"
"Oct 16, 2020","36.17","36.03","36.31","36.03","136.64K","1.23%"
"Oct 15, 2020","35.73","35.64","35.81","35.52","181.96K","-1.27%"
"Oct 14, 2020","36.19","36.43","36.47","36.15","124.21K","0.06%"
"Oct 13, 2020","36.17","36.31","36.38","36.17","126.43K","-1.69%"
"Oct 12, 2020","36.79","36.62","36.81","36.62","64.93K","0.79%"
"Oct 11, 2020","36.50","36.50","36.50","36.50","-","0.00%"
"Oct 09, 2020","36.50","36.43","36.58","36.38","157.65K","0.52%"
"Oct 08, 2020","36.31","36.15","36.32","36.09","170.54K","0.72%"
"Oct 07, 2020","36.05","35.97","36.15","35.95","156.22K","1.43%"
"Oct 06, 2020","35.54","36.17","36.17","35.49","138.27K","-1.61%"
"Oct 05, 2020","36.12","35.98","36.18","35.88","197.84K","2.18%"
"Oct 04, 2020","35.35","35.35","35.35","35.35","-","0.00%"
"Oct 03, 2020","35.35","35.35","35.35","35.35","-","0.00%"
"Oct 02, 2020","35.35","35.05","35.50","35.04","194.65K","-1.06%"
"Oct 01, 2020","35.73","35.66","35.74","35.40","469.97K","1.19%"
"Sep 30, 2020","35.31","35.32","35.57","35.25","66.36K","-0.68%"
"Sep 29, 2020","35.55","35.60","35.65","35.36","588.05K","0.74%"
"Sep 28, 2020","35.29","35.07","35.31","35.07","102.25K","3.22%"
"Sep 27, 2020","34.19","34.19","34.19","34.19","-","0.00%"
"Sep 26, 2020","34.19","34.19","34.19","34.19","-","0.00%"
"Sep 25, 2020","34.19","33.77","34.28","33.60","143.91K","0.74%"
"Sep 24, 2020","33.94","33.93","34.14","33.69","99.43K","-0.96%"
"Sep 23, 2020","34.27","34.98","34.98","34.24","164.21K","-1.81%"
"Sep 22, 2020","34.90","35.00","35.01","34.52","1.54M","-0.31%"
"Sep 21, 2020","35.01","35.25","35.25","34.64","1.18M","-3.58%"
"Sep 18, 2020","36.31","36.29","36.40","36.10","278.52K","0.22%"
"Sep 17, 2020","36.23","35.93","36.27","35.93","59.27K","0.47%"
"Sep 16, 2020","36.06","36.20","36.37","36.02","176.39K","0.50%"
"Sep 15, 2020","35.88","36.07","36.07","35.78","102.35K","0.79%"
"Sep 14, 2020","35.60","35.77","35.83","35.53","126.88K","0.25%"
"Sep 13, 2020","35.51","35.51","35.51","35.51","-","0.00%"
"Sep 11, 2020","35.51","35.62","35.76","35.29","165.88K","0.48%"
"Sep 10, 2020","35.34","35.96","36.07","35.34","165.20K","-1.78%"
"Sep 09, 2020","35.98","35.86","36.13","35.86","96.15K","2.98%"
"Sep 08, 2020","34.94","34.92","35.30","34.88","175.94K","-1.74%"
"Sep 04, 2020","35.56","35.39","35.63","34.74","177.20K","1.77%"
"Sep 03, 2020","34.94","35.89","35.89","34.82","249.67K","-3.03%"
"Sep 02, 2020","36.03","35.61","36.05","35.61","75.69K","1.32%"
"Sep 01, 2020","35.56","35.45","35.75","35.41","360.14K","-0.36%"
"Aug 31, 2020","35.69","35.88","36.11","35.68","260.62K","-0.86%"
"Aug 30, 2020","36.00","36.00","36.00","36.00","-","0.00%"
"Aug 28, 2020","36.00","35.96","36.05","35.75","109.49K","0.64%"
"Aug 27, 2020","35.77","36.12","36.12","35.68","182.85K","-0.86%"
"Aug 26, 2020","36.08","35.78","36.14","35.74","170.62K","0.98%"
"Aug 25, 2020","35.73","35.88","35.88","35.42","154.90K","0.31%"
"Aug 24, 2020","35.62","35.53","35.62","35.46","115.01K","2.03%"
"Aug 23, 2020","34.91","34.91","34.91","34.91","-","0.00%"
"Aug 22, 2020","34.91","34.91","34.91","34.91","-","0.00%"
"Aug 21, 2020","34.91","34.69","34.92","34.69","69.93K","-0.91%"
"Aug 20, 2020","35.23","34.95","35.25","34.91","186.68K","-0.98%"
"Aug 19, 2020","35.58","35.91","35.91","35.49","124.03K","-0.14%"
"Aug 18, 2020","35.63","35.75","35.76","35.52","1.18M","0.08%"
"Aug 17, 2020","35.60","35.52","35.61","35.51","163.88K","1.57%"
"Aug 14, 2020","35.05","35.18","35.27","34.96","97.74K","-2.09%"
"Aug 13, 2020","35.80","35.88","36.05","35.67","157.83K","0.00%"
"Aug 12, 2020","35.80","35.52","35.97","35.52","404.86K","1.47%"
"Aug 11, 2020","35.28","35.67","35.72","35.23","164.66K","0.63%"
"Aug 10, 2020","35.06","35.02","35.06","34.85","148.87K","0.57%"
"Aug 09, 2020","34.86","34.86","34.86","34.86","-","0.00%"
"Aug 08, 2020","34.86","34.86","34.86","34.86","-","0.00%"
"Aug 07, 2020","34.86","34.83","34.92","34.71","114.57K","-0.60%"
"Aug 06, 2020","35.07","34.95","35.13","34.79","140.06K","0.03%"
"Aug 05, 2020","35.06","35.08","35.24","35.01","133.32K","0.83%"
"Aug 04, 2020","34.77","34.36","34.77","34.35","450.46K","-0.09%"
"Aug 03, 2020","34.80","34.44","34.83","34.42","492.12K","2.78%"
"Aug 02, 2020","33.86","33.86","33.86","33.86","-","0.00%"
"Jul 31, 2020","33.86","34.65","34.65","33.54","404.81K","-2.53%"
"Jul 30, 2020","34.74","34.25","34.76","33.96","170.64K","-1.25%"
"Jul 29, 2020","35.18","34.86","35.29","34.79","177.65K","1.76%"
"Jul 28, 2020","34.57","34.83","34.92","34.57","58.16K","-1.45%"
"Jul 27, 2020","35.08","34.85","35.19","34.85","58.58K","2.10%"
"Jul 26, 2020","34.36","34.36","34.36","34.36","-","0.00%"
"Jul 25, 2020","34.36","34.36","34.36","34.36","-","0.00%"
"Jul 24, 2020","34.36","34.28","34.47","34.28","82.62K","-0.92%"
"Jul 23, 2020","34.68","34.93","35.09","34.60","228.22K","-1.22%"
"Jul 22, 2020","35.11","34.91","35.15","34.91","96.10K","1.33%"
"Jul 21, 2020","34.65","34.66","34.84","34.58","126.96K","0.00%"
"Jul 20, 2020","34.65","34.34","34.67","34.27","544.24K","1.35%"
"Jul 17, 2020","34.19","33.92","34.23","33.84","101.60K","1.60%"
"Jul 16, 2020","33.65","33.68","33.85","33.55","152.23K","-0.36%"
"Jul 15, 2020","33.77","33.85","33.98","33.67","186.22K","1.11%"
"Jul 14, 2020","33.40","33.21","33.46","33.07","149.92K","2.45%"
"Jul 13, 2020","32.60","33.05","33.27","32.51","177.78K","0.43%"
"Jul 12, 2020","32.46","32.46","32.46","32.46","-","0.00%"
"Jul 11, 2020","32.46","32.46","32.46","32.46","-","0.00%"
"Jul 10, 2020","32.46","32.22","32.50","32.19","594.48K","1.15%"
"Jul 09, 2020","32.09","32.40","32.55","31.93","80.29K","-1.87%"
"Jul 08, 2020","32.70","32.51","32.70","32.40","132.55K","2.06%"
"Jul 07, 2020","32.04","32.33","32.46","32.00","89.23K","-1.54%"
"Jul 06, 2020","32.54","32.30","32.55","32.26","143.35K","3.14%"
"Jul 05, 2020","31.55","31.55","31.55","31.55","-","0.00%"
"Jul 04, 2020","31.55","31.55","31.55","31.55","-","0.00%"
"Jul 02, 2020","31.55","31.82","31.82","31.47","43.05K","0.41%"
"Jul 01, 2020","31.42","31.33","31.43","31.30","103.26K","1.13%"
"Jun 30, 2020","31.07","30.84","31.19","30.70","290.05K","-0.32%"
"Jun 29, 2020","31.17","30.95","31.26","30.95","139.00K","1.07%"
"Jun 26, 2020","30.84","31.17","31.20","30.70","122.22K","-1.12%"
"Jun 25, 2020","31.19","30.46","31.22","30.46","226.72K","2.63%"
"Jun 24, 2020","30.39","31.06","31.06","30.39","115.24K","-2.94%"
"Jun 23, 2020","31.31","31.55","31.60","31.28","180.79K","1.39%"
"Jun 22, 2020","30.88","30.74","30.97","30.64","163.70K","1.28%"
"Jun 19, 2020","30.49","31.14","31.15","30.43","112.76K","-0.65%"
"Jun 18, 2020","30.69","30.62","30.87","30.62","130.28K","-1.25%"
"Jun 17, 2020","31.08","31.20","31.27","30.99","163.08K","0.81%"
"Jun 16, 2020","30.83","31.06","31.11","30.50","203.88K","1.51%"
"Jun 15, 2020","30.37","29.44","30.48","29.44","135.20K","0.50%"
"Jun 12, 2020","30.22","30.57","30.72","29.75","170.48K","2.41%"
"Jun 11, 2020","29.51","30.70","30.76","29.49","381.54K","-7.67%"
"Jun 10, 2020","31.96","31.92","32.39","31.90","124.40K","-0.62%"
"Jun 09, 2020","32.16","32.02","32.33","31.94","154.56K","-1.83%"
"Jun 08, 2020","32.76","32.51","32.79","32.44","98.23K","0.61%"
"Jun 07, 2020","32.56","32.56","32.56","32.56","-","0.00%"
"Jun 05, 2020","32.56","32.71","32.90","32.43","286.08K","1.09%"
"Jun 04, 2020","32.21","31.98","32.37","31.98","181.43K","0.16%"
"Jun 03, 2020","32.16","31.64","32.22","31.64","208.70K","3.08%"
"Jun 02, 2020","31.20","30.93","31.24","30.93","157.18K","1.20%"
"Jun 01, 2020","30.83","30.37","30.85","30.32","162.59K","2.12%"
"May 29, 2020","30.19","30.16","30.28","29.85","172.78K","0.33%"
"May 28, 2020","30.09","29.95","30.45","29.95","122.05K","2.00%"
"May 27, 2020","29.50","29.43","29.54","29.17","117.06K","2.32%"
