"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","30.73","30.60","30.79","30.60","2.11M","0.49%"
"Nov 25, 2020","30.58","30.42","30.60","30.38","3.20M","0.20%"
"Nov 24, 2020","30.52","30.31","30.52","30.27","4.63M","1.29%"
"Nov 23, 2020","30.13","30.28","30.30","29.96","5.14M","0.13%"
"Nov 20, 2020","30.09","30.06","30.15","30.01","3.46M","-0.17%"
"Nov 19, 2020","30.14","29.95","30.16","29.89","3.10M","0.53%"
"Nov 18, 2020","29.98","30.12","30.25","29.98","3.16M","-0.30%"
"Nov 17, 2020","30.07","29.99","30.13","29.89","5.03M","0.00%"
"Nov 16, 2020","30.07","30.14","30.14","29.86","6.32M","0.47%"
"Nov 13, 2020","29.93","29.76","29.95","29.75","5.86M","1.53%"
"Nov 12, 2020","29.48","29.62","29.72","29.35","5.65M","-1.54%"
"Nov 11, 2020","29.94","29.78","29.94","29.74","7.80M","0.71%"
"Nov 10, 2020","29.73","29.82","29.93","29.64","12.08M","0.99%"
"Nov 09, 2020","29.44","30.15","30.15","29.41","11.16M","2.79%"
"Nov 06, 2020","28.64","28.72","28.78","28.57","5.41M","0.10%"
"Nov 05, 2020","28.61","28.63","28.72","28.43","8.93M","2.62%"
"Nov 04, 2020","27.88","27.67","28.13","27.53","8.46M","1.34%"
"Nov 03, 2020","27.51","27.22","27.66","27.20","6.29M","3.27%"
"Nov 02, 2020","26.64","26.63","26.74","26.39","6.99M","1.37%"
"Oct 30, 2020","26.28","26.37","26.42","26.06","9.04M","-0.76%"
"Oct 29, 2020","26.48","26.37","26.64","26.18","12.24M","0.38%"
"Oct 28, 2020","26.38","26.58","26.67","26.28","11.81M","-4.70%"
"Oct 27, 2020","27.68","27.99","28.06","27.64","8.93M","-1.42%"
"Oct 26, 2020","28.08","28.35","28.38","27.82","5.98M","-4.49%"
"Oct 23, 2020","29.40","29.40","29.40","29.15","3.68M","0.93%"
"Oct 22, 2020","29.13","29.02","29.18","28.87","3.87M","0.00%"
"Oct 21, 2020","29.13","29.29","29.43","29.10","6.37M","-1.22%"
"Oct 20, 2020","29.49","29.61","29.73","29.46","5.65M","0.31%"
"Oct 19, 2020","29.40","29.73","29.80","29.34","4.84M","-0.71%"
"Oct 16, 2020","29.61","29.59","29.78","29.56","5.18M","1.16%"
"Oct 15, 2020","29.27","29.05","29.32","29.03","4.76M","-2.04%"
"Oct 14, 2020","29.88","30.02","30.10","29.83","2.75M","-0.03%"
"Oct 13, 2020","29.89","29.94","29.97","29.79","2.90M","-1.71%"
"Oct 12, 2020","30.41","30.26","30.45","30.25","1.71M","0.70%"
"Oct 11, 2020","30.20","30.20","30.20","30.20","-","0.00%"
"Oct 09, 2020","30.20","30.18","30.23","30.06","4.37M","0.53%"
"Oct 08, 2020","30.04","29.93","30.05","29.92","9.92M","1.04%"
"Oct 07, 2020","29.73","29.58","29.80","29.57","3.67M","0.92%"
"Oct 06, 2020","29.46","29.91","29.91","29.37","5.47M","-1.07%"
"Oct 05, 2020","29.78","29.48","29.78","29.48","3.78M","2.09%"
"Oct 04, 2020","29.17","29.17","29.17","29.17","-","0.00%"
"Oct 03, 2020","29.17","29.17","29.17","29.17","-","0.00%"
"Oct 02, 2020","29.17","28.83","29.22","28.83","6.24M","-0.51%"
"Oct 01, 2020","29.32","29.29","29.33","29.10","8.30M","0.65%"
"Sep 30, 2020","29.13","29.26","29.45","29.04","10.37M","-0.82%"
"Sep 29, 2020","29.37","29.31","29.44","29.19","7.42M","0.34%"
"Sep 28, 2020","29.27","29.19","29.27","29.14","4.39M","2.49%"
"Sep 27, 2020","28.56","28.56","28.56","28.56","-","0.00%"
"Sep 26, 2020","28.56","28.56","28.56","28.56","-","0.00%"
"Sep 25, 2020","28.56","28.14","28.58","28.05","8.09M","-0.59%"
"Sep 24, 2020","28.73","28.65","28.93","28.46","5.90M","0.67%"
"Sep 23, 2020","28.54","29.06","29.08","28.49","8.22M","-1.48%"
"Sep 22, 2020","28.97","29.05","29.09","28.68","7.33M","-0.14%"
"Sep 21, 2020","29.01","29.11","29.12","28.62","8.49M","-4.16%"
"Sep 18, 2020","30.27","30.40","30.42","30.13","5.73M","-0.62%"
"Sep 17, 2020","30.46","30.15","30.48","30.14","4.95M","0.59%"
"Sep 16, 2020","30.28","30.46","30.53","30.23","2.58M","-0.39%"
"Sep 15, 2020","30.40","30.53","30.54","30.31","3.17M","0.16%"
"Sep 14, 2020","30.35","30.48","30.50","30.29","4.84M","0.13%"
"Sep 13, 2020","30.31","30.31","30.31","30.31","-","0.00%"
"Sep 11, 2020","30.31","30.33","30.45","30.12","6.63M","0.66%"
"Sep 10, 2020","30.11","30.66","30.75","30.08","7.85M","-1.02%"
"Sep 09, 2020","30.42","30.26","30.55","30.21","6.92M","2.91%"
"Sep 08, 2020","29.56","29.48","29.86","29.44","10.55M","-0.97%"
"Sep 04, 2020","29.85","29.96","30.05","29.20","9.92M","-0.20%"
"Sep 03, 2020","29.91","30.65","30.66","29.78","7.69M","-2.64%"
"Sep 02, 2020","30.72","30.41","30.73","30.29","13.44M","1.99%"
"Sep 01, 2020","30.12","30.15","30.29","30.02","6.45M","0.07%"
