"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","43.07","42.87","43.13","42.86","619.10K","0.44%"
"Nov 25, 2020","42.88","42.79","42.93","42.73","802.69K","0.09%"
"Nov 24, 2020","42.84","42.53","42.84","42.52","1.03M","0.68%"
"Nov 23, 2020","42.55","42.81","42.82","42.42","544.88K","-0.72%"
"Nov 20, 2020","42.86","42.70","42.91","42.65","744.01K","-0.19%"
"Nov 19, 2020","42.94","42.74","42.96","42.62","835.76K","0.42%"
"Nov 18, 2020","42.76","43.08","43.14","42.74","732.72K","-0.77%"
"Nov 17, 2020","43.09","43.18","43.21","43.00","777.58K","0.05%"
"Nov 16, 2020","43.07","42.96","43.10","42.91","715.23K","0.58%"
"Nov 13, 2020","42.82","42.63","42.83","42.59","872.00K","1.21%"
"Nov 12, 2020","42.31","42.65","42.72","42.28","1.30M","-0.59%"
"Nov 11, 2020","42.56","42.63","42.68","42.40","1.98M","1.31%"
"Nov 10, 2020","42.01","42.15","42.24","41.92","4.49M","-0.24%"
"Nov 09, 2020","42.11","42.82","42.82","42.10","2.45M","-0.96%"
"Nov 06, 2020","42.52","42.55","42.71","42.45","928.45K","0.73%"
"Nov 05, 2020","42.21","42.20","42.34","42.05","1.54M","1.34%"
"Nov 04, 2020","41.65","41.26","42.08","41.19","1.53M","2.13%"
"Nov 03, 2020","40.78","40.45","40.95","40.38","1.45M","2.95%"
"Nov 02, 2020","39.61","39.50","39.63","39.35","1.31M","1.75%"
"Oct 30, 2020","38.93","38.90","38.97","38.63","2.04M","-0.33%"
"Oct 29, 2020","39.06","39.01","39.26","38.79","1.09M","-0.20%"
"Oct 28, 2020","39.14","39.37","39.50","39.06","1.74M","-3.41%"
"Oct 27, 2020","40.52","40.79","40.83","40.44","898.97K","-1.05%"
"Oct 26, 2020","40.95","41.02","41.06","40.70","1.75M","-1.18%"
"Oct 23, 2020","41.44","41.40","41.45","41.16","730.60K","0.61%"
"Oct 22, 2020","41.19","41.09","41.28","40.90","1.56M","0.15%"
"Oct 21, 2020","41.13","41.49","41.60","41.10","860.59K","-1.30%"
"Oct 20, 2020","41.67","41.79","41.91","41.63","575.52K","0.87%"
"Oct 19, 2020","41.31","41.75","41.78","41.24","773.35K","-0.27%"
"Oct 16, 2020","41.42","41.38","41.71","41.37","1.60M","0.58%"
"Oct 15, 2020","41.18","40.95","41.19","40.92","452.04K","-1.37%"
"Oct 14, 2020","41.75","42.01","42.05","41.73","664.19K","-0.69%"
"Oct 13, 2020","42.04","42.24","42.24","42.01","729.11K","-1.22%"
