"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","27.27","27.13","27.31","27.13","404.82K","0.52%"
"Nov 25, 2020","27.13","26.99","27.18","26.92","954.64K","-0.07%"
"Nov 24, 2020","27.15","26.74","27.17","26.71","993.02K","2.53%"
"Nov 23, 2020","26.48","26.53","26.57","26.29","3.39M","0.46%"
"Nov 20, 2020","26.36","26.38","26.44","26.33","560.34K","-0.34%"
"Nov 19, 2020","26.45","26.25","26.48","26.16","536.18K","1.26%"
"Nov 18, 2020","26.12","26.33","26.47","26.12","573.23K","-0.72%"
"Nov 17, 2020","26.31","26.08","26.41","26.05","716.15K","-0.15%"
"Nov 16, 2020","26.35","26.46","26.50","26.20","631.40K","1.62%"
"Nov 13, 2020","25.93","25.61","25.94","25.61","1.43M","2.65%"
"Nov 12, 2020","25.26","25.49","25.55","25.19","1.54M","-1.48%"
"Nov 11, 2020","25.64","25.53","25.67","25.47","3.89M","0.47%"
"Nov 10, 2020","25.52","25.22","25.62","25.09","5.60M","4.46%"
"Nov 09, 2020","24.43","24.73","24.76","24.40","2.89M","7.29%"
"Nov 06, 2020","22.77","22.89","22.89","22.72","871.36K","0.00%"
"Nov 05, 2020","22.77","22.79","22.93","22.66","1.27M","3.41%"
"Nov 04, 2020","22.02","21.92","22.24","21.78","1.16M","-0.59%"
"Nov 03, 2020","22.15","21.92","22.22","21.92","717.15K","3.22%"
"Nov 02, 2020","21.46","21.36","21.49","21.27","754.06K","2.14%"
"Oct 30, 2020","21.01","21.00","21.02","20.80","1.15M","0.24%"
"Oct 29, 2020","20.96","20.85","21.06","20.68","2.02M","-0.62%"
"Oct 28, 2020","21.09","21.29","21.39","21.02","1.13M","-3.57%"
"Oct 27, 2020","21.87","22.20","22.25","21.83","895.62K","-2.41%"
"Oct 26, 2020","22.41","22.56","22.56","22.25","841.78K","-1.54%"
"Oct 23, 2020","22.76","22.77","22.77","22.60","463.17K","1.52%"
"Oct 22, 2020","22.42","22.31","22.49","22.25","1.08M","-0.22%"
"Oct 21, 2020","22.47","22.52","22.65","22.45","562.76K","-1.36%"
"Oct 20, 2020","22.78","22.81","22.97","22.75","836.83K","2.24%"
"Oct 19, 2020","22.28","22.42","22.56","22.23","545.67K","-0.22%"
"Oct 16, 2020","22.33","22.29","22.43","22.21","587.30K","0.27%"
"Oct 15, 2020","22.27","22.12","22.29","22.12","549.32K","-1.15%"
"Oct 14, 2020","22.53","22.68","22.74","22.51","497.80K","0.58%"
"Oct 13, 2020","22.40","22.65","22.65","22.37","630.98K","-1.97%"
"Oct 12, 2020","22.85","22.80","22.87","22.76","286.22K","-0.04%"
"Oct 11, 2020","22.86","22.86","22.86","22.86","-","0.00%"
"Oct 09, 2020","22.86","22.92","22.92","22.76","440.28K","-0.22%"
"Oct 08, 2020","22.91","22.82","22.92","22.77","526.95K","1.28%"
"Oct 07, 2020","22.62","22.66","22.73","22.56","454.30K","1.07%"
"Oct 06, 2020","22.38","22.85","22.85","22.36","881.15K","-0.31%"
"Oct 05, 2020","22.45","22.23","22.46","22.23","617.58K","2.00%"
"Oct 04, 2020","22.01","22.01","22.01","22.01","-","0.00%"
"Oct 03, 2020","22.01","22.01","22.01","22.01","-","0.00%"
"Oct 02, 2020","22.01","21.73","22.07","21.73","334.88K","0.46%"
"Oct 01, 2020","21.91","21.92","21.96","21.79","613.87K","0.69%"
"Sep 30, 2020","21.76","21.93","22.02","21.72","891.63K","-0.46%"
"Sep 29, 2020","21.86","21.99","22.05","21.75","543.26K","-0.50%"
"Sep 28, 2020","21.97","21.89","22.00","21.84","567.39K","2.23%"
"Sep 27, 2020","21.49","21.49","21.49","21.49","-","0.00%"
"Sep 26, 2020","21.49","21.49","21.49","21.49","-","0.00%"
"Sep 25, 2020","21.49","21.26","21.54","21.23","1.77M","-0.23%"
"Sep 24, 2020","21.54","21.45","21.70","21.35","712.16K","0.89%"
"Sep 23, 2020","21.35","21.82","21.86","21.33","455.16K","-1.43%"
"Sep 22, 2020","21.66","21.83","21.86","21.49","2.29M","-1.68%"
"Sep 21, 2020","22.03","21.93","22.05","21.74","906.61K","-2.91%"
"Sep 18, 2020","22.69","22.83","22.84","22.57","509.59K","-2.11%"
"Sep 17, 2020","23.18","23.00","23.19","23.00","748.21K","0.61%"
"Sep 16, 2020","23.04","23.09","23.27","23.00","432.10K","-0.35%"
"Sep 15, 2020","23.12","23.20","23.21","23.05","248.13K","1.14%"
"Sep 14, 2020","22.86","22.96","22.98","22.82","797.65K","0.26%"
"Sep 13, 2020","22.80","22.80","22.80","22.80","-","0.00%"
"Sep 11, 2020","22.80","22.88","22.91","22.68","691.26K","0.22%"
"Sep 10, 2020","22.75","23.20","23.30","22.74","487.71K","-1.17%"
"Sep 09, 2020","23.02","22.96","23.14","22.93","1.06M","1.68%"
"Sep 08, 2020","22.64","22.62","22.83","22.58","927.74K","-2.16%"
"Sep 04, 2020","23.14","23.20","23.25","22.75","758.58K","0.96%"
"Sep 03, 2020","22.92","23.35","23.47","22.84","663.06K","-0.91%"
"Sep 02, 2020","23.13","22.99","23.15","22.84","4.96M","0.39%"
"Sep 01, 2020","23.04","23.08","23.23","22.96","695.82K","-0.48%"
"Aug 31, 2020","23.15","23.36","23.37","23.09","1.20M","-1.91%"
"Aug 30, 2020","23.60","23.60","23.60","23.60","-","0.00%"
"Aug 28, 2020","23.60","23.52","23.64","23.40","551.42K","1.81%"
"Aug 27, 2020","23.18","23.46","23.46","23.06","549.03K","-0.94%"
"Aug 26, 2020","23.40","23.39","23.46","23.36","177.32K","-0.17%"
