"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","41.40","41.81","41.87","41.10","1.72M","-0.38%"
"Nov 25, 2020","41.56","41.97","42.01","41.26","2.11M","-0.69%"
"Nov 24, 2020","41.85","41.52","42.01","41.38","2.91M","1.92%"
"Nov 23, 2020","41.06","41.34","41.35","40.79","1.93M","0.29%"
"Nov 20, 2020","40.94","40.80","41.16","40.62","2.42M","0.54%"
"Nov 19, 2020","40.72","40.68","41.05","40.35","2.57M","-0.29%"
"Nov 18, 2020","40.84","40.92","41.43","40.54","6.03M","0.27%"
"Nov 17, 2020","40.73","39.95","40.75","39.88","3.71M","0.54%"
"Nov 16, 2020","40.51","39.78","40.73","39.70","4.78M","3.42%"
"Nov 13, 2020","39.17","38.70","39.21","38.47","3.64M","2.57%"
"Nov 12, 2020","38.19","38.96","39.10","38.11","2.44M","-2.28%"
"Nov 11, 2020","39.08","38.90","39.13","38.58","2.59M","0.49%"
"Nov 10, 2020","38.89","38.04","38.97","38.04","3.23M","1.83%"
"Nov 09, 2020","38.19","38.92","39.32","38.05","5.44M","3.89%"
"Nov 06, 2020","36.76","36.43","36.99","36.38","3.34M","0.82%"
"Nov 05, 2020","36.46","36.14","36.51","35.56","3.58M","4.35%"
"Nov 04, 2020","34.94","34.94","35.45","34.49","3.87M","0.98%"
"Nov 03, 2020","34.60","34.65","35.39","34.43","2.92M","1.50%"
"Nov 02, 2020","34.09","34.31","34.31","33.44","3.01M","-0.20%"
"Oct 30, 2020","34.16","33.76","34.22","33.72","2.47M","1.30%"
"Oct 29, 2020","33.72","34.24","34.24","33.43","3.42M","-1.69%"
"Oct 28, 2020","34.30","34.51","34.62","33.95","3.32M","-3.22%"
"Oct 27, 2020","35.44","35.92","35.92","35.39","1.59M","-0.98%"
"Oct 26, 2020","35.79","36.19","36.25","35.67","2.32M","-1.89%"
"Oct 23, 2020","36.48","36.61","36.72","36.33","2.31M","0.75%"
"Oct 22, 2020","36.21","36.12","36.28","35.81","2.11M","0.61%"
"Oct 21, 2020","35.99","35.70","36.25","35.70","2.20M","0.95%"
"Oct 20, 2020","35.65","34.93","35.80","34.86","3.04M","2.41%"
"Oct 19, 2020","34.81","35.36","35.47","34.76","2.14M","-1.28%"
"Oct 16, 2020","35.26","35.43","35.57","35.01","1.98M","0.26%"
"Oct 15, 2020","35.17","34.60","35.24","34.60","1.82M","0.23%"
"Oct 14, 2020","35.09","35.29","35.47","35.00","2.06M","0.00%"
"Oct 13, 2020","35.09","35.38","35.47","34.97","2.37M","-1.32%"
"Oct 12, 2020","35.56","35.82","35.94","35.55","2.66M","-0.73%"
"Oct 11, 2020","35.82","35.82","35.82","35.82","-","0.00%"
"Oct 09, 2020","35.82","35.62","36.03","35.37","4.23M","1.33%"
"Oct 08, 2020","35.35","34.52","35.37","34.33","4.81M","3.06%"
"Oct 07, 2020","34.30","34.23","34.39","34.15","2.32M","2.14%"
"Oct 06, 2020","33.58","34.16","34.27","33.40","3.11M","-1.18%"
"Oct 05, 2020","33.98","33.78","34.26","33.71","2.39M","2.16%"
"Oct 04, 2020","33.26","33.26","33.26","33.26","-","0.00%"
"Oct 03, 2020","33.26","33.26","33.26","33.26","-","0.00%"
"Oct 02, 2020","33.26","32.64","33.52","32.57","2.40M","0.48%"
"Oct 01, 2020","33.10","33.66","33.66","32.97","3.10M","-0.78%"
"Sep 30, 2020","33.36","32.88","33.71","32.79","2.98M","2.36%"
"Sep 29, 2020","32.59","32.85","32.91","32.42","1.90M","-0.18%"
