"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","34.03","33.77","34.29","33.75","11.37M","0.50%"
"Nov 25, 2020","33.86","33.47","34.05","33.45","20.51M","1.26%"
"Nov 24, 2020","33.44","32.96","33.51","32.86","20.48M","3.37%"
"Nov 23, 2020","32.35","32.55","32.58","32.05","21.25M","0.56%"
"Nov 20, 2020","32.17","32.51","32.63","32.07","33.86M","-2.25%"
"Nov 19, 2020","32.91","32.53","32.98","32.41","20.12M","1.67%"
"Nov 18, 2020","32.37","32.88","33.14","32.31","34.95M","-1.88%"
"Nov 17, 2020","32.99","32.10","33.14","32.07","40.06M","2.77%"
"Nov 16, 2020","32.10","31.90","32.10","31.57","25.74M","2.49%"
"Nov 13, 2020","31.32","30.75","31.39","30.65","21.18M","1.89%"
"Nov 12, 2020","30.74","31.54","31.55","30.48","21.66M","-3.24%"
"Nov 11, 2020","31.77","31.81","32.02","31.56","25.12M","0.09%"
"Nov 10, 2020","31.74","31.73","32.34","31.68","29.91M","1.02%"
"Nov 09, 2020","31.42","32.36","32.50","31.23","40.64M","2.15%"
"Nov 06, 2020","30.76","29.91","30.85","29.71","29.22M","2.95%"
"Nov 05, 2020","29.88","29.41","29.97","29.22","36.42M","5.25%"
"Nov 04, 2020","28.39","27.90","28.64","27.72","24.35M","3.16%"
"Nov 03, 2020","27.52","27.83","27.88","27.17","17.71M","1.29%"
"Nov 02, 2020","27.17","27.21","27.37","26.92","16.80M","1.15%"
"Oct 30, 2020","26.86","27.18","27.31","26.66","26.11M","-2.40%"
"Oct 29, 2020","27.52","26.80","27.63","26.56","27.44M","1.29%"
"Oct 28, 2020","27.17","27.90","27.99","27.14","27.26M","-5.40%"
"Oct 27, 2020","28.72","29.45","29.46","28.70","19.48M","-2.84%"
"Oct 26, 2020","29.56","29.58","29.75","29.05","15.28M","0.24%"
"Oct 23, 2020","29.49","29.87","29.94","29.46","21.12M","-1.17%"
"Oct 22, 2020","29.84","29.48","30.00","29.41","17.41M","1.77%"
"Oct 21, 2020","29.32","29.30","29.91","29.23","25.78M","-0.20%"
"Oct 20, 2020","29.38","29.25","29.77","29.21","24.95M","1.73%"
"Oct 19, 2020","28.88","28.89","29.40","28.80","19.92M","0.77%"
"Oct 16, 2020","28.66","28.86","28.95","28.57","21.33M","-0.90%"
"Oct 15, 2020","28.92","28.58","29.19","28.57","16.10M","-0.75%"
"Oct 14, 2020","29.14","29.30","29.46","29.03","18.07M","0.31%"
"Oct 13, 2020","29.05","28.81","29.29","28.45","19.42M","-0.92%"
"Oct 12, 2020","29.32","29.18","29.38","28.99","9.80M","1.24%"
"Oct 11, 2020","28.96","28.96","28.96","28.96","-","0.00%"
"Oct 09, 2020","28.96","28.87","29.35","28.73","24.04M","0.84%"
"Oct 08, 2020","28.72","27.94","28.81","27.85","20.82M","2.90%"
"Oct 07, 2020","27.91","28.20","28.34","27.65","28.02M","-0.21%"
"Oct 06, 2020","27.97","28.71","29.09","27.81","38.11M","-1.44%"
"Oct 05, 2020","28.38","27.47","28.45","27.35","22.33M","4.49%"
