"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","29.94","29.91","29.97","29.86","203.03K","0.30%"
"Nov 25, 2020","29.85","29.92","29.98","29.77","298.40K","-0.43%"
"Nov 24, 2020","29.98","29.71","30.05","29.71","193.50K","1.49%"
"Nov 23, 2020","29.54","29.40","29.58","29.34","194.38K","0.82%"
"Nov 20, 2020","29.30","29.29","29.39","29.27","160.59K","-0.14%"
"Nov 19, 2020","29.34","29.28","29.35","29.11","665.66K","-0.03%"
"Nov 18, 2020","29.35","29.72","29.75","29.35","147.19K","-1.28%"
"Nov 17, 2020","29.73","29.43","29.78","29.43","261.00K","0.10%"
"Nov 16, 2020","29.70","29.71","29.80","29.61","165.23K","0.81%"
"Nov 13, 2020","29.46","29.09","29.52","29.09","136.03K","1.83%"
"Nov 12, 2020","28.93","28.96","29.06","28.70","140.86K","-0.62%"
"Nov 11, 2020","29.11","29.12","29.15","28.86","150.19K","0.48%"
"Nov 10, 2020","28.97","28.73","29.08","28.68","141.02K","1.05%"
"Nov 09, 2020","28.67","28.98","29.27","28.67","196.95K","1.92%"
"Nov 06, 2020","28.13","28.10","28.24","28.04","585.93K","0.61%"
"Nov 05, 2020","27.96","27.76","28.14","27.68","279.71K","2.38%"
"Nov 04, 2020","27.31","27.59","27.64","27.19","355.50K","-0.44%"
"Nov 03, 2020","27.43","27.29","27.65","27.29","278.53K","1.82%"
"Nov 02, 2020","26.94","26.91","27.06","26.68","162.14K","1.20%"
"Oct 30, 2020","26.62","26.44","26.64","26.36","313.71K","0.30%"
"Oct 29, 2020","26.54","26.28","26.73","26.22","624.10K","0.64%"
"Oct 28, 2020","26.37","26.72","26.86","26.34","170.01K","-2.44%"
"Oct 27, 2020","27.03","27.25","27.25","27.03","127.69K","-0.59%"
"Oct 26, 2020","27.19","27.29","27.34","26.90","146.40K","-1.49%"
"Oct 23, 2020","27.60","27.62","27.92","27.47","170.20K","0.04%"
"Oct 22, 2020","27.59","27.40","27.65","27.34","216.60K","1.55%"
"Oct 21, 2020","27.17","27.33","27.43","27.17","175.14K","-0.59%"
"Oct 20, 2020","27.33","27.50","27.56","27.28","211.69K","-0.07%"
"Oct 19, 2020","27.35","27.84","27.84","27.30","131.26K","-1.41%"
"Oct 17, 2020","27.74","27.74","27.74","27.74","-","0.00%"
"Oct 16, 2020","27.74","27.67","27.89","27.67","112.36K","-0.29%"
"Oct 15, 2020","27.82","27.61","27.82","27.48","251.29K","0.18%"
"Oct 14, 2020","27.77","28.13","28.13","27.74","214.00K","-0.89%"
"Oct 13, 2020","28.02","28.15","28.24","27.99","541.22K","-0.92%"
"Oct 12, 2020","28.28","28.18","28.28","28.07","197.70K","0.53%"
"Oct 11, 2020","28.13","28.13","28.13","28.13","-","0.00%"
"Oct 09, 2020","28.13","28.01","28.21","28.01","470.59K","0.57%"
"Oct 08, 2020","27.97","27.80","27.99","27.80","72.39K","1.19%"
"Oct 07, 2020","27.64","27.64","27.68","27.48","152.28K","1.06%"
"Oct 06, 2020","27.35","27.50","27.81","27.33","310.17K","-0.44%"
"Oct 05, 2020","27.47","27.38","27.48","27.25","208.14K","1.10%"
"Oct 04, 2020","27.17","27.17","27.17","27.17","-","0.00%"
"Oct 03, 2020","27.17","27.17","27.17","27.17","-","0.00%"
"Oct 02, 2020","27.17","26.82","27.26","26.82","549.62K","-0.26%"
"Oct 01, 2020","27.24","27.20","27.31","27.08","376.01K","0.15%"
"Sep 30, 2020","27.20","27.33","27.34","27.03","658.02K","-0.04%"
"Sep 29, 2020","27.21","27.26","27.32","27.13","330.71K","0.00%"
"Sep 28, 2020","27.21","27.05","27.33","27.05","275.43K","1.27%"
"Sep 27, 2020","26.87","26.87","26.87","26.87","-","0.00%"
"Sep 26, 2020","26.87","26.87","26.87","26.87","-","0.00%"
"Sep 25, 2020","26.87","26.67","26.90","26.50","300.70K","0.67%"
"Sep 24, 2020","26.69","26.52","26.90","26.49","260.02K","0.23%"
"Sep 23, 2020","26.63","27.39","27.39","26.63","362.89K","-3.27%"
"Sep 22, 2020","27.53","27.39","27.61","27.30","167.22K","0.47%"
"Sep 21, 2020","27.40","27.58","27.58","27.14","136.95K","-1.51%"
"Sep 18, 2020","27.82","28.03","28.07","27.64","259.74K","-0.68%"
"Sep 17, 2020","28.01","27.96","28.11","27.85","475.31K","-0.53%"
