Time,Open,High,Low,Last,Change,%Chg,Volume
"02/10/2021 22:40",44743.32,44762.21,44738.33,44752.61,9.29,+0.02%,34
"02/10/2021 22:35",44849.01,44849.01,44713.75,44743.32,-106.26,-0.24%,182
"02/10/2021 22:30",44928.16,44929.45,44836.56,44849.58,-78.48,-0.17%,201
"02/10/2021 22:25",44818.88,44957.36,44814.16,44928.06,106.77,+0.24%,200
"02/10/2021 22:20",44923.8,44970.14,44820.8,44821.29,-103,-0.23%,174
"02/10/2021 22:15",45078.45,45082.02,44922.19,44924.29,-154.16,-0.34%,196
"02/10/2021 22:10",45088.3,45154.64,45058.11,45078.45,-12.84,-0.03%,183
"02/10/2021 22:05",45450.81,45450.81,45014.65,45091.29,-359.52,-0.79%,186
"02/10/2021 22:00",45467.53,45652.77,45432.4,45450.81,-20.4,-0.04%,194
"02/10/2021 21:55",45433.06,45607.57,45401.6,45471.21,38.48,+0.08%,180
"02/10/2021 21:50",44822.76,45432.73,44817.36,45432.73,609.99,+1.36%,188
"02/10/2021 21:45",44765.88,44846.86,44764.88,44822.74,56.76,+0.13%,196
"02/10/2021 21:40",44869.43,44885.76,44765.97,44765.98,-100.58,-0.22%,180
"02/10/2021 21:35",44871.09,44899.3,44837.29,44866.56,-4.39,-0.01%,183
"02/10/2021 21:30",44898.19,44933.93,44864.35,44870.95,-24.91,-0.06%,202
"02/10/2021 21:25",44958.75,44962.13,44868.91,44895.86,-62.9,-0.14%,180
"02/10/2021 21:20",44953.06,45005.79,44953.05,44958.76,2.79,+0.01%,187
"02/10/2021 21:15",44936.01,44999.86,44914,44955.97,21.17,+0.05%,204
"02/10/2021 21:10",44918.26,45037.19,44918.26,44934.8,17.29,+0.04%,197
"02/10/2021 21:05",44764.98,44917.51,44764.98,44917.51,152.53,+0.34%,176
"02/10/2021 21:00",44790.2,44801.1,44741.36,44764.98,-26.04,-0.06%,181
"02/10/2021 20:55",44800.33,44809.13,44740.85,44791.02,-23.71,-0.05%,183
"02/10/2021 20:50",44768.33,44834.34,44755.59,44814.73,46.42,+0.10%,187
"02/10/2021 20:45",44693.22,44779.26,44693.21,44768.31,76.15,+0.17%,182
"02/10/2021 20:40",44675.18,44746.04,44668.61,44692.16,16.98,+0.04%,184
"02/10/2021 20:35",44577.68,44675.18,44577.68,44675.18,97.5,+0.22%,190
"02/10/2021 20:30",44591.72,44609.58,44574.64,44577.68,-14.73,-0.03%,187
"02/10/2021 20:25",44609.09,44620.32,44588.37,44592.41,-13.52,-0.03%,180
"02/10/2021 20:20",44612.09,44627.69,44595.05,44605.93,-6.16,-0.01%,160
"02/10/2021 20:15",44657.54,44683.71,44601.38,44612.09,-45.6,-0.10%,164
"02/10/2021 20:10",44562.17,44658.01,44523.9,44657.69,92.4,+0.21%,170
"02/10/2021 20:05",44400.72,44657.5,44400.72,44565.29,164.57,+0.37%,179
"02/10/2021 20:00",44234.89,44400.72,44226.05,44400.72,165.83,+0.37%,160
"02/10/2021 19:55",44477.49,44491.78,44234.89,44234.89,-242.6,-0.55%,176
"02/10/2021 19:50",44550.71,44550.71,44441.26,44477.49,-73.22,-0.16%,176
"02/10/2021 19:45",44469.18,44552.45,44449.09,44550.71,81.53,+0.18%,171
"02/10/2021 19:40",44448.84,44469.18,44396.43,44469.18,17.61,+0.04%,168
"02/10/2021 19:35",44478.81,44484.98,44412.69,44451.57,-27.24,-0.06%,175
"02/10/2021 19:30",44362.84,44514.27,44287.98,44478.81,115.97,+0.26%,177
"02/10/2021 19:25",44291.48,44362.84,44272.65,44362.84,71.36,+0.16%,167
"02/10/2021 19:20",44277.24,44353.8,44232.94,44291.48,14.24,+0.03%,159
"02/10/2021 19:15",44244.68,44379.14,44123.03,44277.24,-7.76,-0.02%,165
"02/10/2021 19:10",44221.2,44372.18,44061.24,44285,63.8,+0.14%,176
"02/10/2021 19:05",44281.13,44350.16,44221.2,44221.2,-65.69,-0.15%,159
"02/10/2021 19:00",44287.75,44367.04,44282.66,44286.89,-0.09,0.00%,144
"02/10/2021 18:55",44210.36,44348.33,44206.86,44286.98,79.39,+0.18%,136
