Date,Price,Open,High,Low,Vol.,Change %
30-Apr-21,91.3,90.62,91.32,90.59,-,0.75%
29-Apr-21,90.62,90.53,90.79,90.42,-,0.01%
28-Apr-21,90.61,90.9,91.13,90.55,-,-0.33%
27-Apr-21,90.91,90.88,91.07,90.81,-,0.11%
26-Apr-21,90.81,90.83,90.99,90.68,-,-0.06%
23-Apr-21,90.86,91.29,91.3,90.81,-,-0.52%
22-Apr-21,91.33,91.11,91.42,91,-,0.20%
21-Apr-21,91.15,91.21,91.43,91.09,-,-0.09%
20-Apr-21,91.24,91.05,91.28,90.86,-,0.19%
19-Apr-21,91.07,91.54,91.75,91.03,-,-0.53%
16-Apr-21,91.56,91.66,91.81,91.49,-,-0.15%
15-Apr-21,91.69,91.63,91.75,91.49,-,0.00%
14-Apr-21,91.69,91.83,91.83,91.57,-,-0.18%
13-Apr-21,91.85,92.08,92.32,91.79,-,-0.31%
12-Apr-21,92.14,92.18,92.33,92.01,-,-0.03%
9-Apr-21,92.16,92.07,92.41,92.03,-,0.11%
8-Apr-21,92.06,92.42,92.48,92,-,-0.43%
7-Apr-21,92.46,92.32,92.5,92.14,-,0.13%
6-Apr-21,92.33,92.57,92.79,92.27,-,-0.28%
5-Apr-21,92.6,93.01,93.11,92.54,-,-0.46%
2-Apr-21,93.02,92.89,93.07,92.83,-,0.10%
1-Apr-21,92.93,93.22,93.34,92.88,-,-0.32%
31-Mar-21,93.23,93.24,93.44,92.99,-,-0.07%
30-Mar-21,93.3,92.91,93.35,92.88,-,0.38%
29-Mar-21,92.94,92.72,92.96,92.72,-,0.19%
26-Mar-21,92.77,92.81,92.87,92.64,-,0.26%
25-Mar-21,92.53,92.6,92.92,92.51,-,0.00%
24-Mar-21,92.53,92.39,92.61,92.34,-,0.21%
23-Mar-21,92.34,91.8,92.39,91.76,-,0.65%
22-Mar-21,91.74,92.07,92.15,91.71,-,-0.19%
19-Mar-21,91.92,91.83,92.17,91.66,-,0.06%
18-Mar-21,91.86,91.4,91.9,91.3,-,0.46%
17-Mar-21,91.44,91.86,92,91.37,-,-0.46%
16-Mar-21,91.86,91.83,92.03,91.68,-,0.03%
15-Mar-21,91.83,91.66,91.96,91.54,-,0.17%
12-Mar-21,91.68,91.43,91.96,91.4,-,0.28%
11-Mar-21,91.42,91.79,91.88,91.36,-,-0.44%
10-Mar-21,91.82,92.05,92.24,91.77,-,-0.15%
9-Mar-21,91.96,92.46,92.5,91.91,-,-0.38%
8-Mar-21,92.31,91.99,92.42,91.84,-,0.37%
5-Mar-21,91.98,91.66,92.19,91.62,-,0.38%
4-Mar-21,91.63,91.01,91.67,90.97,-,0.75%
3-Mar-21,90.95,90.79,91.06,90.63,-,0.18%
2-Mar-21,90.79,91.03,91.39,90.72,-,-0.28%
1-Mar-21,91.04,90.93,91.14,90.69,-,0.18%
26-Feb-21,90.88,90.36,90.97,90.13,-,0.83%
25-Feb-21,90.13,90.07,90.29,89.68,-,-0.05%
24-Feb-21,90.18,90.1,90.43,89.98,-,0.01%
23-Feb-21,90.17,90.02,90.26,89.94,-,0.18%
22-Feb-21,90.01,90.34,90.57,90,-,-0.39%
19-Feb-21,90.36,90.57,90.65,90.18,-,-0.25%
18-Feb-21,90.59,90.9,90.98,90.54,-,-0.39%
17-Feb-21,90.95,90.71,91.06,90.62,-,0.49%
16-Feb-21,90.51,90.29,90.65,90.12,-,0.03%
15-Feb-21,90.48,90.45,90.48,90.27,-,0.00%
12-Feb-21,90.48,90.41,90.74,90.38,-,0.07%
11-Feb-21,90.42,90.46,90.47,90.26,-,0.05%
10-Feb-21,90.37,90.49,90.53,90.25,-,-0.08%
9-Feb-21,90.44,90.91,90.93,90.43,-,-0.54%
8-Feb-21,90.93,91,91.24,90.9,-,-0.12%
5-Feb-21,91.04,91.49,91.6,90.98,-,-0.53%
4-Feb-21,91.53,91.09,91.58,91.08,-,0.39%
3-Feb-21,91.17,91.05,91.31,90.99,-,-0.03%
2-Feb-21,91.2,91,91.29,90.8,-,0.24%
1-Feb-21,90.98,90.53,91.06,90.5,-,0.44%
29-Jan-21,90.58,90.56,90.78,90.36,-,0.14%
28-Jan-21,90.46,90.73,90.86,90.4,-,-0.21%
27-Jan-21,90.65,90.15,90.88,90.15,-,0.53%
26-Jan-21,90.17,90.39,90.61,90.12,-,-0.24%
25-Jan-21,90.39,90.23,90.52,90.08,-,0.17%
22-Jan-21,90.24,90.05,90.31,90.05,-,0.12%
21-Jan-21,90.13,90.42,90.45,90.05,-,-0.38%
20-Jan-21,90.47,90.41,90.7,90.28,-,-0.03%
19-Jan-21,90.5,90.73,90.76,90.4,-,-0.29%
18-Jan-21,90.76,90.78,90.95,90.71,-,-0.01%
15-Jan-21,90.77,90.22,90.8,90.22,-,0.59%
14-Jan-21,90.24,90.28,90.58,90.07,-,-0.13%
13-Jan-21,90.36,90,90.45,89.92,-,0.29%
12-Jan-21,90.09,90.52,90.62,90.03,-,-0.41%
11-Jan-21,90.46,90.07,90.73,90.03,-,0.41%
8-Jan-21,90.1,89.83,90.25,89.66,-,0.30%
7-Jan-21,89.83,89.32,89.97,89.32,-,0.33%
