"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2021","15.2500","14.4900","15.5500","14.0500","8.00M","2.49%"
"Jan 25, 2021","14.8800","15.7500","16.6100","14.7400","7.89M","4.42%"
"Jan 22, 2021","14.2500","14.2600","14.7500","13.8400","5.48M","4.86%"
"Jan 21, 2021","13.5900","14.0500","14.3000","13.5000","6.55M","-10.71%"
"Jan 20, 2021","15.2200","16.1000","16.1000","14.7200","6.90M","-7.54%"
"Jan 19, 2021","16.4610","17.0400","17.2800","15.8500","9.57M","17.16%"
"Jan 15, 2021","14.0500","14.8800","14.9800","13.1500","4.72M","-4.75%"
"Jan 14, 2021","14.7500","14.1500","14.9200","14.1400","6.78M","10.07%"
"Jan 13, 2021","13.4000","13.3500","13.7800","12.6300","5.14M","1.75%"
"Jan 12, 2021","13.1700","12.8600","13.6400","12.2500","6.62M","4.36%"
"Jan 11, 2021","12.6200","12.6000","13.1100","12.1450","11.67M","-8.28%"
"Jan 08, 2021","13.7600","15.4800","15.7300","13.0300","10.29M","-5.85%"
"Jan 07, 2021","14.6150","15.9200","16.3000","13.7500","13.52M","-1.18%"
"Jan 06, 2021","14.7900","14.5900","15.4700","13.7500","13.14M","7.25%"
"Jan 05, 2021","13.7900","12.0000","14.1800","11.9900","14.03M","14.92%"
"Jan 04, 2021","12.0000","15.0000","15.0000","11.9900","26.69M","-22.58%"
"Dec 31, 2020","15.5000","16.9000","16.9100","14.9000","3.03M","-9.14%"
"Dec 30, 2020","17.0600","16.1100","17.4900","16.1000","2.99M","6.89%"
"Dec 29, 2020","15.9600","16.8600","16.8600","13.0000","5.07M","-5.56%"
"Dec 28, 2020","16.9000","20.6500","21.3000","16.8900","5.32M","4.32%"
"Dec 24, 2020","16.2000","19.0300","19.0900","15.6300","5.11M","-17.58%"
"Dec 23, 2020","19.6550","24.2900","24.3000","19.2000","4.55M","-16.00%"
"Dec 22, 2020","23.4000","22.1100","24.9800","22.1100","2.55M","7.64%"
"Dec 21, 2020","21.7400","19.5000","22.9500","19.0100","2.83M","7.89%"
"Dec 18, 2020","20.1500","21.1000","22.1000","17.1100","3.78M","10.58%"
"Dec 17, 2020","18.2222","20.6722","22.7778","16.9466","5.29M","-6.49%"
"Dec 16, 2020","19.4878","17.0833","19.7666","17.0822","3.59M","20.13%"
"Dec 15, 2020","16.2222","14.9167","16.6400","14.8000","2.05M","8.80%"
"Dec 14, 2020","14.9100","14.1667","14.9767","13.8800","1.78M","15.58%"
"Dec 11, 2020","12.9000","13.3222","13.5444","12.5555","1.42M","-4.83%"
"Dec 10, 2020","13.5544","12.9389","13.5889","11.8778","2.45M","2.77%"
"Dec 09, 2020","13.1889","13.8333","14.4233","12.7800","3.22M","-4.73%"
"Dec 08, 2020","13.8444","14.5278","14.9778","13.3444","2.63M","-6.31%"
"Dec 07, 2020","14.7772","13.8555","15.3611","13.7222","3.32M","8.97%"
"Dec 04, 2020","13.5611","13.8878","13.8889","12.9767","2.89M","-3.48%"
"Dec 03, 2020","14.0500","12.7555","14.0555","12.5555","3.40M","12.64%"
"Dec 02, 2020","12.4733","12.4055","12.5555","11.4444","2.34M","2.99%"
"Dec 01, 2020","12.1111","11.5000","12.4000","11.4444","2.92M","5.83%"
"Nov 30, 2020","11.4444","11.6389","11.7778","11.0011","3.69M","21.09%"
"Nov 27, 2020","9.4511","9.4167","10.0000","9.1111","3.32M","-11.90%"
"Nov 25, 2020","10.7278","12.3055","12.3333","9.4444","6.25M","-10.60%"
