"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 16, 2020","24.08","24.16","24.16","24.03","2.71M","0.25%"
"Dec 15, 2020","24.02","23.98","24.03","23.88","4.15M","-0.17%"
"Dec 14, 2020","24.06","24.16","24.19","24.06","5.23M","-0.70%"
"Dec 11, 2020","24.23","24.32","24.33","24.19","4.64M","-0.70%"
"Dec 10, 2020","24.40","24.26","24.45","24.25","2.90M","1.16%"
"Dec 09, 2020","24.12","24.24","24.24","24.03","4.34M","-0.21%"
"Dec 08, 2020","24.17","24.14","24.18","24.04","2.58M","-0.33%"
"Dec 07, 2020","24.25","24.16","24.28","24.16","3.86M","-0.82%"
"Dec 04, 2020","24.45","24.29","24.47","24.27","3.29M","1.03%"
"Dec 03, 2020","24.20","24.27","24.32","24.16","4.45M","0.25%"
"Dec 02, 2020","24.14","24.16","24.24","24.13","4.74M","-0.12%"
"Dec 01, 2020","24.17","24.17","24.25","24.13","3.89M","1.60%"
"Nov 30, 2020","23.79","24.10","24.12","23.79","5.76M","-2.98%"
"Nov 27, 2020","24.52","24.41","24.53","24.38","3.03M","0.08%"
"Nov 25, 2020","24.50","24.43","24.54","24.43","3.52M","0.12%"
"Nov 24, 2020","24.47","24.42","24.48","24.35","3.97M","1.75%"
"Nov 23, 2020","24.05","24.13","24.15","24.02","4.52M","-1.64%"
"Nov 20, 2020","24.45","24.44","24.48","24.41","5.14M","0.53%"
"Nov 19, 2020","24.32","24.30","24.36","24.26","3.62M","0.16%"
"Nov 18, 2020","24.28","24.44","24.47","24.27","4.88M","-0.16%"
"Nov 17, 2020","24.32","24.22","24.41","24.20","7.16M","0.58%"
"Nov 16, 2020","24.18","24.10","24.24","24.08","8.21M","1.43%"
"Nov 13, 2020","23.84","23.70","23.88","23.64","9.83M","1.23%"
"Nov 12, 2020","23.55","23.70","23.70","23.52","10.09M","-1.59%"
"Nov 11, 2020","23.93","23.89","23.94","23.73","11.65M","0.21%"
"Nov 10, 2020","23.88","23.75","23.99","23.70","11.07M","2.18%"
"Nov 09, 2020","23.37","23.63","23.68","23.35","11.17M","2.28%"
"Nov 06, 2020","22.85","22.83","22.94","22.74","6.04M","-0.91%"
"Nov 05, 2020","23.06","23.09","23.17","22.98","6.20M","1.23%"
"Nov 04, 2020","22.78","22.53","22.87","22.52","7.87M","2.75%"
"Nov 03, 2020","22.17","22.09","22.23","22.00","5.72M","1.98%"
"Nov 02, 2020","21.74","21.68","21.76","21.60","5.81M","1.12%"
"Oct 30, 2020","21.50","21.57","21.59","21.42","6.05M","-1.29%"
"Oct 29, 2020","21.78","21.78","21.88","21.71","7.78M","0.46%"
"Oct 28, 2020","21.68","21.76","21.82","21.68","4.94M","-1.19%"
"Oct 27, 2020","21.94","21.92","21.98","21.91","5.27M","-0.86%"
"Oct 26, 2020","22.13","22.09","22.21","21.97","3.61M","-0.41%"
"Oct 23, 2020","22.22","22.17","22.24","22.12","4.35M","0.45%"
"Oct 22, 2020","22.12","22.14","22.19","22.08","2.80M","0.68%"
"Oct 21, 2020","21.97","21.98","22.06","21.95","5.15M","-0.05%"
"Oct 20, 2020","21.98","21.91","22.07","21.91","6.73M","0.50%"
"Oct 19, 2020","21.87","22.01","22.05","21.80","7.12M","-0.14%"
"Oct 16, 2020","21.90","22.02","22.02","21.86","7.74M","-0.18%"
"Oct 15, 2020","21.94","21.90","21.95","21.85","3.89M","-1.53%"
"Oct 14, 2020","22.28","22.38","22.43","22.27","4.23M","-0.54%"
"Oct 13, 2020","22.40","22.43","22.45","22.34","4.17M","-0.27%"
"Oct 12, 2020","22.46","22.48","22.52","22.44","6.31M","0.27%"
"Oct 11, 2020","22.40","22.40","22.40","22.40","-","0.00%"
"Oct 09, 2020","22.40","22.31","22.44","22.28","3.44M","-0.44%"
"Oct 08, 2020","22.50","22.36","22.52","22.36","6.18M","0.13%"
"Oct 07, 2020","22.47","22.49","22.53","22.41","5.32M","0.94%"
"Oct 06, 2020","22.26","22.38","22.40","22.25","5.11M","-0.18%"
"Oct 05, 2020","22.30","22.16","22.30","22.13","5.49M","1.18%"
"Oct 04, 2020","22.04","22.04","22.04","22.04","-","0.00%"
"Oct 03, 2020","22.04","22.04","22.04","22.04","-","0.00%"
"Oct 02, 2020","22.04","21.94","22.16","21.94","4.47M","-0.54%"
"Oct 01, 2020","22.16","22.02","22.20","21.97","3.95M","1.09%"
"Sep 30, 2020","21.92","21.77","21.94","21.74","8.11M","0.64%"
"Sep 29, 2020","21.78","21.67","21.81","21.65","7.28M","-0.18%"
"Sep 28, 2020","21.82","21.75","21.82","21.72","3.91M","0.28%"
"Sep 27, 2020","21.76","21.76","21.76","21.76","-","0.00%"
"Sep 26, 2020","21.76","21.76","21.76","21.76","-","0.00%"
"Sep 25, 2020","21.76","21.61","21.77","21.51","5.28M","0.23%"
"Sep 24, 2020","21.71","21.61","21.79","21.56","7.18M","-0.32%"
"Sep 23, 2020","21.78","21.94","21.94","21.75","4.84M","-0.32%"
"Sep 22, 2020","21.85","22.00","22.00","21.80","5.96M","-1.35%"
"Sep 21, 2020","22.15","22.09","22.15","21.93","3.77M","-1.82%"
"Sep 18, 2020","22.56","22.58","22.60","22.49","5.14M","-0.40%"
"Sep 17, 2020","22.65","22.44","22.65","22.44","6.42M","-0.40%"
"Sep 16, 2020","22.74","22.76","22.82","22.71","4.74M","-0.39%"
"Sep 15, 2020","22.83","22.93","22.96","22.82","3.42M","1.02%"
"Sep 14, 2020","22.60","22.56","22.63","22.53","6.79M","0.80%"
"Sep 13, 2020","22.42","22.42","22.42","22.42","-","0.00%"
"Sep 11, 2020","22.42","22.50","22.56","22.32","11.14M","1.04%"
"Sep 10, 2020","22.19","22.45","22.45","22.18","13.50M","-1.81%"
"Sep 09, 2020","22.60","22.53","22.63","22.48","7.79M","1.48%"
"Sep 08, 2020","22.27","22.24","22.38","22.22","6.62M","-1.11%"
"Sep 04, 2020","22.52","22.51","22.57","22.27","7.63M","-0.53%"
"Sep 03, 2020","22.64","22.74","22.79","22.50","7.07M","-1.18%"
"Sep 02, 2020","22.91","22.78","22.91","22.70","8.78M","0.39%"
"Sep 01, 2020","22.82","22.73","22.82","22.68","3.95M","0.53%"
"Aug 31, 2020","22.70","22.79","22.79","22.61","7.13M","-0.92%"
"Aug 30, 2020","22.91","22.91","22.91","22.91","-","0.00%"
"Aug 28, 2020","22.91","22.87","22.94","22.82","4.19M","2.00%"
"Aug 27, 2020","22.46","22.54","22.54","22.34","3.76M","-0.97%"
"Aug 26, 2020","22.68","22.65","22.71","22.61","2.84M","-0.35%"
"Aug 25, 2020","22.76","22.67","22.78","22.65","3.77M","0.44%"
"Aug 24, 2020","22.66","22.67","22.70","22.59","4.27M","1.75%"
"Aug 23, 2020","22.27","22.27","22.27","22.27","-","0.00%"
"Aug 22, 2020","22.27","22.27","22.27","22.27","-","0.00%"
"Aug 21, 2020","22.27","22.28","22.34","22.21","5.28M","1.37%"
"Aug 20, 2020","21.97","21.79","21.98","21.77","6.25M","-0.90%"
"Aug 19, 2020","22.17","22.27","22.31","22.14","7.07M","-0.81%"
"Aug 18, 2020","22.35","22.32","22.38","22.25","3.87M","-0.40%"
"Aug 17, 2020","22.44","22.34","22.46","22.34","2.72M","0.72%"
"Aug 14, 2020","22.28","22.22","22.30","22.18","5.63M","0.00%"
