"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 16, 2020","21.64","21.59","21.68","21.57","1.13M","0.70%"
"Dec 15, 2020","21.49","21.32","21.51","21.30","799.49K","0.99%"
"Dec 14, 2020","21.28","21.45","21.45","21.28","1.43M","-0.42%"
"Dec 11, 2020","21.37","21.37","21.42","21.31","1.84M","-0.65%"
"Dec 10, 2020","21.51","21.35","21.53","21.30","1.35M","0.37%"
"Dec 09, 2020","21.43","21.58","21.58","21.32","813.03K","0.09%"
"Dec 08, 2020","21.41","21.40","21.44","21.34","1.04M","-0.46%"
"Dec 07, 2020","21.51","21.51","21.56","21.48","1.13M","-0.97%"
"Dec 04, 2020","21.72","21.70","21.76","21.70","850.39K","0.93%"
"Dec 03, 2020","21.52","21.51","21.58","21.49","1.19M","0.51%"
"Dec 02, 2020","21.41","21.34","21.46","21.30","1.34M","-0.19%"
"Dec 01, 2020","21.45","21.39","21.47","21.32","1.03M","1.42%"
"Nov 30, 2020","21.15","21.47","21.51","21.15","1.65M","-3.38%"
"Nov 27, 2020","21.89","21.86","21.91","21.82","550.74K","0.37%"
"Nov 25, 2020","21.81","21.70","21.83","21.66","776.62K","-0.68%"
"Nov 24, 2020","21.96","21.80","21.97","21.74","1.39M","2.04%"
"Nov 23, 2020","21.52","21.60","21.65","21.44","1.46M","1.13%"
"Nov 20, 2020","21.28","21.28","21.33","21.26","862.43K","0.81%"
"Nov 19, 2020","21.11","20.99","21.11","20.96","673.56K","0.38%"
"Nov 18, 2020","21.03","21.15","21.22","21.03","745.45K","0.10%"
"Nov 17, 2020","21.01","20.92","21.08","20.91","857.01K","0.86%"
"Nov 16, 2020","20.83","20.81","20.86","20.77","1.23M","1.71%"
"Nov 13, 2020","20.48","20.40","20.51","20.38","463.22K","0.79%"
"Nov 12, 2020","20.32","20.38","20.47","20.24","1.32M","-0.49%"
"Nov 11, 2020","20.42","20.39","20.50","20.34","1.11M","0.10%"
"Nov 10, 2020","20.40","20.42","20.50","20.30","1.17M","1.24%"
"Nov 09, 2020","20.15","20.59","20.68","20.15","4.09M","2.81%"
"Nov 06, 2020","19.60","19.58","19.66","19.53","678.71K","-0.05%"
"Nov 05, 2020","19.61","19.57","19.64","19.51","1.45M","2.99%"
"Nov 04, 2020","19.04","18.91","19.16","18.88","1.06M","2.09%"
"Nov 03, 2020","18.65","18.59","18.70","18.54","922.61K","2.25%"
"Nov 02, 2020","18.24","18.18","18.24","18.09","731.51K","1.16%"
"Oct 30, 2020","18.03","18.14","18.16","17.99","1.68M","-1.04%"
"Oct 29, 2020","18.22","18.22","18.28","18.15","990.19K","-1.25%"
"Oct 28, 2020","18.45","18.57","18.57","18.42","844.73K","-2.84%"
"Oct 27, 2020","18.99","19.01","19.02","18.94","641.26K","0.26%"
"Oct 26, 2020","18.94","18.97","19.01","18.82","971.47K","-1.76%"
"Oct 23, 2020","19.28","19.24","19.28","19.17","590.89K","0.42%"
"Oct 22, 2020","19.20","19.17","19.22","19.10","796.04K","-0.26%"
"Oct 21, 2020","19.25","19.22","19.32","19.20","702.97K","-0.05%"
"Oct 20, 2020","19.26","19.20","19.32","19.19","592.68K","0.16%"
"Oct 19, 2020","19.23","19.31","19.34","19.20","680.00K","-0.05%"
"Oct 16, 2020","19.24","19.26","19.27","19.20","500.07K","0.52%"
"Oct 15, 2020","19.14","19.04","19.14","19.01","1.76M","-0.98%"
"Oct 14, 2020","19.33","19.40","19.45","19.33","928.04K","-0.57%"
"Oct 13, 2020","19.44","19.42","19.45","19.36","1.31M","0.10%"
"Oct 12, 2020","19.42","19.35","19.45","19.34","552.85K","0.41%"
"Oct 11, 2020","19.34","19.34","19.34","19.34","-","0.00%"
"Oct 09, 2020","19.34","19.26","19.36","19.21","758.65K","0.31%"
"Oct 08, 2020","19.28","19.25","19.29","19.20","494.71K","0.26%"
"Oct 07, 2020","19.23","19.19","19.25","19.18","1.55M","0.58%"
"Oct 06, 2020","19.12","19.19","19.25","19.10","2.23M","-0.05%"
"Oct 05, 2020","19.13","19.01","19.13","19.01","823.84K","1.06%"
"Oct 04, 2020","18.93","18.93","18.93","18.93","-","0.00%"
"Oct 03, 2020","18.93","18.93","18.93","18.93","-","0.00%"
"Oct 02, 2020","18.93","18.86","18.97","18.86","1.21M","-0.05%"
"Oct 01, 2020","18.94","18.93","18.97","18.82","1.07M","1.18%"
"Sep 30, 2020","18.72","18.63","18.78","18.59","611.86K","0.70%"
"Sep 29, 2020","18.59","18.60","18.63","18.50","1.41M","-0.43%"
"Sep 28, 2020","18.67","18.69","18.69","18.58","486.62K","1.25%"
"Sep 27, 2020","18.44","18.44","18.44","18.44","-","0.00%"
"Sep 26, 2020","18.44","18.44","18.44","18.44","-","0.00%"
"Sep 25, 2020","18.44","18.32","18.45","18.24","613.46K","0.71%"
"Sep 24, 2020","18.31","18.24","18.43","18.16","1.07M","-0.22%"
"Sep 23, 2020","18.35","18.54","18.56","18.32","764.34K","-0.49%"
"Sep 22, 2020","18.44","18.51","18.54","18.34","1.12M","-1.34%"
"Sep 21, 2020","18.69","18.70","18.74","18.49","1.56M","-0.85%"
"Sep 18, 2020","18.85","18.94","18.94","18.82","573.59K","-0.37%"
"Sep 17, 2020","18.92","18.82","18.96","18.81","632.62K","0.32%"
"Sep 16, 2020","18.86","18.94","19.02","18.86","1.14M","0.05%"
"Sep 15, 2020","18.85","18.90","18.91","18.82","679.75K","0.53%"
"Sep 14, 2020","18.75","18.71","18.79","18.69","577.75K","0.43%"
"Sep 13, 2020","18.67","18.67","18.67","18.67","-","0.00%"
"Sep 11, 2020","18.67","18.76","18.76","18.59","540.98K","0.70%"
"Sep 10, 2020","18.54","18.83","18.85","18.52","906.76K","-1.85%"
"Sep 09, 2020","18.89","18.84","18.93","18.82","643.49K","1.34%"
"Sep 08, 2020","18.64","18.68","18.80","18.64","1.42M","-1.06%"
"Sep 04, 2020","18.84","18.82","18.87","18.51","1.16M","0.43%"
"Sep 03, 2020","18.76","19.03","19.06","18.69","2.30M","-2.29%"
"Sep 02, 2020","19.20","19.14","19.21","19.03","748.60K","0.16%"
"Sep 01, 2020","19.17","19.19","19.22","19.12","931.38K","0.58%"
"Aug 31, 2020","19.06","19.10","19.11","18.98","920.33K","-1.04%"
"Aug 30, 2020","19.26","19.26","19.26","19.26","-","0.00%"
"Aug 28, 2020","19.26","19.15","19.28","19.15","819.61K","1.74%"
"Aug 27, 2020","18.93","19.00","19.00","18.83","1.22M","-1.35%"
"Aug 26, 2020","19.19","19.10","19.21","19.10","563.99K","0.16%"
"Aug 25, 2020","19.16","19.12","19.20","19.11","951.14K","0.95%"
"Aug 24, 2020","18.98","19.00","19.02","18.92","510.89K","0.05%"
"Aug 23, 2020","18.97","18.97","18.97","18.97","-","0.00%"
"Aug 22, 2020","18.97","18.97","18.97","18.97","-","0.00%"
