"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2016","18.78","18.72","18.78","18.64","625.70K","3.19%"
"Jan 28, 2016","18.20","18.30","18.32","18.06","876.25K","0.44%"
"Jan 27, 2016","18.12","18.18","18.35","18.07","846.15K","-1.74%"
"Jan 26, 2016","18.44","18.26","18.44","18.26","524.90K","1.10%"
"Jan 25, 2016","18.24","18.40","18.45","18.24","974.18K","-1.30%"
"Jan 22, 2016","18.48","18.40","18.48","18.36","720.98K","2.33%"
"Jan 21, 2016","18.06","17.96","18.24","17.88","1.29M","0.33%"
"Jan 20, 2016","18.00","18.10","18.18","17.82","3.48M","-2.91%"
"Jan 19, 2016","18.54","18.66","18.68","18.43","1.46M","1.42%"
"Jan 15, 2016","18.28","18.34","18.42","18.16","1.38M","-3.08%"
"Jan 14, 2016","18.86","18.60","18.89","18.52","1.44M","0.64%"
"Jan 13, 2016","18.74","19.02","19.08","18.66","1.13M","-2.09%"
"Jan 12, 2016","19.14","19.26","19.26","19.05","812.04K","-0.21%"
"Jan 11, 2016","19.18","19.20","19.21","18.98","888.47K","0.10%"
"Jan 08, 2016","19.16","19.30","19.30","19.11","1.31M","-0.42%"
"Jan 07, 2016","19.24","19.16","19.40","19.08","944.98K","-2.73%"
"Jan 06, 2016","19.78","19.76","19.82","19.66","773.53K","-1.98%"
"Jan 05, 2016","20.18","20.16","20.24","20.12","453.51K","0.40%"
"Jan 04, 2016","20.10","20.00","20.10","19.92","932.12K","-2.24%"
"Dec 31, 2015","20.56","20.66","20.68","20.54","553.84K","-0.58%"
"Dec 30, 2015","20.68","20.64","20.72","20.62","557.23K","-0.58%"
"Dec 29, 2015","20.80","20.78","20.86","20.78","420.06K","0.39%"
"Dec 28, 2015","20.72","20.80","20.82","20.66","357.51K","-0.29%"
"Dec 24, 2015","20.78","20.74","20.86","20.74","227.82K","-0.10%"
"Dec 23, 2015","20.80","20.66","20.82","20.66","493.60K","0.78%"
"Dec 22, 2015","20.64","20.62","20.66","20.54","900.07K","0.58%"
"Dec 21, 2015","20.52","20.56","20.62","20.42","980.26K","-1.25%"
"Dec 18, 2015","20.78","20.86","20.92","20.78","524.22K","-0.38%"
"Dec 17, 2015","20.86","21.08","21.08","20.78","1.37M","-1.23%"
"Dec 16, 2015","21.12","20.98","21.30","20.92","991.39K","0.76%"
"Dec 15, 2015","20.96","20.94","21.00","20.90","595.31K","0.96%"
"Dec 14, 2015","20.76","20.66","20.76","20.54","1.01M","0.19%"
"Dec 11, 2015","20.72","20.66","20.76","20.60","1.23M","-1.80%"
"Dec 10, 2015","21.10","21.10","21.16","21.04","442.04K","0.19%"
"Dec 09, 2015","21.06","21.12","21.28","21.02","606.43K","-0.47%"
"Dec 08, 2015","21.16","21.00","21.18","20.96","800.14K","-0.66%"
"Dec 07, 2015","21.30","21.42","21.44","21.28","347.78K","-0.75%"
"Dec 04, 2015","21.46","21.28","21.52","21.28","846.88K","1.23%"
"Dec 03, 2015","21.20","21.28","21.36","21.16","818.18K","0.76%"
"Dec 02, 2015","21.04","21.12","21.18","20.97","1.10M","-1.22%"
"Dec 01, 2015","21.30","21.14","21.30","21.14","741.86K","1.33%"
"Nov 30, 2015","21.02","21.00","21.10","20.96","651.20K","0.57%"
"Nov 27, 2015","20.90","20.84","20.90","20.84","618.47K","-2.06%"
"Nov 25, 2015","21.34","21.26","21.40","21.20","555.58K","-0.84%"
"Nov 24, 2015","21.52","21.42","21.60","21.42","889.37K","1.32%"
"Nov 23, 2015","21.24","21.16","21.26","21.16","353.84K","-1.21%"
"Nov 20, 2015","21.50","21.40","21.52","21.40","559.33K","0.37%"
"Nov 19, 2015","21.42","21.48","21.52","21.40","577.46K","1.32%"
"Nov 18, 2015","21.14","20.98","21.14","20.90","672.89K","-0.66%"
"Nov 17, 2015","21.28","21.22","21.32","21.21","477.41K","-0.28%"
"Nov 16, 2015","21.34","21.20","21.40","21.20","499.39K","1.23%"
"Nov 13, 2015","21.08","21.20","21.20","21.02","365.73K","-1.50%"
"Nov 12, 2015","21.40","21.40","21.46","21.34","456.47K","-1.20%"
"Nov 11, 2015","21.66","21.74","21.82","21.66","349.11K","0.28%"
"Nov 10, 2015","21.60","21.62","21.66","21.50","589.09K","-0.28%"
"Nov 09, 2015","21.66","21.70","21.76","21.60","1.13M","-2.17%"
"Nov 06, 2015","22.14","21.96","22.14","21.92","346.08K","-1.25%"
"Nov 05, 2015","22.42","22.38","22.44","22.28","420.95K","-0.53%"
"Nov 04, 2015","22.54","22.66","22.70","22.40","565.34K","0.00%"
"Nov 03, 2015","22.54","22.36","22.60","22.32","480.76K","1.17%"
"Nov 02, 2015","22.28","22.18","22.28","22.12","354.53K","0.18%"
"Oct 30, 2015","22.24","22.30","22.30","22.20","706.27K","-0.18%"
"Oct 29, 2015","22.28","22.20","22.30","22.12","643.09K","-1.24%"
"Oct 28, 2015","22.56","22.60","22.76","22.32","756.23K","-0.44%"
"Oct 27, 2015","22.66","22.70","22.70","22.58","478.53K","-1.48%"
"Oct 26, 2015","23.00","23.04","23.06","22.98","434.19K","0.26%"
"Oct 23, 2015","22.94","22.98","23.03","22.90","258.14K","0.44%"
"Oct 22, 2015","22.84","22.66","22.90","22.66","345.11K","1.78%"
"Oct 21, 2015","22.44","22.60","22.60","22.44","348.59K","-0.80%"
"Oct 20, 2015","22.62","22.58","22.64","22.54","204.01K","0.00%"
"Oct 19, 2015","22.62","22.66","22.66","22.56","842.32K","-0.62%"
"Oct 16, 2015","22.76","22.80","22.82","22.72","463.17K","0.00%"
"Oct 15, 2015","22.76","22.64","22.80","22.62","456.91K","1.52%"
"Oct 14, 2015","22.42","22.36","22.48","22.34","476.53K","1.45%"
"Oct 13, 2015","22.10","22.06","22.21","22.02","416.10K","-1.52%"
"Oct 12, 2015","22.44","22.56","22.56","22.44","329.89K","0.45%"
"Oct 09, 2015","22.34","22.40","22.48","22.28","615.13K","2.01%"
"Oct 08, 2015","21.90","21.64","21.91","21.62","457.14K","0.27%"
"Oct 07, 2015","21.84","21.78","22.00","21.78","1.01M","3.61%"
"Oct 06, 2015","21.08","21.08","21.18","21.04","668.61K","0.96%"
"Oct 05, 2015","20.88","20.74","20.96","20.74","783.31K","3.06%"
"Oct 02, 2015","20.26","19.94","20.28","19.90","1.43M","0.20%"
"Oct 01, 2015","20.22","20.24","20.26","20.04","692.57K","-0.59%"
"Sep 30, 2015","20.34","20.26","20.34","20.16","640.77K","1.29%"
"Sep 29, 2015","20.08","20.08","20.19","20.04","955.96K","0.70%"
"Sep 28, 2015","19.94","20.10","20.12","19.86","856.42K","-2.16%"
"Sep 25, 2015","20.38","20.56","20.56","20.30","776.65K","-0.68%"
"Sep 24, 2015","20.52","20.38","20.54","20.24","565.22K","-0.10%"
"Sep 23, 2015","20.54","20.62","20.66","20.46","413.25K","-1.44%"
"Sep 22, 2015","20.84","20.80","20.84","20.69","430.14K","-1.23%"
"Sep 21, 2015","21.10","21.14","21.21","21.08","408.54K","-0.19%"
"Sep 18, 2015","21.14","21.30","21.33","21.04","589.94K","-1.40%"
