Date,Price,Open,High,Low,Vol.,Change %
26-Feb-21,40.66,40.59,40.97,40.2,3.59M,0.59%
25-Feb-21,40.42,41.82,42.13,40.35,3.64M,-4.31%
24-Feb-21,42.24,41.74,42.39,41.61,3.13M,0.79%
23-Feb-21,41.91,40.9,42.17,40.68,3.02M,2.24%
22-Feb-21,40.99,41,41.62,40.91,2.61M,-1.73%
19-Feb-21,41.71,41.77,42.29,41.7,1.68M,-0.48%
18-Feb-21,41.91,42.2,42.45,41.78,1.96M,-2.06%
17-Feb-21,42.79,42.07,42.8,41.72,3.19M,0.87%
16-Feb-21,42.42,42.14,42.6,42.14,1.35M,-0.21%
12-Feb-21,42.51,41.91,42.6,41.81,1.15M,0.66%
11-Feb-21,42.23,42.98,43.37,42.15,2.89M,-1.10%
10-Feb-21,42.7,43.21,43.35,42.63,1.49M,-0.51%
9-Feb-21,42.92,42.15,43.02,42.15,2.28M,1.83%
8-Feb-21,42.15,41.97,42.37,41.75,1.40M,0.12%
5-Feb-21,42.1,41.9,42.59,41.82,2.22M,1.42%
4-Feb-21,41.51,41.4,41.65,41.01,2.50M,0.14%
3-Feb-21,41.45,41.95,41.98,41.08,4.51M,-0.38%
2-Feb-21,41.61,42.08,42.18,41.19,5.12M,-0.38%
1-Feb-21,41.77,41,41.95,40.42,3.49M,3.93%
29-Jan-21,40.19,41.74,41.84,40.09,6.36M,-4.24%
28-Jan-21,41.97,41.74,42.11,41.4,4.02M,0.58%
27-Jan-21,41.73,42.09,42.34,41.36,5.43M,-3.38%
26-Jan-21,43.19,43.17,43.27,42.44,2.89M,0.14%
25-Jan-21,43.13,42.88,43.17,41.81,3.13M,0.40%
22-Jan-21,42.96,42.92,43.13,42.38,2.67M,-1.47%
21-Jan-21,43.6,44.03,44.17,43.31,1.65M,-1.27%
20-Jan-21,44.16,44.46,44.55,43.84,1.97M,0.00%
19-Jan-21,44.16,45.33,45.35,44.08,2.15M,-0.72%
15-Jan-21,44.48,44.06,44.6,44.06,1.96M,-0.78%
14-Jan-21,44.83,44.16,44.99,44.08,2.39M,1.61%
13-Jan-21,44.12,44.64,44.64,44.1,1.98M,-1.08%
12-Jan-21,44.6,44.75,45,44.4,2.02M,0.16%
11-Jan-21,44.53,44.13,44.78,43.94,1.83M,-1.24%
8-Jan-21,45.09,45.23,45.42,44.65,3.25M,1.19%
7-Jan-21,44.56,44.9,44.93,44.28,3.03M,-0.80%
6-Jan-21,44.92,43.5,45.47,43.5,6.55M,3.10%
5-Jan-21,43.57,43.3,43.72,43.16,1.88M,0.55%
4-Jan-21,43.33,43.5,44.49,43.26,3.21M,0.79%
31-Dec-20,42.99,43.78,43.78,42.9,1.46M,-1.20%
30-Dec-20,43.51,43.81,43.97,43.26,2.64M,-0.18%
29-Dec-20,43.59,43.02,43.62,42.85,2.34M,2.52%
28-Dec-20,42.52,42.41,42.55,42.05,1.53M,0.33%
24-Dec-20,42.38,42.42,42.72,42.17,946.34K,0.40%
23-Dec-20,42.21,41.11,42.28,41.11,2.17M,3.00%
22-Dec-20,40.98,41.82,41.82,40.89,2.21M,-2.15%
21-Dec-20,41.88,41.45,42.22,41.3,2.28M,-1.67%
18-Dec-20,42.59,43.5,43.78,42.18,3.42M,-2.07%
17-Dec-20,43.49,43,43.72,42.73,2.64M,1.73%
16-Dec-20,42.75,42.46,42.85,42.33,2.51M,0.78%
15-Dec-20,42.42,42.07,42.85,41.83,2.38M,1.39%
14-Dec-20,41.84,42.4,42.61,41.72,2.41M,-1.09%
11-Dec-20,42.3,42.3,42.72,42,2.98M,-0.80%
10-Dec-20,42.64,41.66,42.94,41.61,2.70M,1.38%
9-Dec-20,42.06,42.84,42.84,41.72,2.44M,-1.59%
8-Dec-20,42.74,42.77,43.19,42.46,3.58M,0.49%
7-Dec-20,42.53,43.1,43.19,42.34,2.24M,-1.32%
4-Dec-20,43.1,43.29,43.97,43.02,2.66M,0.23%
3-Dec-20,43,42.91,43.2,42.86,3.96M,0.89%
2-Dec-20,42.62,41.95,42.71,41.87,2.61M,1.36%
1-Dec-20,42.05,41.32,42.31,41.12,4.06M,3.65%
30-Nov-20,40.57,41.03,41.07,40.33,3.56M,-2.00%
27-Nov-20,41.4,41.81,41.87,41.1,1.72M,-0.38%
25-Nov-20,41.56,41.97,42.01,41.26,2.11M,-0.69%
24-Nov-20,41.85,41.52,42.01,41.38,2.91M,1.92%
23-Nov-20,41.06,41.34,41.35,40.79,1.93M,0.29%
20-Nov-20,40.94,40.8,41.16,40.62,2.42M,0.54%
19-Nov-20,40.72,40.68,41.05,40.35,2.57M,-0.29%
18-Nov-20,40.84,40.92,41.43,40.54,6.03M,0.27%
17-Nov-20,40.73,39.95,40.75,39.88,3.71M,0.54%
16-Nov-20,40.51,39.78,40.73,39.7,4.78M,3.42%
13-Nov-20,39.17,38.7,39.21,38.47,3.64M,2.57%
12-Nov-20,38.19,38.96,39.1,38.1,2.44M,-2.28%
11-Nov-20,39.08,38.9,39.13,38.58,2.59M,0.49%
10-Nov-20,38.89,38.04,38.97,38.04,3.23M,1.83%
9-Nov-20,38.19,38.92,39.32,38.05,5.44M,3.89%
6-Nov-20,36.76,36.43,36.99,36.38,3.34M,0.82%
5-Nov-20,36.46,36.14,36.51,35.56,3.58M,4.35%
4-Nov-20,34.94,34.94,35.45,34.49,3.87M,0.98%
3-Nov-20,34.6,34.65,35.39,34.43,2.92M,1.50%
2-Nov-20,34.09,34.31,34.31,33.44,3.01M,-0.20%
30-Oct-20,34.16,33.76,34.22,33.72,2.47M,1.30%
29-Oct-20,33.72,34.24,34.24,33.42,3.42M,-1.69%
28-Oct-20,34.3,34.51,34.62,33.95,3.32M,-3.22%
27-Oct-20,35.44,35.92,35.92,35.38,1.59M,-0.98%
26-Oct-20,35.79,36.19,36.25,35.67,2.32M,-1.89%
23-Oct-20,36.48,36.61,36.72,36.33,2.31M,0.75%
22-Oct-20,36.21,36.12,36.28,35.81,2.11M,0.61%
21-Oct-20,35.99,35.7,36.25,35.7,2.20M,0.95%
20-Oct-20,35.65,34.93,35.79,34.86,3.04M,2.41%
19-Oct-20,34.81,35.36,35.47,34.76,2.14M,-1.28%
16-Oct-20,35.26,35.43,35.57,35.01,1.98M,0.26%
15-Oct-20,35.17,34.6,35.24,34.6,1.82M,0.23%
14-Oct-20,35.09,35.29,35.47,35,2.06M,0.00%
13-Oct-20,35.09,35.38,35.47,34.97,2.37M,-1.32%
12-Oct-20,35.56,35.82,35.94,35.55,2.66M,-0.73%
11-Oct-20,35.82,35.82,35.82,35.82,-,0.00%
9-Oct-20,35.82,35.62,36.03,35.37,4.23M,1.33%
8-Oct-20,35.35,34.52,35.37,34.33,4.81M,3.06%
7-Oct-20,34.3,34.23,34.39,34.15,2.32M,2.14%
6-Oct-20,33.58,34.16,34.27,33.4,3.11M,-1.18%
5-Oct-20,33.98,33.78,34.26,33.71,2.39M,2.16%
4-Oct-20,33.26,33.26,33.26,33.26,-,0.00%
3-Oct-20,33.26,33.26,33.26,33.26,-,0.00%
2-Oct-20,33.26,32.64,33.52,32.57,2.40M,0.48%
1-Oct-20,33.1,33.66,33.66,32.97,3.10M,-0.78%
30-Sep-20,33.36,32.88,33.71,32.79,2.98M,2.36%
29-Sep-20,32.59,32.85,32.91,32.42,1.90M,-0.18%
28-Sep-20,32.65,32.22,32.86,32.18,2.11M,1.33%
27-Sep-20,32.22,32.22,32.22,32.22,-,0.00%
26-Sep-20,32.22,32.22,32.22,32.22,-,0.00%
25-Sep-20,32.22,31.58,32.28,31.21,2.70M,0.16%
24-Sep-20,32.17,31,32.49,30.95,3.74M,2.91%
23-Sep-20,31.26,32,32.24,31.26,2.80M,-3.25%
22-Sep-20,32.31,32.56,32.73,32.14,3.03M,-1.16%
21-Sep-20,32.69,32.52,32.7,32.11,4.00M,-1.98%
18-Sep-20,33.35,33.88,34.08,33.32,3.16M,-1.71%
17-Sep-20,33.93,33.98,34.18,33.75,4.63M,-1.17%
16-Sep-20,34.33,34.43,34.7,34.16,3.18M,0.62%
15-Sep-20,34.12,34.53,34.65,34.08,2.28M,-0.87%
14-Sep-20,34.42,34.06,34.48,33.93,5.55M,2.56%
13-Sep-20,33.56,33.56,33.56,33.56,-,0.00%
11-Sep-20,33.56,33.41,33.59,33.13,3.33M,1.88%
10-Sep-20,32.94,33.59,33.65,32.86,3.17M,-0.84%
9-Sep-20,33.22,32.95,33.33,32.71,3.18M,2.31%
8-Sep-20,32.47,32.58,32.79,32.27,3.18M,-2.14%
4-Sep-20,33.18,33.12,33.3,32.41,4.17M,0.88%
3-Sep-20,32.89,33.55,33.56,32.84,3.50M,-1.62%
2-Sep-20,33.43,33.66,33.74,33.16,3.07M,-0.80%
1-Sep-20,33.7,33.29,33.8,33.12,3.73M,2.40%
31-Aug-20,32.91,33.97,33.97,32.89,4.64M,-3.74%
30-Aug-20,34.19,34.19,34.19,34.19,-,0.00%
28-Aug-20,34.19,33.65,34.2,33.46,3.04M,2.70%
27-Aug-20,33.29,33.95,33.95,33.06,3.01M,-1.36%
26-Aug-20,33.75,34.29,34.29,33.6,2.08M,-1.49%
25-Aug-20,34.26,34.12,34.27,33.89,2.28M,1.03%
24-Aug-20,33.91,34.25,34.29,33.85,1.82M,-0.18%
23-Aug-20,33.97,33.97,33.97,33.97,-,0.00%
22-Aug-20,33.97,33.97,33.97,33.97,-,0.00%
21-Aug-20,33.97,34.29,34.29,33.9,1.78M,-0.90%
20-Aug-20,34.28,34.1,34.28,33.78,2.41M,-0.32%
19-Aug-20,34.39,34.53,34.91,34.37,1.82M,-0.46%
18-Aug-20,34.55,35.03,35.04,34.35,1.50M,-0.35%
17-Aug-20,34.67,34.84,34.92,34.56,2.07M,-0.03%
14-Aug-20,34.68,34.51,34.9,34.35,4.43M,1.58%
13-Aug-20,34.14,33.83,34.33,33.74,1.73M,0.68%
12-Aug-20,33.91,34.18,34.19,33.84,1.76M,0.27%
11-Aug-20,33.82,33.8,34.28,33.78,2.34M,0.89%
10-Aug-20,33.52,33.28,33.56,33.28,1.62M,0.72%
9-Aug-20,33.28,33.28,33.28,33.28,-,0.00%
8-Aug-20,33.28,33.28,33.28,33.28,-,0.00%
7-Aug-20,33.28,33,33.33,32.89,1.89M,0.06%
6-Aug-20,33.26,33.14,33.37,32.96,1.80M,-0.03%
5-Aug-20,33.27,32.68,33.61,32.68,3.21M,3.00%
4-Aug-20,32.3,32.49,32.49,32.13,1.72M,-0.58%
3-Aug-20,32.49,32.64,32.64,32.09,1.81M,-0.12%
2-Aug-20,32.53,32.53,32.53,32.53,-,0.00%
31-Jul-20,32.53,33,33,32.15,2.72M,-1.18%
30-Jul-20,32.92,33.02,33.17,32.74,2.63M,-1.88%
29-Jul-20,33.55,33.62,33.84,33.19,2.42M,0.06%
28-Jul-20,33.53,33.58,33.63,33.31,1.94M,-0.15%
27-Jul-20,33.58,33.09,33.6,32.89,2.19M,2.50%
26-Jul-20,32.76,32.76,32.76,32.76,-,0.00%
25-Jul-20,32.76,32.76,32.76,32.76,-,0.00%
24-Jul-20,32.76,32.53,32.86,32.35,2.69M,0.61%
23-Jul-20,32.56,32.92,32.92,32.42,2.25M,-1.09%
22-Jul-20,32.92,32.55,32.92,32.41,1.71M,1.51%
21-Jul-20,32.43,31.94,32.65,31.93,2.48M,2.59%
20-Jul-20,31.61,31.46,31.66,31.23,1.55M,0.48%
17-Jul-20,31.46,31.91,31.91,31.4,2.30M,-1.13%
16-Jul-20,31.82,31.76,32.09,31.65,2.27M,-0.81%
15-Jul-20,32.08,31.98,32.15,31.78,2.45M,2.33%
