"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2020","46.15","46.32","46.34","46.12","13.57M","-0.90%"
"Dec 10, 2020","46.57","46.07","46.70","46.05","12.91M","1.24%"
"Dec 09, 2020","46.00","46.48","46.49","45.85","15.52M","-1.25%"
"Dec 08, 2020","46.58","46.48","46.61","46.35","10.05M","-0.32%"
"Dec 07, 2020","46.73","46.60","46.79","46.55","10.08M","-0.97%"
"Dec 04, 2020","47.19","47.22","47.32","47.06","9.73M","0.13%"
"Dec 03, 2020","47.13","47.09","47.31","47.01","9.48M","-0.04%"
"Dec 02, 2020","47.15","47.11","47.28","46.98","9.37M","-0.70%"
"Dec 01, 2020","47.48","47.61","47.70","47.37","14.40M","1.02%"
"Nov 30, 2020","47.00","47.65","47.66","46.97","16.38M","-3.33%"
"Nov 27, 2020","48.62","48.27","48.71","48.27","12.16M","2.94%"
"Nov 25, 2020","47.23","47.13","47.30","47.00","8.51M","-0.59%"
"Nov 24, 2020","47.51","47.33","47.53","47.09","13.01M","0.55%"
"Nov 23, 2020","47.25","47.68","47.68","46.84","10.19M","-0.40%"
"Nov 20, 2020","47.44","47.19","47.53","47.15","16.90M","0.68%"
"Nov 19, 2020","47.12","46.97","47.19","46.90","10.07M","-0.06%"
"Nov 18, 2020","47.15","47.43","47.44","47.15","7.78M","-0.44%"
"Nov 17, 2020","47.36","47.21","47.53","47.09","10.87M","-0.67%"
"Nov 16, 2020","47.68","47.64","47.85","47.44","9.01M","0.44%"
"Nov 13, 2020","47.47","47.37","47.57","47.17","14.79M","0.79%"
"Nov 12, 2020","47.10","47.42","47.70","46.93","17.78M","-1.05%"
"Nov 11, 2020","47.60","46.89","47.72","46.88","19.54M","1.02%"
"Nov 10, 2020","47.12","47.53","47.69","47.01","21.42M","-2.30%"
"Nov 09, 2020","48.23","49.36","49.44","48.15","25.84M","1.05%"
"Nov 06, 2020","47.73","47.51","47.96","47.38","16.74M","0.06%"
"Nov 05, 2020","47.70","47.96","47.99","47.32","25.69M","1.58%"
"Nov 04, 2020","46.96","46.22","47.04","46.05","35.60M","4.17%"
"Nov 03, 2020","45.08","45.03","45.33","44.85","19.86M","0.22%"
"Nov 02, 2020","44.98","44.89","45.00","44.66","13.73M","2.00%"
"Oct 30, 2020","44.10","44.23","44.25","43.89","15.54M","-1.01%"
"Oct 29, 2020","44.55","44.50","44.72","44.34","12.74M","1.50%"
"Oct 28, 2020","43.89","44.23","44.28","43.81","15.86M","-2.01%"
"Oct 27, 2020","44.79","44.53","44.83","44.40","13.68M","0.20%"
"Oct 26, 2020","44.70","44.62","45.00","44.33","19.84M","-0.95%"
"Oct 23, 2020","45.13","44.95","45.15","44.77","11.24M","0.24%"
"Oct 22, 2020","45.02","45.09","45.12","44.83","11.32M","0.76%"
"Oct 21, 2020","44.68","44.76","44.96","44.63","16.03M","0.90%"
"Oct 20, 2020","44.28","44.18","44.45","44.13","13.31M","0.43%"
"Oct 19, 2020","44.09","44.22","44.37","43.99","13.70M","-0.05%"
"Oct 16, 2020","44.11","44.16","44.19","43.97","21.46M","1.52%"
"Oct 15, 2020","43.45","43.21","43.51","43.21","14.44M","-0.75%"
"Oct 14, 2020","43.78","44.17","44.21","43.77","12.55M","-1.26%"
