"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 26, 2021","31.49","31.87","32.66","31.07","9.80M","-4.72%"
"Jan 25, 2021","33.05","35.75","36.03","32.85","12.34M","-4.06%"
"Jan 22, 2021","34.45","32.80","34.99","32.80","17.12M","7.89%"
"Jan 21, 2021","31.93","32.68","33.00","30.81","28.62M","-9.67%"
"Jan 20, 2021","35.35","37.17","37.18","33.33","19.22M","-7.10%"
"Jan 19, 2021","38.05","40.90","40.96","37.85","14.84M","-3.28%"
"Jan 15, 2021","39.34","41.74","41.74","38.16","18.04M","-9.63%"
"Jan 14, 2021","43.53","43.90","44.50","43.45","13.03M","7.88%"
"Jan 13, 2021","40.35","39.16","40.95","37.36","12.36M","3.67%"
"Jan 12, 2021","38.92","37.46","39.98","36.20","16.07M","4.06%"
"Jan 11, 2021","37.40","37.10","39.68","35.88","39.69M","-15.80%"
"Jan 08, 2021","44.42","47.85","48.65","44.38","23.11M","-1.22%"
"Jan 07, 2021","44.97","47.30","47.97","41.84","31.80M","2.37%"
"Jan 06, 2021","43.93","41.41","43.98","39.75","30.30M","11.47%"
"Jan 05, 2021","39.41","35.58","39.52","35.07","19.22M","12.34%"
"Jan 04, 2021","35.08","34.09","36.57","33.45","22.80M","9.63%"
"Dec 31, 2020","32.00","32.24","32.90","31.19","13.83M","-2.74%"
"Dec 30, 2020","32.90","31.32","33.00","31.02","18.01M","9.38%"
"Dec 29, 2020","30.08","31.11","31.15","28.50","12.94M","-1.22%"
"Dec 28, 2020","30.45","33.33","33.33","30.12","19.49M","11.33%"
"Dec 24, 2020","27.35","28.71","28.71","26.46","12.59M","-5.30%"
"Dec 23, 2020","28.88","30.50","30.85","28.83","11.03M","-4.97%"
"Dec 22, 2020","30.39","31.61","31.95","30.03","12.15M","-1.43%"
"Dec 21, 2020","30.83","29.74","31.75","29.36","18.93M","4.58%"
"Dec 18, 2020","29.48","28.50","29.49","27.60","11.05M","4.35%"
"Dec 17, 2020","28.25","29.72","30.82","27.14","28.69M","9.45%"
"Dec 16, 2020","25.81","24.96","26.01","24.91","18.52M","11.01%"
"Dec 15, 2020","23.25","22.84","23.44","22.47","8.87M","4.40%"
"Dec 14, 2020","22.27","22.80","23.31","22.01","9.28M","8.05%"
"Dec 11, 2020","20.61","20.55","21.06","20.22","8.72M","-4.01%"
"Dec 10, 2020","21.47","19.83","21.49","19.39","11.90M","6.98%"
"Dec 09, 2020","20.07","20.85","21.30","19.75","13.70M","-4.25%"
"Dec 08, 2020","20.96","22.20","22.21","20.77","13.76M","-6.68%"
"Dec 07, 2020","22.46","23.72","23.85","22.10","10.69M","-3.27%"
"Dec 04, 2020","23.22","23.89","23.90","22.73","10.49M","-3.25%"
"Dec 03, 2020","24.00","23.84","24.11","23.53","9.45M","2.61%"
"Dec 02, 2020","23.39","23.74","23.86","22.87","8.50M","-1.47%"
"Dec 01, 2020","23.74","22.84","24.05","22.58","14.77M","2.37%"
"Nov 30, 2020","23.19","22.30","23.50","21.90","20.66M","23.09%"
"Nov 27, 2020","18.84","18.50","19.15","17.60","21.92M","-9.68%"
"Nov 25, 2020","20.86","22.34","23.29","20.63","17.49M","-6.71%"
"Nov 24, 2020","22.36","23.24","24.04","22.15","16.94M","1.04%"
"Nov 23, 2020","22.13","21.89","22.20","21.30","15.27M","4.19%"
"Nov 20, 2020","21.24","20.60","21.38","20.60","14.48M","5.67%"
"Nov 19, 2020","20.10","19.73","20.54","19.73","10.53M","2.34%"
"Nov 18, 2020","19.64","20.17","20.73","19.36","19.47M","-2.58%"
"Nov 17, 2020","20.16","19.47","20.35","19.35","16.46M","6.89%"
"Nov 16, 2020","18.86","18.30","18.86","18.25","11.69M","5.01%"
"Nov 13, 2020","17.96","18.36","18.49","17.61","8.89M","-1.54%"
"Nov 12, 2020","18.24","17.98","18.39","17.72","9.92M","4.11%"
"Nov 11, 2020","17.52","16.76","18.00","16.75","9.90M","6.12%"
"Nov 10, 2020","16.51","16.94","17.00","16.25","6.33M","-3.39%"
"Nov 09, 2020","17.09","17.39","17.39","15.81","15.00M","-2.57%"
"Nov 06, 2020","17.54","17.67","17.71","17.06","10.23M","1.56%"
"Nov 05, 2020","17.27","16.95","17.69","16.76","14.93M","8.82%"
"Nov 04, 2020","15.87","15.65","16.09","15.38","7.96M","2.92%"
"Nov 03, 2020","15.42","15.70","15.87","15.40","6.48M","-0.58%"
"Nov 02, 2020","15.51","15.35","15.59","15.20","6.14M","0.85%"
