"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 02, 2021","64.70","65.29","65.29","64.47","1.38M","-0.64%"
"Mar 01, 2021","65.12","64.34","65.24","64.19","2.35M","2.63%"
"Feb 26, 2021","63.45","63.90","64.40","62.99","3.34M","0.19%"
"Feb 25, 2021","63.33","64.83","65.22","63.05","3.91M","-2.91%"
"Feb 24, 2021","65.23","64.36","65.33","63.86","2.85M","0.76%"
"Feb 23, 2021","64.74","63.91","65.04","62.95","2.49M","-0.17%"
"Feb 22, 2021","64.85","65.43","65.54","64.82","1.79M","-1.94%"
"Feb 19, 2021","66.13","66.80","66.85","66.07","4.57M","-0.65%"
"Feb 18, 2021","66.56","66.28","66.70","65.92","1.25M","-0.45%"
"Feb 17, 2021","66.86","66.55","66.91","66.25","1.32M","-0.25%"
"Feb 16, 2021","67.03","67.41","67.52","66.89","1.29M","-0.33%"
"Feb 12, 2021","67.25","66.75","67.30","66.60","1.73M","0.49%"
"Feb 11, 2021","66.92","66.97","67.05","66.48","1.29M","0.42%"
"Feb 10, 2021","66.64","67.14","67.20","66.17","1.54M","-0.21%"
"Feb 09, 2021","66.78","66.70","67.05","66.70","1.15M","-0.13%"
"Feb 08, 2021","66.87","66.91","66.91","66.50","1.92M","0.48%"
"Feb 05, 2021","66.55","66.53","66.73","66.25","1.25M","0.35%"
"Feb 04, 2021","66.32","65.97","66.33","65.74","2.77M","0.93%"
"Feb 03, 2021","65.71","66.26","66.32","65.65","1.51M","-0.15%"
"Feb 02, 2021","65.81","65.48","66.12","65.48","1.45M","1.39%"
"Feb 01, 2021","64.91","64.11","65.10","63.76","2.06M","2.20%"
"Jan 29, 2021","63.51","64.44","64.61","63.10","2.57M","-1.99%"
"Jan 28, 2021","64.80","64.65","65.78","64.53","2.22M","0.51%"
"Jan 27, 2021","64.47","65.75","65.75","63.98","2.51M","-2.60%"
"Jan 26, 2021","66.19","66.30","66.42","66.03","1.72M","0.06%"
"Jan 25, 2021","66.15","66.20","66.48","64.90","2.39M","0.79%"
"Jan 22, 2021","65.63","65.49","65.87","65.44","1.47M","-0.02%"
"Jan 21, 2021","65.64","65.50","65.80","65.33","1.45M","0.63%"
"Jan 20, 2021","65.23","64.46","65.46","64.40","2.31M","2.21%"
"Jan 19, 2021","63.82","63.51","63.88","63.23","1.88M","1.24%"
"Jan 15, 2021","63.04","63.34","63.56","62.82","1.70M","-0.58%"
"Jan 14, 2021","63.41","64.09","64.17","63.33","1.78M","-0.92%"
"Jan 13, 2021","64.00","63.66","64.20","63.60","1.45M","0.50%"
"Jan 12, 2021","63.68","63.90","64.06","63.21","2.18M","-0.36%"
"Jan 11, 2021","63.91","64.09","64.43","63.83","2.22M","-1.30%"
"Jan 08, 2021","64.75","64.44","64.79","63.95","2.27M","1.01%"
"Jan 07, 2021","64.10","63.16","64.23","63.16","1.96M","2.25%"
"Jan 06, 2021","62.69","62.50","63.49","62.26","3.21M","-0.99%"
"Jan 05, 2021","63.32","62.66","63.39","62.66","3.42M","0.72%"
"Jan 04, 2021","62.87","64.03","64.11","62.09","8.31M","-1.49%"
