"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","41.69","41.84","42.10","41.41","1.68M","0.55%"
"Dec 24, 2020","41.46","41.83","41.83","41.07","1.07M","-0.58%"
"Dec 23, 2020","41.70","40.80","41.81","40.77","2.25M","2.89%"
"Dec 22, 2020","40.53","41.00","41.08","40.53","1.29M","-0.81%"
"Dec 21, 2020","40.86","40.76","41.08","40.21","5.22M","0.02%"
"Dec 18, 2020","40.85","41.42","41.66","40.67","3.66M","-1.57%"
"Dec 17, 2020","41.50","41.69","41.69","41.04","2.01M","-0.26%"
"Dec 16, 2020","41.61","41.69","41.77","41.27","3.58M","0.19%"
"Dec 15, 2020","41.53","41.01","41.65","40.71","1.85M","2.14%"
"Dec 14, 2020","40.66","41.54","41.64","40.56","2.36M","-0.44%"
"Dec 11, 2020","40.84","40.89","41.20","40.56","2.52M","-1.16%"
"Dec 10, 2020","41.32","40.87","41.37","40.60","7.96M","0.41%"
"Dec 09, 2020","41.15","41.33","41.61","40.92","4.48M","0.49%"
"Dec 08, 2020","40.95","40.54","41.09","40.52","1.95M","-0.12%"
"Dec 07, 2020","41.00","40.86","41.11","40.41","5.24M","-0.34%"
"Dec 04, 2020","41.14","40.75","41.17","40.56","1.77M","1.93%"
"Dec 03, 2020","40.36","40.20","40.65","39.89","1.46M","0.45%"
"Dec 02, 2020","40.18","39.46","40.34","39.26","2.18M","1.75%"
"Dec 01, 2020","39.49","39.45","39.98","39.28","2.18M","2.25%"
"Nov 30, 2020","38.62","39.74","39.94","38.55","3.61M","-3.35%"
"Nov 27, 2020","39.96","40.45","40.45","39.65","2.10M","-1.26%"
"Nov 25, 2020","40.47","40.70","40.70","39.96","2.24M","-1.46%"
"Nov 24, 2020","41.07","39.90","41.17","39.88","4.93M","4.85%"
"Nov 23, 2020","39.17","39.00","39.40","38.85","1.55M","1.77%"
"Nov 20, 2020","38.49","38.49","38.65","38.10","1.76M","-0.95%"
"Nov 19, 2020","38.86","38.54","38.88","38.07","2.73M","0.44%"
"Nov 18, 2020","38.69","39.59","39.90","38.68","8.57M","-1.73%"
"Nov 17, 2020","39.37","38.91","39.43","38.35","3.05M","-0.33%"
"Nov 16, 2020","39.50","39.34","39.67","38.86","3.20M","4.14%"
