"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","75.04","75.60","75.60","74.71","8.63K","0.41%"
"Dec 24, 2020","74.73","75.22","75.22","74.34","5.24K","0.24%"
"Dec 23, 2020","74.55","74.77","74.84","74.55","2.24K","0.52%"
"Dec 22, 2020","74.16","74.76","74.78","73.96","5.19K","-0.02%"
"Dec 21, 2020","74.18","74.01","74.53","73.51","5.36K","-1.02%"
"Dec 18, 2020","74.94","75.08","75.21","74.86","5.77K","-0.28%"
"Dec 17, 2020","75.15","74.98","75.15","74.10","10.97K","0.81%"
"Dec 16, 2020","74.55","74.83","74.83","74.23","6.07K","0.56%"
"Dec 15, 2020","74.13","73.70","74.27","73.36","5.42K","1.58%"
"Dec 14, 2020","72.97","74.58","74.58","72.97","11.48K","-0.67%"
"Dec 11, 2020","73.47","73.08","73.61","73.08","1.68K","-0.26%"
"Dec 10, 2020","73.65","73.64","73.65","73.27","8.14K","-0.28%"
"Dec 09, 2020","73.86","74.24","74.24","73.45","2.69K","-0.45%"
"Dec 08, 2020","74.19","73.48","74.26","73.48","10.62K","0.78%"
"Dec 07, 2020","73.62","73.12","73.65","73.03","3.63K","0.25%"
"Dec 04, 2020","73.44","73.32","73.50","72.93","25.17K","1.37%"
"Dec 03, 2020","72.44","71.06","73.08","71.06","8.66K","2.40%"
"Dec 02, 2020","70.74","70.23","70.81","70.23","5.67K","0.72%"
"Dec 01, 2020","70.24","69.89","70.53","69.89","9.46K","1.78%"
"Nov 30, 2020","69.01","70.22","70.22","69.01","4.65K","-1.71%"
"Nov 27, 2020","70.22","70.36","70.36","70.18","5.09K","0.26%"
"Nov 25, 2020","70.03","69.66","70.03","69.50","1.48K","0.00%"
"Nov 24, 2020","70.03","69.50","70.24","69.13","13.07K","1.59%"
"Nov 23, 2020","68.93","68.87","68.96","68.37","7.13K","1.80%"
"Nov 20, 2020","67.71","67.24","67.90","67.24","8.34K","0.05%"
"Nov 19, 2020","67.68","67.68","67.80","67.55","3.43K","-0.33%"
"Nov 18, 2020","67.91","69.26","69.26","67.91","7.93K","-1.08%"
"Nov 17, 2020","68.65","67.52","68.65","67.52","7.03K","0.54%"
"Nov 16, 2020","68.28","68.80","68.80","67.99","10.50K","1.65%"
"Nov 13, 2020","67.17","66.78","67.38","66.65","9.57K","1.94%"
"Nov 12, 2020","65.90","66.73","66.73","65.65","12.36K","-1.59%"
"Nov 11, 2020","66.96","67.54","67.60","66.85","21.52K","0.21%"
"Nov 10, 2020","66.82","66.36","66.86","66.36","1.43K","0.52%"
"Nov 09, 2020","66.48","67.92","67.92","66.48","9.08K","3.76%"
"Nov 06, 2020","64.07","65.10","65.10","63.85","6.36K","-1.10%"
"Nov 05, 2020","64.78","64.47","65.06","64.47","44.80K","2.07%"
"Nov 04, 2020","63.46","62.15","64.04","62.15","3.39K","1.18%"
"Nov 03, 2020","62.72","62.38","62.87","62.38","1.99K","2.32%"
"Nov 02, 2020","61.30","60.76","61.74","60.76","12.12K","1.43%"
"Oct 30, 2020","60.44","60.03","60.44","59.88","19.73K","-0.64%"
"Oct 29, 2020","60.83","60.51","60.89","60.20","1.65K","0.79%"
"Oct 28, 2020","60.35","60.75","60.75","60.20","4.29K","-2.85%"
"Oct 27, 2020","62.12","63.05","63.05","62.12","13.10K","-0.76%"
"Oct 26, 2020","62.60","62.38","62.60","62.26","2.03K","-2.09%"
"Oct 23, 2020","63.93","64.63","64.63","63.93","1.39K","0.20%"
"Oct 22, 2020","63.81","63.82","63.91","63.33","1.78K","0.56%"
"Oct 21, 2020","63.45","64.13","64.41","63.40","4.29K","-0.81%"
"Oct 20, 2020","63.97","64.00","64.32","63.97","2.31K","0.69%"
"Oct 19, 2020","63.53","64.92","64.92","63.53","22.11K","-1.48%"
"Oct 16, 2020","64.48","64.98","64.98","64.48","3.07K","0.05%"
"Oct 15, 2020","64.45","64.47","64.47","64.45","5.60K","1.09%"
"Oct 14, 2020","63.76","63.80","64.35","63.76","2.32K","-0.08%"
"Oct 13, 2020","63.81","64.20","64.20","63.74","1.87K","-0.16%"
"Oct 12, 2020","63.91","63.81","63.91","63.71","1.40K","1.15%"
"Oct 11, 2020","63.18","63.18","63.18","63.18","-","0.00%"
"Oct 09, 2020","63.18","63.28","63.28","63.18","0.91K","0.73%"
"Oct 08, 2020","62.72","62.60","62.72","62.60","10.69K","3.42%"
"Oct 07, 2020","60.65","60.29","60.65","60.20","4.18K","1.50%"
"Oct 06, 2020","59.75","60.28","60.90","59.61","3.44K","-0.50%"
"Oct 05, 2020","60.05","59.85","60.12","59.78","11.10K","1.47%"
