"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","33.32","33.58","33.64","33.27","237.28K","-0.06%"
"Dec 24, 2020","33.34","33.33","33.34","32.97","111.06K","0.30%"
"Dec 23, 2020","33.24","33.05","33.51","33.05","180.68K","1.13%"
"Dec 22, 2020","32.87","33.07","33.08","32.84","87.00K","-0.51%"
"Dec 21, 2020","33.04","33.20","33.20","32.48","578.35K","-1.31%"
"Dec 18, 2020","33.48","33.92","34.05","33.22","1.03M","-1.15%"
"Dec 17, 2020","33.87","33.84","33.91","33.69","540.26K","0.30%"
"Dec 16, 2020","33.77","33.81","33.97","33.67","316.93K","0.12%"
"Dec 15, 2020","33.73","33.27","33.78","33.11","328.79K","2.00%"
"Dec 14, 2020","33.07","33.76","33.85","33.03","306.42K","-0.84%"
"Dec 11, 2020","33.35","33.38","33.69","33.18","239.82K","-0.92%"
"Dec 10, 2020","33.66","33.34","33.73","33.30","447.77K","0.33%"
"Dec 09, 2020","33.55","33.68","33.79","33.38","431.50K","0.03%"
"Dec 08, 2020","33.54","33.16","33.62","33.10","83.99K","0.42%"
"Dec 07, 2020","33.40","33.82","33.82","33.26","321.03K","-1.74%"
"Dec 04, 2020","33.99","33.54","34.03","33.54","289.61K","1.89%"
"Dec 03, 2020","33.36","33.33","33.56","33.21","216.80K","0.09%"
"Dec 02, 2020","33.33","33.02","33.40","33.00","129.95K","0.57%"
"Dec 01, 2020","33.14","33.09","33.31","32.98","171.11K","2.00%"
"Nov 30, 2020","32.49","33.27","33.36","32.44","1.84M","-2.70%"
"Nov 27, 2020","33.39","33.58","33.71","33.33","153.32K","-0.74%"
"Nov 25, 2020","33.64","33.92","33.92","33.34","181.01K","-1.20%"
"Nov 24, 2020","34.05","33.68","34.14","33.52","143.24K","2.59%"
"Nov 23, 2020","33.19","32.94","33.28","32.86","99.52K","1.62%"
"Nov 20, 2020","32.66","32.76","32.89","32.47","150.67K","-0.55%"
"Nov 19, 2020","32.84","32.72","32.86","32.34","228.89K","-0.03%"
