"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","51.78","51.89","52.31","51.35","4.35M","0.64%"
"Dec 24, 2020","51.45","51.85","51.86","50.86","2.15M","-0.50%"
"Dec 23, 2020","51.71","50.47","51.80","50.47","8.75M","3.30%"
"Dec 22, 2020","50.06","50.72","50.83","50.02","5.31M","-0.77%"
"Dec 21, 2020","50.45","50.25","50.79","49.68","7.28M","-0.26%"
"Dec 18, 2020","50.58","51.41","51.59","50.29","7.25M","-1.48%"
"Dec 17, 2020","51.34","51.61","51.61","50.71","5.16M","-0.43%"
"Dec 16, 2020","51.56","51.67","51.71","51.05","5.31M","0.08%"
"Dec 15, 2020","51.52","50.83","51.62","50.42","7.03M","2.20%"
"Dec 14, 2020","50.41","51.58","51.70","50.20","6.82M","-0.65%"
"Dec 11, 2020","50.74","50.58","51.06","50.31","6.17M","-0.94%"
"Dec 10, 2020","51.22","50.46","51.28","50.33","5.39M","0.39%"
"Dec 09, 2020","51.02","51.26","51.71","50.66","8.91M","0.39%"
"Dec 08, 2020","50.82","50.29","51.06","50.28","3.80M","-0.04%"
"Dec 07, 2020","50.84","50.74","51.01","50.06","6.19M","-0.14%"
"Dec 04, 2020","50.91","50.52","51.04","50.19","7.05M","1.92%"
"Dec 03, 2020","49.95","49.76","50.35","49.26","8.12M","0.54%"
"Dec 02, 2020","49.68","48.73","49.91","48.49","8.03M","1.76%"
"Dec 01, 2020","48.82","48.78","49.46","48.52","10.45M","2.56%"
"Nov 30, 2020","47.60","49.02","49.42","47.50","11.75M","-3.70%"
"Nov 27, 2020","49.43","50.05","50.19","48.94","5.89M","-1.44%"
"Nov 25, 2020","50.15","50.48","50.60","49.52","9.33M","-1.53%"
"Nov 24, 2020","50.93","49.63","51.06","49.54","13.46M","4.92%"
"Nov 23, 2020","48.54","48.44","48.92","48.18","6.67M","1.83%"
"Nov 20, 2020","47.67","47.78","47.91","47.22","7.19M","-1.10%"
"Nov 19, 2020","48.20","47.85","48.26","47.26","7.06M","0.17%"
"Nov 18, 2020","48.12","49.21","49.60","48.10","7.13M","-1.74%"
"Nov 17, 2020","48.97","48.29","49.10","47.58","7.02M","-0.39%"
"Nov 16, 2020","49.16","49.02","49.48","48.37","11.68M","4.22%"
"Nov 13, 2020","47.17","46.35","47.41","46.27","7.97M","2.97%"
"Nov 12, 2020","45.81","45.93","46.33","45.16","10.44M","-2.24%"
"Nov 11, 2020","46.86","48.57","48.61","46.40","10.78M","-3.02%"
"Nov 10, 2020","48.32","48.02","48.81","47.34","12.35M","1.21%"
"Nov 09, 2020","47.74","45.76","48.83","45.22","25.40M","15.43%"
"Nov 06, 2020","41.36","42.75","42.87","41.19","8.91M","-2.27%"
"Nov 05, 2020","42.32","40.62","42.63","40.48","11.95M","4.83%"
"Nov 04, 2020","40.37","41.66","41.85","40.33","21.13M","-7.13%"
"Nov 03, 2020","43.47","43.08","43.79","43.01","10.27M","2.77%"
"Nov 02, 2020","42.30","41.79","42.49","41.10","9.64M","2.79%"
"Oct 30, 2020","41.15","40.25","41.19","40.25","7.75M","1.50%"
"Oct 29, 2020","40.54","39.52","40.74","38.81","6.85M","2.63%"
"Oct 28, 2020","39.50","39.37","40.26","39.28","9.58M","-1.99%"
"Oct 27, 2020","40.30","41.61","41.66","40.25","10.19M","-3.45%"
"Oct 26, 2020","41.74","41.97","42.07","41.20","9.92M","-2.00%"
"Oct 23, 2020","42.59","42.47","43.09","41.84","11.45M","1.14%"
"Oct 22, 2020","42.11","40.21","42.15","40.21","12.62M","4.75%"
"Oct 21, 2020","40.20","40.11","40.53","39.91","9.17M","0.37%"
"Oct 20, 2020","40.05","39.58","40.78","39.55","11.94M","2.30%"
"Oct 19, 2020","39.15","39.70","40.03","39.08","9.46M","-0.66%"
"Oct 16, 2020","39.41","39.51","39.73","38.75","7.50M","0.25%"
"Oct 15, 2020","39.31","38.01","39.34","37.90","6.97M","2.42%"
"Oct 14, 2020","38.38","39.01","39.39","38.36","11.13M","-1.49%"
"Oct 13, 2020","38.96","39.98","39.98","38.84","10.61M","-3.08%"
"Oct 12, 2020","40.20","39.59","40.26","39.49","7.60M","1.36%"
"Oct 11, 2020","39.66","39.66","39.66","39.66","-","0.00%"
"Oct 09, 2020","39.66","40.36","40.58","39.47","13.01M","-1.12%"
"Oct 08, 2020","40.11","39.84","40.25","39.53","7.71M","1.54%"
"Oct 07, 2020","39.50","39.01","39.98","38.97","9.56M","2.84%"
"Oct 06, 2020","38.41","38.90","40.01","38.23","17.28M","-0.18%"
"Oct 05, 2020","38.48","37.39","38.52","37.39","13.91M","4.17%"
"Oct 04, 2020","36.94","36.94","36.94","36.94","-","0.00%"
"Oct 03, 2020","36.94","36.94","36.94","36.94","-","0.00%"
"Oct 02, 2020","36.94","35.32","37.12","35.19","9.63M","2.84%"
"Oct 01, 2020","35.92","35.84","36.16","35.39","8.60M","0.67%"
"Sep 30, 2020","35.68","35.48","36.16","35.37","8.97M","1.11%"
"Sep 29, 2020","35.29","35.71","35.71","34.72","4.57M","-1.37%"
"Sep 28, 2020","35.78","35.21","36.03","35.20","6.20M","3.56%"
"Sep 27, 2020","34.55","34.55","34.55","34.55","-","0.00%"
"Sep 26, 2020","34.55","34.55","34.55","34.55","-","0.00%"
"Sep 25, 2020","34.55","33.79","34.64","33.64","6.36M","1.59%"
"Sep 24, 2020","34.01","34.02","34.81","33.48","6.60M","0.32%"
"Sep 23, 2020","33.90","34.89","35.55","33.88","6.70M","-2.11%"
"Sep 22, 2020","34.63","35.45","35.94","34.47","8.55M","-2.42%"
"Sep 21, 2020","35.49","36.30","36.73","35.12","12.65M","-5.61%"
"Sep 18, 2020","37.60","37.95","38.10","37.41","8.62M","-0.74%"
"Sep 17, 2020","37.88","37.57","38.05","37.33","5.75M","-0.55%"
"Sep 16, 2020","38.09","37.85","38.69","37.38","7.47M","1.06%"
"Sep 15, 2020","37.69","38.48","38.57","37.57","7.28M","-1.87%"
