"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 18, 2019","165.25","164.84","166.02","163.82","57.18M","0.99%"
"Jan 17, 2019","163.63","161.84","164.36","161.57","39.33M","0.79%"
"Jan 16, 2019","162.35","162.63","163.78","162.29","33.81M","-0.02%"
"Jan 15, 2019","162.38","159.97","162.60","159.91","40.87M","1.95%"
"Jan 14, 2019","159.27","159.32","159.96","158.59","30.71M","-0.88%"
"Jan 11, 2019","160.69","160.32","160.86","159.79","30.18M","-0.37%"
"Jan 10, 2019","161.28","159.59","161.37","158.70","38.94M","0.29%"
"Jan 09, 2019","160.82","160.15","161.52","159.47","46.49M","0.81%"
"Jan 08, 2019","159.52","159.56","160.11","157.20","49.39M","0.90%"
"Jan 07, 2019","158.09","156.54","158.86","156.11","52.06M","1.19%"
"Jan 04, 2019","156.23","152.18","157.00","151.74","74.71M","4.28%"
"Jan 03, 2019","149.82","152.60","153.26","149.49","74.82M","-3.27%"
"Jan 02, 2019","154.88","150.99","155.75","150.88","58.58M","0.40%"
"Dec 31, 2018","154.26","154.47","154.98","152.71","53.02M","0.84%"
"Dec 28, 2018","152.97","154.01","155.59","151.72","77.86M","-0.05%"
"Dec 27, 2018","153.05","150.57","153.18","147.08","85.82M","0.39%"
"Dec 26, 2018","152.46","145.12","152.54","144.09","98.98M","6.24%"
"Dec 24, 2018","143.50","146.14","147.98","143.46","56.16M","-2.76%"
"Dec 21, 2018","147.57","153.06","154.09","146.72","141.13M","-3.10%"
"Dec 20, 2018","152.29","154.16","155.87","150.39","99.00M","-1.45%"
"Dec 19, 2018","154.53","158.24","160.72","153.34","81.86M","-2.46%"
"Dec 18, 2018","158.42","158.67","159.95","157.04","63.64M","0.63%"
"Dec 17, 2018","157.43","160.41","161.67","156.17","74.83M","-2.27%"
"Dec 14, 2018","161.08","163.19","163.81","160.70","56.55M","-2.43%"
"Dec 13, 2018","165.10","166.06","166.82","164.03","46.38M","0.03%"
"Dec 12, 2018","165.05","166.06","167.60","164.96","53.78M","0.88%"
"Dec 11, 2018","163.61","165.66","165.77","162.23","59.06M","0.33%"
"Dec 10, 2018","163.07","161.11","163.78","159.41","73.96M","1.05%"
"Dec 07, 2018","161.38","166.13","167.12","160.86","80.43M","-3.30%"
"Dec 06, 2018","166.89","162.46","166.91","161.77","71.72M","0.71%"
"Dec 04, 2018","165.72","171.38","171.91","165.52","70.59M","-3.84%"
"Dec 03, 2018","172.33","173.10","173.31","169.51","50.77M","1.75%"
"Nov 30, 2018","169.37","168.38","169.47","167.54","36.72M","0.73%"
"Nov 29, 2018","168.15","168.00","169.26","166.82","44.89M","-0.33%"
"Nov 28, 2018","168.70","164.62","168.70","163.47","70.14M","3.22%"
"Nov 27, 2018","163.44","162.00","163.85","161.18","36.61M","0.34%"
"Nov 26, 2018","162.89","161.44","162.97","160.76","42.01M","2.31%"
"Nov 23, 2018","159.21","159.09","160.84","159.09","23.50M","-0.72%"
"Nov 21, 2018","160.37","161.29","161.97","159.23","42.97M","0.76%"
"Nov 20, 2018","159.16","158.37","161.38","157.13","102.65M","-1.79%"
"Nov 19, 2018","162.06","166.74","166.90","161.54","67.28M","-3.25%"
"Nov 16, 2018","167.50","166.49","168.31","165.78","65.39M","-0.35%"
"Nov 15, 2018","168.09","164.84","168.54","163.46","73.25M","1.75%"
"Nov 14, 2018","165.20","168.09","168.70","164.25","75.27M","-0.76%"
"Nov 13, 2018","166.47","167.15","169.48","166.00","64.13M","0.08%"
"Nov 12, 2018","166.33","170.33","170.64","166.18","62.58M","-3.03%"
"Nov 09, 2018","171.52","172.83","173.25","170.16","50.60M","-1.69%"
"Nov 08, 2018","174.46","174.76","175.30","173.63","40.30M","-0.64%"
"Nov 07, 2018","175.58","172.25","175.58","171.87","51.17M","3.14%"
"Nov 06, 2018","170.24","168.93","171.19","168.72","34.41M","0.76%"
"Nov 05, 2018","168.96","169.61","169.66","167.08","39.57M","-0.25%"
"Nov 02, 2018","169.38","171.53","172.55","168.22","75.97M","-1.56%"
"Nov 01, 2018","172.06","170.08","172.24","168.78","52.71M","1.32%"
"Oct 31, 2018","169.82","168.55","171.25","168.54","73.83M","2.35%"
"Oct 30, 2018","165.92","162.80","166.03","162.01","92.58M","1.65%"
"Oct 29, 2018","163.23","169.16","169.86","160.09","111.87M","-2.06%"
"Oct 26, 2018","166.66","165.24","169.96","164.23","130.97M","-2.57%"
"Oct 25, 2018","171.06","167.99","172.08","167.16","83.48M","3.46%"
"Oct 24, 2018","165.34","173.12","173.36","165.04","103.00M","-4.58%"
"Oct 23, 2018","173.27","170.79","174.13","168.82","77.57M","-0.37%"
"Oct 22, 2018","173.91","174.06","175.25","172.59","52.91M","0.51%"
"Oct 19, 2018","173.02","174.39","176.07","172.39","82.92M","-0.09%"
"Oct 18, 2018","173.18","176.60","176.68","172.44","82.49M","-2.32%"
"Oct 17, 2018","177.29","178.14","178.26","175.47","66.99M","0.04%"
"Oct 16, 2018","177.22","174.02","177.65","173.70","71.98M","2.91%"
"Oct 15, 2018","172.21","173.69","174.04","171.56","64.89M","-1.21%"
"Oct 12, 2018","174.32","173.99","174.86","170.93","102.08M","2.78%"
"Oct 11, 2018","169.60","171.04","173.40","167.81","143.08M","-1.24%"
"Oct 10, 2018","171.73","178.53","178.62","171.50","114.47M","-4.40%"
"Oct 09, 2018","179.63","179.20","181.02","178.75","49.10M","0.32%"
"Oct 08, 2018","179.05","179.37","180.64","176.93","66.86M","-0.61%"
"Oct 05, 2018","180.15","182.39","182.97","178.43","83.33M","-1.22%"
"Oct 04, 2018","182.38","185.22","185.32","181.06","80.56M","-1.92%"
"Oct 03, 2018","185.95","186.52","186.97","185.66","29.13M","0.11%"
"Oct 02, 2018","185.75","185.95","187.18","185.32","25.62M","-0.23%"
"Oct 01, 2018","186.17","186.82","187.53","185.70","27.37M","0.20%"
"Sep 28, 2018","185.79","185.25","186.28","184.97","28.08M","-0.02%"
"Sep 27, 2018","185.83","185.04","186.49","184.92","33.11M","0.85%"
"Sep 26, 2018","184.27","184.25","185.99","183.91","36.21M","0.07%"
"Sep 25, 2018","184.14","183.78","184.28","183.18","25.28M","0.14%"
"Sep 24, 2018","183.89","182.05","183.96","181.30","34.95M","0.10%"
"Sep 21, 2018","183.71","185.27","185.48","183.48","38.61M","-0.55%"
"Sep 20, 2018","184.72","183.95","184.97","183.52","33.30M","1.11%"
"Sep 19, 2018","182.70","182.86","183.30","181.51","31.84M","-0.08%"
"Sep 18, 2018","182.84","181.52","183.73","181.40","31.88M","0.83%"
"Sep 17, 2018","181.34","183.66","183.81","181.17","33.07M","-1.44%"
"Sep 14, 2018","183.99","184.66","184.94","183.26","31.22M","-0.29%"
"Sep 13, 2018","184.53","183.67","184.88","183.64","31.13M","1.07%"
"Sep 12, 2018","182.58","182.87","182.98","181.01","36.20M","-0.29%"
"Sep 11, 2018","183.12","180.97","183.42","180.52","30.12M","0.77%"
"Sep 10, 2018","181.72","182.12","182.25","180.72","26.13M","0.34%"
"Sep 07, 2018","181.11","180.53","182.67","180.44","46.63M","-0.39%"
"Sep 06, 2018","181.81","183.54","183.75","180.58","46.09M","-0.89%"
"Sep 05, 2018","183.45","185.55","185.55","182.82","42.62M","-1.29%"
"Sep 04, 2018","185.85","186.10","186.40","184.85","29.06M","-0.43%"
"Aug 31, 2018","186.65","186.18","187.18","185.98","28.65M","0.13%"
"Aug 30, 2018","186.41","186.41","187.52","185.79","29.32M","-0.18%"
"Aug 29, 2018","186.74","184.91","186.84","184.86","29.18M","1.15%"
"Aug 28, 2018","184.61","184.80","185.02","184.22","20.28M","0.15%"
"Aug 27, 2018","184.34","183.43","184.34","183.11","29.34M","1.02%"
"Aug 24, 2018","182.48","181.40","182.63","181.36","23.14M","0.93%"
"Aug 23, 2018","180.80","180.77","182.04","180.50","25.78M","-0.14%"
"Aug 22, 2018","181.06","179.96","181.27","179.75","18.04M","0.39%"
"Aug 21, 2018","180.36","180.26","181.44","180.13","26.26M","0.37%"
"Aug 20, 2018","179.70","180.28","180.33","179.00","24.94M","-0.09%"
"Aug 17, 2018","179.86","179.36","180.31","178.27","36.09M","0.02%"
"Aug 16, 2018","179.82","180.57","180.99","179.47","27.71M","0.33%"
"Aug 15, 2018","179.23","180.09","180.58","178.12","58.53M","-1.22%"
"Aug 14, 2018","181.45","181.01","181.66","180.04","20.91M","0.63%"
"Aug 13, 2018","180.32","180.85","182.01","180.24","26.09M","-0.11%"
"Aug 10, 2018","180.52","180.68","181.22","179.84","33.82M","-0.76%"
"Aug 09, 2018","181.91","181.94","182.63","181.64","18.85M","-0.06%"
"Aug 08, 2018","182.02","181.55","182.35","181.06","22.68M","0.12%"
