"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2021","70.20","69.66","70.52","69.61","622.49K","1.09%"
"Mar 09, 2021","69.44","69.83","70.50","69.02","1.06M","-0.88%"
"Mar 08, 2021","70.06","70.36","71.13","69.81","2.39M","0.70%"
"Mar 05, 2021","69.57","69.14","69.73","66.07","1.71M","2.44%"
"Mar 04, 2021","67.91","68.91","69.24","66.07","2.61M","-1.19%"
"Mar 03, 2021","68.73","68.54","70.10","68.54","2.07M","0.78%"
"Mar 02, 2021","68.20","68.66","69.07","68.06","1.82M","-0.42%"
"Mar 01, 2021","68.49","68.25","69.01","68.11","6.90M","2.50%"
"Feb 26, 2021","66.82","67.13","67.58","65.34","769.60K","-0.58%"
"Feb 25, 2021","67.21","70.03","70.06","66.80","1.07M","-3.35%"
"Feb 24, 2021","69.54","67.66","69.72","67.50","1.14M","3.28%"
"Feb 23, 2021","67.33","66.88","67.56","64.88","1.08M","0.81%"
"Feb 22, 2021","66.79","65.51","67.63","65.42","1.28M","2.00%"
"Feb 19, 2021","65.48","64.25","65.72","64.18","490.59K","2.92%"
"Feb 18, 2021","63.62","64.34","64.37","63.24","156.93K","-1.68%"
"Feb 17, 2021","64.71","64.67","65.00","64.01","437.26K","-0.14%"
"Feb 16, 2021","64.80","64.36","64.98","64.24","1.62M","2.16%"
"Feb 12, 2021","63.43","62.49","63.50","62.49","479.76K","1.05%"
"Feb 11, 2021","62.77","62.92","63.26","61.87","162.41K","-0.21%"
"Feb 10, 2021","62.90","62.72","63.23","62.08","246.32K","0.77%"
"Feb 09, 2021","62.42","62.57","62.71","61.99","220.90K","-0.79%"
"Feb 08, 2021","62.92","61.80","62.92","61.73","219.61K","2.71%"
"Feb 05, 2021","61.26","61.58","61.85","61.17","341.03K","0.51%"
"Feb 04, 2021","60.95","60.02","61.01","60.00","307.09K","2.21%"
"Feb 03, 2021","59.63","58.62","59.74","58.58","252.66K","2.09%"
"Feb 02, 2021","58.41","58.39","58.91","58.00","218.33K","1.97%"
"Feb 01, 2021","57.28","57.08","57.57","56.33","1.32M","1.54%"
"Jan 29, 2021","56.41","58.14","58.14","56.18","858.21K","-3.03%"
"Jan 28, 2021","58.17","57.72","58.64","57.58","497.34K","2.48%"
"Jan 27, 2021","56.76","57.46","57.86","56.48","535.19K","-3.11%"
"Jan 26, 2021","58.58","59.93","60.11","58.54","172.53K","-1.61%"
"Jan 25, 2021","59.54","59.98","59.98","58.45","410.04K","-1.47%"
"Jan 22, 2021","60.43","59.86","60.51","59.63","170.68K","-0.56%"
"Jan 21, 2021","60.77","61.59","61.66","60.49","446.20K","-1.44%"
"Jan 20, 2021","61.66","62.04","62.04","61.28","171.17K","0.18%"
"Jan 19, 2021","61.55","61.62","61.83","61.09","443.71K","0.98%"
"Jan 15, 2021","60.95","61.69","61.69","60.43","407.88K","-2.34%"
"Jan 14, 2021","62.41","61.61","62.93","61.61","485.20K","2.13%"
"Jan 13, 2021","61.11","61.61","61.61","60.82","173.41K","-0.99%"
"Jan 12, 2021","61.72","60.63","61.83","60.35","354.14K","2.37%"
"Jan 11, 2021","60.29","59.12","60.34","58.80","603.41K","0.23%"
"Jan 08, 2021","60.15","60.92","60.92","59.43","341.78K","-0.48%"
"Jan 07, 2021","60.44","60.15","60.99","60.11","355.45K","1.72%"
"Jan 06, 2021","59.42","58.08","60.10","58.08","682.43K","3.63%"
"Jan 05, 2021","57.34","55.87","57.98","55.87","320.90K","2.48%"
"Jan 04, 2021","55.95","57.18","57.36","55.50","790.10K","-1.44%"
"Dec 31, 2020","56.77","56.51","56.92","56.07","425.41K","0.26%"
"Dec 30, 2020","56.62","55.88","56.75","55.81","500.80K","1.60%"
"Dec 29, 2020","55.73","56.55","56.55","55.49","275.10K","-0.75%"
"Dec 28, 2020","56.15","56.58","56.98","56.11","309.45K","0.09%"
"Dec 24, 2020","56.10","56.34","56.34","55.60","315.37K","-0.12%"
"Dec 23, 2020","56.17","55.36","56.61","55.36","287.94K","2.16%"
