"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2021","55.99","55.84","56.01","55.59","3.39M","0.83%"
"Mar 09, 2021","55.53","55.59","56.06","55.53","6.35M","0.52%"
"Mar 08, 2021","55.24","55.10","55.95","55.09","6.33M","0.18%"
"Mar 05, 2021","55.14","54.36","55.26","54.05","12.59M","2.26%"
"Mar 04, 2021","53.92","54.49","54.90","53.62","13.67M","-1.03%"
"Mar 03, 2021","54.48","54.94","54.98","54.47","6.52M","-1.05%"
"Mar 02, 2021","55.06","55.24","55.39","54.94","3.94M","-0.33%"
"Mar 01, 2021","55.24","54.79","55.57","54.79","3.94M","1.53%"
"Feb 26, 2021","54.41","55.23","55.23","54.41","7.31M","-1.13%"
"Feb 25, 2021","55.03","55.48","55.82","54.88","7.83M","-1.04%"
"Feb 24, 2021","55.61","55.51","55.79","55.37","3.22M","-0.02%"
"Feb 23, 2021","55.62","55.63","55.85","55.27","4.16M","-0.14%"
"Feb 22, 2021","55.70","55.76","55.80","55.46","2.18M","-0.61%"
"Feb 19, 2021","56.04","56.72","56.76","56.01","2.48M","-1.11%"
"Feb 18, 2021","56.67","56.34","56.77","56.29","2.61M","0.04%"
"Feb 17, 2021","56.65","56.18","56.65","56.13","3.69M","0.69%"
"Feb 16, 2021","56.26","56.76","56.79","56.24","2.10M","-0.90%"
"Feb 12, 2021","56.77","56.42","56.78","56.41","1.94M","0.48%"
"Feb 11, 2021","56.50","56.78","56.81","56.31","1.89M","-0.37%"
"Feb 10, 2021","56.71","56.93","56.97","56.52","2.32M","-0.05%"
"Feb 09, 2021","56.74","56.59","56.77","56.47","2.32M","0.16%"
"Feb 08, 2021","56.65","56.52","56.65","56.37","2.50M","0.48%"
"Feb 05, 2021","56.38","56.21","56.47","56.21","1.91M","0.71%"
"Feb 04, 2021","55.98","55.71","56.04","55.67","2.07M","0.63%"
"Feb 03, 2021","55.63","55.87","55.89","55.46","3.40M","-0.55%"
"Feb 02, 2021","55.94","55.79","56.23","55.73","2.54M","0.85%"
"Feb 01, 2021","55.47","55.38","55.68","55.17","3.66M","0.62%"
"Jan 29, 2021","55.13","55.67","55.90","54.94","6.35M","-1.43%"
"Jan 28, 2021","55.93","56.15","56.82","55.89","3.68M","-0.04%"
"Jan 27, 2021","55.95","56.46","56.71","55.76","6.35M","-1.72%"
"Jan 26, 2021","56.93","56.77","57.03","56.59","3.58M","0.25%"
"Jan 25, 2021","56.79","56.28","57.05","56.28","3.00M","0.80%"
"Jan 22, 2021","56.34","56.22","56.49","56.11","1.56M","-0.04%"
"Jan 21, 2021","56.36","56.48","56.57","56.35","1.73M","-0.37%"
"Jan 20, 2021","56.57","56.32","56.65","56.20","2.90M","0.55%"
"Jan 19, 2021","56.26","56.26","56.39","56.09","2.27M","0.20%"
"Jan 15, 2021","56.15","55.81","56.28","55.70","2.53M","0.27%"
"Jan 14, 2021","56.00","56.26","56.29","55.94","2.36M","-0.41%"
"Jan 13, 2021","56.23","56.09","56.37","56.00","3.22M","0.20%"
"Jan 12, 2021","56.12","56.36","56.42","55.88","2.66M","-0.48%"
"Jan 11, 2021","56.39","56.45","56.71","56.32","2.12M","-0.46%"
"Jan 08, 2021","56.65","56.45","56.68","56.15","2.89M","0.39%"
"Jan 07, 2021","56.43","56.27","56.65","56.10","2.44M","0.37%"
"Jan 06, 2021","56.22","55.50","56.42","55.46","8.99M","0.84%"
"Jan 05, 2021","55.75","55.49","55.88","55.22","2.72M","0.31%"
"Jan 04, 2021","55.58","56.30","56.34","55.08","5.10M","-1.16%"
"Dec 31, 2020","56.23","55.69","56.29","55.57","2.30M","0.92%"
"Dec 30, 2020","55.72","55.84","55.98","55.65","1.30M","-0.16%"
"Dec 29, 2020","55.81","56.00","56.14","55.64","1.97M","-0.09%"
"Dec 28, 2020","55.86","55.94","56.03","55.71","1.89M","0.25%"
"Dec 24, 2020","55.72","55.48","55.72","55.45","1.18M","0.52%"
"Dec 23, 2020","55.43","55.60","55.73","55.42","2.07M","-0.07%"
"Dec 22, 2020","55.47","55.61","55.61","55.30","1.54M","-0.32%"
"Dec 21, 2020","55.65","55.61","55.71","54.83","3.71M","-0.89%"
"Dec 18, 2020","56.15","56.20","56.34","55.81","6.41M","-0.04%"
