"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2021","39.81","38.23","40.41","37.90","11.49M","5.79%"
"Jan 28, 2021","37.63","38.03","38.15","36.27","7.00M","-2.51%"
"Jan 27, 2021","38.60","37.01","39.30","37.00","10.36M","7.22%"
"Jan 26, 2021","36.00","35.55","36.05","35.43","3.33M","0.45%"
"Jan 25, 2021","35.84","36.01","37.50","35.71","7.39M","-1.19%"
"Jan 22, 2021","36.27","36.42","36.54","35.92","5.15M","1.06%"
"Jan 21, 2021","35.89","35.80","36.15","35.67","5.10M","-0.28%"
"Jan 20, 2021","35.99","36.82","36.92","35.70","4.60M","-4.08%"
"Jan 19, 2021","37.52","37.63","38.11","37.36","3.50M","-2.39%"
"Jan 15, 2021","38.44","38.14","39.04","37.87","7.22M","2.23%"
"Jan 14, 2021","37.60","36.99","37.73","36.83","3.83M","0.94%"
"Jan 13, 2021","37.25","37.55","37.80","36.91","3.92M","-0.67%"
"Jan 12, 2021","37.50","37.48","38.24","37.20","5.70M","-0.13%"
"Jan 11, 2021","37.55","37.80","37.84","37.01","13.32M","920.38%"
"Jan 08, 2021","3.68","3.70","3.81","3.67","29.28M","-1.60%"
"Jan 07, 2021","3.74","3.83","3.85","3.72","33.32M","-4.35%"
"Jan 06, 2021","3.91","4.06","4.06","3.81","51.01M","-2.25%"
"Jan 05, 2021","4.00","4.11","4.11","3.95","31.29M","-1.72%"
"Jan 04, 2021","4.07","3.87","4.20","3.87","52.91M","4.09%"
"Dec 31, 2020","3.91","3.98","4.00","3.89","25.91M","-1.76%"
"Dec 30, 2020","3.98","3.96","3.99","3.94","14.48M","-0.25%"
"Dec 29, 2020","3.99","3.92","4.02","3.91","25.85M","0.50%"
"Dec 28, 2020","3.97","3.99","4.01","3.96","17.18M","-2.70%"
"Dec 24, 2020","4.08","4.10","4.13","4.08","10.93M","-1.21%"
"Dec 23, 2020","4.13","4.11","4.13","4.06","15.62M","0.00%"
"Dec 22, 2020","4.13","4.10","4.18","4.10","18.74M","0.49%"
"Dec 21, 2020","4.11","4.22","4.31","4.08","40.89M","0.98%"
"Dec 18, 2020","4.07","4.01","4.14","4.01","24.30M","1.24%"
"Dec 17, 2020","4.02","4.03","4.07","4.02","16.67M","-1.71%"
"Dec 16, 2020","4.09","4.11","4.14","4.06","27.19M","-0.73%"
"Dec 15, 2020","4.12","4.18","4.24","4.11","27.90M","-3.74%"
"Dec 14, 2020","4.28","4.14","4.29","4.11","24.62M","1.42%"
"Dec 11, 2020","4.22","4.28","4.34","4.22","27.00M","0.00%"
"Dec 10, 2020","4.22","4.26","4.30","4.18","24.88M","0.48%"
"Dec 09, 2020","4.20","4.07","4.24","4.07","34.58M","2.19%"
"Dec 08, 2020","4.11","4.18","4.19","4.08","21.31M","-0.48%"
"Dec 07, 2020","4.13","4.15","4.18","4.12","18.74M","0.49%"
"Dec 04, 2020","4.11","4.21","4.21","4.11","21.87M","-2.84%"
"Dec 03, 2020","4.23","4.22","4.26","4.17","20.69M","0.24%"
"Dec 02, 2020","4.22","4.29","4.31","4.21","18.81M","-0.71%"
"Dec 01, 2020","4.25","4.28","4.29","4.18","31.22M","-3.19%"
"Nov 30, 2020","4.39","4.37","4.50","4.35","32.64M","1.15%"
"Nov 27, 2020","4.34","4.33","4.37","4.31","9.79M","-0.91%"
"Nov 25, 2020","4.38","4.35","4.41","4.35","23.04M","0.69%"
"Nov 24, 2020","4.35","4.46","4.50","4.33","36.89M","-4.81%"
"Nov 23, 2020","4.57","4.57","4.68","4.52","31.81M","-1.93%"
"Nov 20, 2020","4.66","4.57","4.66","4.56","21.87M","2.42%"
"Nov 19, 2020","4.55","4.64","4.70","4.54","34.26M","-1.52%"
"Nov 18, 2020","4.62","4.45","4.62","4.42","27.54M","3.82%"
"Nov 17, 2020","4.45","4.48","4.54","4.41","30.51M","1.37%"
"Nov 16, 2020","4.39","4.44","4.50","4.39","29.75M","-3.73%"
"Nov 13, 2020","4.56","4.67","4.70","4.52","33.98M","-4.20%"
"Nov 12, 2020","4.76","4.67","4.83","4.63","49.55M","2.81%"
"Nov 11, 2020","4.63","4.64","4.69","4.58","27.00M","-1.91%"
"Nov 10, 2020","4.72","4.76","4.87","4.68","42.54M","0.21%"
"Nov 09, 2020","4.71","4.30","4.73","4.29","62.07M","-3.48%"
"Nov 06, 2020","4.88","4.89","5.00","4.84","35.73M","0.00%"
"Nov 05, 2020","4.88","4.92","4.95","4.80","53.85M","-6.15%"
"Nov 04, 2020","5.20","5.35","5.39","4.98","86.24M","-6.47%"
"Nov 03, 2020","5.56","5.69","5.72","5.45","54.15M","-5.44%"
"Nov 02, 2020","5.88","5.89","6.05","5.76","44.50M","-3.45%"
"Oct 30, 2020","6.09","6.00","6.30","5.91","63.48M","3.40%"
"Oct 29, 2020","5.89","6.07","6.18","5.71","51.20M","-3.13%"
"Oct 28, 2020","6.08","5.83","6.12","5.79","57.23M","9.95%"
"Oct 27, 2020","5.53","5.46","5.54","5.43","35.08M","1.28%"
"Oct 26, 2020","5.46","5.34","5.64","5.30","41.92M","5.41%"
"Oct 23, 2020","5.18","5.17","5.30","5.17","22.93M","-1.15%"
"Oct 22, 2020","5.24","5.31","5.42","5.20","26.44M","-1.69%"
"Oct 21, 2020","5.33","5.30","5.34","5.18","31.96M","0.57%"
"Oct 20, 2020","5.30","5.30","5.33","5.12","32.29M","-1.12%"
"Oct 19, 2020","5.36","5.06","5.40","5.03","27.83M","4.48%"
"Oct 16, 2020","5.13","5.05","5.13","4.97","23.46M","0.20%"
"Oct 15, 2020","5.12","5.29","5.29","5.09","32.05M","0.59%"
"Oct 14, 2020","5.09","4.98","5.13","4.93","32.48M","1.60%"
"Oct 13, 2020","5.01","4.91","5.04","4.91","29.95M","2.24%"
"Oct 12, 2020","4.90","5.03","5.05","4.84","31.78M","-4.85%"
"Oct 11, 2020","5.15","5.15","5.15","5.15","-","0.00%"
"Oct 09, 2020","5.15","5.21","5.25","5.13","18.85M","-2.65%"
"Oct 08, 2020","5.29","5.35","5.39","5.29","18.16M","-2.76%"
"Oct 07, 2020","5.44","5.57","5.57","5.41","27.02M","-5.39%"
"Oct 06, 2020","5.75","5.50","5.77","5.39","36.32M","4.36%"
"Oct 05, 2020","5.51","5.70","5.70","5.50","22.99M","-5.16%"
"Oct 04, 2020","5.81","5.81","5.81","5.81","-","0.00%"
"Oct 03, 2020","5.81","5.81","5.81","5.81","-","0.00%"
"Oct 02, 2020","5.81","5.94","5.94","5.71","49.88M","2.65%"
"Oct 01, 2020","5.66","5.62","5.75","5.58","40.09M","-1.74%"
"Sep 30, 2020","5.76","5.85","5.87","5.59","44.66M","-2.54%"
"Sep 29, 2020","5.91","5.82","5.93","5.78","31.70M","1.72%"
"Sep 28, 2020","5.81","5.85","5.92","5.77","28.16M","-4.75%"
"Sep 27, 2020","6.10","6.10","6.10","6.10","-","0.00%"
"Sep 26, 2020","6.10","6.10","6.10","6.10","-","0.00%"
"Sep 25, 2020","6.10","6.47","6.53","6.07","41.91M","-4.84%"
"Sep 24, 2020","6.41","6.56","6.64","6.23","61.53M","-1.08%"
"Sep 23, 2020","6.48","6.03","6.50","6.01","41.31M","6.93%"
"Sep 22, 2020","6.06","6.16","6.30","6.03","35.78M","-3.19%"
"Sep 21, 2020","6.26","6.32","6.53","6.25","58.47M","3.47%"
"Sep 18, 2020","6.05","5.81","6.19","5.79","36.55M","3.42%"
"Sep 17, 2020","5.85","5.96","5.98","5.76","40.88M","2.63%"
"Sep 16, 2020","5.70","5.56","5.71","5.48","29.56M","1.42%"
"Sep 15, 2020","5.62","5.57","5.68","5.53","29.93M","-1.75%"
"Sep 14, 2020","5.72","5.76","5.79","5.62","30.59M","-3.87%"
"Sep 13, 2020","5.95","5.95","5.95","5.95","-","0.00%"
"Sep 11, 2020","5.95","5.86","6.12","5.79","54.90M","-0.17%"
"Sep 10, 2020","5.96","5.56","6.00","5.53","57.27M","5.30%"
"Sep 09, 2020","5.66","5.78","5.83","5.52","40.39M","-5.98%"
"Sep 08, 2020","6.02","5.88","6.03","5.79","51.97M","8.27%"
"Sep 04, 2020","5.56","5.41","5.93","5.31","92.20M","2.58%"
"Sep 03, 2020","5.42","5.00","5.54","4.99","88.45M","9.94%"
"Sep 02, 2020","4.93","5.06","5.11","4.88","42.88M","-4.09%"
"Sep 01, 2020","5.14","5.25","5.30","5.14","22.21M","-3.02%"
"Aug 31, 2020","5.30","5.26","5.30","5.21","26.92M","1.34%"
"Aug 30, 2020","5.23","5.23","5.23","5.23","-","0.00%"
"Aug 28, 2020","5.23","5.30","5.36","5.23","30.96M","-2.43%"
"Aug 27, 2020","5.36","5.33","5.43","5.28","42.73M","-0.37%"
"Aug 26, 2020","5.38","5.51","5.54","5.37","24.64M","-3.06%"
"Aug 25, 2020","5.55","5.57","5.63","5.55","19.98M","-0.89%"
"Aug 24, 2020","5.60","5.64","5.70","5.60","25.41M","-2.95%"
"Aug 23, 2020","5.77","5.77","5.77","5.77","-","0.00%"
"Aug 22, 2020","5.77","5.77","5.77","5.77","-","0.00%"
"Aug 21, 2020","5.77","5.86","5.88","5.77","20.17M","-1.37%"
"Aug 20, 2020","5.85","6.01","6.01","5.83","20.63M","-1.18%"
"Aug 19, 2020","5.92","5.80","5.93","5.78","32.36M","1.54%"
"Aug 18, 2020","5.83","5.85","5.93","5.80","19.27M","-0.68%"
"Aug 17, 2020","5.87","5.87","5.89","5.84","9.71M","-1.01%"
"Aug 14, 2020","5.93","5.95","5.98","5.89","19.23M","0.17%"
"Aug 13, 2020","5.92","5.91","5.97","5.85","26.56M","0.68%"
"Aug 12, 2020","5.88","6.00","6.00","5.85","29.07M","-4.39%"
"Aug 11, 2020","6.15","5.93","6.19","5.90","33.36M","2.33%"
"Aug 10, 2020","6.01","6.03","6.14","6.00","23.40M","-0.83%"
"Aug 09, 2020","6.06","6.06","6.06","6.06","-","0.00%"
"Aug 08, 2020","6.06","6.06","6.06","6.06","-","0.00%"
"Aug 07, 2020","6.06","6.13","6.18","6.05","26.14M","-0.16%"
"Aug 06, 2020","6.07","6.23","6.25","6.07","21.87M","-2.25%"
"Aug 05, 2020","6.21","6.24","6.24","6.18","24.30M","-1.58%"
"Aug 04, 2020","6.31","6.43","6.43","6.31","19.07M","-1.25%"
"Aug 03, 2020","6.39","6.41","6.45","6.34","20.79M","-1.99%"
"Aug 02, 2020","6.52","6.52","6.52","6.52","-","0.00%"
"Jul 31, 2020","6.52","6.57","6.85","6.52","37.72M","-2.40%"
"Jul 30, 2020","6.68","6.81","6.94","6.66","31.95M","1.21%"
"Jul 29, 2020","6.60","6.81","6.81","6.57","22.34M","-3.93%"
"Jul 28, 2020","6.87","6.73","6.88","6.71","27.10M","2.08%"
"Jul 27, 2020","6.73","6.83","6.89","6.72","21.54M","-2.18%"
"Jul 26, 2020","6.88","6.88","6.88","6.88","-","0.00%"
"Jul 25, 2020","6.88","6.88","6.88","6.88","-","0.00%"
"Jul 24, 2020","6.88","6.89","6.99","6.82","27.97M","1.78%"
"Jul 23, 2020","6.76","6.55","6.84","6.50","36.71M","3.84%"
"Jul 22, 2020","6.51","6.65","6.66","6.50","24.33M","-2.11%"
"Jul 21, 2020","6.65","6.56","6.70","6.52","30.66M","-0.60%"
"Jul 20, 2020","6.69","6.87","6.90","6.64","29.31M","-2.48%"
"Jul 17, 2020","6.86","6.85","6.98","6.79","23.43M","-0.58%"
"Jul 16, 2020","6.90","6.98","7.01","6.88","25.99M","0.88%"
"Jul 15, 2020","6.84","6.80","7.01","6.76","44.26M","-2.84%"
"Jul 14, 2020","7.04","7.43","7.51","7.02","60.13M","-3.83%"
"Jul 13, 2020","7.32","6.96","7.37","6.79","54.42M","2.66%"
"Jul 12, 2020","7.13","7.13","7.13","7.13","-","0.00%"
"Jul 11, 2020","7.13","7.13","7.13","7.13","-","0.00%"
"Jul 10, 2020","7.13","7.37","7.47","7.12","37.57M","-2.99%"
"Jul 09, 2020","7.35","7.19","7.62","7.18","46.30M","1.52%"
"Jul 08, 2020","7.24","7.36","7.48","7.24","34.20M","-2.29%"
"Jul 07, 2020","7.41","7.29","7.44","7.16","36.30M","2.92%"
"Jul 06, 2020","7.20","7.23","7.30","7.16","38.95M","-4.51%"
"Jul 05, 2020","7.54","7.54","7.54","7.54","-","0.00%"
"Jul 04, 2020","7.54","7.54","7.54","7.54","-","0.00%"
"Jul 02, 2020","7.54","7.38","7.59","7.29","44.31M","-1.57%"
"Jul 01, 2020","7.66","7.75","7.77","7.57","41.10M","-1.92%"
"Jun 30, 2020","7.81","8.19","8.19","7.69","47.96M","-4.29%"
"Jun 29, 2020","8.16","8.41","8.61","8.16","48.39M","-4.23%"
"Jun 26, 2020","8.52","8.05","8.57","8.03","60.36M","7.17%"
"Jun 25, 2020","7.95","8.29","8.45","7.93","58.50M","-3.17%"
"Jun 24, 2020","8.21","7.81","8.36","7.76","67.85M","7.32%"
"Jun 23, 2020","7.65","7.53","7.67","7.47","36.34M","-1.42%"
"Jun 22, 2020","7.76","7.95","8.03","7.72","35.31M","-1.77%"
"Jun 19, 2020","7.90","7.49","8.01","7.47","58.01M","1.80%"
