"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 16, 2020","41.40","40.82","41.44","40.60","1.69M","1.85%"
"Dec 15, 2020","40.65","40.27","40.78","40.05","2.61M","2.01%"
"Dec 14, 2020","39.85","40.96","41.12","39.80","2.29M","-1.14%"
"Dec 11, 2020","40.31","40.57","40.86","39.73","2.81M","-1.83%"
"Dec 10, 2020","41.06","41.09","41.63","40.92","2.42M","-0.44%"
"Dec 09, 2020","41.24","42.30","42.43","41.06","3.64M","-1.93%"
"Dec 08, 2020","42.05","41.13","42.05","41.13","1.48M","1.69%"
"Dec 07, 2020","41.35","41.18","41.41","41.08","1.50M","-0.17%"
"Dec 04, 2020","41.42","41.32","41.62","41.31","1.86M","0.80%"
"Dec 03, 2020","41.09","41.49","41.55","40.91","2.04M","-0.58%"
"Dec 02, 2020","41.33","41.13","41.71","41.11","1.96M","0.41%"
"Dec 01, 2020","41.16","41.54","41.71","41.08","2.69M","-0.46%"
"Nov 30, 2020","41.35","40.87","41.40","40.20","2.15M","0.88%"
"Nov 27, 2020","40.99","41.32","41.47","40.84","890.12K","-0.39%"
"Nov 25, 2020","41.15","40.37","41.19","40.11","1.77M","1.86%"
"Nov 24, 2020","40.40","40.46","40.52","40.06","1.88M","0.90%"
"Nov 23, 2020","40.04","40.05","40.38","39.68","2.38M","0.58%"
"Nov 20, 2020","39.81","39.80","40.19","39.73","2.25M","0.08%"
"Nov 19, 2020","39.78","39.61","40.09","39.32","2.38M","0.91%"
"Nov 18, 2020","39.42","40.36","40.58","39.39","2.69M","-1.89%"
"Nov 17, 2020","40.18","39.44","40.19","39.31","2.60M","0.95%"
"Nov 16, 2020","39.80","39.85","39.89","39.13","2.75M","1.04%"
"Nov 13, 2020","39.39","38.81","39.67","38.81","2.91M","3.25%"
"Nov 12, 2020","38.15","39.27","39.50","37.73","5.95M","-3.59%"
"Nov 11, 2020","39.57","39.43","39.95","39.18","3.07M","1.12%"
"Nov 10, 2020","39.13","39.03","39.16","38.31","4.51M","1.58%"
"Nov 09, 2020","38.52","39.41","40.25","38.52","7.17M","1.02%"
"Nov 06, 2020","38.13","37.09","38.13","37.02","3.86M","3.45%"
"Nov 05, 2020","36.86","37.15","37.33","36.66","3.18M","0.88%"
"Nov 04, 2020","36.54","35.77","36.69","35.73","5.17M","4.28%"
"Nov 03, 2020","35.04","34.63","35.26","34.52","2.40M","2.67%"
"Nov 02, 2020","34.13","34.50","34.55","33.88","3.48M","1.19%"
"Oct 30, 2020","33.73","33.99","34.24","33.40","5.26M","-1.75%"
"Oct 29, 2020","34.33","33.41","34.76","33.10","4.09M","3.81%"
"Oct 28, 2020","33.07","34.25","34.51","33.04","6.25M","-7.18%"
"Oct 27, 2020","35.63","35.71","36.01","35.32","3.32M","0.42%"
"Oct 26, 2020","35.48","36.91","37.12","35.37","4.73M","-5.13%"
"Oct 23, 2020","37.40","37.45","37.51","36.97","2.49M","-0.05%"
"Oct 22, 2020","37.42","36.99","37.57","36.84","3.31M","1.14%"
"Oct 21, 2020","37.00","36.64","37.09","36.41","3.57M","1.26%"
"Oct 20, 2020","36.54","36.67","36.82","36.44","3.62M","-0.03%"
"Oct 19, 2020","36.55","37.42","37.48","36.42","3.05M","-2.22%"
"Oct 16, 2020","37.38","37.54","37.79","37.37","2.70M","-0.27%"
"Oct 15, 2020","37.48","36.80","37.55","36.65","2.97M","-0.43%"
"Oct 14, 2020","37.64","37.65","37.96","37.38","3.42M","0.32%"
"Oct 13, 2020","37.52","37.54","37.63","37.10","2.92M","-0.50%"
"Oct 12, 2020","37.71","37.72","37.79","37.38","2.05M","0.88%"
"Oct 11, 2020","37.38","37.38","37.38","37.38","-","0.00%"
"Oct 09, 2020","37.38","37.00","37.39","36.96","2.57M","2.61%"
"Oct 08, 2020","36.43","35.92","36.46","35.82","2.73M","1.99%"
"Oct 07, 2020","35.72","35.48","35.83","35.42","1.89M","1.62%"
"Oct 06, 2020","35.15","35.54","35.86","34.97","2.94M","-0.65%"
"Oct 05, 2020","35.38","34.99","35.51","34.83","2.03M","1.46%"
"Oct 04, 2020","34.87","34.87","34.87","34.87","-","0.00%"
"Oct 03, 2020","34.87","34.87","34.87","34.87","-","0.00%"
"Oct 02, 2020","34.87","34.44","35.17","34.43","3.58M","-1.39%"
"Oct 01, 2020","35.36","35.64","35.67","35.13","2.85M","-0.39%"
"Sep 30, 2020","35.50","35.72","35.92","35.29","2.49M","0.00%"
"Sep 29, 2020","35.50","35.10","35.73","35.10","2.32M","1.08%"
"Sep 28, 2020","35.12","35.20","35.24","34.99","2.20M","0.17%"
"Sep 27, 2020","35.06","35.06","35.06","35.06","-","0.00%"
"Sep 26, 2020","35.06","35.06","35.06","35.06","-","0.00%"
"Sep 25, 2020","35.06","34.63","35.15","34.49","2.84M","1.27%"
"Sep 24, 2020","34.62","34.31","34.91","34.11","3.35M","0.96%"
"Sep 23, 2020","34.29","35.30","35.36","34.28","3.67M","-2.59%"
"Sep 22, 2020","35.20","35.35","35.38","34.75","2.74M","-0.37%"
"Sep 21, 2020","35.33","35.20","35.45","34.27","4.69M","-1.75%"
"Sep 18, 2020","35.96","36.08","36.47","35.51","3.12M","0.06%"
"Sep 17, 2020","35.94","34.92","36.01","34.92","3.36M","1.10%"
"Sep 16, 2020","35.55","35.63","36.01","35.53","2.89M","0.20%"
"Sep 15, 2020","35.48","35.63","35.72","35.19","2.89M","0.00%"
"Sep 14, 2020","35.48","35.38","35.70","35.21","3.28M","0.94%"
"Sep 13, 2020","35.15","35.15","35.15","35.15","-","0.00%"
"Sep 11, 2020","35.15","34.61","35.18","34.10","6.73M","3.14%"
"Sep 10, 2020","34.08","34.46","34.59","33.73","6.95M","-0.64%"
"Sep 09, 2020","34.30","33.90","34.58","33.72","4.54M","2.54%"
"Sep 08, 2020","33.45","31.73","33.50","31.62","7.14M","1.27%"
"Sep 04, 2020","33.03","32.07","33.27","30.52","11.94M","4.23%"
"Sep 03, 2020","31.69","33.76","34.35","31.11","13.56M","-6.77%"
"Sep 02, 2020","33.99","34.41","34.50","33.82","3.54M","-1.25%"
"Sep 01, 2020","34.42","34.63","34.82","34.30","3.01M","-0.78%"
"Aug 31, 2020","34.69","35.10","35.49","34.54","3.92M","-2.45%"
