"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 12, 2021","374.725","374.725","374.725","374.725","-","-0.02%"
"Apr 09, 2021","374.782","374.782","374.782","374.782","-","-0.01%"
"Apr 08, 2021","374.837","374.837","374.837","374.837","-","0.00%"
"Apr 07, 2021","374.835","374.835","374.835","374.835","-","0.02%"
"Apr 06, 2021","374.776","374.776","374.776","374.776","-","0.03%"
"Apr 05, 2021","374.657","374.657","374.657","374.657","-","0.03%"
"Apr 02, 2021","374.539","374.539","374.539","374.539","-","0.00%"
"Apr 01, 2021","374.535","374.535","374.535","374.535","-","0.00%"
"Mar 31, 2021","374.534","374.534","374.534","374.534","-","-0.02%"
"Mar 30, 2021","374.591","374.591","374.591","374.591","-","-0.02%"
"Mar 29, 2021","374.648","374.648","374.648","374.648","-","0.00%"
"Mar 26, 2021","374.647","374.647","374.647","374.647","-","-0.01%"
"Mar 25, 2021","374.702","374.702","374.702","374.702","-","0.02%"
"Mar 24, 2021","374.642","374.642","374.642","374.642","-","0.02%"
"Mar 23, 2021","374.582","374.582","374.582","374.582","-","0.00%"
"Mar 22, 2021","374.581","374.581","374.581","374.581","-","0.00%"
"Mar 19, 2021","374.580","374.580","374.580","374.580","-","0.02%"
"Mar 18, 2021","374.518","374.518","374.518","374.518","-","-0.06%"
"Mar 17, 2021","374.750","374.750","374.750","374.750","-","0.05%"
"Mar 16, 2021","374.573","374.573","374.573","374.573","-","0.00%"
"Mar 15, 2021","374.572","374.572","374.572","374.572","-","0.00%"
"Mar 12, 2021","374.571","374.571","374.571","374.571","-","-0.01%"
"Mar 11, 2021","374.626","374.626","374.626","374.626","-","0.02%"
"Mar 10, 2021","374.566","374.566","374.566","374.566","-","0.02%"
"Mar 09, 2021","374.506","374.506","374.506","374.506","-","0.00%"
"Mar 08, 2021","374.505","374.505","374.505","374.505","-","-0.03%"
"Mar 05, 2021","374.621","374.621","374.621","374.621","-","0.00%"
"Mar 04, 2021","374.617","374.617","374.617","374.617","-","-0.02%"
"Mar 03, 2021","374.674","374.674","374.674","374.674","-","-0.03%"
"Mar 02, 2021","374.790","374.790","374.790","374.790","-","0.00%"
"Mar 01, 2021","374.789","374.789","374.789","374.789","-","0.05%"
"Feb 26, 2021","374.612","374.612","374.612","374.612","-","0.03%"
"Feb 25, 2021","374.490","374.490","374.490","374.490","-","-0.08%"
"Feb 24, 2021","374.782","374.782","374.782","374.782","-","-0.02%"
"Feb 23, 2021","374.839","374.839","374.839","374.839","-","0.00%"
"Feb 22, 2021","374.838","374.838","374.838","374.838","-","-0.02%"
"Feb 19, 2021","374.896","374.896","374.896","374.896","-","0.00%"
"Feb 18, 2021","374.892","374.892","374.892","374.892","-","0.00%"
"Feb 17, 2021","374.890","374.890","374.890","374.890","-","0.02%"
"Feb 16, 2021","374.830","374.830","374.830","374.830","-","0.00%"
"Feb 15, 2021","374.829","374.829","374.829","374.829","-","0.00%"
"Feb 12, 2021","374.828","374.828","374.828","374.828","-","0.00%"
"Feb 11, 2021","374.824","374.824","374.824","374.824","-","0.00%"
"Feb 10, 2021","374.823","374.823","374.823","374.823","-","0.02%"
"Feb 09, 2021","374.762","374.762","374.762","374.762","-","-0.02%"
"Feb 08, 2021","374.820","374.820","374.820","374.820","-","0.00%"
"Feb 05, 2021","374.819","374.819","374.819","374.819","-","0.02%"
"Feb 04, 2021","374.756","374.756","374.756","374.756","-","0.00%"
"Feb 03, 2021","374.755","374.755","374.755","374.755","-","0.00%"
"Feb 02, 2021","374.753","374.753","374.753","374.753","-","0.00%"
"Feb 01, 2021","374.752","374.752","374.752","374.752","-","0.00%"
"Jan 29, 2021","374.751","374.751","374.751","374.751","-","0.02%"
"Jan 28, 2021","374.689","374.689","374.689","374.689","-","-0.02%"
"Jan 27, 2021","374.746","374.688","374.688","374.688","-","0.02%"
"Jan 26, 2021","374.686","374.686","374.686","374.686","-","0.00%"
"Jan 25, 2021","374.685","374.685","374.685","374.685","-","0.00%"
"Jan 22, 2021","374.684","374.684","374.684","374.684","-","0.00%"
