"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 16, 2020","111.12","111.25","111.39","110.79","113.83K","0.23%"
"Dec 15, 2020","110.86","110.32","110.97","110.05","100.85K","1.09%"
"Dec 14, 2020","109.67","110.70","110.80","109.65","92.94K","-0.72%"
"Dec 11, 2020","110.47","110.34","110.63","109.85","747.24K","-0.28%"
"Dec 10, 2020","110.78","110.08","111.00","109.91","67.39K","0.09%"
"Dec 09, 2020","110.68","111.83","112.03","110.33","60.09K","-0.62%"
"Dec 08, 2020","111.37","110.69","111.48","110.55","167.16K","0.32%"
"Dec 07, 2020","111.01","111.03","111.26","110.73","160.69K","-0.37%"
"Dec 04, 2020","111.42","110.74","111.42","110.74","125.32K","1.00%"
"Dec 03, 2020","110.32","110.43","110.84","110.23","60.04K","0.08%"
"Dec 02, 2020","110.23","109.64","110.26","109.47","33.63K","0.10%"
"Dec 01, 2020","110.12","109.94","110.44","109.81","161.95K","1.08%"
"Nov 30, 2020","108.94","109.37","109.54","108.35","986.95K","-0.57%"
"Nov 27, 2020","109.56","109.45","109.71","109.33","97.60K","0.45%"
"Nov 25, 2020","109.07","108.97","109.26","108.57","69.52K","-0.08%"
"Nov 24, 2020","109.16","108.40","109.21","108.13","65.75K","1.58%"
"Nov 23, 2020","107.46","107.63","107.86","106.91","57.74K","0.37%"
"Nov 20, 2020","107.06","107.40","107.46","107.01","36.70K","-0.29%"
"Nov 19, 2020","107.37","106.65","107.42","106.42","16.81K","0.61%"
"Nov 18, 2020","106.72","107.85","108.10","106.72","142.71K","-0.85%"
"Nov 17, 2020","107.64","107.44","108.03","107.06","26.85K","-0.27%"
"Nov 16, 2020","107.93","107.70","107.93","107.28","28.86K","1.17%"
"Nov 13, 2020","106.68","105.88","106.76","105.88","36.62K","1.24%"
"Nov 12, 2020","105.37","106.06","106.26","104.92","71.55K","-1.03%"
"Nov 11, 2020","106.47","106.36","106.61","106.03","105.99K","0.70%"
"Nov 10, 2020","105.73","105.62","106.07","104.98","46.10K","0.23%"
"Nov 09, 2020","105.49","107.97","108.27","105.33","87.99K","1.51%"
"Nov 06, 2020","103.92","103.87","104.35","103.46","56.87K","0.13%"
"Nov 05, 2020","103.78","103.59","104.18","103.35","86.86K","2.12%"
"Nov 04, 2020","101.63","100.84","102.78","100.57","69.40K","1.88%"
"Nov 03, 2020","99.75","99.07","100.11","98.80","97.39K","2.14%"
"Nov 02, 2020","97.66","97.60","98.09","96.84","66.47K","1.17%"
"Oct 30, 2020","96.53","97.00","97.11","95.64","214.75K","-1.02%"
"Oct 29, 2020","97.52","96.81","98.19","96.34","65.99K","0.86%"
"Oct 28, 2020","96.69","98.17","98.21","96.57","228.66K","-3.27%"
"Oct 27, 2020","99.96","100.49","100.60","99.94","72.79K","-0.50%"
"Oct 26, 2020","100.46","101.14","101.33","99.80","65.99K","-1.84%"
"Oct 23, 2020","102.34","102.30","102.36","101.73","27.61K","0.48%"
"Oct 22, 2020","101.85","101.51","102.02","100.88","22.50K","0.40%"
"Oct 21, 2020","101.44","101.78","102.37","101.42","76.67K","-0.40%"
"Oct 20, 2020","101.85","101.90","102.69","101.77","20.01K","0.45%"
"Oct 19, 2020","101.39","103.01","103.26","101.20","100.34K","-1.20%"
"Oct 16, 2020","102.62","102.96","103.44","102.61","116.83K","0.12%"
"Oct 15, 2020","102.50","101.62","102.52","101.62","17.18K","-0.42%"
"Oct 14, 2020","102.93","103.85","103.85","102.92","19.43K","-0.62%"
"Oct 13, 2020","103.57","103.85","103.89","103.38","25.16K","-0.60%"
"Oct 12, 2020","104.20","103.55","104.47","103.55","19.75K","1.26%"
"Oct 11, 2020","102.90","102.90","102.90","102.90","-","0.00%"
"Oct 09, 2020","102.90","102.61","103.00","102.53","28.58K","0.77%"
"Oct 08, 2020","102.11","101.79","102.18","101.79","33.39K","0.74%"
"Oct 07, 2020","101.36","100.99","101.56","100.99","53.78K","1.39%"
"Oct 06, 2020","99.97","101.22","101.70","99.78","42.06K","-1.20%"
"Oct 05, 2020","101.18","100.49","101.18","100.35","69.71K","1.79%"
"Oct 04, 2020","99.40","99.40","99.40","99.40","-","0.00%"
"Oct 03, 2020","99.40","99.40","99.40","99.40","-","0.00%"
"Oct 02, 2020","99.40","99.56","99.80","99.38","40.49K","-0.73%"
"Oct 01, 2020","100.13","100.35","100.35","99.85","57.34K","0.61%"
"Sep 30, 2020","99.52","99.77","100.27","99.52","22.91K","0.31%"
"Sep 29, 2020","99.21","99.32","99.32","99.14","23.32K","-0.33%"
"Sep 28, 2020","99.54","99.31","99.68","99.05","159.90K","1.61%"
"Sep 27, 2020","97.96","97.96","97.96","97.96","-","0.00%"
"Sep 26, 2020","97.96","97.96","97.96","97.96","-","0.00%"
"Sep 25, 2020","97.96","96.42","98.01","96.17","601.30K","1.23%"
"Sep 24, 2020","96.77","96.16","97.17","96.16","46.88K","0.23%"
"Sep 23, 2020","96.55","98.79","98.79","96.55","107.92K","-1.99%"
"Sep 22, 2020","98.51","98.22","98.51","97.64","41.75K","0.67%"
"Sep 21, 2020","97.85","97.20","97.88","96.33","84.75K","-1.67%"
"Sep 18, 2020","99.51","100.51","100.51","98.93","24.29K","-0.86%"
"Sep 17, 2020","100.37","99.86","100.37","99.67","16.11K","-0.60%"
"Sep 16, 2020","100.98","101.35","102.00","100.89","18.84K","-0.33%"
"Sep 15, 2020","101.31","101.75","101.75","101.15","22.29K","0.60%"
"Sep 14, 2020","100.71","100.48","101.13","100.27","279.02K","1.33%"
"Sep 13, 2020","99.39","99.39","99.39","99.39","-","0.00%"
"Sep 11, 2020","99.39","99.81","100.06","98.66","427.91K","0.26%"
"Sep 10, 2020","99.13","101.06","101.20","99.08","37.85K","-1.47%"
"Sep 09, 2020","100.61","100.02","101.33","100.02","190.86K","1.83%"
"Sep 08, 2020","98.80","99.21","99.71","98.77","55.97K","-2.32%"
"Sep 04, 2020","101.15","101.94","102.10","99.12","64.24K","-0.68%"
"Sep 03, 2020","101.84","104.44","104.44","101.26","81.75K","-3.05%"
"Sep 02, 2020","105.04","104.18","105.06","104.08","42.88K","1.16%"
"Sep 01, 2020","103.84","103.18","103.84","103.18","59.61K","0.85%"
"Aug 31, 2020","102.96","103.25","103.53","102.92","62.55K","-0.35%"
"Aug 30, 2020","103.32","103.32","103.32","103.32","-","0.00%"
"Aug 28, 2020","103.32","103.20","103.40","102.81","20.53K","0.59%"
"Aug 27, 2020","102.71","103.11","103.15","102.24","215.59K","-0.13%"
"Aug 26, 2020","102.84","102.05","102.84","102.05","27.46K","0.91%"
"Aug 25, 2020","101.91","101.86","101.91","101.40","52.80K","0.31%"
"Aug 24, 2020","101.59","101.53","101.59","101.28","33.82K","0.99%"
"Aug 23, 2020","100.59","100.59","100.59","100.59","-","0.00%"
"Aug 21, 2020","100.59","100.06","100.61","99.98","27.22K","0.07%"
"Aug 20, 2020","100.52","100.20","100.63","100.20","10.13K","0.21%"
"Aug 19, 2020","100.31","100.94","101.04","100.31","54.94K","-0.46%"
"Aug 18, 2020","100.77","100.95","100.95","100.76","90.86K","0.13%"
"Aug 17, 2020","100.64","100.49","100.65","100.38","224.20K","0.67%"
"Aug 14, 2020","99.97","99.95","100.13","99.67","31.19K","-0.27%"
"Aug 13, 2020","100.24","100.22","100.59","100.02","28.83K","-0.10%"
"Aug 12, 2020","100.34","99.97","100.62","99.93","110.78K","1.63%"
"Aug 11, 2020","98.73","100.02","100.04","98.71","22.92K","-0.41%"
"Aug 10, 2020","99.14","99.15","99.18","98.73","24.50K","0.29%"
"Aug 09, 2020","98.85","98.85","98.85","98.85","-","0.00%"
"Aug 08, 2020","98.85","98.85","98.85","98.85","-","0.00%"
"Aug 07, 2020","98.85","98.60","98.89","98.32","76.27K","-0.31%"
"Aug 06, 2020","99.16","98.65","99.16","98.54","14.32K","0.42%"
"Aug 05, 2020","98.75","98.89","98.97","98.67","30.60K","0.61%"
"Aug 04, 2020","98.15","97.69","98.15","97.60","14.55K","0.47%"
"Aug 03, 2020","97.69","97.40","97.77","97.40","9.88K","1.08%"
"Aug 02, 2020","96.65","96.65","96.65","96.65","-","0.00%"
"Jul 31, 2020","96.65","97.06","97.06","95.49","180.00K","-0.14%"
"Jul 30, 2020","96.79","96.08","96.90","95.52","471.81K","-0.60%"
"Jul 29, 2020","97.37","96.68","97.57","96.60","20.35K","1.16%"
"Jul 28, 2020","96.25","96.44","96.98","96.25","24.51K","-0.65%"
"Jul 27, 2020","96.88","96.74","96.95","96.57","14.75K","0.96%"
"Jul 26, 2020","95.96","95.96","95.96","95.96","-","0.00%"
"Jul 25, 2020","95.96","95.96","95.96","95.96","-","0.00%"
"Jul 24, 2020","95.96","95.87","96.17","95.71","66.84K","-0.62%"
"Jul 23, 2020","96.56","97.67","97.67","96.44","18.26K","-1.13%"
"Jul 22, 2020","97.66","97.39","97.68","97.12","37.30K","0.48%"
"Jul 21, 2020","97.19","97.57","97.64","97.10","43.67K","0.20%"
"Jul 20, 2020","97.00","96.28","97.17","96.08","34.65K","0.78%"
"Jul 17, 2020","96.25","96.21","96.37","95.72","224.32K","0.32%"
"Jul 16, 2020","95.94","95.81","96.11","95.64","222.75K","-0.46%"
"Jul 15, 2020","96.38","96.50","96.77","96.07","62.83K","1.05%"
"Jul 14, 2020","95.38","93.93","95.45","93.68","192.69K","1.38%"
"Jul 13, 2020","94.08","95.62","96.09","94.08","125.05K","-0.90%"
"Jul 12, 2020","94.93","94.93","94.93","94.93","-","0.00%"
"Jul 11, 2020","94.93","94.93","94.93","94.93","-","0.00%"
"Jul 10, 2020","94.93","94.37","94.93","94.29","21.29K","1.01%"
"Jul 09, 2020","93.98","94.42","94.56","93.07","53.45K","-0.67%"
"Jul 08, 2020","94.61","94.56","94.62","94.56","192.50K","0.85%"
"Jul 07, 2020","93.81","94.30","94.84","93.74","77.74K","-1.04%"
"Jul 06, 2020","94.80","94.74","95.02","94.52","42.54K","1.54%"
"Jul 05, 2020","93.36","93.36","93.36","93.36","-","0.00%"
"Jul 04, 2020","93.36","93.36","93.36","93.36","-","0.00%"
"Jul 02, 2020","93.36","93.94","94.30","93.24","82.76K","0.76%"
"Jul 01, 2020","92.66","92.29","92.77","92.28","54.38K","0.56%"
"Jun 30, 2020","92.14","91.12","92.37","91.12","104.43K","0.98%"
"Jun 29, 2020","91.25","90.40","91.28","90.23","252.39K","1.21%"
"Jun 26, 2020","90.16","91.80","91.82","90.08","43.54K","-2.15%"
"Jun 25, 2020","92.14","90.98","92.21","90.71","77.73K","1.26%"
"Jun 24, 2020","90.99","92.24","92.24","90.65","28.80K","-2.58%"
"Jun 23, 2020","93.40","94.00","94.00","93.33","51.56K","0.44%"
"Jun 22, 2020","92.99","92.26","93.02","91.91","115.81K","0.82%"
"Jun 19, 2020","92.23","93.79","93.79","91.93","33.76K","-0.51%"
"Jun 18, 2020","92.70","92.55","92.74","92.39","47.96K","-0.08%"
"Jun 17, 2020","92.77","93.29","93.35","92.68","60.29K","-0.10%"
"Jun 16, 2020","92.86","93.61","93.61","91.83","73.31K","1.66%"
"Jun 15, 2020","91.34","88.83","91.38","88.50","215.43K","-0.21%"
"Jun 12, 2020","91.53","92.69","92.78","89.94","146.38K","1.45%"
"Jun 11, 2020","90.22","93.11","93.30","90.14","121.96K","-5.68%"
"Jun 10, 2020","95.65","96.19","96.30","95.61","112.21K","-0.36%"
"Jun 09, 2020","96.00","95.58","96.37","95.58","58.76K","-0.93%"
"Jun 08, 2020","96.90","96.23","96.90","95.79","110.38K","1.22%"
"Jun 07, 2020","95.73","95.73","95.73","95.73","-","0.00%"
"Jun 05, 2020","95.73","95.45","96.16","95.43","67.80K","2.29%"
"Jun 04, 2020","93.59","93.76","93.77","93.27","17.17K","-0.38%"
"Jun 03, 2020","93.95","93.54","94.05","93.49","27.61K","1.59%"
"Jun 02, 2020","92.48","91.97","92.48","91.76","62.53K","0.89%"
"Jun 01, 2020","91.66","91.00","91.70","90.91","57.73K","1.06%"
"May 29, 2020","90.70","90.45","90.79","89.50","26.00K","0.17%"
"May 28, 2020","90.55","90.85","91.57","90.36","109.56K","0.19%"
"May 27, 2020","90.38","90.07","90.38","88.87","29.14K","1.45%"
"May 26, 2020","89.09","89.71","89.71","89.02","37.43K","1.86%"
"May 22, 2020","87.46","87.27","87.51","86.88","78.83K","0.02%"
"May 21, 2020","87.44","88.21","88.21","87.31","107.40K","-0.93%"
"May 20, 2020","88.26","88.08","88.56","87.92","162.22K","1.83%"
"May 19, 2020","86.67","87.24","87.73","86.67","130.91K","-1.07%"
"May 18, 2020","87.61","86.88","88.04","86.86","101.17K","3.23%"
"May 15, 2020","84.87","83.87","84.87","83.87","24.20K","0.44%"
"May 14, 2020","84.50","82.83","84.50","82.38","63.05K","0.48%"
"May 13, 2020","84.10","85.01","85.49","83.52","93.90K","-1.56%"
"May 12, 2020","85.43","87.33","87.40","85.43","82.50K","-1.87%"
"May 11, 2020","87.06","86.41","87.38","86.26","246.50K","0.06%"
"May 08, 2020","87.01","86.52","87.04","86.18","386.09K","1.99%"
"May 07, 2020","85.31","85.24","85.93","85.22","125.60K","1.32%"
"May 06, 2020","84.20","85.29","85.57","84.20","333.18K","-0.66%"
"May 05, 2020","84.76","85.19","85.71","84.76","532.63K","0.55%"
"May 04, 2020","84.30","83.51","84.36","83.25","329.35K","0.20%"
"May 03, 2020","84.13","84.13","84.13","84.13","-","0.00%"
"May 02, 2020","84.13","84.13","84.13","84.13","-","0.00%"
"May 01, 2020","84.13","84.61","84.99","83.76","344.70K","-2.58%"
"Apr 30, 2020","86.36","86.63","86.87","85.90","400.82K","-1.20%"
"Apr 29, 2020","87.41","87.00","88.09","86.73","97.47K","2.64%"
"Apr 28, 2020","85.16","86.44","86.68","85.11","46.36K","0.06%"
"Apr 27, 2020","85.11","84.44","85.46","84.39","302.91K","1.50%"
"Apr 24, 2020","83.85","83.32","84.05","82.78","355.93K","1.11%"
"Apr 23, 2020","82.93","83.42","84.37","82.82","59.04K","-0.05%"
"Apr 22, 2020","82.97","82.83","83.43","82.46","35.45K","1.98%"
"Apr 21, 2020","81.36","82.06","82.62","81.04","85.05K","-2.75%"
"Apr 20, 2020","83.66","83.70","84.96","83.57","135.55K","-1.43%"
"Apr 17, 2020","84.87","84.76","85.14","83.82","385.08K","2.62%"
"Apr 16, 2020","82.70","82.85","82.89","81.83","180.16K","0.27%"
"Apr 15, 2020","82.48","82.72","82.89","82.02","35.32K","-2.26%"
"Apr 14, 2020","84.39","83.86","84.75","83.54","248.50K","2.51%"
"Apr 13, 2020","82.32","82.66","83.17","81.46","67.69K","-0.84%"
"Apr 09, 2020","83.02","82.93","83.77","82.35","367.29K","1.83%"
"Apr 08, 2020","81.53","80.27","81.90","79.76","51.17K","2.39%"
"Apr 07, 2020","79.63","82.19","82.24","79.63","102.97K","0.18%"
"Apr 06, 2020","79.49","77.57","79.78","77.37","430.68K","6.31%"
"Apr 03, 2020","74.77","75.54","76.01","73.94","763.28K","-1.53%"
"Apr 02, 2020","75.93","74.43","76.18","74.10","245.12K","2.06%"
"Apr 01, 2020","74.40","75.57","75.91","73.93","359.62K","-4.53%"
"Mar 31, 2020","77.93","78.09","79.19","77.42","326.55K","-0.89%"
