Date,Price,Open,High,Low,Change %
17-Mar-21,1.646,1.627,1.687,1.616,1.53%
16-Mar-21,1.621,1.602,1.628,1.585,0.88%
15-Mar-21,1.607,1.637,1.639,1.595,-1.81%
14-Mar-21,1.637,1.639,1.639,1.637,0.76%
12-Mar-21,1.625,1.541,1.642,1.532,5.83%
11-Mar-21,1.535,1.521,1.547,1.475,0.92%
10-Mar-21,1.521,1.525,1.566,1.506,-0.45%
9-Mar-21,1.528,1.589,1.594,1.523,-4.67%
8-Mar-21,1.603,1.597,1.613,1.575,0.23%
7-Mar-21,1.599,1.597,1.599,1.597,1.44%
5-Mar-21,1.577,1.566,1.625,1.535,1.25%
4-Mar-21,1.557,1.486,1.569,1.45,4.91%
3-Mar-21,1.484,1.402,1.498,1.398,6.15%
2-Mar-21,1.398,1.424,1.453,1.39,-1.92%
1-Mar-21,1.426,1.395,1.46,1.383,2.21%
28-Feb-21,1.395,1.415,1.415,1.395,-0.85%
26-Feb-21,1.407,1.529,1.558,1.381,-8.08%
25-Feb-21,1.53,1.379,1.614,1.374,11.52%
24-Feb-21,1.372,1.343,1.435,1.33,2.16%
23-Feb-21,1.343,1.369,1.389,1.342,-1.86%
22-Feb-21,1.369,1.363,1.394,1.326,0.51%
21-Feb-21,1.362,1.367,1.367,1.362,1.65%
19-Feb-21,1.34,1.292,1.363,1.282,3.27%
18-Feb-21,1.297,1.274,1.318,1.258,1.19%
17-Feb-21,1.282,1.329,1.333,1.269,-2.18%
16-Feb-21,1.311,1.25,1.317,1.223,4.85%
15-Feb-21,1.25,1.25,1.25,1.25,3.32%
12-Feb-21,1.21,1.163,1.213,1.15,3.87%
11-Feb-21,1.165,1.147,1.166,1.132,3.61%
10-Feb-21,1.124,1.164,1.176,1.122,-3.10%
9-Feb-21,1.16,1.164,1.172,1.14,-1.32%
8-Feb-21,1.176,1.172,1.2,1.15,0.15%
7-Feb-21,1.174,1.177,1.177,1.174,0.44%
5-Feb-21,1.169,1.138,1.188,1.129,2.90%
4-Feb-21,1.136,1.143,1.162,1.131,-0.29%
3-Feb-21,1.139,1.108,1.141,1.105,4.07%
2-Feb-21,1.095,1.083,1.118,1.074,1.44%
1-Feb-21,1.079,1.071,1.089,1.06,0.79%
31-Jan-21,1.071,1.069,1.072,1.069,0.00%
29-Jan-21,1.071,1.048,1.105,1.042,1.80%
28-Jan-21,1.052,1.023,1.072,0.996,3.85%
27-Jan-21,1.013,1.04,1.05,1.001,-1.97%
26-Jan-21,1.033,1.043,1.053,1.028,0.00%
25-Jan-21,1.033,1.096,1.103,1.03,-5.73%
24-Jan-21,1.096,1.097,1.097,1.096,0.94%
22-Jan-21,1.086,1.113,1.118,1.08,-2.14%
21-Jan-21,1.109,1.085,1.123,1.077,3.01%
20-Jan-21,1.077,1.1,1.107,1.075,-1.39%
19-Jan-21,1.092,1.102,1.121,1.087,-0.77%
18-Jan-21,1.1,1.099,1.1,1.099,1.25%
15-Jan-21,1.087,1.128,1.128,1.084,-3.75%
14-Jan-21,1.129,1.085,1.138,1.075,3.44%
13-Jan-21,1.092,1.117,1.134,1.071,-3.31%
12-Jan-21,1.129,1.146,1.187,1.129,-1.33%
11-Jan-21,1.144,1.107,1.148,1.097,2.29%
10-Jan-21,1.119,1.119,1.119,1.119,0.00%
8-Jan-21,1.119,1.079,1.125,1.075,3.47%
7-Jan-21,1.081,1.037,1.088,1.029,4.07%
6-Jan-21,1.039,0.95,1.054,0.945,8.80%
5-Jan-21,0.955,0.922,0.963,0.916,4.00%
4-Jan-21,0.918,0.93,0.953,0.906,-1.25%
3-Jan-21,0.93,0.932,0.932,0.93,1.45%
31-Dec-20,0.916,0.927,0.937,0.911,-1.07%
30-Dec-20,0.926,0.935,0.956,0.923,-1.42%
29-Dec-20,0.94,0.936,0.951,0.928,1.80%
28-Dec-20,0.923,0.94,0.963,0.923,-1.59%
27-Dec-20,0.938,0.936,0.938,0.936,1.25%
24-Dec-20,0.926,0.951,0.955,0.921,-1.93%
23-Dec-20,0.945,0.918,0.973,0.903,2.53%
22-Dec-20,0.921,0.935,0.94,0.915,-1.77%
21-Dec-20,0.938,0.938,0.948,0.882,0.00%
20-Dec-20,0.938,0.936,0.938,0.936,-0.71%
18-Dec-20,0.945,0.931,0.951,0.915,1.07%
17-Dec-20,0.935,0.92,0.945,0.891,1.63%
16-Dec-20,0.92,0.911,0.955,0.901,0.91%
15-Dec-20,0.911,0.898,0.925,0.885,1.47%
14-Dec-20,0.898,0.911,0.939,0.888,-1.28%
13-Dec-20,0.91,0.908,0.91,0.908,1.48%
11-Dec-20,0.896,0.91,0.915,0.873,-1.09%
10-Dec-20,0.906,0.926,0.941,0.905,-3.35%
9-Dec-20,0.938,0.931,0.959,0.924,1.79%
8-Dec-20,0.921,0.928,0.941,0.893,-0.71%
7-Dec-20,0.928,0.974,0.974,0.924,-4.60%
4-Dec-20,0.973,0.91,0.986,0.901,6.73%
3-Dec-20,0.911,0.936,0.946,0.901,-2.82%
2-Dec-20,0.938,0.923,0.966,0.911,0.89%
