Date,Price,Open,High,Low,Change %
17-Mar-21,0.018,0.02,0.02,0.015,-41.78%
16-Mar-21,0.03,0.033,0.033,0.018,21.60%
15-Mar-21,0.025,0.033,0.038,0.02,-17.76%
14-Mar-21,0.03,0.03,0.03,0.03,0.00%
12-Mar-21,0.03,0.038,0.048,0.03,-21.05%
11-Mar-21,0.038,0.046,0.051,0.036,-7.32%
10-Mar-21,0.041,0.043,0.043,0.041,0.00%
9-Mar-21,0.041,0.048,0.053,0.041,0.00%
8-Mar-21,0.041,0.038,0.056,0.038,15.49%
7-Mar-21,0.036,0.036,0.036,0.036,-6.58%
5-Mar-21,0.038,0.038,0.043,0.038,0.00%
4-Mar-21,0.038,0.043,0.051,0.038,-7.32%
3-Mar-21,0.041,0.043,0.043,0.041,0.00%
2-Mar-21,0.041,0.041,0.051,0.041,17.14%
1-Mar-21,0.035,0.043,0.053,0.036,-13.79%
28-Feb-21,0.041,0.041,0.041,0.041,-5.80%
26-Feb-21,0.043,0.043,0.053,0.041,0.00%
25-Feb-21,0.043,0.038,0.048,0.036,30.30%
24-Feb-21,0.033,0.036,0.038,0.033,0.00%
23-Feb-21,0.033,0.036,0.041,0.033,10.00%
22-Feb-21,0.03,0.041,0.041,0.03,0.00%
21-Feb-21,0.03,0.03,0.03,0.03,-7.88%
19-Feb-21,0.033,0.041,0.043,0.03,-13.16%
18-Feb-21,0.038,0.048,0.051,0.033,-7.32%
17-Feb-21,0.041,0.043,0.051,0.041,0.00%
16-Feb-21,0.041,0.051,0.051,0.041,0.00%
15-Feb-21,0.041,0.041,0.041,0.041,0.00%
12-Feb-21,0.041,0.043,0.051,0.041,0.00%
11-Feb-21,0.041,0.051,0.051,0.041,0.00%
10-Feb-21,0.041,0.043,0.043,0.041,0.00%
9-Feb-21,0.041,0.043,0.046,0.036,36.67%
8-Feb-21,0.03,0.036,0.043,0.03,-21.05%
7-Feb-21,0.038,0.038,0.038,0.038,15.15%
5-Feb-21,0.033,0.043,0.043,0.028,-13.16%
4-Feb-21,0.038,0.051,0.056,0.036,-17.39%
3-Feb-21,0.046,0.058,0.058,0.046,-17.86%
2-Feb-21,0.056,0.063,0.076,0.056,0.00%
1-Feb-21,0.056,0.056,0.063,0.056,-11.67%
31-Jan-21,0.063,0.063,0.063,0.063,9.31%
29-Jan-21,0.058,0.063,0.071,0.053,-7.94%
28-Jan-21,0.063,0.071,0.081,0.063,-11.27%
27-Jan-21,0.071,0.081,0.081,0.071,-10.13%
26-Jan-21,0.079,0.089,0.091,0.076,3.95%
25-Jan-21,0.076,0.084,0.089,0.073,0.00%
24-Jan-21,0.076,0.076,0.076,0.076,-3.67%
22-Jan-21,0.079,0.091,0.091,0.076,-2.47%
21-Jan-21,0.081,0.084,0.094,0.079,0.00%
20-Jan-21,0.081,0.086,0.086,0.081,-8.99%
19-Jan-21,0.089,0.091,0.091,0.079,9.74%
18-Jan-21,0.081,0.081,0.081,0.081,0.00%
15-Jan-21,0.081,0.099,0.099,0.081,0.00%
14-Jan-21,0.081,0.094,0.099,0.081,-5.81%
