"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2021","9.42","10.04","10.09","9.37","103.65M","-4.94%"
"Feb 11, 2021","9.91","10.06","10.60","9.89","101.47M","-3.32%"
"Feb 10, 2021","10.25","9.91","10.69","9.88","125.82M","2.40%"
"Feb 09, 2021","10.01","10.14","10.25","9.82","63.11M","0.30%"
"Feb 08, 2021","9.98","10.00","10.22","9.97","59.35M","-0.70%"
"Feb 05, 2021","10.05","10.03","10.39","10.03","65.72M","-0.69%"
"Feb 04, 2021","10.12","10.47","10.50","10.11","80.19M","-6.56%"
"Feb 03, 2021","10.83","11.33","11.59","10.79","62.49M","-7.59%"
"Feb 02, 2021","11.72","12.45","12.50","11.52","65.21M","-12.80%"
"Feb 01, 2021","13.44","13.64","14.89","13.11","99.21M","-8.20%"
"Jan 29, 2021","14.64","13.89","15.37","12.77","162.84M","8.93%"
"Jan 28, 2021","13.44","12.95","13.88","12.38","103.00M","-3.10%"
"Jan 27, 2021","13.87","11.40","14.15","11.37","181.67M","31.47%"
"Jan 26, 2021","10.55","10.55","10.69","10.26","66.70M","-2.76%"
"Jan 25, 2021","10.85","10.36","11.49","10.25","115.59M","6.48%"
"Jan 22, 2021","10.19","10.38","10.46","10.03","62.85M","1.90%"
"Jan 21, 2021","10.00","10.14","10.39","10.00","59.30M","-1.28%"
"Jan 20, 2021","10.13","10.23","10.46","10.05","62.54M","-2.78%"
"Jan 19, 2021","10.42","10.48","10.73","10.34","54.77M","-4.40%"
"Jan 15, 2021","10.90","10.71","11.27","10.50","91.73M","3.91%"
"Jan 14, 2021","10.49","10.18","10.58","10.00","52.21M","1.65%"
"Jan 13, 2021","10.32","10.56","10.67","10.18","56.71M","-2.37%"
"Jan 12, 2021","10.57","10.74","11.23","10.51","57.42M","-4.69%"
"Jan 11, 2021","11.09","10.77","11.18","10.52","67.21M","8.62%"
"Jan 08, 2021","10.21","10.25","10.75","10.10","75.70M","-1.35%"
"Jan 07, 2021","10.35","10.62","10.71","10.34","61.63M","-8.81%"
"Jan 06, 2021","11.35","11.28","11.79","10.38","130.22M","-1.05%"
"Jan 05, 2021","11.47","12.48","12.48","11.30","70.21M","-4.66%"
"Jan 04, 2021","12.03","10.64","12.57","10.62","107.90M","12.96%"
"Dec 31, 2020","10.65","10.65","10.92","10.35","44.90M","-0.47%"
"Dec 30, 2020","10.70","11.20","11.28","10.61","40.52M","-5.14%"
"Dec 29, 2020","11.28","10.48","11.60","10.46","55.59M","5.52%"
"Dec 28, 2020","10.69","10.52","10.72","10.45","23.94M","-0.65%"
"Dec 24, 2020","10.76","11.01","11.02","10.76","20.49M","-4.44%"
"Dec 23, 2020","11.26","11.60","11.63","10.93","42.37M","-5.93%"
"Dec 22, 2020","11.97","12.08","12.34","11.88","38.06M","-2.29%"
"Dec 21, 2020","12.25","12.64","13.30","11.93","84.27M","11.16%"
"Dec 18, 2020","11.02","10.81","11.47","10.80","48.26M","3.18%"
"Dec 17, 2020","10.68","10.95","11.03","10.54","33.30M","-2.11%"
"Dec 16, 2020","10.91","11.45","11.60","10.90","30.00M","-4.97%"
"Dec 15, 2020","11.48","11.90","12.12","11.45","37.65M","-7.12%"
"Dec 14, 2020","12.36","11.32","12.36","11.18","38.69M","3.52%"
"Dec 11, 2020","11.94","11.70","12.38","11.45","62.55M","5.85%"
"Dec 10, 2020","11.28","11.26","11.40","10.83","45.93M","1.26%"
"Dec 09, 2020","11.14","10.38","11.28","10.26","68.95M","5.39%"
"Dec 08, 2020","10.57","11.27","11.30","10.55","32.45M","-4.95%"
"Dec 07, 2020","11.12","11.22","11.32","11.07","25.04M","0.54%"
"Dec 04, 2020","11.06","11.14","11.16","10.90","28.19M","-2.56%"
"Dec 03, 2020","11.35","11.00","11.50","10.95","27.95M","1.43%"
"Dec 02, 2020","11.19","11.32","11.33","10.84","36.56M","-0.89%"
"Dec 01, 2020","11.29","11.00","11.35","10.86","40.82M","1.26%"
"Nov 30, 2020","11.15","11.55","12.10","11.11","44.20M","-2.53%"
"Nov 27, 2020","11.44","11.19","11.58","11.05","18.79M","1.24%"
"Nov 25, 2020","11.30","12.04","12.25","11.30","39.47M","-5.75%"
"Nov 24, 2020","11.99","11.93","12.30","11.90","32.03M","-2.52%"
"Nov 23, 2020","12.30","12.29","12.68","12.00","37.03M","-1.68%"
"Nov 20, 2020","12.51","12.58","12.63","12.19","36.05M","-0.71%"
"Nov 19, 2020","12.60","12.74","13.03","12.28","34.36M","-2.17%"
