"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 02, 2021","161.22","162.36","162.36","160.42","263.20K","-0.69%"
"Mar 01, 2021","162.34","161.04","163.14","160.92","681.09K","2.83%"
"Feb 26, 2021","157.87","158.79","159.80","155.65","575.74K","-0.45%"
"Feb 25, 2021","158.59","163.47","163.84","158.10","706.48K","-2.85%"
"Feb 24, 2021","163.24","160.52","163.48","160.20","626.77K","2.07%"
"Feb 23, 2021","159.93","158.29","160.47","155.84","599.72K","0.18%"
"Feb 22, 2021","159.64","157.90","160.75","157.82","453.88K","0.68%"
"Feb 19, 2021","158.56","156.73","158.64","156.64","372.71K","2.01%"
"Feb 18, 2021","155.43","156.43","156.76","154.90","549.03K","-1.26%"
"Feb 17, 2021","157.41","157.31","158.00","156.01","605.66K","-0.53%"
"Feb 16, 2021","158.25","158.92","159.39","157.56","675.00K","0.18%"
"Feb 12, 2021","157.97","157.00","158.05","156.90","337.49K","0.38%"
"Feb 11, 2021","157.37","157.66","158.41","155.39","603.96K","0.11%"
"Feb 10, 2021","157.20","157.92","158.40","156.08","436.46K","0.08%"
"Feb 09, 2021","157.08","156.71","157.65","155.88","504.86K","0.15%"
"Feb 08, 2021","156.84","155.13","156.90","154.73","572.05K","1.98%"
"Feb 05, 2021","153.80","153.80","154.40","152.78","530.81K","0.88%"
"Feb 04, 2021","152.46","150.75","152.58","150.75","484.23K","1.50%"
"Feb 03, 2021","150.20","149.52","150.36","148.48","510.19K","0.62%"
"Feb 02, 2021","149.28","149.43","149.81","148.00","660.80K","1.07%"
"Feb 01, 2021","147.70","146.54","148.10","145.13","763.87K","1.78%"
"Jan 29, 2021","145.11","148.05","148.68","144.67","707.41K","-1.87%"
"Jan 28, 2021","147.88","148.24","149.50","147.42","511.46K","0.50%"
"Jan 27, 2021","147.14","148.04","149.10","146.44","1.01M","-2.02%"
"Jan 26, 2021","150.17","152.15","152.72","149.80","524.86K","-0.74%"
"Jan 25, 2021","151.29","151.55","152.89","149.50","463.52K","-0.24%"
"Jan 22, 2021","151.65","149.73","151.74","149.15","736.08K","0.49%"
"Jan 21, 2021","150.91","152.69","152.99","150.83","635.20K","-1.04%"
"Jan 20, 2021","152.49","152.31","153.00","151.61","1.08M","0.55%"
"Jan 19, 2021","151.65","152.14","152.35","150.72","720.50K","0.59%"
"Jan 15, 2021","150.76","151.11","151.35","148.91","1.04M","-1.16%"
"Jan 14, 2021","152.53","151.42","153.42","151.19","542.29K","1.39%"
"Jan 13, 2021","150.44","151.68","151.99","150.10","561.48K","-0.84%"
"Jan 12, 2021","151.71","149.74","151.80","149.56","3.56M","1.61%"
"Jan 11, 2021","149.30","147.24","149.53","146.76","567.32K","0.28%"
"Jan 08, 2021","148.89","150.71","150.71","147.12","677.49K","-0.51%"
"Jan 07, 2021","149.66","149.38","150.29","149.00","768.00K","0.88%"
