"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 16, 2020","47.19","47.10","47.26","46.94","6.43M","0.34%"
"Dec 15, 2020","47.03","46.76","47.06","46.67","6.57M","1.10%"
"Dec 14, 2020","46.52","46.88","46.92","46.50","6.76M","0.02%"
"Dec 11, 2020","46.51","46.42","46.53","46.25","8.14M","-0.34%"
"Dec 10, 2020","46.67","46.34","46.77","46.33","6.70M","0.21%"
"Dec 09, 2020","46.57","46.81","46.85","46.28","8.30M","0.13%"
"Dec 08, 2020","46.51","46.28","46.54","46.27","5.93M","0.24%"
"Dec 07, 2020","46.40","46.46","46.58","46.31","6.78M","-0.73%"
"Dec 04, 2020","46.74","46.60","46.74","46.60","6.51M","0.97%"
"Dec 03, 2020","46.29","46.31","46.48","46.20","6.18M","0.35%"
"Dec 02, 2020","46.13","45.90","46.16","45.86","13.05M","0.15%"
"Dec 01, 2020","46.06","45.84","46.10","45.80","13.03M","2.15%"
"Nov 30, 2020","45.09","45.81","45.85","45.07","11.96M","-1.98%"
"Nov 27, 2020","46.00","45.82","46.02","45.79","3.12M","0.70%"
"Nov 25, 2020","45.68","45.49","45.76","45.37","9.44M","-0.20%"
"Nov 24, 2020","45.77","45.44","45.80","45.41","7.32M","1.60%"
"Nov 23, 2020","45.05","45.24","45.31","44.90","9.52M","0.07%"
"Nov 20, 2020","45.02","44.89","45.10","44.85","5.00M","0.33%"
"Nov 19, 2020","44.87","44.56","44.90","44.47","6.34M","0.61%"
"Nov 18, 2020","44.60","44.90","45.06","44.60","6.70M","-0.54%"
"Nov 17, 2020","44.84","44.71","44.94","44.58","6.72M","-0.04%"
"Nov 16, 2020","44.86","44.80","44.88","44.62","7.57M","1.29%"
"Nov 13, 2020","44.29","43.96","44.35","43.95","5.99M","1.42%"
"Nov 12, 2020","43.67","43.97","44.08","43.56","7.21M","-1.44%"
"Nov 11, 2020","44.31","44.26","44.34","44.13","5.67M","0.84%"
"Nov 10, 2020","43.94","43.96","44.18","43.81","9.15M","0.73%"
"Nov 09, 2020","43.62","44.38","44.38","43.57","11.72M","2.73%"
"Nov 06, 2020","42.46","42.53","42.62","42.37","6.32M","0.21%"
"Nov 05, 2020","42.37","42.30","42.45","42.13","8.85M","2.42%"
"Nov 04, 2020","41.37","41.10","41.72","40.94","8.95M","1.03%"
"Nov 03, 2020","40.95","40.71","41.10","40.66","8.52M","2.55%"
"Nov 02, 2020","39.93","39.89","39.96","39.66","16.35M","1.22%"
"Oct 30, 2020","39.45","39.47","39.53","39.13","13.76M","-0.50%"
"Oct 29, 2020","39.65","39.49","39.79","39.29","10.04M","0.48%"
"Oct 28, 2020","39.46","39.81","39.89","39.45","11.67M","-2.93%"
"Oct 27, 2020","40.65","40.89","40.94","40.62","9.33M","-0.76%"
"Oct 26, 2020","40.96","41.19","41.27","40.72","9.57M","-1.87%"
"Oct 23, 2020","41.74","41.74","41.75","41.50","6.58M","0.55%"
"Oct 22, 2020","41.51","41.41","41.57","41.22","7.88M","0.10%"
"Oct 21, 2020","41.47","41.58","41.79","41.47","5.41M","-0.34%"
"Oct 20, 2020","41.61","41.67","41.83","41.59","6.59M","0.56%"
"Oct 19, 2020","41.38","41.77","41.82","41.34","7.37M","-0.43%"
"Oct 16, 2020","41.56","41.55","41.74","41.49","6.08M","0.31%"
"Oct 15, 2020","41.43","41.10","41.47","41.10","9.75M","-1.10%"
"Oct 14, 2020","41.89","42.13","42.18","41.85","8.04M","-0.21%"
"Oct 13, 2020","41.98","42.11","42.13","41.90","5.95M","-1.11%"
"Oct 12, 2020","42.45","42.30","42.49","42.29","3.95M","0.50%"
"Oct 11, 2020","42.24","42.24","42.24","42.24","-","0.00%"
"Oct 09, 2020","42.24","42.16","42.28","42.08","5.50M","0.67%"
"Oct 08, 2020","41.96","41.84","41.97","41.79","10.01M","0.74%"
"Oct 07, 2020","41.65","41.57","41.70","41.50","7.76M","0.95%"
"Oct 06, 2020","41.26","41.70","41.77","41.17","7.80M","-1.03%"
"Oct 05, 2020","41.69","41.39","41.70","41.39","5.01M","1.56%"
"Oct 04, 2020","41.05","41.05","41.05","41.05","-","0.00%"
"Oct 03, 2020","41.05","41.05","41.05","41.05","-","0.00%"
"Oct 02, 2020","41.05","40.61","41.13","40.60","10.67M","-0.22%"
"Oct 01, 2020","41.14","41.10","41.16","40.91","7.83M","0.59%"
"Sep 30, 2020","40.90","40.91","41.16","40.76","12.41M","-0.24%"
"Sep 29, 2020","41.00","41.01","41.15","40.84","6.71M","-0.15%"
"Sep 28, 2020","41.06","40.97","41.06","40.90","5.80M","1.63%"
"Sep 27, 2020","40.40","40.40","40.40","40.40","-","0.00%"
"Sep 26, 2020","40.40","40.40","40.40","40.40","-","0.00%"
"Sep 25, 2020","40.40","39.95","40.42","39.81","8.35M","0.37%"
"Sep 24, 2020","40.25","40.19","40.51","39.97","13.24M","-0.15%"
"Sep 23, 2020","40.31","40.94","40.95","40.27","8.21M","-1.03%"
"Sep 22, 2020","40.73","40.77","40.77","40.37","8.19M","-0.02%"
"Sep 21, 2020","40.74","40.73","40.77","40.29","10.46M","-2.95%"
"Sep 18, 2020","41.98","42.16","42.22","41.83","6.70M","-0.71%"
"Sep 17, 2020","42.28","41.93","42.29","41.91","5.82M","0.14%"
"Sep 16, 2020","42.22","42.38","42.54","42.17","5.25M","0.00%"
"Sep 15, 2020","42.22","42.39","42.40","42.15","10.68M","0.62%"
"Sep 14, 2020","41.96","42.05","42.13","41.93","4.91M","0.67%"
"Sep 13, 2020","41.68","41.68","41.68","41.68","-","0.00%"
"Sep 11, 2020","41.68","41.78","41.88","41.49","10.53M","0.92%"
"Sep 10, 2020","41.30","41.97","42.05","41.30","10.54M","-1.10%"
"Sep 09, 2020","41.76","41.66","41.92","41.59","12.64M","1.73%"
"Sep 08, 2020","41.05","41.02","41.39","40.90","14.94M","-1.23%"
"Sep 04, 2020","41.56","41.67","41.76","40.81","14.06M","0.19%"
"Sep 03, 2020","41.48","42.30","42.33","41.32","13.32M","-2.26%"
"Sep 02, 2020","42.44","42.20","42.45","42.04","10.01M","1.22%"
"Sep 01, 2020","41.93","41.87","42.01","41.74","11.48M","0.14%"
"Aug 31, 2020","41.87","42.03","42.13","41.80","18.62M","-0.69%"
"Aug 30, 2020","42.16","42.16","42.16","42.16","-","0.00%"
"Aug 28, 2020","42.16","42.12","42.18","41.90","12.33M","0.69%"
"Aug 27, 2020","41.87","42.31","42.31","41.71","7.42M","-1.02%"
"Aug 26, 2020","42.30","42.00","42.32","41.99","9.33M","0.74%"
"Aug 25, 2020","41.99","42.12","42.14","41.75","9.10M","0.21%"
"Aug 24, 2020","41.90","41.96","41.98","41.74","5.25M","1.21%"
"Aug 23, 2020","41.40","41.40","41.40","41.40","-","0.00%"
"Aug 21, 2020","41.40","41.18","41.41","41.13","9.28M","-0.53%"
"Aug 20, 2020","41.62","41.33","41.68","41.28","6.99M","-0.31%"
"Aug 19, 2020","41.75","42.12","42.16","41.72","6.27M","-0.55%"
"Aug 18, 2020","41.98","42.12","42.17","41.82","7.64M","-0.02%"
"Aug 17, 2020","41.99","41.92","42.03","41.89","7.22M","0.77%"
"Aug 14, 2020","41.67","41.61","41.76","41.56","8.77M","-0.62%"
"Aug 13, 2020","41.93","42.05","42.16","41.80","11.25M","-0.43%"
"Aug 12, 2020","42.11","42.04","42.27","41.98","9.03M","1.99%"
"Aug 11, 2020","41.29","41.80","41.81","41.24","10.32M","0.41%"
"Aug 10, 2020","41.12","41.02","41.12","40.91","6.54M","0.39%"
"Aug 09, 2020","40.96","40.96","40.96","40.96","-","0.00%"
"Aug 08, 2020","40.96","40.96","40.96","40.96","-","0.00%"
"Aug 07, 2020","40.96","40.77","40.96","40.69","5.77M","-0.41%"
"Aug 06, 2020","41.13","40.94","41.18","40.83","6.30M","0.22%"
"Aug 05, 2020","41.04","41.13","41.30","41.01","10.05M","0.54%"
"Aug 04, 2020","40.82","40.50","40.82","40.37","8.22M","0.79%"
"Aug 03, 2020","40.50","40.18","40.51","40.08","7.89M","1.73%"
"Aug 02, 2020","39.81","39.81","39.81","39.81","-","0.00%"
"Jul 31, 2020","39.81","40.38","40.41","39.55","19.44M","-1.95%"
"Jul 30, 2020","40.60","40.27","40.65","39.91","8.77M","-1.34%"
"Jul 29, 2020","41.15","40.92","41.22","40.83","9.35M","1.06%"
"Jul 28, 2020","40.72","40.79","40.92","40.67","5.73M","-0.46%"
"Jul 27, 2020","40.91","40.72","40.97","40.71","5.82M","1.39%"
"Jul 26, 2020","40.35","40.35","40.35","40.35","-","0.00%"
"Jul 25, 2020","40.35","40.35","40.35","40.35","-","0.00%"
"Jul 24, 2020","40.35","40.31","40.46","40.24","6.14M","-0.49%"
"Jul 23, 2020","40.55","40.79","40.94","40.44","7.81M","-0.83%"
"Jul 22, 2020","40.89","40.76","40.93","40.71","5.51M","0.27%"
"Jul 21, 2020","40.78","40.89","40.99","40.73","6.86M","0.39%"
"Jul 20, 2020","40.62","40.46","40.65","40.36","6.75M","0.57%"
"Jul 17, 2020","40.39","40.30","40.42","40.17","5.08M","0.50%"
"Jul 16, 2020","40.19","40.18","40.35","40.10","7.14M","-0.62%"
"Jul 15, 2020","40.44","40.53","40.70","40.33","12.28M","1.13%"
"Jul 14, 2020","39.99","39.46","40.03","39.44","10.33M","1.39%"
"Jul 13, 2020","39.44","39.91","40.12","39.37","8.72M","-0.53%"
"Jul 12, 2020","39.65","39.65","39.65","39.65","-","0.00%"
"Jul 11, 2020","39.65","39.65","39.65","39.65","-","0.00%"
"Jul 10, 2020","39.65","39.41","39.67","39.29","8.13M","0.94%"
"Jul 09, 2020","39.28","39.66","39.67","39.01","9.28M","-1.16%"
"Jul 08, 2020","39.74","39.42","39.74","39.34","7.95M","0.81%"
"Jul 07, 2020","39.42","39.58","39.78","39.38","8.05M","-1.38%"
"Jul 06, 2020","39.97","39.91","40.02","39.78","8.46M","1.68%"
"Jul 05, 2020","39.31","39.31","39.31","39.31","-","0.00%"
"Jul 04, 2020","39.31","39.31","39.31","39.31","-","0.00%"
"Jul 02, 2020","39.31","39.47","39.65","39.28","8.69M","1.00%"
"Jul 01, 2020","38.92","38.74","39.03","38.72","7.97M","0.34%"
"Jun 30, 2020","38.79","38.50","38.92","38.48","12.99M","-0.03%"
"Jun 29, 2020","38.80","38.65","38.84","38.43","11.59M","0.91%"
"Jun 26, 2020","38.45","38.96","38.96","38.40","13.67M","-1.51%"
"Jun 25, 2020","39.04","38.56","39.06","38.37","13.13M","1.32%"
"Jun 24, 2020","38.53","39.08","39.16","38.41","15.27M","-2.46%"
"Jun 23, 2020","39.50","39.73","39.81","39.47","9.75M","0.48%"
"Jun 22, 2020","39.31","39.15","39.36","38.96","9.30M","0.64%"
