"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2021","8.51","8.47","8.54","8.44","2.19M","-1.05%"
"Apr 07, 2021","8.60","8.82","8.84","8.55","3.84M","-3.04%"
"Apr 06, 2021","8.87","8.81","8.87","8.66","2.70M","0.91%"
"Apr 05, 2021","8.79","8.77","8.91","8.73","4.11M","-2.98%"
"Apr 01, 2021","9.06","9.21","9.26","8.98","4.33M","-3.10%"
"Mar 31, 2021","9.35","9.30","9.52","9.16","4.42M","-0.64%"
"Mar 30, 2021","9.41","9.83","9.94","9.41","4.50M","-4.66%"
"Mar 29, 2021","9.87","9.83","10.11","9.73","5.56M","2.81%"
"Mar 26, 2021","9.60","9.83","10.21","9.49","8.32M","-3.90%"
"Mar 25, 2021","9.99","10.38","10.88","9.95","7.91M","-3.10%"
"Mar 24, 2021","10.31","10.01","10.31","9.82","5.13M","0.59%"
"Mar 23, 2021","10.25","9.84","10.41","9.81","7.33M","5.13%"
"Mar 22, 2021","9.75","10.32","10.39","9.70","5.71M","-7.50%"
"Mar 21, 2021","10.54","10.54","10.54","10.54","-","0.00%"
"Mar 19, 2021","10.54","10.81","11.10","10.40","6.25M","-3.21%"
"Mar 18, 2021","10.89","10.52","10.97","10.32","6.98M","5.73%"
"Mar 17, 2021","10.30","10.91","10.95","10.30","7.90M","-4.54%"
"Mar 16, 2021","10.79","10.76","10.79","10.46","6.82M","0.00%"
"Mar 15, 2021","10.79","11.40","11.48","10.73","5.35M","-5.68%"
"Mar 14, 2021","11.44","11.44","11.44","11.44","-","0.00%"
"Mar 12, 2021","11.44","11.87","11.90","11.44","4.33M","-1.72%"
"Mar 11, 2021","11.64","11.76","11.77","11.57","4.35M","-2.59%"
"Mar 10, 2021","11.95","11.77","12.03","11.77","5.20M","-1.16%"
"Mar 09, 2021","12.09","12.24","12.30","11.95","6.19M","-4.80%"
"Mar 08, 2021","12.70","12.41","12.70","12.15","8.98M","2.42%"
"Mar 05, 2021","12.40","12.83","13.71","12.34","20.90M","-6.91%"
"Mar 04, 2021","13.32","12.64","13.90","12.35","23.40M","4.14%"
"Mar 03, 2021","12.79","12.17","12.79","12.06","10.23M","4.41%"
"Mar 02, 2021","12.25","12.17","12.31","12.00","7.69M","1.66%"
"Mar 01, 2021","12.05","12.34","12.34","11.99","9.27M","-7.66%"
"Feb 26, 2021","13.05","13.17","14.15","12.81","19.22M","-4.74%"
"Feb 25, 2021","13.70","12.10","14.08","11.91","23.71M","15.51%"
"Feb 24, 2021","11.86","12.68","12.80","11.82","8.19M","-3.81%"
"Feb 23, 2021","12.33","12.96","13.59","12.32","10.51M","-4.12%"
"Feb 22, 2021","12.86","12.79","12.89","12.41","6.30M","4.21%"
"Feb 19, 2021","12.34","12.70","12.74","12.23","8.11M","-3.89%"
"Feb 18, 2021","12.84","13.13","13.27","12.70","6.96M","0.86%"
"Feb 17, 2021","12.73","13.22","13.45","12.71","7.58M","-1.39%"
"Feb 16, 2021","12.91","12.96","13.17","12.77","7.29M","0.16%"
"Feb 12, 2021","12.89","13.46","13.47","12.86","7.59M","-3.23%"
"Feb 11, 2021","13.32","13.49","13.96","13.32","6.90M","-2.27%"
"Feb 10, 2021","13.63","13.35","14.05","13.32","11.85M","1.41%"
"Feb 09, 2021","13.44","13.55","13.66","13.27","5.35M","0.52%"
"Feb 08, 2021","13.37","13.42","13.62","13.37","6.66M","-0.78%"
"Feb 05, 2021","13.48","13.46","13.77","13.45","7.26M","-0.26%"
"Feb 04, 2021","13.51","13.83","13.86","13.51","4.66M","-4.39%"
"Feb 03, 2021","14.13","14.56","14.79","14.11","5.33M","-5.36%"
"Feb 02, 2021","14.93","15.50","15.53","14.73","8.14M","-8.35%"
"Feb 01, 2021","16.29","16.45","17.42","16.06","12.14M","-5.84%"
"Jan 29, 2021","17.30","16.62","17.82","15.72","20.52M","6.53%"
"Jan 28, 2021","16.24","15.86","16.60","15.43","19.42M","-2.05%"
"Jan 27, 2021","16.58","14.47","16.85","14.44","22.60M","20.76%"
"Jan 26, 2021","13.73","13.73","13.84","13.47","4.97M","-1.65%"
"Jan 25, 2021","13.96","13.56","14.56","13.46","12.35M","4.02%"
"Jan 22, 2021","13.42","13.58","13.65","13.27","4.89M","1.44%"
"Jan 21, 2021","13.23","13.35","13.57","13.23","4.19M","-0.82%"
"Jan 20, 2021","13.34","13.44","13.63","13.28","7.09M","-2.06%"
"Jan 19, 2021","13.62","13.66","13.88","13.54","8.00M","-2.78%"
"Jan 15, 2021","14.01","13.87","14.35","13.67","6.87M","2.49%"
"Jan 14, 2021","13.67","13.40","13.75","13.23","5.33M","1.26%"
"Jan 13, 2021","13.50","13.71","13.81","13.39","3.72M","-1.57%"
"Jan 12, 2021","13.72","13.88","14.29","13.68","5.18M","-3.42%"
"Jan 11, 2021","14.20","13.89","14.25","13.67","6.11M","6.13%"
"Jan 08, 2021","13.38","13.44","13.86","13.30","6.99M","-0.96%"
