"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 11, 2021","206.99","206.01","207.81","205.74","4.10M","1.31%"
"Mar 10, 2021","204.32","204.41","205.25","203.76","4.13M","0.71%"
"Mar 09, 2021","202.87","202.36","204.34","201.78","4.12M","1.55%"
"Mar 08, 2021","199.77","201.41","202.89","199.63","4.28M","-0.49%"
"Mar 05, 2021","200.75","199.37","201.21","194.11","6.61M","1.81%"
"Mar 04, 2021","197.19","200.04","201.24","194.52","7.18M","-1.58%"
"Mar 03, 2021","200.36","203.22","203.54","200.18","4.33M","-1.44%"
"Mar 02, 2021","203.29","205.50","205.55","203.17","4.84M","-0.94%"
"Mar 01, 2021","205.22","203.15","205.85","203.07","4.69M","2.57%"
"Feb 26, 2021","200.08","201.99","202.69","198.55","6.32M","-0.40%"
"Feb 25, 2021","200.88","205.74","206.38","200.00","7.57M","-2.61%"
"Feb 24, 2021","206.27","203.60","206.48","202.77","3.72M","1.12%"
"Feb 23, 2021","203.98","202.55","204.68","199.36","5.68M","-0.01%"
"Feb 22, 2021","204.01","204.72","205.53","203.91","4.40M","-0.95%"
"Feb 19, 2021","205.97","206.43","207.03","205.65","4.92M","0.23%"
"Feb 18, 2021","205.50","205.23","206.09","204.01","3.66M","-0.58%"
"Feb 17, 2021","206.69","206.02","206.90","205.04","4.48M","-0.21%"
"Feb 16, 2021","207.12","208.31","208.39","206.52","4.95M","-0.18%"
"Feb 12, 2021","207.49","205.89","207.51","205.80","2.42M","0.52%"
"Feb 11, 2021","206.42","206.70","206.94","204.82","2.63M","0.24%"
"Feb 10, 2021","205.93","207.07","207.22","204.45","3.68M","-0.04%"
"Feb 09, 2021","206.02","205.60","206.45","205.25","3.38M","0.04%"
"Feb 08, 2021","205.94","205.19","205.98","204.78","3.67M","0.90%"
"Feb 05, 2021","204.11","204.12","204.29","203.16","3.13M","0.56%"
"Feb 04, 2021","202.97","201.16","202.97","201.03","2.74M","1.27%"
"Feb 03, 2021","200.43","200.82","201.26","199.59","2.90M","0.15%"
"Feb 02, 2021","200.13","199.20","200.96","199.05","3.27M","1.43%"
"Feb 01, 2021","197.30","195.88","197.73","194.53","3.89M","1.71%"
"Jan 29, 2021","193.99","196.74","197.25","192.82","8.32M","-1.75%"
"Jan 28, 2021","197.45","196.84","199.68","196.74","5.31M","0.79%"
"Jan 27, 2021","195.91","199.05","199.08","194.65","6.72M","-2.40%"
"Jan 26, 2021","200.73","201.89","202.34","200.68","4.04M","-0.36%"
"Jan 25, 2021","201.46","201.27","201.95","198.35","5.32M","0.28%"
"Jan 22, 2021","200.89","200.26","201.31","199.96","3.05M","-0.16%"
"Jan 21, 2021","201.22","201.85","202.00","200.78","2.96M","-0.07%"
"Jan 20, 2021","201.37","200.08","201.76","199.97","5.22M","1.26%"
"Jan 19, 2021","198.86","198.66","199.04","197.83","4.15M","0.91%"
"Jan 15, 2021","197.06","197.96","198.25","195.98","3.44M","-0.87%"
"Jan 14, 2021","198.79","199.55","200.03","198.51","4.29M","-0.10%"
"Jan 13, 2021","198.98","198.73","199.58","198.05","3.46M","0.11%"
"Jan 12, 2021","198.76","198.37","198.99","197.34","3.87M","0.35%"
"Jan 11, 2021","198.06","197.42","199.06","197.22","3.86M","-0.60%"
"Jan 08, 2021","199.25","199.14","199.46","196.98","7.54M","0.48%"
"Jan 07, 2021","198.29","196.42","198.62","196.40","4.82M","1.60%"
"Jan 06, 2021","195.16","192.50","196.89","192.46","6.17M","0.90%"
"Jan 05, 2021","193.42","191.49","193.95","191.42","3.89M","0.81%"
"Jan 04, 2021","191.87","195.39","195.43","189.76","8.81M","-1.42%"
"Dec 31, 2020","194.64","193.75","194.87","193.25","3.75M","0.46%"
"Dec 30, 2020","193.75","193.90","194.38","193.60","4.31M","0.27%"
"Dec 29, 2020","193.23","194.86","194.95","192.82","4.60M","-0.42%"
"Dec 28, 2020","194.04","194.59","194.60","193.80","3.77M","0.63%"
"Dec 24, 2020","192.82","192.88","193.00","192.24","1.74M","-0.24%"
"Dec 23, 2020","193.28","193.65","194.21","193.16","3.45M","0.17%"
"Dec 22, 2020","192.95","193.31","193.48","192.21","4.34M","0.02%"
"Dec 21, 2020","192.91","191.60","193.35","189.82","4.87M","-0.29%"
"Dec 18, 2020","193.47","194.38","194.47","192.21","4.54M","-0.28%"
"Dec 17, 2020","194.02","193.42","194.02","193.21","4.13M","0.78%"
"Dec 16, 2020","192.51","192.47","192.99","191.89","2.98M","0.14%"
"Dec 15, 2020","192.24","191.19","192.27","190.38","3.23M","1.37%"
"Dec 14, 2020","189.64","191.69","192.19","189.58","3.53M","-0.28%"
"Dec 11, 2020","190.18","189.56","190.37","188.60","3.46M","-0.18%"
"Dec 10, 2020","190.52","189.33","190.91","188.71","3.22M","0.15%"
"Dec 09, 2020","190.24","192.54","192.64","189.51","4.46M","-0.98%"
"Dec 08, 2020","192.13","190.64","192.39","190.60","3.44M","0.43%"
"Dec 07, 2020","191.30","191.30","191.50","190.62","4.32M","-0.11%"
"Dec 04, 2020","191.51","190.00","191.51","189.99","4.40M","1.00%"
"Dec 03, 2020","189.61","189.32","190.30","189.02","4.41M","0.20%"
"Dec 02, 2020","189.23","188.44","189.29","187.80","3.83M","0.08%"
"Dec 01, 2020","189.07","189.17","189.80","188.65","3.87M","1.27%"
"Nov 30, 2020","186.70","188.06","188.13","185.54","3.72M","-0.79%"
"Nov 27, 2020","188.18","188.13","188.37","187.68","1.74M","0.35%"
"Nov 25, 2020","187.52","187.45","187.68","186.57","3.46M","-0.04%"
"Nov 24, 2020","187.59","186.29","187.82","185.60","5.38M","1.55%"
"Nov 23, 2020","184.73","184.29","185.20","183.37","4.33M","0.82%"
"Nov 20, 2020","183.23","184.17","184.17","183.16","2.79M","-0.53%"
"Nov 19, 2020","184.20","183.00","184.35","182.21","3.04M","0.56%"
