"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 17, 2021","122.83","123.99","127.13","120.75","-","-1.47%"
"Feb 16, 2021","124.66","119.81","126.83","118.75","-","5.12%"
"Feb 12, 2021","118.59","115.66","121.50","115.45","-","2.04%"
"Feb 11, 2021","116.22","113.19","118.41","112.73","-","1.12%"
"Feb 10, 2021","114.93","112.11","119.07","111.44","-","6.28%"
"Feb 09, 2021","108.14","108.39","110.43","106.46","-","1.44%"
"Feb 08, 2021","106.61","110.28","110.57","106.61","-","-0.96%"
"Feb 05, 2021","107.64","108.02","110.29","107.00","-","-0.77%"
"Feb 04, 2021","108.47","109.94","109.94","107.13","-","-2.31%"
"Feb 03, 2021","111.03","116.41","116.81","110.78","-","-6.78%"
"Feb 02, 2021","119.10","123.40","123.72","115.51","-","-7.99%"
"Feb 01, 2021","129.44","134.85","140.80","129.18","-","-5.75%"
"Jan 29, 2021","137.33","136.08","148.90","130.37","-","3.09%"
"Jan 28, 2021","133.22","136.93","136.93","128.27","-","-15.52%"
"Jan 27, 2021","157.69","123.87","168.78","121.23","-","36.75%"
"Jan 26, 2021","115.31","114.55","117.11","113.50","-","-1.13%"
"Jan 25, 2021","116.63","114.86","128.52","114.20","-","4.33%"
"Jan 22, 2021","111.79","115.79","115.88","111.18","-","-0.71%"
"Jan 21, 2021","112.59","113.57","115.12","111.66","-","-1.38%"
"Jan 20, 2021","114.17","118.04","118.34","112.53","-","-5.42%"
"Jan 19, 2021","120.71","118.74","121.27","118.17","-","-2.85%"
"Jan 15, 2021","124.25","123.59","127.61","119.60","-","1.20%"
"Jan 14, 2021","122.78","117.19","123.38","116.08","-","4.26%"
"Jan 13, 2021","117.76","119.34","120.11","116.79","-","1.70%"
"Jan 12, 2021","115.79","117.50","119.98","114.89","-","-2.53%"
"Jan 11, 2021","118.80","118.35","120.74","115.88","-","7.03%"
"Jan 08, 2021","111.00","109.00","114.61","107.75","-","1.48%"
"Jan 07, 2021","109.38","114.86","114.86","109.38","-","-8.77%"
"Jan 06, 2021","119.90","116.61","123.90","111.31","-","-0.14%"
"Jan 05, 2021","120.07","125.92","125.92","118.43","-","-3.67%"
"Jan 04, 2021","124.65","114.30","131.39","113.90","-","11.43%"
"Dec 31, 2020","111.86","110.98","113.09","109.33","-","-0.16%"
"Dec 30, 2020","112.04","114.96","116.07","111.74","-","-3.64%"
"Dec 29, 2020","116.27","113.07","117.58","113.07","-","1.63%"
"Dec 28, 2020","114.40","115.03","115.26","113.48","-","-0.75%"
"Dec 24, 2020","115.26","116.29","117.09","115.08","-","-2.58%"
"Dec 23, 2020","118.31","116.95","118.82","115.17","-","-1.87%"
"Dec 22, 2020","120.57","120.39","120.99","117.22","-","-0.86%"
"Dec 21, 2020","121.61","124.33","127.79","119.28","-","10.25%"
"Dec 18, 2020","110.30","110.06","115.10","110.06","-","0.08%"
"Dec 17, 2020","110.21","110.42","110.76","108.22","-","-1.47%"
"Dec 16, 2020","111.85","118.40","119.32","109.86","-","-6.10%"
"Dec 15, 2020","119.11","122.06","122.28","117.49","-","-6.71%"
"Dec 14, 2020","127.68","117.01","127.68","114.42","-","5.72%"
"Dec 11, 2020","120.77","115.79","121.80","113.55","-","5.33%"
"Dec 10, 2020","114.66","114.90","116.47","110.25","-","0.64%"
"Dec 09, 2020","113.93","108.41","117.14","107.43","-","10.81%"
"Dec 08, 2020","102.82","104.66","104.86","100.53","-","-1.53%"
"Dec 07, 2020","104.42","106.78","106.89","104.12","-","0.67%"
"Dec 04, 2020","103.72","106.60","106.66","102.43","-","-3.87%"
"Dec 03, 2020","107.89","106.42","109.27","105.18","-","0.34%"
"Dec 02, 2020","107.52","109.03","109.34","106.66","-","-0.84%"
"Dec 01, 2020","108.43","105.11","109.23","103.88","-","2.18%"
"Nov 30, 2020","106.12","108.93","111.40","105.93","-","0.00%"
"Nov 27, 2020","106.12","102.67","106.66","102.36","-","2.57%"
"Nov 25, 2020","103.46","104.58","105.50","102.00","-","-1.05%"
"Nov 24, 2020","104.56","107.59","109.30","104.42","-","-4.82%"
"Nov 23, 2020","109.85","114.03","114.09","108.97","-","-3.63%"
"Nov 20, 2020","113.99","113.33","113.99","110.20","-","-0.14%"
"Nov 19, 2020","114.15","116.59","117.46","112.38","-","-3.18%"
"Nov 18, 2020","117.90","114.36","118.25","112.05","-","1.42%"
"Nov 17, 2020","116.25","117.01","117.14","113.60","-","1.09%"
"Nov 16, 2020","115.00","114.21","116.49","112.36","-","0.53%"
"Nov 13, 2020","114.39","118.45","118.45","113.90","-","-5.91%"
"Nov 12, 2020","121.57","118.65","126.42","115.82","-","2.75%"
"Nov 11, 2020","118.32","119.47","121.62","115.93","-","1.96%"
"Nov 10, 2020","116.05","115.84","116.74","113.78","-","-0.63%"
"Nov 09, 2020","116.78","108.24","117.66","103.75","-","3.42%"
"Nov 06, 2020","112.92","116.29","116.34","112.53","-","-4.04%"
"Nov 05, 2020","117.68","119.19","119.93","116.87","-","-3.64%"
"Nov 04, 2020","122.12","127.96","127.96","117.28","-","-10.39%"
"Nov 03, 2020","136.28","138.51","139.17","134.94","-","-4.47%"
"Nov 02, 2020","142.65","142.68","143.65","140.44","-","-1.78%"
"Oct 30, 2020","145.24","146.87","150.96","144.55","-","-1.76%"
"Oct 29, 2020","147.84","149.60","151.67","140.79","-","-2.74%"
"Oct 28, 2020","152.01","144.11","154.99","143.46","-","12.33%"
"Oct 27, 2020","135.32","131.96","137.52","131.93","-","1.68%"
"Oct 26, 2020","133.08","121.59","135.22","121.30","-","11.89%"
"Oct 23, 2020","118.94","117.58","119.81","116.90","-","0.29%"
"Oct 22, 2020","118.60","117.27","118.60","114.30","-","0.96%"
"Oct 21, 2020","117.47","119.17","119.42","117.11","-","-1.77%"
"Oct 20, 2020","119.59","119.61","120.02","116.19","-","-0.14%"
"Oct 19, 2020","119.76","117.33","119.87","116.12","-","3.31%"
"Oct 16, 2020","115.92","116.71","117.40","114.90","-","-1.42%"
"Oct 15, 2020","117.59","119.92","121.34","117.22","-","0.56%"
"Oct 14, 2020","116.93","116.68","118.21","115.25","-","5.37%"
"Oct 13, 2020","110.97","110.34","112.28","109.78","-","1.18%"
"Oct 12, 2020","109.68","112.60","112.79","109.32","-","0.42%"
"Oct 09, 2020","109.22","104.27","109.40","104.26","-","4.22%"
"Oct 08, 2020","104.80","104.13","105.38","103.38","-","0.59%"
"Oct 07, 2020","104.19","105.67","106.42","103.80","-","-1.84%"
"Oct 06, 2020","106.14","103.00","107.93","102.61","-","2.83%"
"Oct 05, 2020","103.22","105.80","105.99","102.54","-","0.49%"
"Oct 02, 2020","102.72","108.74","110.20","102.72","-","1.70%"
"Oct 01, 2020","101.00","100.63","102.21","99.29","-","-0.57%"
"Sep 30, 2020","101.58","97.80","101.96","96.19","-","4.80%"
"Sep 29, 2020","96.93","102.48","102.48","96.68","-","-4.83%"
"Sep 28, 2020","101.85","102.73","103.48","101.56","-","2.22%"
"Sep 25, 2020","99.64","102.46","104.23","98.68","-","-2.56%"
"Sep 24, 2020","102.26","108.33","109.86","100.66","-","-4.74%"
"Sep 23, 2020","107.35","103.40","109.82","102.59","-","2.54%"
"Sep 22, 2020","104.69","108.35","108.96","103.12","-","-3.72%"
"Sep 21, 2020","108.74","109.27","117.36","107.68","-","7.46%"
"Sep 18, 2020","101.19","100.05","106.38","98.02","-","0.82%"
"Sep 17, 2020","100.37","109.51","109.51","100.18","-","-3.01%"
"Sep 16, 2020","103.48","109.77","110.17","101.89","-","-5.04%"
"Sep 15, 2020","108.97","108.91","110.61","107.98","-","-2.07%"
"Sep 14, 2020","111.27","114.51","114.75","109.03","-","-2.35%"
"Sep 11, 2020","113.95","116.50","121.16","112.23","-","-5.50%"
"Sep 10, 2020","120.58","120.56","122.83","117.97","-","-0.79%"
"Sep 09, 2020","121.54","127.13","127.61","116.70","-","-1.63%"
"Sep 08, 2020","123.56","130.91","130.91","120.56","-","1.16%"
"Sep 04, 2020","122.14","129.31","135.04","121.05","-","-8.10%"
"Sep 03, 2020","132.91","121.31","137.49","117.87","-","8.93%"
"Sep 02, 2020","122.01","119.78","122.09","117.96","-","1.59%"
"Sep 01, 2020","120.10","118.67","120.50","116.95","-","0.92%"
"Aug 31, 2020","119.01","115.02","119.66","111.03","-","6.68%"
"Aug 28, 2020","111.56","115.35","124.82","109.22","-","-2.77%"
"Aug 27, 2020","114.74","104.21","122.89","102.71","-","8.45%"
"Aug 26, 2020","105.80","103.68","106.62","100.49","-","1.85%"
"Aug 25, 2020","103.88","108.31","110.28","103.60","-","-4.04%"
"Aug 24, 2020","108.25","108.76","111.10","107.44","-","-2.70%"
"Aug 21, 2020","111.25","114.50","115.44","110.64","-","-1.54%"
"Aug 20, 2020","112.99","117.70","117.70","112.65","-","-1.51%"
"Aug 19, 2020","114.72","111.28","115.26","110.46","-","1.89%"
"Aug 18, 2020","112.59","109.35","113.53","108.47","-","2.03%"
"Aug 17, 2020","110.35","111.82","112.30","109.45","-","-3.50%"
"Aug 14, 2020","114.35","115.56","116.49","113.82","-","-0.72%"
"Aug 13, 2020","115.18","115.14","117.13","112.06","-","-0.48%"
"Aug 12, 2020","115.73","117.57","119.29","114.67","-","-2.21%"
"Aug 11, 2020","118.34","107.09","121.59","107.09","-","6.49%"
"Aug 10, 2020","111.13","110.45","113.28","109.13","-","2.73%"
"Aug 07, 2020","108.18","107.62","110.00","105.15","-","2.21%"
"Aug 06, 2020","105.84","106.06","106.83","105.17","-","0.16%"
"Aug 05, 2020","105.67","107.78","108.11","105.04","-","-3.06%"
"Aug 04, 2020","109.00","111.19","111.40","108.45","-","-1.82%"
"Aug 03, 2020","111.02","113.40","113.94","110.70","-","-0.91%"
"Jul 31, 2020","112.04","110.62","116.83","110.44","-","-0.11%"
"Jul 30, 2020","112.16","115.92","121.33","112.02","-","1.09%"
"Jul 29, 2020","110.95","112.71","112.94","110.67","-","-2.57%"
"Jul 28, 2020","113.88","113.07","114.25","110.30","-","1.04%"
"Jul 27, 2020","112.71","117.00","117.39","112.33","-","-3.85%"
"Jul 24, 2020","117.22","119.74","121.32","116.79","-","0.45%"
"Jul 23, 2020","116.70","112.11","118.55","111.13","-","3.42%"
"Jul 22, 2020","112.84","116.08","116.13","112.84","-","-2.27%"
"Jul 21, 2020","115.46","110.40","116.48","109.76","-","2.62%"
"Jul 20, 2020","112.51","118.06","118.83","112.12","-","-4.63%"
"Jul 17, 2020","117.97","113.69","118.43","113.38","-","2.03%"
