"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 16, 2020","16.99","17.52","17.71","16.97","41.58M","-3.25%"
"Dec 15, 2020","17.56","17.99","18.20","17.54","42.23M","-4.62%"
"Dec 14, 2020","18.41","17.42","18.48","17.26","39.23M","2.28%"
"Dec 11, 2020","18.00","17.79","18.48","17.52","56.23M","3.69%"
"Dec 10, 2020","17.36","17.34","17.47","16.89","46.08M","0.93%"
"Dec 09, 2020","17.20","16.41","17.35","16.28","66.94M","3.68%"
"Dec 08, 2020","16.59","17.32","17.34","16.59","29.66M","-3.60%"
"Dec 07, 2020","17.21","17.29","17.39","17.12","29.81M","0.58%"
"Dec 04, 2020","17.11","17.21","17.22","16.95","34.63M","-1.78%"
"Dec 03, 2020","17.42","17.05","17.57","17.00","33.17M","0.93%"
"Dec 02, 2020","17.26","17.38","17.38","16.89","30.08M","-0.52%"
"Dec 01, 2020","17.35","17.01","17.42","16.90","37.89M","0.99%"
"Nov 30, 2020","17.18","17.57","18.17","17.15","28.26M","-1.88%"
"Nov 27, 2020","17.51","17.25","17.64","17.10","16.49M","0.69%"
"Nov 25, 2020","17.39","18.07","18.31","17.36","24.94M","-3.66%"
"Nov 24, 2020","18.05","17.98","18.36","17.94","33.61M","-1.69%"
"Nov 23, 2020","18.36","18.35","18.73","18.04","32.21M","-1.29%"
"Nov 20, 2020","18.60","18.62","18.68","18.24","28.98M","-0.21%"
"Nov 19, 2020","18.64","18.79","19.07","18.33","28.15M","-1.06%"
"Nov 18, 2020","18.84","18.11","19.00","17.92","36.15M","2.95%"
"Nov 17, 2020","18.30","18.99","19.10","18.26","32.57M","-1.29%"
"Nov 16, 2020","18.54","18.61","19.30","18.54","32.25M","-2.83%"
"Nov 13, 2020","19.08","19.65","19.67","18.75","37.92M","-6.15%"
"Nov 12, 2020","20.33","19.28","20.75","19.07","66.81M","7.06%"
"Nov 11, 2020","18.99","19.15","19.40","18.63","31.58M","-2.47%"
"Nov 10, 2020","19.47","19.57","20.30","19.42","33.80M","-2.99%"
"Nov 09, 2020","20.07","19.08","20.11","18.22","59.65M","-2.19%"
"Nov 06, 2020","20.52","21.80","21.82","20.51","42.61M","-6.64%"
"Nov 05, 2020","21.98","21.64","22.23","21.44","36.18M","-1.66%"
"Nov 04, 2020","22.35","23.50","23.56","22.20","65.21M","-8.81%"
"Nov 03, 2020","24.51","25.15","25.31","24.19","38.95M","-5.51%"
"Nov 02, 2020","25.94","25.33","26.30","25.25","41.53M","-2.22%"
"Oct 30, 2020","26.53","26.18","27.01","25.77","40.07M","3.03%"
"Oct 29, 2020","25.75","27.17","27.71","24.94","47.00M","-7.14%"
"Oct 28, 2020","27.73","26.10","27.77","25.77","76.95M","14.26%"
"Oct 27, 2020","24.27","24.17","24.69","23.75","33.52M","0.41%"
"Oct 26, 2020","24.17","22.70","24.57","22.47","50.57M","9.02%"
"Oct 23, 2020","22.17","22.06","22.66","22.02","18.93M","0.09%"
"Oct 22, 2020","22.15","22.64","22.84","21.94","22.51M","-2.34%"
"Oct 21, 2020","22.68","23.10","23.41","22.53","27.02M","-2.37%"
"Oct 20, 2020","23.23","23.08","23.36","22.87","29.13M","-0.04%"
"Oct 19, 2020","23.24","22.15","23.38","22.11","27.61M","4.36%"
"Oct 17, 2020","22.27","22.27","22.27","22.27","-","0.00%"
"Oct 16, 2020","22.27","22.08","22.27","21.74","23.44M","0.72%"
"Oct 15, 2020","22.11","22.86","23.08","22.04","32.61M","0.87%"
"Oct 14, 2020","21.92","21.95","22.26","21.58","29.62M","-1.04%"
"Oct 13, 2020","22.15","22.10","22.58","21.96","23.40M","1.37%"
"Oct 12, 2020","21.85","21.89","22.29","21.79","31.26M","-1.97%"
"Oct 11, 2020","22.29","22.29","22.29","22.29","-","0.00%"
"Oct 09, 2020","22.29","22.81","22.82","22.28","29.13M","-5.19%"
"Oct 08, 2020","23.51","24.20","24.34","23.48","25.24M","-4.00%"
"Oct 07, 2020","24.49","24.83","24.92","24.32","19.45M","-3.28%"
"Oct 06, 2020","25.32","24.74","25.54","24.30","34.81M","1.40%"
"Oct 05, 2020","24.97","25.53","25.80","24.77","20.85M","-3.14%"
"Oct 04, 2020","25.78","25.78","25.78","25.78","-","0.00%"
"Oct 03, 2020","25.78","25.78","25.78","25.78","-","0.00%"
"Oct 02, 2020","25.78","26.35","26.37","25.30","29.93M","3.08%"
"Oct 01, 2020","25.01","24.64","25.39","24.62","24.15M","0.44%"
"Sep 30, 2020","24.90","24.58","25.17","24.29","25.73M","-0.16%"
"Sep 29, 2020","24.94","25.48","25.49","24.56","22.72M","-1.66%"
"Sep 28, 2020","25.36","25.32","25.65","25.26","18.26M","-0.70%"
"Sep 27, 2020","25.54","25.54","25.54","25.54","-","0.00%"
"Sep 26, 2020","25.54","25.54","25.54","25.54","-","0.00%"
"Sep 25, 2020","25.54","26.21","26.41","25.39","23.63M","-2.48%"
"Sep 24, 2020","26.19","26.72","27.00","25.74","27.42M","-1.91%"
"Sep 23, 2020","26.70","25.24","26.71","25.15","29.30M","5.28%"
"Sep 22, 2020","25.36","25.14","26.03","25.12","23.29M","0.79%"
"Sep 21, 2020","25.16","25.38","26.64","25.05","39.89M","3.24%"
"Sep 18, 2020","24.37","24.21","24.98","23.67","34.62M","-0.08%"
"Sep 17, 2020","24.39","25.79","25.80","24.29","31.11M","-2.28%"
"Sep 16, 2020","24.96","24.81","24.99","24.28","29.81M","-0.28%"
"Sep 15, 2020","25.03","24.81","25.48","24.70","25.50M","-0.16%"
"Sep 14, 2020","25.07","25.20","25.45","24.72","30.29M","-1.76%"
"Sep 13, 2020","25.52","25.52","25.52","25.52","-","0.00%"
"Sep 11, 2020","25.52","26.39","27.18","25.49","42.58M","-5.93%"
"Sep 10, 2020","27.13","26.58","27.77","26.39","39.21M","1.12%"
"Sep 09, 2020","26.83","27.55","27.84","26.36","37.92M","-5.13%"
"Sep 08, 2020","28.28","31.30","31.47","28.17","63.92M","-2.21%"
"Sep 04, 2020","28.92","30.91","34.08","28.54","110.89M","-8.80%"
"Sep 03, 2020","31.71","28.32","32.74","27.33","119.03M","13.49%"
"Sep 02, 2020","27.94","27.28","28.21","27.14","40.53M","2.46%"
"Sep 01, 2020","27.27","26.88","27.45","26.65","28.95M","1.56%"
"Aug 31, 2020","26.85","26.28","27.09","25.68","36.34M","4.96%"
"Aug 30, 2020","25.58","25.58","25.58","25.58","-","0.00%"
"Aug 28, 2020","25.58","26.02","27.11","25.16","34.88M","-0.54%"
"Aug 27, 2020","25.72","24.69","27.67","24.45","53.86M","3.17%"
"Aug 26, 2020","24.93","24.24","25.07","23.64","29.67M","2.21%"
"Aug 25, 2020","24.39","24.62","25.32","24.23","26.24M","-0.53%"
"Aug 24, 2020","24.52","23.93","24.78","23.89","27.53M","-0.45%"
"Aug 23, 2020","24.63","24.63","24.63","24.63","-","0.00%"
"Aug 22, 2020","24.63","24.63","24.63","24.63","-","0.00%"
"Aug 21, 2020","24.63","24.93","25.03","24.49","25.72M","0.53%"
"Aug 20, 2020","24.50","25.74","25.84","24.41","35.44M","-1.09%"
"Aug 19, 2020","24.77","24.13","24.93","23.96","35.62M","1.81%"
"Aug 18, 2020","24.33","24.38","24.93","24.11","22.14M","-1.06%"
"Aug 17, 2020","24.59","24.88","25.10","24.42","19.61M","-3.34%"
"Aug 14, 2020","25.44","25.73","25.94","25.31","27.06M","-0.27%"
"Aug 13, 2020","25.51","25.66","25.83","24.90","28.52M","-0.08%"
"Aug 12, 2020","25.53","25.93","26.03","25.32","28.37M","-5.27%"
"Aug 11, 2020","26.95","25.12","27.12","25.03","36.11M","4.66%"
"Aug 10, 2020","25.75","26.16","26.54","25.66","25.76M","-2.94%"
