"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","113.56","114.29","114.35","113.54","44.82K","0.19%"
"Dec 24, 2020","113.35","114.34","114.34","112.81","21.47K","-0.54%"
"Dec 23, 2020","113.97","111.99","114.55","111.86","48.92K","2.32%"
"Dec 22, 2020","111.39","112.03","112.35","111.30","36.87K","-0.30%"
"Dec 21, 2020","111.73","110.59","112.20","109.91","64.84K","-0.02%"
"Dec 18, 2020","111.75","111.95","112.61","111.22","50.54K","-0.19%"
"Dec 17, 2020","111.96","112.58","112.69","111.51","52.27K","-0.19%"
"Dec 16, 2020","112.17","114.39","114.39","112.06","57.18K","-1.55%"
"Dec 15, 2020","113.94","113.33","114.11","111.75","72.40K","1.46%"
"Dec 14, 2020","112.30","115.14","115.37","112.21","68.78K","-2.29%"
"Dec 11, 2020","114.93","114.49","116.08","113.93","273.06K","-0.12%"
"Dec 10, 2020","115.07","113.96","115.42","113.67","69.85K","0.19%"
"Dec 09, 2020","114.85","116.76","117.68","113.50","164.13K","-1.16%"
"Dec 08, 2020","116.20","114.76","116.20","114.50","37.33K","1.08%"
"Dec 07, 2020","114.96","114.70","115.32","113.91","68.96K","0.45%"
"Dec 04, 2020","114.45","112.86","114.64","112.86","60.05K","1.94%"
"Dec 03, 2020","112.27","110.41","113.52","110.28","79.84K","2.09%"
"Dec 02, 2020","109.97","107.89","110.33","106.86","67.35K","1.42%"
"Dec 01, 2020","108.43","108.42","109.66","108.37","43.90K","1.62%"
"Nov 30, 2020","106.70","109.26","109.33","106.16","95.67K","-2.59%"
"Nov 27, 2020","109.54","110.64","110.64","109.08","36.45K","-0.57%"
"Nov 25, 2020","110.17","109.94","110.90","108.80","65.30K","-0.36%"
"Nov 24, 2020","110.57","109.52","111.04","109.52","146.68K","2.63%"
"Nov 23, 2020","107.74","105.04","108.31","105.04","110.90K","3.47%"
"Nov 20, 2020","104.13","105.85","105.85","103.83","86.42K","-1.65%"
"Nov 19, 2020","105.88","104.61","105.88","104.00","43.54K","0.81%"
"Nov 18, 2020","105.03","107.31","107.70","105.00","81.10K","-0.86%"
"Nov 17, 2020","105.94","103.59","106.28","102.89","71.73K","1.52%"
"Nov 16, 2020","104.35","103.63","104.49","102.75","239.71K","2.94%"
"Nov 13, 2020","101.37","98.40","101.51","98.40","56.90K","3.87%"
"Nov 12, 2020","97.59","97.50","98.75","96.88","308.39K","-1.15%"
"Nov 11, 2020","98.73","100.97","100.97","98.20","104.25K","-1.64%"
"Nov 10, 2020","100.38","97.44","100.73","97.44","110.04K","3.99%"
"Nov 09, 2020","96.53","96.12","98.63","95.81","335.69K","6.72%"
"Nov 06, 2020","90.45","91.21","91.74","89.93","72.10K","-1.16%"
"Nov 05, 2020","91.51","90.35","91.82","90.35","75.85K","1.90%"
"Nov 04, 2020","89.80","90.59","91.61","89.11","89.07K","-0.86%"
"Nov 03, 2020","90.58","88.74","91.00","88.74","92.54K","3.37%"
"Nov 02, 2020","87.63","86.16","87.82","85.81","128.11K","2.95%"
"Oct 30, 2020","85.12","84.98","85.69","83.73","187.43K","-0.36%"
"Oct 29, 2020","85.43","84.21","85.83","83.91","150.71K","1.34%"
"Oct 28, 2020","84.30","85.73","86.22","84.23","138.79K","-3.43%"
"Oct 27, 2020","87.29","89.29","89.29","87.24","104.30K","-2.40%"
"Oct 26, 2020","89.44","91.14","91.14","88.59","88.08K","-3.27%"
"Oct 23, 2020","92.46","92.60","92.87","91.98","57.18K","0.37%"
"Oct 22, 2020","92.12","90.26","92.19","90.26","54.89K","2.02%"
"Oct 21, 2020","90.30","91.81","91.81","90.12","142.47K","-1.91%"
"Oct 20, 2020","92.06","92.49","93.23","91.83","63.80K","-0.28%"
"Oct 19, 2020","92.32","92.77","93.85","92.00","70.43K","-0.26%"
"Oct 16, 2020","92.56","92.57","93.35","92.50","85.34K","0.72%"
"Oct 15, 2020","91.90","90.33","92.00","90.20","83.49K","0.45%"
"Oct 14, 2020","91.49","91.10","92.41","91.10","66.18K","0.47%"
"Oct 13, 2020","91.06","91.34","91.43","90.63","284.29K","-1.49%"
"Oct 12, 2020","92.44","92.00","92.59","92.00","90.00K","0.37%"
"Oct 11, 2020","92.10","92.10","92.10","92.10","-","0.00%"
"Oct 09, 2020","92.10","93.18","93.38","92.10","69.73K","-0.67%"
"Oct 08, 2020","92.72","92.00","92.72","91.46","48.38K","1.90%"
"Oct 07, 2020","90.99","90.67","91.21","90.52","132.10K","2.18%"
"Oct 06, 2020","89.05","90.71","91.87","88.97","76.46K","-1.08%"
"Oct 05, 2020","90.02","90.15","90.69","89.61","115.83K","0.74%"
"Oct 04, 2020","89.36","89.36","89.36","89.36","-","0.00%"
"Oct 03, 2020","89.36","89.36","89.36","89.36","-","0.00%"
"Oct 02, 2020","89.36","87.35","89.61","87.20","74.49K","0.87%"
"Oct 01, 2020","88.59","88.38","88.84","87.72","107.54K","1.43%"
"Sep 30, 2020","87.34","89.17","89.17","86.76","113.31K","-1.40%"
"Sep 29, 2020","88.58","89.06","89.08","88.04","75.68K","-1.08%"
"Sep 28, 2020","89.55","89.70","90.41","89.50","78.58K","2.68%"
"Sep 27, 2020","87.21","87.21","87.21","87.21","-","0.00%"
"Sep 26, 2020","87.21","87.21","87.21","87.21","-","0.00%"
"Sep 25, 2020","87.21","85.79","87.40","85.69","142.10K","2.54%"
"Sep 24, 2020","85.05","85.00","86.30","83.76","86.68K","-0.42%"
"Sep 23, 2020","85.41","89.51","89.51","85.41","91.02K","-3.35%"
"Sep 22, 2020","88.37","88.04","88.50","87.37","83.82K","0.00%"
"Sep 21, 2020","88.37","88.89","88.89","87.78","111.02K","-3.13%"
"Sep 18, 2020","91.23","91.74","92.79","90.84","57.51K","-0.44%"
"Sep 17, 2020","91.63","89.79","91.85","89.79","126.62K","0.54%"
"Sep 16, 2020","91.14","89.57","92.21","89.57","129.44K","1.84%"
"Sep 15, 2020","89.49","90.30","90.62","89.25","117.89K","-0.38%"
"Sep 14, 2020","89.83","88.24","90.05","88.24","73.31K","2.46%"
"Sep 13, 2020","87.67","87.67","87.67","87.67","-","0.00%"
"Sep 11, 2020","87.67","86.80","88.35","86.70","91.77K","1.42%"
"Sep 10, 2020","86.44","88.30","89.29","86.31","916.02K","-1.90%"
"Sep 09, 2020","88.11","89.00","89.00","86.98","812.53K","0.13%"
"Sep 08, 2020","88.00","88.17","89.10","87.85","133.94K","-2.03%"
"Sep 04, 2020","89.82","90.93","91.71","88.40","101.58K","-0.60%"
"Sep 03, 2020","90.36","93.00","93.00","89.65","131.61K","-2.42%"
"Sep 02, 2020","92.60","91.03","92.67","91.03","87.57K","2.18%"
"Sep 01, 2020","90.62","89.84","90.79","89.35","77.78K","0.20%"
