"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 16, 2020","144.52","146.40","146.48","143.31","3.56M","-1.23%"
"Dec 15, 2020","146.32","148.10","148.22","143.52","3.33M","0.18%"
"Dec 14, 2020","146.05","144.93","149.92","144.73","6.21M","2.66%"
"Dec 11, 2020","142.27","141.87","143.99","140.54","2.84M","-0.06%"
"Dec 10, 2020","142.35","136.89","142.61","136.86","5.24M","3.69%"
"Dec 09, 2020","137.28","141.02","142.00","135.28","5.21M","-2.03%"
"Dec 08, 2020","140.12","137.24","140.34","136.86","2.07M","1.93%"
"Dec 07, 2020","137.47","137.59","139.76","136.71","4.15M","0.93%"
"Dec 04, 2020","136.20","134.51","136.53","133.89","3.60M","1.85%"
"Dec 03, 2020","133.72","133.13","134.43","132.50","5.05M","0.68%"
"Dec 02, 2020","132.82","132.28","133.20","130.84","3.75M","-0.09%"
"Dec 01, 2020","132.94","134.88","136.04","132.74","6.18M","-0.20%"
"Nov 30, 2020","133.20","132.54","133.63","129.76","4.53M","1.32%"
"Nov 27, 2020","131.46","127.73","131.54","127.48","2.37M","3.66%"
"Nov 25, 2020","126.82","126.06","127.44","126.01","1.93M","0.60%"
"Nov 24, 2020","126.06","126.95","127.68","125.64","2.16M","-0.34%"
"Nov 23, 2020","126.49","127.34","127.40","125.26","3.75M","0.36%"
"Nov 20, 2020","126.04","124.62","126.59","123.66","6.21M","0.78%"
"Nov 19, 2020","125.07","124.83","125.88","124.25","3.16M","0.59%"
"Nov 18, 2020","124.34","126.92","127.81","124.07","7.32M","-1.89%"
"Nov 17, 2020","126.74","125.38","126.74","123.48","3.97M","0.88%"
"Nov 16, 2020","125.64","126.52","126.75","124.43","6.73M","0.48%"
"Nov 13, 2020","125.04","124.42","125.67","124.03","3.76M","1.06%"
"Nov 12, 2020","123.73","123.71","125.52","122.60","4.94M","0.06%"
"Nov 11, 2020","123.66","122.92","123.66","121.56","3.05M","1.39%"
"Nov 10, 2020","121.96","120.37","122.42","118.86","7.95M","1.32%"
"Nov 09, 2020","120.37","124.07","124.48","119.99","5.64M","0.42%"
"Nov 06, 2020","119.87","121.95","121.95","119.09","5.01M","-2.42%"
"Nov 05, 2020","122.84","123.97","126.00","121.04","6.46M","-0.09%"
"Nov 04, 2020","122.95","118.67","124.22","117.64","12.29M","6.16%"
"Nov 03, 2020","115.82","113.46","116.80","112.92","7.86M","2.71%"
"Nov 02, 2020","112.76","113.52","113.75","110.07","4.52M","-0.01%"
"Oct 30, 2020","112.77","114.29","115.22","111.54","5.48M","-2.12%"
"Oct 29, 2020","115.21","114.07","116.03","112.70","3.73M","0.88%"
"Oct 28, 2020","114.20","115.43","115.59","113.45","4.10M","-2.75%"
"Oct 27, 2020","117.43","116.24","117.98","115.36","3.02M","1.19%"
"Oct 26, 2020","116.05","116.34","117.86","114.22","3.46M","-1.34%"
"Oct 23, 2020","117.63","117.55","117.83","116.10","2.83M","0.50%"
"Oct 22, 2020","117.04","114.30","117.32","114.30","4.51M","2.71%"
"Oct 21, 2020","113.95","116.55","117.25","113.84","4.26M","-2.37%"
"Oct 20, 2020","116.72","119.06","119.21","116.22","4.16M","-1.33%"
"Oct 19, 2020","118.29","121.44","121.68","117.87","3.69M","-1.93%"
"Oct 16, 2020","120.62","120.73","122.32","120.16","5.11M","0.37%"
"Oct 15, 2020","120.17","117.80","120.48","117.79","3.48M","0.19%"
"Oct 14, 2020","119.94","122.44","122.78","119.75","2.95M","-1.85%"
"Oct 13, 2020","122.20","119.92","122.82","119.92","2.13M","1.37%"
"Oct 12, 2020","120.55","121.36","121.39","119.80","2.00M","0.25%"
"Oct 11, 2020","120.25","120.25","120.25","120.25","-","0.00%"
"Oct 09, 2020","120.25","119.60","120.51","118.87","2.55M","0.92%"
"Oct 08, 2020","119.15","119.77","119.77","118.18","2.73M","0.49%"
"Oct 07, 2020","118.57","115.84","119.10","115.78","3.76M","3.20%"
"Oct 06, 2020","114.89","116.02","117.32","114.44","3.27M","-0.79%"
"Oct 05, 2020","115.81","112.02","115.99","111.91","4.43M","4.94%"
"Oct 04, 2020","110.36","110.36","110.36","110.36","-","0.00%"
"Oct 03, 2020","110.36","110.36","110.36","110.36","-","0.00%"
"Oct 02, 2020","110.36","110.83","113.04","109.84","3.80M","-2.19%"
"Oct 01, 2020","112.83","112.05","112.90","111.12","3.82M","1.26%"
"Sep 30, 2020","111.43","111.91","113.21","110.48","3.15M","-0.23%"
"Sep 29, 2020","111.69","110.88","112.32","110.11","2.62M","0.68%"
"Sep 28, 2020","110.94","111.52","111.52","109.91","3.09M","0.12%"
"Sep 27, 2020","110.81","110.81","110.81","110.81","-","0.00%"
"Sep 26, 2020","110.81","110.81","110.81","110.81","-","0.00%"
"Sep 25, 2020","110.81","108.17","111.00","107.75","4.58M","2.54%"
"Sep 24, 2020","108.07","107.91","109.42","105.91","6.44M","-0.99%"
"Sep 23, 2020","109.15","112.78","113.05","108.97","6.11M","-3.17%"
"Sep 22, 2020","112.72","112.25","112.83","109.41","4.78M","0.62%"
"Sep 21, 2020","112.03","114.41","114.48","110.94","7.18M","-3.62%"
"Sep 18, 2020","116.24","115.60","116.33","113.16","5.98M","1.10%"
"Sep 17, 2020","114.98","113.69","115.78","113.31","3.66M","-0.16%"
"Sep 16, 2020","115.16","113.38","116.62","113.21","6.76M","2.19%"
"Sep 15, 2020","112.69","112.81","113.76","112.15","6.26M","0.94%"
"Sep 14, 2020","111.64","108.14","111.83","108.11","9.28M","6.89%"
"Sep 13, 2020","104.44","104.44","104.44","104.44","-","0.00%"
"Sep 11, 2020","104.44","105.01","106.44","103.20","5.12M","-0.07%"
"Sep 10, 2020","104.51","106.25","108.02","104.38","5.43M","-1.56%"
"Sep 09, 2020","106.17","104.60","106.73","104.60","3.95M","2.21%"
"Sep 08, 2020","103.87","102.89","106.22","102.16","4.92M","-1.35%"
"Sep 04, 2020","105.29","106.18","106.85","100.64","8.92M","-1.14%"
"Sep 03, 2020","106.50","110.26","110.46","106.04","6.60M","-3.73%"
"Sep 02, 2020","110.63","109.79","110.75","108.08","3.31M","0.98%"
"Sep 01, 2020","109.56","111.70","111.93","109.27","4.83M","-2.01%"
"Aug 31, 2020","111.81","110.12","112.34","109.68","5.55M","2.78%"
"Aug 30, 2020","108.79","108.79","108.79","108.79","-","0.00%"
"Aug 28, 2020","108.79","108.12","109.41","107.34","4.08M","0.85%"
"Aug 27, 2020","107.87","108.90","109.02","106.80","4.45M","-0.81%"
"Aug 26, 2020","108.75","109.97","110.47","108.54","2.92M","-1.24%"
"Aug 25, 2020","110.11","108.51","110.58","107.06","4.60M","1.20%"
"Aug 24, 2020","108.80","112.00","112.00","108.21","6.70M","-2.39%"
"Aug 23, 2020","111.46","111.46","111.46","111.46","-","0.00%"
"Aug 22, 2020","111.46","111.46","111.46","111.46","-","0.00%"
"Aug 21, 2020","111.46","112.31","112.84","110.52","3.61M","-1.23%"
"Aug 20, 2020","112.85","112.25","113.05","111.81","4.43M","-0.02%"
"Aug 19, 2020","112.87","113.21","114.18","112.44","3.66M","-0.17%"
"Aug 18, 2020","113.06","114.19","114.59","111.71","3.48M","-0.88%"
"Aug 17, 2020","114.06","110.50","114.28","110.09","5.19M","3.50%"
"Aug 14, 2020","110.20","111.42","111.62","109.60","2.39M","-0.93%"
"Aug 13, 2020","111.24","110.59","111.83","109.81","3.05M","1.38%"
"Aug 12, 2020","109.73","109.71","110.17","108.19","5.26M","0.32%"
"Aug 11, 2020","109.38","113.65","113.65","109.08","6.04M","-3.98%"
"Aug 10, 2020","113.91","114.63","114.63","113.01","2.95M","-0.01%"
"Aug 09, 2020","113.92","113.92","113.92","113.92","-","0.00%"
"Aug 08, 2020","113.92","113.92","113.92","113.92","-","0.00%"
"Aug 07, 2020","113.92","113.75","115.53","113.11","3.64M","0.10%"
"Aug 06, 2020","113.81","114.74","115.47","112.94","2.93M","-0.51%"
"Aug 05, 2020","114.39","114.73","115.50","113.29","3.76M","0.72%"
"Aug 04, 2020","113.57","113.80","113.94","111.95","3.32M","-0.31%"
"Aug 03, 2020","113.92","110.05","114.08","109.95","5.70M","4.20%"
"Aug 02, 2020","109.33","109.33","109.33","109.33","-","0.00%"
"Jul 31, 2020","109.33","112.35","112.40","107.69","5.88M","-2.35%"
"Jul 30, 2020","111.96","109.42","112.71","109.38","3.75M","1.43%"
"Jul 29, 2020","110.38","112.75","113.26","110.07","6.36M","-1.62%"
"Jul 28, 2020","112.20","115.04","115.46","112.13","3.05M","-2.55%"
"Jul 27, 2020","115.14","113.13","115.41","112.45","4.36M","2.59%"
"Jul 26, 2020","112.23","112.23","112.23","112.23","-","0.00%"
"Jul 25, 2020","112.23","112.23","112.23","112.23","-","0.00%"
"Jul 24, 2020","112.23","113.91","113.91","111.00","6.96M","-2.34%"
"Jul 23, 2020","114.92","117.29","118.44","113.92","5.05M","-2.02%"
"Jul 22, 2020","117.29","117.61","118.00","116.31","4.94M","-0.48%"
"Jul 21, 2020","117.86","121.02","121.02","117.46","4.85M","-2.08%"
"Jul 20, 2020","120.36","119.92","120.94","118.34","5.40M","1.36%"
"Jul 17, 2020","118.74","116.35","119.59","116.18","9.42M","2.10%"
"Jul 16, 2020","116.30","116.53","116.75","114.62","5.01M","-0.80%"
"Jul 15, 2020","117.24","116.75","117.97","115.22","8.26M","2.13%"
"Jul 14, 2020","114.80","112.22","114.82","109.81","6.69M","2.55%"
"Jul 13, 2020","111.95","115.96","118.31","111.71","7.35M","-2.58%"
"Jul 12, 2020","114.92","114.92","114.92","114.92","-","0.00%"
"Jul 11, 2020","114.92","114.92","114.92","114.92","-","0.00%"
