"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","44.69","45.51","46.07","44.62","44.94K","-1.02%"
"Dec 24, 2020","45.15","45.99","45.99","44.70","19.52K","-1.27%"
"Dec 23, 2020","45.73","44.78","46.22","44.78","49.87K","3.00%"
"Dec 22, 2020","44.40","44.60","44.93","44.27","50.50K","-0.45%"
"Dec 21, 2020","44.60","43.65","45.00","43.11","74.29K","-2.28%"
"Dec 18, 2020","45.64","46.86","46.87","45.45","115.06K","-2.60%"
"Dec 17, 2020","46.86","47.16","47.21","46.23","123.60K","-0.28%"
"Dec 16, 2020","46.99","47.77","47.77","46.77","98.02K","-1.51%"
"Dec 15, 2020","47.71","46.48","47.86","46.26","238.16K","3.25%"
"Dec 14, 2020","46.21","48.28","48.35","45.76","144.07K","-2.20%"
"Dec 11, 2020","47.25","47.40","47.73","46.39","175.09K","-1.46%"
"Dec 10, 2020","47.95","45.48","48.26","45.34","149.31K","4.65%"
"Dec 09, 2020","45.82","46.73","47.60","45.00","190.88K","-0.99%"
"Dec 08, 2020","46.28","44.35","46.29","44.00","164.41K","2.75%"
"Dec 07, 2020","45.04","45.26","45.42","44.40","154.27K","-1.40%"
"Dec 04, 2020","45.68","43.15","45.68","43.15","152.36K","7.51%"
"Dec 03, 2020","42.49","42.22","43.06","41.88","102.78K","0.85%"
"Dec 02, 2020","42.13","40.61","43.04","40.49","171.36K","2.96%"
"Dec 01, 2020","40.92","40.31","41.23","40.15","334.17K","4.76%"
"Nov 30, 2020","39.06","41.73","41.74","38.98","120.41K","-7.46%"
"Nov 27, 2020","42.21","43.22","43.22","41.65","53.39K","-2.22%"
"Nov 25, 2020","43.17","43.38","43.49","42.33","146.63K","-1.73%"
"Nov 24, 2020","43.93","43.08","44.71","43.08","223.51K","6.34%"
"Nov 23, 2020","41.31","38.34","41.47","38.34","150.68K","9.90%"
"Nov 20, 2020","37.59","38.11","38.27","37.31","93.30K","-1.80%"
"Nov 19, 2020","38.28","37.22","38.33","36.93","83.54K","2.08%"
"Nov 18, 2020","37.50","37.96","39.42","37.49","263.97K","-0.53%"
"Nov 17, 2020","37.70","36.49","37.71","36.15","46.78K","1.59%"
"Nov 16, 2020","37.11","35.13","37.13","35.13","106.22K","9.60%"
"Nov 13, 2020","33.86","32.92","34.00","32.85","42.52K","3.74%"
"Nov 12, 2020","32.64","33.23","33.58","32.31","88.97K","-3.00%"
"Nov 11, 2020","33.65","34.68","34.74","33.07","55.80K","-1.46%"
"Nov 10, 2020","34.15","34.26","34.87","33.64","64.62K","0.56%"
"Nov 09, 2020","33.96","31.00","35.04","31.00","181.22K","18.33%"
"Nov 06, 2020","28.70","29.23","29.53","28.62","33.07K","-1.98%"
"Nov 05, 2020","29.28","28.98","29.60","28.98","40.14K","1.32%"
"Nov 04, 2020","28.90","29.29","29.34","27.84","40.56K","-1.71%"
"Nov 03, 2020","29.40","29.47","30.32","28.93","66.02K","1.94%"
"Nov 02, 2020","28.84","27.72","29.03","27.30","54.17K","5.41%"
"Oct 30, 2020","27.36","26.37","27.39","26.37","59.36K","2.74%"
"Oct 29, 2020","26.63","25.73","26.63","25.10","38.29K","2.42%"
"Oct 28, 2020","26.00","26.76","26.82","25.83","76.48K","-6.17%"
"Oct 27, 2020","27.71","28.10","28.10","27.24","42.39K","-1.49%"
"Oct 26, 2020","28.13","28.85","28.91","27.74","33.83K","-4.58%"
