"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","58.41","59.77","59.85","58.39","1.71M","-1.62%"
"Dec 24, 2020","59.37","58.77","59.41","58.52","879.43K","1.06%"
"Dec 23, 2020","58.75","59.32","59.45","58.58","1.28M","-0.69%"
"Dec 22, 2020","59.16","59.21","59.51","58.79","1.57M","0.20%"
"Dec 21, 2020","59.04","58.41","59.38","57.94","2.24M","-0.62%"
"Dec 18, 2020","59.41","59.28","59.72","59.03","1.48M","0.54%"
"Dec 17, 2020","59.09","58.25","59.31","58.01","1.88M","2.48%"
"Dec 16, 2020","57.66","57.96","58.33","57.34","1.74M","-0.14%"
"Dec 15, 2020","57.74","56.85","57.77","56.85","2.32M","2.18%"
"Dec 14, 2020","56.51","56.90","57.42","56.50","1.81M","-0.05%"
"Dec 11, 2020","56.54","56.37","56.96","56.30","1.25M","-0.42%"
"Dec 10, 2020","56.78","56.53","56.96","56.22","2.74M","-0.23%"
"Dec 09, 2020","56.91","57.12","57.52","56.55","3.91M","0.53%"
"Dec 08, 2020","56.61","56.81","56.89","56.21","1.94M","-0.89%"
"Dec 07, 2020","57.12","56.76","57.24","56.35","2.63M","0.69%"
"Dec 04, 2020","56.73","56.92","57.09","56.42","2.10M","-0.30%"
"Dec 03, 2020","56.90","56.00","57.20","55.89","1.89M","1.97%"
"Dec 02, 2020","55.80","56.59","56.64","55.73","3.58M","-1.95%"
"Dec 01, 2020","56.91","57.86","57.86","56.80","2.32M","-0.56%"
"Nov 30, 2020","57.23","57.80","57.93","56.40","2.12M","-1.19%"
"Nov 27, 2020","57.92","58.24","58.48","57.72","815.57K","-0.19%"
"Nov 25, 2020","58.03","58.13","58.36","57.54","1.87M","-0.33%"
"Nov 24, 2020","58.22","59.00","59.08","58.11","1.94M","-0.34%"
"Nov 23, 2020","58.42","57.55","58.61","57.42","2.03M","2.22%"
"Nov 20, 2020","57.15","57.31","57.67","56.83","1.49M","-0.12%"
"Nov 19, 2020","57.22","56.76","57.39","56.62","2.51M","0.74%"
