"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","113.62","115.20","115.50","113.60","53.40K","-0.60%"
"Dec 24, 2020","114.30","114.58","115.04","113.92","7.68K","-0.03%"
"Dec 23, 2020","114.34","114.92","115.10","114.26","20.28K","0.07%"
"Dec 22, 2020","114.26","113.08","114.32","113.00","48.32K","1.22%"
"Dec 21, 2020","112.88","111.26","112.89","110.43","43.79K","0.26%"
"Dec 18, 2020","112.59","112.54","112.85","111.55","18.66K","0.47%"
"Dec 17, 2020","112.06","110.76","112.06","110.22","30.51K","1.79%"
"Dec 16, 2020","110.09","110.43","110.57","109.25","55.54K","0.03%"
"Dec 15, 2020","110.06","108.53","110.06","108.13","26.52K","1.99%"
"Dec 14, 2020","107.91","108.76","109.89","107.91","36.30K","-0.27%"
"Dec 11, 2020","108.20","109.88","109.88","107.70","20.76K","-1.55%"
"Dec 10, 2020","109.90","108.00","110.05","107.62","42.59K","1.22%"
"Dec 09, 2020","108.58","109.95","109.95","107.78","19.50K","-0.84%"
"Dec 08, 2020","109.50","108.35","109.51","107.82","26.91K","1.25%"
"Dec 07, 2020","108.15","108.35","108.92","107.90","22.96K","0.11%"
"Dec 04, 2020","108.03","106.42","108.11","105.87","24.33K","1.92%"
"Dec 03, 2020","106.00","105.86","106.42","105.69","17.88K","0.07%"
"Dec 02, 2020","105.93","105.61","105.96","104.66","23.74K","0.12%"
"Dec 01, 2020","105.80","106.84","107.25","105.58","39.62K","-0.17%"
"Nov 30, 2020","105.98","106.16","106.28","105.30","25.59K","-0.17%"
"Nov 27, 2020","106.16","104.76","106.16","104.76","7.41K","1.58%"
"Nov 25, 2020","104.51","105.62","105.74","104.25","27.29K","-1.03%"
"Nov 24, 2020","105.60","106.54","106.54","105.46","35.87K","-0.08%"
"Nov 23, 2020","105.68","105.47","105.99","105.00","30.96K","0.63%"
"Nov 20, 2020","105.02","105.14","105.47","104.53","15.56K","-0.10%"
"Nov 19, 2020","105.12","104.80","105.17","104.22","19.62K","0.46%"
"Nov 18, 2020","104.64","105.95","105.97","104.60","100.28K","-0.95%"
"Nov 17, 2020","105.64","105.16","105.77","104.28","19.61K","-0.24%"
"Nov 16, 2020","105.90","106.80","106.80","105.44","38.49K","0.18%"
"Nov 13, 2020","105.71","105.36","106.38","105.04","21.09K","1.15%"
"Nov 12, 2020","104.51","105.12","105.45","103.87","20.35K","-0.58%"
"Nov 11, 2020","105.12","105.98","105.98","104.43","27.24K","-0.29%"
"Nov 10, 2020","105.43","104.97","105.69","103.19","22.78K","0.65%"
"Nov 09, 2020","104.75","105.54","106.80","104.75","25.36K","2.14%"
"Nov 06, 2020","102.56","102.14","103.36","101.97","21.75K","0.65%"
"Nov 05, 2020","101.90","102.73","103.12","101.50","44.87K","0.50%"
