"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","96.57","97.87","97.87","96.16","4.48K","0.22%"
"Dec 24, 2020","96.36","97.42","97.42","95.97","3.09K","-0.34%"
"Dec 23, 2020","96.69","96.51","97.22","96.51","4.51K","0.86%"
"Dec 22, 2020","95.87","96.22","96.46","95.28","8.35K","0.71%"
"Dec 21, 2020","95.19","94.31","95.19","93.62","6.55K","-0.32%"
"Dec 18, 2020","95.50","95.32","95.51","95.23","4.35K","0.59%"
"Dec 17, 2020","94.94","94.31","94.94","94.31","4.11K","1.33%"
"Dec 16, 2020","93.69","94.18","94.19","93.27","41.99K","-0.50%"
"Dec 15, 2020","94.16","92.77","94.23","92.77","5.40K","1.92%"
"Dec 14, 2020","92.38","94.31","94.31","92.36","6.75K","-0.44%"
"Dec 11, 2020","92.79","93.84","94.04","92.68","3.14K","-2.06%"
"Dec 10, 2020","94.74","94.15","94.74","94.15","3.96K","0.63%"
"Dec 09, 2020","94.15","94.10","94.64","93.57","9.76K","0.31%"
"Dec 08, 2020","93.86","92.03","93.86","92.03","4.17K","1.88%"
"Dec 07, 2020","92.13","92.98","92.98","91.53","6.22K","-0.58%"
"Dec 04, 2020","92.68","91.46","92.69","91.46","6.03K","2.27%"
"Dec 03, 2020","90.62","91.00","91.19","90.62","4.06K","0.03%"
"Dec 02, 2020","90.59","90.28","90.87","90.16","4.87K","0.46%"
"Dec 01, 2020","90.18","90.97","91.67","90.14","11.51K","0.57%"
"Nov 30, 2020","89.66","90.11","90.11","89.48","6.33K","-0.61%"
"Nov 27, 2020","90.21","89.68","90.37","89.68","9.20K","0.73%"
"Nov 25, 2020","89.56","89.32","89.93","89.11","7.94K","-0.63%"
"Nov 24, 2020","90.13","89.47","90.72","89.47","8.16K","1.33%"
"Nov 23, 2020","88.95","88.54","89.39","88.54","4.36K","0.79%"
"Nov 20, 2020","88.25","88.32","88.33","87.78","7.32K","0.31%"
"Nov 19, 2020","87.98","87.48","87.98","86.68","6.15K","0.01%"
"Nov 18, 2020","87.97","89.38","89.55","87.90","7.24K","-1.57%"
"Nov 17, 2020","89.37","88.67","89.84","87.71","5.59K","-0.17%"
"Nov 16, 2020","89.52","91.28","91.28","88.83","14.19K","0.21%"
"Nov 13, 2020","89.33","88.61","89.40","88.32","6.54K","1.82%"
"Nov 12, 2020","87.73","88.78","89.07","87.17","7.52K","-1.27%"
"Nov 11, 2020","88.86","90.86","90.86","88.51","16.25K","-0.63%"
"Nov 10, 2020","89.42","89.13","89.49","88.52","27.50K","1.60%"
"Nov 09, 2020","88.01","90.63","90.63","87.94","18.48K","2.83%"
"Nov 06, 2020","85.59","87.32","87.32","85.31","11.90K","-0.55%"
"Nov 05, 2020","86.06","86.19","86.38","85.38","49.69K","1.95%"
"Nov 04, 2020","84.41","84.03","85.54","84.03","15.51K","0.89%"
"Nov 03, 2020","83.67","83.55","83.91","83.07","5.63K","6.96%"
"Oct 30, 2020","78.22","77.91","79.05","77.48","23.87K","0.10%"
"Oct 29, 2020","78.14","77.00","78.38","77.00","3.68K","-0.23%"
"Oct 28, 2020","78.32","79.49","79.49","78.32","5.91K","-2.84%"
"Oct 27, 2020","80.61","80.98","81.46","80.56","3.20K","-1.02%"
"Oct 26, 2020","81.44","81.77","81.77","81.02","2.73K","-1.73%"
"Oct 23, 2020","82.87","82.37","82.87","82.35","2.45K","1.24%"
"Oct 22, 2020","81.86","81.24","81.86","81.01","1.94K","1.25%"
"Oct 21, 2020","80.85","81.10","81.30","80.80","1.35K","-0.38%"
"Oct 20, 2020","81.16","81.49","81.97","81.16","1.60K","0.32%"
"Oct 19, 2020","80.90","82.73","82.73","80.72","7.98K","-1.51%"
"Oct 16, 2020","82.14","81.90","82.79","81.90","1.66K","0.25%"
"Oct 15, 2020","81.94","80.88","81.94","80.88","1.28K","0.94%"
"Oct 14, 2020","81.17","81.14","81.17","81.14","2.35K","0.31%"
"Oct 13, 2020","80.92","80.77","80.92","80.77","7.12K","0.02%"
"Oct 12, 2020","80.90","81.10","81.28","80.86","2.70K","0.08%"
"Oct 11, 2020","80.84","80.84","80.84","80.84","-","0.00%"
"Oct 09, 2020","80.84","82.00","82.00","80.82","2.20K","-0.12%"
"Oct 08, 2020","80.93","80.70","80.93","80.70","1.74K","0.96%"
"Oct 07, 2020","80.16","80.07","80.16","79.92","3.99K","1.33%"
"Oct 06, 2020","79.11","80.04","80.65","79.11","3.13K","-0.68%"
"Oct 05, 2020","79.65","78.75","79.65","78.75","3.17K","2.84%"
"Oct 04, 2020","77.45","77.45","77.45","77.45","-","0.00%"
"Oct 03, 2020","77.45","77.45","77.45","77.45","-","0.00%"
"Oct 02, 2020","77.45","76.97","77.71","76.97","5.43K","0.64%"
"Oct 01, 2020","76.96","76.71","76.96","76.71","6.54K","-0.57%"
"Sep 30, 2020","77.40","76.98","77.85","76.98","22.03K","2.22%"
"Sep 29, 2020","75.72","75.23","75.72","75.23","9.36K","0.46%"
"Sep 28, 2020","75.37","75.33","75.58","75.33","5.25K","1.40%"
"Sep 27, 2020","74.33","74.33","74.33","74.33","-","0.00%"
"Sep 26, 2020","74.33","74.33","74.33","74.33","-","0.00%"
"Sep 25, 2020","74.33","72.96","74.33","72.96","5.30K","2.65%"
"Sep 24, 2020","72.41","71.50","73.09","71.50","2.71K","1.57%"
"Sep 23, 2020","71.29","73.00","73.00","71.26","4.21K","-2.37%"
"Sep 22, 2020","73.02","72.98","73.18","72.96","7.85K","-1.31%"
"Sep 21, 2020","73.99","72.96","73.99","72.96","9.20K","-2.55%"
"Sep 18, 2020","75.93","76.57","76.60","75.40","2.48K","-0.28%"
"Sep 17, 2020","76.14","75.74","76.17","75.74","2.27K","-0.76%"
"Sep 16, 2020","76.72","77.18","77.48","76.72","4.66K","0.87%"
"Sep 15, 2020","76.06","76.95","77.26","75.88","2.93K","-0.48%"
"Sep 14, 2020","76.43","75.05","76.55","75.05","2.72K","2.11%"
"Sep 13, 2020","74.85","74.85","74.85","74.85","-","0.00%"
"Sep 11, 2020","74.85","75.62","75.62","74.35","3.25K","-1.00%"
"Sep 10, 2020","75.61","76.63","76.63","75.61","4.35K","-0.70%"
"Sep 09, 2020","76.14","76.53","76.53","76.14","19.38K","0.89%"
"Sep 08, 2020","75.47","75.56","75.56","75.47","3.27K","-1.51%"
"Sep 04, 2020","76.63","76.68","76.97","75.43","22.77K","-1.01%"
"Sep 03, 2020","77.41","79.65","79.65","77.18","8.27K","-2.59%"
"Sep 02, 2020","79.47","79.05","79.47","79.05","4.99K","2.61%"
"Sep 01, 2020","77.45","77.28","77.45","77.28","13.32K","-0.49%"
"Aug 31, 2020","77.83","78.44","78.44","77.83","5.18K","-0.45%"
"Aug 30, 2020","78.18","78.18","78.18","78.18","-","0.00%"
"Aug 28, 2020","78.18","77.74","78.18","77.58","4.86K","0.26%"
"Aug 27, 2020","77.98","77.00","77.98","77.00","3.50K","1.26%"
"Aug 26, 2020","77.01","76.40","77.01","76.33","22.21K","-0.53%"
"Aug 25, 2020","77.42","77.30","77.42","77.30","3.72K","0.73%"
"Aug 24, 2020","76.86","76.77","76.86","76.77","3.31K","-0.29%"
"Aug 23, 2020","77.08","77.08","77.08","77.08","-","0.00%"
"Aug 22, 2020","77.08","77.08","77.08","77.08","-","0.00%"
"Aug 21, 2020","77.08","77.00","77.08","76.78","10.77K","-0.61%"
"Aug 20, 2020","77.55","78.04","78.25","77.55","1.38K","-0.66%"
"Aug 19, 2020","78.07","78.24","78.24","78.07","3.58K","-0.12%"
"Aug 18, 2020","78.16","78.00","78.34","78.00","4.88K","-0.56%"
"Aug 17, 2020","78.60","79.28","79.28","78.54","2.80K","0.05%"
"Aug 14, 2020","78.56","77.81","78.79","77.30","3.92K","0.19%"
"Aug 13, 2020","78.41","78.21","78.41","78.21","6.15K","-0.38%"
"Aug 12, 2020","78.71","78.73","78.73","78.71","20.57K","1.20%"
"Aug 11, 2020","77.78","79.78","79.78","77.78","19.35K","-0.94%"
"Aug 10, 2020","78.52","78.50","78.60","78.50","7.98K","0.46%"
"Aug 09, 2020","78.16","78.16","78.16","78.16","-","0.00%"
"Aug 08, 2020","78.16","78.16","78.16","78.16","-","0.00%"
"Aug 07, 2020","78.16","78.00","78.30","77.76","25.85K","0.51%"
"Aug 06, 2020","77.76","77.99","77.99","77.42","1.75K","0.62%"
