"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2021","41.74","40.24","41.85","40.09","36.24M","4.27%"
"Feb 02, 2021","40.03","40.55","40.99","40.03","31.87M","1.09%"
"Feb 01, 2021","39.60","39.80","40.00","38.94","30.36M","0.71%"
"Jan 29, 2021","39.32","40.10","40.62","39.17","31.53M","-3.32%"
"Jan 28, 2021","40.67","40.53","41.16","40.16","28.60M","1.17%"
"Jan 27, 2021","40.20","40.08","41.32","39.51","49.88M","-1.35%"
"Jan 26, 2021","40.75","42.01","42.64","40.73","27.45M","-2.14%"
"Jan 25, 2021","41.64","41.61","41.77","40.88","40.87M","-1.02%"
"Jan 22, 2021","42.07","41.36","42.19","41.02","25.22M","-0.52%"
"Jan 21, 2021","42.29","43.53","43.75","41.90","29.93M","-3.38%"
"Jan 20, 2021","43.77","43.98","44.09","43.34","25.34M","0.37%"
"Jan 19, 2021","43.61","43.27","43.91","43.13","27.51M","2.01%"
"Jan 15, 2021","42.75","43.69","43.70","42.33","47.75M","-3.89%"
"Jan 14, 2021","44.48","43.47","45.00","43.43","39.66M","2.96%"
"Jan 13, 2021","43.20","43.69","43.71","42.87","27.34M","-0.78%"
"Jan 12, 2021","43.54","42.58","43.77","42.26","43.91M","3.49%"
"Jan 11, 2021","42.07","40.52","42.24","40.29","23.39M","1.57%"
"Jan 08, 2021","41.42","42.00","42.00","41.09","31.37M","-0.12%"
"Jan 07, 2021","41.47","41.23","41.89","40.80","25.66M","1.47%"
"Jan 06, 2021","40.87","40.44","41.25","39.92","43.10M","3.05%"
"Jan 05, 2021","39.66","38.37","40.70","38.33","47.48M","4.48%"
"Jan 04, 2021","37.96","38.34","38.66","37.51","33.76M","0.16%"
"Dec 31, 2020","37.90","38.05","38.21","37.73","18.15M","-0.84%"
"Dec 30, 2020","38.22","37.66","38.58","37.57","28.10M","1.57%"
"Dec 29, 2020","37.63","38.11","38.22","37.45","18.96M","-0.66%"
"Dec 28, 2020","37.88","38.26","38.74","37.77","18.90M","-0.63%"
"Dec 24, 2020","38.12","38.37","38.37","37.74","11.45M","-0.52%"
"Dec 23, 2020","38.32","37.81","38.85","37.80","26.92M","2.21%"
"Dec 22, 2020","37.49","38.05","38.18","37.45","25.05M","-1.68%"
"Dec 21, 2020","38.13","37.41","38.46","37.01","40.00M","-3.22%"
"Dec 18, 2020","39.40","39.99","40.21","39.09","36.57M","-1.67%"
"Dec 17, 2020","40.07","40.62","40.63","39.83","23.17M","-0.47%"
"Dec 16, 2020","40.26","40.56","40.71","39.98","23.80M","-0.49%"
"Dec 15, 2020","40.46","39.90","40.66","39.53","29.14M","1.97%"
"Dec 14, 2020","39.68","41.75","41.76","39.53","39.91M","-3.50%"
"Dec 11, 2020","41.12","41.32","41.33","40.54","28.08M","-1.15%"
"Dec 10, 2020","41.60","40.41","42.08","40.30","38.75M","3.07%"
"Dec 09, 2020","40.36","40.68","41.34","39.87","43.20M","0.22%"
"Dec 08, 2020","40.27","39.19","40.67","39.18","28.91M","1.49%"
"Dec 07, 2020","39.68","40.15","40.24","39.30","34.65M","-2.34%"
"Dec 04, 2020","40.63","39.23","40.65","39.23","51.85M","5.45%"
"Dec 03, 2020","38.53","38.30","39.00","37.91","36.39M","1.05%"
"Dec 02, 2020","38.13","36.81","38.71","36.69","37.69M","3.25%"
"Dec 01, 2020","36.93","37.78","37.99","36.87","34.39M","0.46%"
"Nov 30, 2020","36.76","38.48","38.53","36.69","41.25M","-5.53%"
"Nov 27, 2020","38.91","39.15","39.47","38.60","18.76M","-1.17%"
"Nov 25, 2020","39.37","40.05","40.05","39.15","35.68M","-2.33%"
"Nov 24, 2020","40.31","39.63","40.42","39.28","53.18M","5.14%"
"Nov 23, 2020","38.34","36.37","38.39","36.33","38.09M","7.07%"
"Nov 20, 2020","35.81","35.91","36.07","35.56","19.75M","-0.53%"
"Nov 19, 2020","36.00","35.17","36.07","34.81","32.84M","1.64%"
"Nov 18, 2020","35.42","36.79","36.93","35.42","40.85M","-2.91%"
"Nov 17, 2020","36.48","35.64","36.50","35.17","38.85M","1.02%"
"Nov 16, 2020","36.11","35.32","36.19","34.88","47.88M","6.58%"
"Nov 13, 2020","33.88","32.94","34.04","32.90","39.44M","3.64%"
"Nov 12, 2020","32.69","33.19","33.66","32.34","38.57M","-3.23%"
"Nov 11, 2020","33.78","34.50","34.57","33.46","46.41M","-1.03%"
"Nov 10, 2020","34.13","33.68","34.13","32.98","73.25M","3.24%"
"Nov 09, 2020","33.06","32.40","33.79","32.30","98.69M","14.28%"
"Nov 06, 2020","28.93","29.57","30.01","28.81","33.22M","-2.16%"
"Nov 05, 2020","29.57","29.61","30.16","29.51","31.77M","0.00%"
"Nov 04, 2020","29.57","29.57","30.28","28.77","43.61M","0.14%"
"Nov 03, 2020","29.53","30.20","30.22","29.26","34.75M","-0.57%"
"Nov 02, 2020","29.70","29.11","30.09","28.57","41.89M","3.41%"
"Oct 30, 2020","28.72","28.36","28.74","28.03","37.90M","0.56%"
"Oct 29, 2020","28.56","27.35","28.65","26.98","37.24M","3.07%"
"Oct 28, 2020","27.71","28.21","28.39","27.55","40.53M","-4.18%"
"Oct 27, 2020","28.92","29.27","29.28","28.85","21.46M","-1.30%"
"Oct 26, 2020","29.30","29.87","29.91","29.01","30.39M","-3.59%"
"Oct 23, 2020","30.39","30.70","30.88","30.01","24.99M","-0.49%"
"Oct 22, 2020","30.54","29.38","30.58","29.19","32.82M","4.13%"
"Oct 21, 2020","29.33","29.73","29.90","29.32","24.65M","-1.91%"
"Oct 20, 2020","29.90","29.72","30.16","29.52","22.98M","1.18%"
"Oct 19, 2020","29.55","30.30","30.45","29.52","25.04M","-2.12%"
"Oct 16, 2020","30.19","30.83","30.87","30.14","18.71M","-2.27%"
"Oct 15, 2020","30.89","29.98","30.90","29.73","20.36M","1.21%"
"Oct 14, 2020","30.52","30.45","31.23","30.40","27.25M","0.43%"
"Oct 13, 2020","30.39","30.86","31.04","30.30","25.38M","-1.55%"
