Date,Price,Open,High,Low,Vol.,Change %
11-Apr-21,35.15,35.15,35.15,35.15,-,0.00%
10-Apr-21,35.15,35.15,35.15,35.15,-,0.00%
9-Apr-21,35.15,35.05,35.16,34.9,40.13M,0.86%
8-Apr-21,34.85,34.71,34.89,34.48,39.93M,0.03%
7-Apr-21,34.84,34.75,34.91,34.6,38.66M,0.49%
6-Apr-21,34.67,34.66,34.83,34.55,41.34M,-0.20%
5-Apr-21,34.74,34.83,34.9,34.63,51.79M,0.78%
1-Apr-21,34.47,34.03,34.47,34.03,51.69M,1.23%
31-Mar-21,34.05,34.21,34.38,34.04,51.14M,-0.76%
30-Mar-21,34.31,34.23,34.46,34.21,55.01M,0.70%
29-Mar-21,34.07,33.91,34.28,33.73,71.78M,-0.87%
26-Mar-21,34.37,34.19,34.43,33.94,53.78M,1.57%
25-Mar-21,33.84,33.25,33.88,33,60.53M,1.68%
24-Mar-21,33.28,33.39,33.79,33.28,63.36M,0.36%
23-Mar-21,33.16,33.41,33.66,33.04,70.44M,-1.40%
22-Mar-21,33.63,33.84,33.89,33.52,68.17M,-1.72%
21-Mar-21,34.22,34.22,34.22,34.22,-,0.00%
19-Mar-21,34.22,34.35,34.38,33.86,98.51M,-1.16%
18-Mar-21,34.62,34.79,35.28,34.5,96.69M,0.52%
17-Mar-21,34.44,34.46,34.64,34.09,64.05M,0.67%
16-Mar-21,34.21,34.42,34.42,33.95,67.41M,-1.04%
15-Mar-21,34.57,34.83,34.83,34.25,57.86M,-0.58%
14-Mar-21,34.77,34.77,34.77,34.77,-,0.00%
12-Mar-21,34.77,34.81,34.94,34.66,68.13M,1.02%
11-Mar-21,34.42,34.35,34.69,34.15,50.90M,-0.29%
10-Mar-21,34.52,33.98,34.65,33.94,73.27M,2.04%
9-Mar-21,33.83,33.86,34.32,33.53,117.22M,-0.91%
8-Mar-21,34.14,33.98,34.57,33.83,90.54M,1.28%
5-Mar-21,33.71,33.64,33.79,32.78,109.30M,1.90%
4-Mar-21,33.08,33.37,33.69,32.6,99.63M,-1.14%
3-Mar-21,33.46,33.33,33.96,33.29,71.89M,0.78%
2-Mar-21,33.2,33.28,33.47,33.17,49.64M,-0.36%
1-Mar-21,33.32,32.86,33.52,32.86,66.69M,3.13%
26-Feb-21,32.31,32.89,32.99,32.19,103.11M,-1.91%
25-Feb-21,32.94,33.82,33.84,32.85,90.43M,-1.82%
24-Feb-21,33.55,32.96,33.64,32.94,66.00M,1.94%
23-Feb-21,32.91,32.94,32.95,32.57,81.14M,0.61%
22-Feb-21,32.71,32.3,32.83,32.29,63.76M,0.93%
19-Feb-21,32.41,32.24,32.52,32.2,54.36M,1.19%
18-Feb-21,32.03,31.99,32.2,31.77,44.96M,-0.59%
17-Feb-21,32.22,31.96,32.26,31.85,60.44M,0.50%
16-Feb-21,32.06,31.84,32.21,31.7,70.42M,1.71%
12-Feb-21,31.52,31.17,31.55,31.14,38.27M,1.03%
11-Feb-21,31.2,31.32,31.43,30.99,31.71M,-0.32%
10-Feb-21,31.3,31.46,31.5,31.15,38.67M,0.00%
9-Feb-21,31.3,31.19,31.4,31.08,33.51M,0.03%
8-Feb-21,31.29,30.99,31.29,30.99,48.42M,1.29%
5-Feb-21,30.89,31.1,31.13,30.82,38.46M,0.03%
4-Feb-21,30.88,30.31,30.89,30.3,62.38M,2.22%
3-Feb-21,30.21,30,30.22,29.94,45.20M,0.57%
2-Feb-21,30.04,29.67,30.19,29.66,54.02M,2.42%
1-Feb-21,29.33,29.27,29.37,29.02,41.34M,1.31%
29-Jan-21,28.95,29.46,29.54,28.82,78.26M,-2.00%
28-Jan-21,29.54,29.37,29.88,29.28,62.88M,1.86%
27-Jan-21,29,29.47,29.5,28.93,83.79M,-2.95%
26-Jan-21,29.88,30.24,30.28,29.85,55.03M,-0.80%
25-Jan-21,30.12,30.04,30.16,29.74,68.09M,-0.73%
22-Jan-21,30.34,30.25,30.46,30.2,37.93M,-0.72%
21-Jan-21,30.56,30.87,30.93,30.56,43.67M,-1.07%
20-Jan-21,30.89,31.12,31.12,30.78,56.11M,-0.42%
19-Jan-21,31.02,31.1,31.18,30.83,96.26M,0.26%
15-Jan-21,30.94,31,31.19,30.71,68.73M,-1.65%
14-Jan-21,31.46,31.41,31.62,31.29,49.74M,0.45%
13-Jan-21,31.32,31.29,31.4,31.09,55.13M,-0.06%
12-Jan-21,31.34,31.2,31.49,31.1,60.28M,1.03%
11-Jan-21,31.02,30.62,31.07,30.49,42.87M,0.32%
8-Jan-21,30.92,31.09,31.1,30.51,54.27M,-0.06%
7-Jan-21,30.94,30.95,31.26,30.88,63.43M,1.44%
6-Jan-21,30.5,29.77,30.74,29.77,94.27M,4.42%
5-Jan-21,29.21,29.07,29.33,28.92,35.04M,0.45%
4-Jan-21,29.08,29.59,29.6,28.83,46.93M,-1.36%
31-Dec-20,29.48,29.08,29.52,29,26.24M,1.24%
30-Dec-20,29.12,29.09,29.2,29.02,16.50M,0.45%
29-Dec-20,28.99,29.21,29.22,28.96,23.56M,-0.34%
28-Dec-20,29.09,29.15,29.32,28.99,32.59M,0.48%
24-Dec-20,28.95,28.97,28.98,28.71,16.07M,0.14%
23-Dec-20,28.91,28.61,29.07,28.6,52.25M,1.65%
22-Dec-20,28.44,28.74,28.78,28.42,42.01M,-0.97%
21-Dec-20,28.72,28.67,28.85,28.23,76.09M,0.81%
18-Dec-20,28.49,28.78,28.78,28.32,56.08M,-0.87%
17-Dec-20,28.74,28.71,28.79,28.58,38.50M,0.28%
16-Dec-20,28.66,28.66,28.68,28.52,55.54M,0.17%
15-Dec-20,28.61,28.35,28.69,28.19,37.06M,1.71%
14-Dec-20,28.13,28.84,28.84,28.11,37.43M,-1.16%
11-Dec-20,28.46,28.43,28.52,28.23,48.22M,-1.01%
10-Dec-20,28.75,28.48,28.78,28.39,39.76M,0.17%
9-Dec-20,28.7,28.93,28.95,28.59,47.29M,-0.24%
8-Dec-20,28.77,28.51,28.84,28.51,30.89M,-0.03%
7-Dec-20,28.78,28.81,28.86,28.61,34.34M,-0.69%
4-Dec-20,28.98,28.82,29.03,28.8,52.71M,1.22%
3-Dec-20,28.63,28.64,28.8,28.46,49.51M,0.03%
