Time,Open,High,Low,Last,Change,%Chg,Volume
05/04/2021,138.27,138.31,135.69,135.58,-3.73,-2.68%,3219119
05/03/2021,140.45,140.73,138.955,139.31,-0.39,-0.28%,5402800
04/30/2021,140.19,140.95,139.37,139.7,-1.93,-1.36%,5291700
04/29/2021,142.91,143.09,140.19,141.63,-0.12,-0.08%,6708200
04/28/2021,142.245,142.44,141.405,141.75,-1.33,-0.93%,5345500
04/27/2021,143.66,143.77,142.57,143.08,-0.35,-0.24%,5411000
04/26/2021,142.75,143.58,142.65,143.43,0.73,+0.51%,3867500
04/23/2021,140.86,143.15,140.83,142.7,2.1,+1.49%,4446400
04/22/2021,142.02,142.63,139.98,140.6,-1.67,-1.17%,5826000
04/21/2021,140.6,142.32,140.21,142.27,1.42,+1.01%,4627000
04/20/2021,141.81,142.425,140.06,140.85,-1.26,-0.89%,4936700
04/19/2021,142.66,143.32,141.26,142.11,-1.19,-0.83%,5127300
04/16/2021,143.44,143.57,142.7,143.3,-0.03,-0.02%,5848000
04/15/2021,142.2,143.44,142.18,143.33,2.42,+1.72%,5514400
04/14/2021,142.4,142.47,140.64,140.91,-1.51,-1.06%,5608100
04/13/2021,141.63,142.53,141.37,142.42,1.33,+0.94%,5658100
04/12/2021,141.19,141.54,140.395,141.09,-0.68,-0.48%,7953500
04/09/2021,139.91,141.81,139.66,141.77,1.35,+0.96%,4700600
04/08/2021,139.72,140.45,139.48,140.42,2,+1.44%,7072200
04/07/2021,137.58,138.665,137.08,138.42,0.73,+0.53%,5042500
04/06/2021,138.06,138.51,137.23,137.69,-0.59,-0.43%,5658100
04/05/2021,136.27,138.52,136.09,138.28,2.8,+2.07%,6433300
04/01/2021,134.26,135.49,134.13,135.48,2.67,+2.01%,7175700
03/31/2021,131.73,133.62,131.62,132.81,2.08,+1.59%,7715100
03/30/2021,131.05,131.19,129.94,130.73,-1.25,-0.95%,6617600
03/29/2021,132.27,132.64,130.98,131.98,-0.69,-0.52%,8658800
03/26/2021,129.31,132.81,129.26,132.67,3.29,+2.54%,7441500
03/25/2021,128.69,129.96,127.72,129.38,-0.08,-0.06%,11286800
03/24/2021,131.84,131.8638,129.44,129.46,-1.59,-1.21%,7104900
03/23/2021,132.23,132.81,130.7,131.05,-0.82,-0.62%,6464500
03/22/2021,130.02,132.51,129.81,131.87,2.27,+1.75%,7992000
03/19/2021,130.02,130.59,128.98,129.6,-0.39,-0.30%,13612600
03/18/2021,131.87,132.095,129.83,129.99,-3.71,-2.77%,8792400
03/17/2021,132.73,134.5,131.7201,133.7,-0.11,-0.08%,9683200
03/16/2021,133.83,135.09,133.24,133.81,1,+0.75%,6553400
03/15/2021,131.51,132.89,130.985,132.81,1.4,+1.07%,8294000
03/12/2021,130.78,131.45,129.94,131.41,-0.95,-0.72%,6221000
03/11/2021,131.54,133.1793,131.26,132.36,2.77,+2.14%,6681400
03/10/2021,131.51,131.53,129.49,129.59,-0.52,-0.40%,9229400
03/09/2021,128.77,130.91,128.6,130.11,4.28,+3.40%,11493600
03/08/2021,128.83,129.45,125.7,125.83,-3.12,-2.42%,17621200
03/05/2021,128.14,129.31,124.71,128.95,2.39,+1.89%,23042800
03/04/2021,129.02,129.96,124.96,126.56,-2.86,-2.21%,38477700
03/03/2021,132.12,132.5,129.28,129.42,-3.34,-2.52%,14944700
03/02/2021,135.09,135.18,132.565,132.76,-2.14,-1.59%,12401400
03/01/2021,132.91,134.98,132.0701,134.9,4.21,+3.22%,12387600
02/26/2021,131.29,132.7,129.53,130.69,0.69,+0.53%,17755900
02/25/2021,133.51,134.4,129.42,130,-4.71,-3.50%,17156800
02/24/2021,131.69,134.83,130.68,134.71,2.03,+1.53%,8236100
02/23/2021,130.84,133.5,128.61,132.68,-0.37,-0.28%,12099200
02/22/2021,134.38,134.82,132.97,133.05,-3,-2.21%,7131300
02/19/2021,136.95,137.07,135.44,136.05,-0.2,-0.15%,5843000
02/18/2021,135.5,136.48,134.53,136.25,-0.67,-0.49%,5478000
02/17/2021,136.87,137.22,135.54,136.92,-1.22,-0.88%,7637600
02/16/2021,139.14,139.24,137.78,138.14,-0.45,-0.32%,4861000
02/12/2021,137.52,138.68,137.14,138.59,0.71,+0.51%,3377700
02/11/2021,137.3,137.97,136.77,137.88,1.5,+1.10%,3782800
02/10/2021,137.13,137.3,135.22,136.38,-0.2,-0.15%,4732200
02/09/2021,136.38,137.23,136.3392,136.58,-0.16,-0.12%,5276200
02/08/2021,135.87,136.8,135.68,136.74,1.42,+1.05%,5856800
02/05/2021,136.03,136.05,134.93,135.32,-0.3,-0.22%,4706800
02/04/2021,134.21,135.62,133.825,135.62,2.13,+1.60%,4067100
02/03/2021,134.22,134.5,133.09,133.49,-0.46,-0.34%,5787400
02/02/2021,133.44,134.34,133.25,133.95,1.79,+1.35%,4297600
02/01/2021,130.46,132.8,129.5,132.16,3.23,+2.51%,5616300
01/29/2021,131.38,131.9,128.2294,128.93,-3.11,-2.36%,9511800
01/28/2021,132.17,134.24,131.72,132.04,0.54,+0.41%,8090800
01/27/2021,133.39,133.82,130.31,131.5,-2.53,-1.89%,12242200
01/26/2021,134.41,134.62,133.52,134.03,0.09,+0.07%,4296700
01/25/2021,134.33,134.79,130.7,133.94,1.11,+0.84%,9102600
01/22/2021,132.78,133.5,132.51,132.83,-0.51,-0.38%,5621700
01/21/2021,132.35,133.78,131.64,133.34,1.7,+1.29%,4474100
01/20/2021,130.07,132.1,129.89,131.64,2.56,+1.98%,5885000
01/19/2021,128.3,129.3,127.85,129.08,1.66,+1.30%,5784700
01/15/2021,128.55,129.12,127.16,127.42,-1.32,-1.03%,6320500
01/14/2021,130.2,130.47,128.55,128.74,-1.14,-0.88%,7812300
01/13/2021,129.23,130.28,128.98,129.88,0.82,+0.64%,6802500
01/12/2021,129.52,129.69,127.83,129.06,-0.62,-0.48%,8544500
01/11/2021,129.49,130.6,129.14,129.68,-1.08,-0.83%,8928600
01/08/2021,130.56,131.11,129.28,130.76,0.84,+0.65%,6193800
01/07/2021,127.73,130.17,127.68,129.92,3.41,+2.70%,9825900
01/06/2021,126.89,128.98,126.12,126.51,-2.22,-1.72%,13629000
01/05/2021,127.61,128.94,127.53,128.73,0.83,+0.65%,6180700
01/04/2021,130.68,130.71,126.24,127.9,-2.12,-1.63%,10508500
12/31/2020,129.89,130.39,128.97,130.02,0.19,+0.15%,5529100
12/30/2020,130.35,130.62,129.64,129.83,-0.07,-0.05%,4070800
12/29/2020,131.23,131.4,129.67,129.9,-0.62,-0.48%,4420600
12/28/2020,130.34,130.78,129.73,130.52,1.46,+1.13%,4085400
12/24/2020,128.43,129.38,128.34,129.06,0.85,+0.66%,2192300
12/23/2020,129.34,129.4345,128.02,128.21,-0.98,-0.76%,5650300
12/22/2020,128.79,129.77,128.2,129.19,1.11,+0.87%,7167600
12/21/2020,126.33,128.14,125.2,128.08,-0.17,-0.13%,7616100
12/18/2020,128.89,128.91,127.43,128.25,-0.45,-0.35%,8846600
12/17/2020,128.62,128.98,128.09,128.7,1.01,+0.79%,5752400
12/16/2020,127,128.14,126.58,127.69,0.86,+0.68%,5154600
12/15/2020,126.1,126.83,125.29,126.83,2.08,+1.67%,4557200
12/14/2020,124.68,125.87,124.6,124.75,0.45,+0.36%,5528000
12/11/2020,123.81,124.3,122.9,124.3,-0.26,-0.21%,6511600
12/10/2020,123.62,125.15,123.33,124.56,0.18,+0.14%,4998700
12/09/2020,126.73,127.105,123.95,124.38,-2.43,-1.92%,8635900
12/08/2020,126.28,127.21,125.739,126.81,0.41,+0.32%,3943400
12/07/2020,126.11,126.77,125.89,126.4,0.36,+0.29%,4452700
12/04/2020,124.97,126.06,124.7,126.04,1.25,+1.00%,5179300
12/03/2020,125.01,125.63,124.455,124.79,-0.08,-0.06%,6887700
12/02/2020,124.53,125.01,123.59,124.87,-0.19,-0.15%,8019400
12/01/2020,124.5,125.75,123.98,125.06,1.58,+1.28%,11332100
11/30/2020,122.62,123.66,121.23,123.48,0.82,+0.67%,16114600
11/27/2020,122.66,123.18,122.43,122.66,0.65,+0.53%,3512900
11/25/2020,122.17,122.52,121.55,122.01,0.26,+0.21%,6093100
11/24/2020,120.54,121.985,119.67,121.75,1.67,+1.39%,6820600
11/23/2020,120.48,121.27,119.04,120.08,-0.03,-0.02%,4904300
11/20/2020,121.47,121.5,120.07,120.11,-1.25,-1.03%,4958300
11/19/2020,120.15,121.58,119.62,121.36,0.97,+0.81%,6077600
11/18/2020,121.48,122.06,120.34,120.39,-1.3,-1.07%,4771700
11/17/2020,121.76,122.35,121.172,121.69,-0.68,-0.56%,4969700
11/16/2020,121.21,122.59,120.96,122.37,1.17,+0.97%,7432000
11/13/2020,121.09,121.45,119.95,121.2,1.02,+0.85%,5926500
11/12/2020,121.26,121.86,119.615,120.18,-1.08,-0.89%,7177000
11/11/2020,119.65,121.59,119.41,121.26,2.81,+2.37%,7244200
