"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","32.40","32.95","33.21","32.36","1.53M","-0.61%"
"Dec 24, 2020","32.60","32.71","32.84","32.27","975.84K","0.00%"
"Dec 23, 2020","32.60","32.40","32.88","32.38","1.78M","1.56%"
"Dec 22, 2020","32.10","32.73","32.84","31.88","2.37M","-1.71%"
"Dec 21, 2020","32.66","31.74","32.68","31.71","2.13M","0.74%"
"Dec 18, 2020","32.42","33.59","33.59","32.35","3.98M","-3.63%"
"Dec 17, 2020","33.64","33.58","33.79","33.35","2.71M","1.08%"
"Dec 16, 2020","33.28","33.45","33.47","32.84","1.72M","0.09%"
"Dec 15, 2020","33.25","32.59","33.28","32.29","1.80M","3.20%"
"Dec 14, 2020","32.22","33.18","33.39","32.19","1.83M","-1.89%"
"Dec 11, 2020","32.84","33.22","33.39","32.31","2.42M","-2.03%"
"Dec 10, 2020","33.52","32.53","33.58","32.33","2.53M","2.82%"
"Dec 09, 2020","32.60","33.61","33.70","32.14","4.34M","-1.90%"
"Dec 08, 2020","33.23","32.44","33.33","32.28","3.11M","2.06%"
"Dec 07, 2020","32.56","32.50","32.93","32.26","2.49M","-0.09%"
"Dec 04, 2020","32.59","31.48","32.71","31.38","3.23M","4.76%"
"Dec 03, 2020","31.11","31.35","31.50","30.88","1.86M","-0.35%"
"Dec 02, 2020","31.22","30.71","31.33","30.38","1.93M","1.79%"
"Dec 01, 2020","30.67","30.15","30.91","30.14","2.27M","4.60%"
"Nov 30, 2020","29.32","30.01","30.01","29.23","2.37M","-2.82%"
"Nov 27, 2020","30.17","30.26","30.41","29.93","1.15M","0.17%"
"Nov 25, 2020","30.12","30.24","30.27","29.62","1.70M","-0.50%"
"Nov 24, 2020","30.27","29.41","30.41","29.40","3.55M","4.13%"
"Nov 23, 2020","29.07","28.51","29.13","28.51","3.56M","2.87%"
"Nov 20, 2020","28.26","28.26","28.59","28.08","1.46M","0.00%"
"Nov 19, 2020","28.26","28.13","28.40","27.74","1.32M","0.07%"
"Nov 18, 2020","28.24","29.00","29.22","28.22","1.96M","-2.22%"
"Nov 17, 2020","28.88","28.67","29.06","28.27","1.70M","-0.41%"
"Nov 16, 2020","29.00","28.27","29.01","28.19","3.50M","4.54%"
"Nov 13, 2020","27.74","26.75","27.84","26.75","3.03M","4.72%"
"Nov 12, 2020","26.49","26.81","27.04","26.27","1.43M","-1.67%"
"Nov 11, 2020","26.94","27.16","27.22","26.71","2.29M","-1.03%"
"Nov 10, 2020","27.22","26.93","27.40","26.91","2.75M","1.11%"
"Nov 09, 2020","26.92","27.03","28.00","26.47","3.66M","4.14%"
"Nov 06, 2020","25.85","25.74","26.20","25.71","2.27M","0.98%"
"Nov 05, 2020","25.60","24.65","25.92","24.65","3.27M","5.26%"
"Nov 04, 2020","24.32","25.26","25.46","24.15","3.41M","-5.07%"
"Nov 03, 2020","25.62","25.53","25.74","25.31","2.43M","2.07%"
"Nov 02, 2020","25.10","24.79","25.11","24.40","2.08M","2.74%"
"Oct 30, 2020","24.43","24.25","24.57","23.90","3.34M","0.12%"
"Oct 29, 2020","24.40","23.51","24.59","23.32","4.28M","2.87%"
"Oct 28, 2020","23.72","24.24","24.28","23.66","2.53M","-4.78%"
"Oct 27, 2020","24.91","24.95","25.08","24.65","1.31M","0.08%"
"Oct 26, 2020","24.89","25.33","25.33","24.75","1.48M","-2.77%"
"Oct 23, 2020","25.60","25.60","25.91","25.49","1.96M","0.71%"
"Oct 22, 2020","25.42","24.93","25.44","24.65","1.94M","1.72%"
"Oct 21, 2020","24.99","25.17","25.57","24.99","1.91M","-0.12%"
"Oct 20, 2020","25.02","25.10","25.61","24.95","1.30M","-0.04%"
"Oct 19, 2020","25.03","25.41","25.94","24.96","2.68M","-0.71%"
"Oct 16, 2020","25.21","25.19","25.45","24.97","1.85M","-0.12%"
"Oct 15, 2020","25.24","24.50","25.24","24.50","1.65M","0.16%"
"Oct 14, 2020","25.20","25.13","25.36","25.05","1.82M","1.20%"
"Oct 13, 2020","24.90","24.96","25.03","24.67","1.24M","-1.43%"
"Oct 12, 2020","25.26","25.36","25.49","25.17","940.73K","-0.39%"
"Oct 11, 2020","25.36","25.36","25.36","25.36","-","0.00%"
"Oct 09, 2020","25.36","25.63","25.72","24.95","1.54M","0.52%"
"Oct 08, 2020","25.23","25.00","25.28","24.92","1.24M","1.86%"
"Oct 07, 2020","24.77","24.37","24.89","24.37","1.49M","3.34%"
"Oct 06, 2020","23.97","24.77","24.99","23.96","2.51M","-2.64%"
"Oct 05, 2020","24.62","24.20","24.77","24.20","1.77M","2.54%"
"Oct 04, 2020","24.01","24.01","24.01","24.01","-","0.00%"
"Oct 03, 2020","24.01","24.01","24.01","24.01","-","0.00%"
"Oct 02, 2020","24.01","23.03","24.11","22.95","2.09M","2.17%"
"Oct 01, 2020","23.50","23.35","23.60","23.09","2.15M","1.12%"
"Sep 30, 2020","23.24","23.50","23.76","23.09","1.26M","-0.39%"
"Sep 29, 2020","23.33","23.79","23.95","23.11","1.71M","-1.97%"
"Sep 28, 2020","23.80","23.55","24.09","23.39","2.66M","3.34%"
"Sep 27, 2020","23.03","23.03","23.03","23.03","-","0.00%"
"Sep 26, 2020","23.03","23.03","23.03","23.03","-","0.00%"
"Sep 25, 2020","23.03","22.57","23.15","22.56","1.20M","0.35%"
"Sep 24, 2020","22.95","22.60","23.41","22.37","2.65M","0.75%"
"Sep 23, 2020","22.78","23.50","23.90","22.75","2.72M","-3.56%"
"Sep 22, 2020","23.62","23.77","23.93","23.35","1.82M","-0.38%"
"Sep 21, 2020","23.71","24.82","24.85","23.49","3.42M","-7.46%"
"Sep 18, 2020","25.62","25.64","26.32","25.58","3.22M","0.43%"
"Sep 17, 2020","25.51","24.72","25.69","24.46","1.48M","1.55%"
"Sep 16, 2020","25.12","25.00","25.41","24.75","1.44M","1.05%"
"Sep 15, 2020","24.86","25.00","25.09","24.63","2.19M","0.44%"
"Sep 14, 2020","24.75","24.32","24.80","24.20","1.29M","3.30%"
"Sep 13, 2020","23.96","23.96","23.96","23.96","-","0.00%"
"Sep 11, 2020","23.96","24.07","24.34","23.88","1.30M","0.17%"
"Sep 10, 2020","23.92","24.54","24.56","23.89","1.47M","-1.64%"
"Sep 09, 2020","24.32","24.49","24.61","23.98","1.85M","0.79%"
"Sep 08, 2020","24.13","24.42","24.67","23.93","2.52M","-2.82%"
"Sep 04, 2020","24.83","24.88","25.11","24.18","2.48M","0.85%"
"Sep 03, 2020","24.62","24.92","25.29","24.28","2.60M","-1.91%"
"Sep 02, 2020","25.10","24.97","25.15","24.54","1.50M","0.20%"
"Sep 01, 2020","25.05","24.88","25.09","24.56","1.54M","0.97%"
"Aug 31, 2020","24.81","25.24","25.24","24.80","1.33M","-1.00%"
"Aug 30, 2020","25.06","25.06","25.06","25.06","-","0.00%"
"Aug 28, 2020","25.06","24.79","25.13","24.76","1.74M","1.99%"
"Aug 27, 2020","24.57","24.80","24.88","24.23","2.81M","-0.20%"
"Aug 26, 2020","24.62","24.50","24.81","24.46","2.41M","0.29%"
"Aug 25, 2020","24.55","24.61","24.77","24.11","2.59M","-0.20%"
"Aug 24, 2020","24.60","24.38","24.61","24.20","2.39M","1.82%"
"Aug 23, 2020","24.16","24.16","24.16","24.16","-","0.00%"
"Aug 21, 2020","24.16","24.50","24.60","23.98","3.02M","-2.46%"
"Aug 20, 2020","24.77","24.32","24.96","24.28","1.80M","0.20%"
"Aug 19, 2020","24.72","25.00","25.31","24.69","2.17M","-1.36%"
"Aug 18, 2020","25.06","25.46","25.51","24.96","1.19M","-0.48%"
"Aug 17, 2020","25.18","25.17","25.36","24.99","1.35M","1.61%"
"Aug 14, 2020","24.78","24.60","24.90","24.37","1.27M","0.45%"
"Aug 13, 2020","24.67","24.51","24.79","24.50","1.65M","-0.40%"
"Aug 12, 2020","24.77","25.28","25.29","24.67","1.39M","-0.08%"
"Aug 11, 2020","24.79","25.25","25.50","24.70","3.99M","-2.09%"
"Aug 10, 2020","25.32","24.59","25.55","24.59","3.66M","3.81%"
"Aug 09, 2020","24.39","24.39","24.39","24.39","-","0.00%"
"Aug 08, 2020","24.39","24.39","24.39","24.39","-","0.00%"
"Aug 07, 2020","24.39","24.30","24.39","23.70","2.20M","-0.65%"
"Aug 06, 2020","24.55","24.61","24.62","24.26","2.32M","0.12%"
"Aug 05, 2020","24.52","24.20","24.86","24.20","2.28M","3.24%"
"Aug 04, 2020","23.75","23.27","23.81","23.00","1.56M","1.71%"
"Aug 03, 2020","23.35","23.01","23.39","22.75","2.08M","1.92%"
"Aug 02, 2020","22.91","22.91","22.91","22.91","-","0.00%"
"Jul 31, 2020","22.91","23.12","23.12","22.45","4.37M","-0.91%"
"Jul 30, 2020","23.12","23.05","23.16","22.67","2.10M","-2.03%"
"Jul 29, 2020","23.60","23.36","23.79","23.19","2.95M","1.64%"
"Jul 28, 2020","23.22","23.69","23.69","23.20","3.17M","-1.98%"
"Jul 27, 2020","23.69","23.31","23.70","23.20","2.32M","2.91%"
"Jul 26, 2020","23.02","23.02","23.02","23.02","-","0.00%"
"Jul 25, 2020","23.02","23.02","23.02","23.02","-","0.00%"
"Jul 24, 2020","23.02","22.95","23.16","22.74","1.68M","-0.09%"
"Jul 23, 2020","23.04","23.25","23.37","22.77","2.35M","-0.86%"
"Jul 22, 2020","23.24","22.89","23.28","22.78","1.69M","1.31%"
"Jul 21, 2020","22.94","22.76","23.11","22.75","2.57M","2.41%"
"Jul 20, 2020","22.40","22.48","22.51","22.26","935.85K","-0.04%"
"Jul 17, 2020","22.41","22.47","22.76","22.33","1.71M","0.09%"
"Jul 16, 2020","22.39","22.41","22.66","22.21","1.94M","-0.89%"
"Jul 15, 2020","22.59","22.50","22.69","21.98","2.88M","2.50%"
"Jul 14, 2020","22.04","21.03","22.05","21.03","2.69M","4.01%"
"Jul 13, 2020","21.19","21.73","21.94","21.16","2.72M","-0.84%"
"Jul 12, 2020","21.37","21.37","21.37","21.37","-","0.00%"
"Jul 11, 2020","21.37","21.37","21.37","21.37","-","0.00%"
"Jul 10, 2020","21.37","20.61","21.38","20.58","2.05M","3.99%"
"Jul 09, 2020","20.55","21.01","21.01","20.21","2.08M","-1.53%"
"Jul 08, 2020","20.87","21.13","21.18","20.52","2.01M","-0.38%"
"Jul 07, 2020","20.95","21.02","21.27","20.87","2.18M","-1.32%"
"Jul 06, 2020","21.23","21.39","21.43","20.81","2.22M","2.21%"
"Jul 05, 2020","20.77","20.77","20.77","20.77","-","0.00%"
"Jul 04, 2020","20.77","20.77","20.77","20.77","-","0.00%"
"Jul 02, 2020","20.77","21.03","21.50","20.71","1.95M","0.19%"
"Jul 01, 2020","20.73","21.23","21.23","20.38","2.18M","-2.17%"
"Jun 30, 2020","21.19","20.77","21.29","20.68","1.96M","1.53%"
"Jun 29, 2020","20.87","20.45","20.97","20.45","1.44M","3.42%"
