"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","138.31","140.68","140.68","138.00","36.28K","-0.97%"
"Dec 24, 2020","139.66","139.56","140.23","139.12","13.26K","-0.01%"
"Dec 23, 2020","139.67","141.42","141.42","139.63","17.91K","-1.01%"
"Dec 22, 2020","141.10","141.20","141.32","139.55","24.68K","0.16%"
"Dec 21, 2020","140.88","139.42","141.00","138.65","60.85K","0.41%"
"Dec 18, 2020","140.31","141.28","141.40","138.96","48.31K","-0.19%"
"Dec 17, 2020","140.58","139.60","140.66","139.50","40.00K","1.18%"
"Dec 16, 2020","138.94","137.88","139.07","137.13","29.66K","0.99%"
"Dec 15, 2020","137.57","137.67","138.01","136.44","439.72K","0.79%"
"Dec 14, 2020","136.49","135.67","137.10","135.67","44.06K","1.16%"
"Dec 11, 2020","134.93","134.88","135.29","133.55","18.90K","-0.68%"
"Dec 10, 2020","135.85","133.20","136.04","132.54","21.59K","0.85%"
"Dec 09, 2020","134.70","138.73","138.73","133.98","51.14K","-2.84%"
"Dec 08, 2020","138.64","137.91","138.96","136.85","88.13K","0.31%"
"Dec 07, 2020","138.21","136.73","138.26","136.73","47.91K","1.55%"
"Dec 04, 2020","136.10","134.92","136.10","134.60","23.74K","1.27%"
"Dec 03, 2020","134.39","134.62","135.53","134.37","29.45K","0.54%"
"Dec 02, 2020","133.67","133.00","133.87","131.73","37.08K","-0.43%"
"Dec 01, 2020","134.25","134.16","134.65","132.94","46.03K","1.53%"
"Nov 30, 2020","132.23","132.75","133.07","129.85","60.64K","-0.17%"
"Nov 27, 2020","132.45","132.04","133.16","132.04","19.69K","1.25%"
"Nov 25, 2020","130.82","130.07","131.00","129.60","29.66K","0.53%"
"Nov 24, 2020","130.13","129.32","130.24","127.89","29.30K","1.62%"
"Nov 23, 2020","128.06","127.52","128.50","127.00","19.61K","1.11%"
"Nov 20, 2020","126.66","127.77","127.87","126.63","34.00K","-0.81%"
"Nov 19, 2020","127.70","126.08","127.78","125.66","17.19K","1.22%"
"Nov 18, 2020","126.16","125.83","127.36","124.95","30.32K","0.59%"
"Nov 17, 2020","125.42","126.02","126.27","124.99","43.00K","0.65%"
"Nov 16, 2020","124.61","123.79","124.76","123.15","83.71K","0.70%"
"Nov 13, 2020","123.74","123.87","124.03","122.27","17.72K","1.08%"
"Nov 12, 2020","122.42","123.61","124.42","122.04","27.66K","-0.63%"
"Nov 11, 2020","123.19","121.42","123.32","121.37","19.01K","2.69%"
"Nov 10, 2020","119.96","122.12","122.43","118.81","42.72K","-2.80%"
"Nov 09, 2020","123.42","127.72","128.75","123.36","42.25K","-2.47%"
"Nov 06, 2020","126.55","125.72","126.86","124.30","30.26K","0.36%"
"Nov 05, 2020","126.09","125.14","126.22","124.57","44.98K","3.38%"
"Nov 04, 2020","121.97","120.91","122.80","120.19","43.78K","3.56%"
"Nov 03, 2020","117.77","116.03","118.15","115.50","14.50K","2.20%"
"Nov 02, 2020","115.24","116.00","117.02","114.10","36.38K","0.32%"
"Oct 30, 2020","114.87","117.17","117.25","113.89","35.59K","-2.69%"
"Oct 29, 2020","118.05","116.80","119.03","116.42","38.70K","1.76%"
"Oct 28, 2020","116.01","118.25","118.34","115.87","34.61K","-3.67%"
"Oct 27, 2020","120.43","120.48","120.65","119.97","10.57K","0.68%"
"Oct 26, 2020","119.61","120.58","121.68","118.21","34.65K","-1.67%"
"Oct 23, 2020","121.65","121.52","121.65","120.18","13.60K","0.26%"
"Oct 22, 2020","121.33","122.43","122.43","120.02","18.53K","-0.46%"
"Oct 21, 2020","121.89","122.62","123.07","121.83","24.83K","-0.48%"
"Oct 20, 2020","122.48","122.97","123.49","121.98","19.07K","0.03%"
"Oct 19, 2020","122.45","125.00","125.26","122.27","16.74K","-1.15%"
"Oct 16, 2020","123.88","125.69","125.79","123.74","16.59K","-0.49%"
"Oct 15, 2020","124.49","124.09","124.59","123.17","21.35K","-1.08%"
"Oct 14, 2020","125.85","126.93","126.93","125.14","19.44K","-0.33%"
"Oct 13, 2020","126.27","126.19","126.70","125.48","44.58K","0.22%"
"Oct 12, 2020","125.99","125.06","126.52","124.92","26.38K","2.13%"
"Oct 11, 2020","123.36","123.36","123.36","123.36","-","0.00%"
"Oct 09, 2020","123.36","122.76","123.36","122.57","17.91K","1.21%"
"Oct 08, 2020","121.88","121.84","122.16","121.73","10.41K","0.49%"
"Oct 07, 2020","121.28","120.16","121.43","120.16","17.64K","2.26%"
"Oct 06, 2020","118.60","120.08","121.08","118.26","23.70K","-1.23%"
"Oct 05, 2020","120.08","118.64","120.08","118.64","57.28K","2.38%"
"Oct 04, 2020","117.29","117.29","117.29","117.29","-","0.00%"
"Oct 03, 2020","117.29","117.29","117.29","117.29","-","0.00%"
"Oct 02, 2020","117.29","119.60","119.89","117.29","29.45K","-3.18%"
"Oct 01, 2020","121.14","120.29","121.15","120.07","22.54K","2.05%"
"Sep 30, 2020","118.71","118.25","119.70","118.24","17.37K","0.75%"
"Sep 29, 2020","117.83","117.62","118.39","117.17","31.14K","0.35%"
"Sep 28, 2020","117.42","117.14","117.42","116.23","16.30K","1.87%"
"Sep 27, 2020","115.27","115.27","115.27","115.27","-","0.00%"
"Sep 26, 2020","115.27","115.27","115.27","115.27","-","0.00%"
"Sep 25, 2020","115.27","112.44","115.29","112.44","22.83K","2.45%"
"Sep 24, 2020","112.51","110.72","113.74","110.72","68.53K","0.58%"
"Sep 23, 2020","111.86","114.99","115.43","111.86","24.37K","-3.63%"
"Sep 22, 2020","116.07","115.00","116.20","113.81","36.22K","0.60%"
"Sep 21, 2020","115.38","112.50","115.38","111.93","37.00K","0.74%"
"Sep 18, 2020","114.53","116.20","116.20","112.81","19.17K","-0.22%"
"Sep 17, 2020","114.78","113.60","115.20","113.11","19.92K","-1.40%"
"Sep 16, 2020","116.41","118.40","118.70","116.41","24.61K","-1.71%"
"Sep 15, 2020","118.44","118.19","118.91","117.60","22.28K","2.21%"
"Sep 14, 2020","115.88","114.39","116.00","114.39","23.37K","2.84%"
"Sep 13, 2020","112.68","112.68","112.68","112.68","-","0.00%"
"Sep 11, 2020","112.68","114.80","114.92","111.48","32.69K","-0.49%"
"Sep 10, 2020","113.24","116.63","117.14","112.99","52.31K","-1.40%"
"Sep 09, 2020","114.85","113.12","115.37","113.12","37.34K","3.38%"
"Sep 08, 2020","111.09","112.00","114.71","111.09","56.40K","-6.17%"
"Sep 04, 2020","118.40","118.68","120.18","113.55","64.43K","-1.23%"
"Sep 03, 2020","119.87","123.55","123.55","118.96","62.94K","-5.39%"
"Sep 02, 2020","126.70","127.64","127.64","124.00","39.92K","0.08%"
"Sep 01, 2020","126.60","125.00","126.75","125.00","36.12K","1.52%"
"Aug 31, 2020","124.70","123.06","124.81","123.06","24.53K","1.36%"
"Aug 30, 2020","123.03","123.03","123.03","123.03","-","0.00%"
"Aug 28, 2020","123.03","122.85","123.49","122.42","17.83K","0.89%"
"Aug 27, 2020","121.94","122.40","122.99","121.86","19.89K","-0.59%"
"Aug 26, 2020","122.66","120.21","122.71","120.21","40.99K","3.63%"
"Aug 25, 2020","118.36","117.26","118.36","117.26","16.28K","1.34%"
"Aug 24, 2020","116.79","116.00","116.79","116.00","16.16K","0.53%"
"Aug 23, 2020","116.18","116.18","116.18","116.18","-","0.00%"
"Aug 21, 2020","116.18","115.83","116.36","115.44","18.37K","0.50%"
"Aug 20, 2020","115.60","113.80","115.78","113.80","12.19K","1.45%"
"Aug 19, 2020","113.95","114.65","114.88","113.90","16.35K","-0.25%"
"Aug 18, 2020","114.24","114.28","114.50","113.46","13.75K","1.02%"
"Aug 17, 2020","113.09","112.00","113.09","112.00","10.08K","2.38%"
"Aug 14, 2020","110.46","111.03","111.25","110.11","11.04K","-0.22%"
"Aug 13, 2020","110.70","111.38","111.38","110.22","16.96K","-0.03%"
"Aug 12, 2020","110.73","109.62","111.10","109.62","14.10K","3.29%"
"Aug 11, 2020","107.20","108.68","109.06","107.20","30.08K","-1.96%"
"Aug 10, 2020","109.34","109.20","109.75","108.51","33.24K","-0.63%"
"Aug 09, 2020","110.03","110.03","110.03","110.03","-","0.00%"
"Aug 08, 2020","110.03","110.03","110.03","110.03","-","0.00%"
"Aug 07, 2020","110.03","111.45","111.45","108.98","15.25K","-1.83%"
"Aug 06, 2020","112.08","110.98","112.17","110.98","12.00K","0.54%"
"Aug 05, 2020","111.48","111.68","111.68","111.20","21.58K","0.30%"
"Aug 04, 2020","111.15","110.67","111.15","110.21","47.46K","0.94%"
"Aug 03, 2020","110.12","110.00","110.22","109.97","22.29K","1.96%"
"Aug 02, 2020","108.00","108.00","108.00","108.00","-","0.00%"
"Jul 31, 2020","108.00","109.07","109.07","106.47","24.08K","0.20%"
"Jul 30, 2020","107.78","106.99","107.78","106.23","14.88K","0.24%"
"Jul 29, 2020","107.52","107.02","108.02","106.84","20.58K","2.07%"
"Jul 28, 2020","105.34","106.35","106.60","105.32","11.04K","-1.64%"
"Jul 27, 2020","107.10","105.95","107.10","105.66","19.58K","2.88%"
"Jul 26, 2020","104.10","104.10","104.10","104.10","-","0.00%"
"Jul 25, 2020","104.10","104.10","104.10","104.10","-","0.00%"
"Jul 24, 2020","104.10","102.89","104.36","102.48","25.49K","-1.00%"
"Jul 23, 2020","105.15","108.20","108.20","104.74","27.26K","-2.39%"
"Jul 22, 2020","107.73","107.97","108.07","106.88","20.21K","0.51%"
"Jul 21, 2020","107.18","109.68","109.68","107.18","12.36K","-1.68%"
"Jul 20, 2020","109.01","105.43","109.01","105.38","16.68K","3.86%"
"Jul 17, 2020","104.96","105.39","105.39","104.13","23.88K","0.10%"
"Jul 16, 2020","104.86","104.58","104.87","104.34","10.16K","-1.09%"
"Jul 15, 2020","106.02","106.14","106.14","104.25","32.94K","0.06%"
"Jul 14, 2020","105.96","104.41","105.96","102.69","48.08K","0.79%"
"Jul 13, 2020","105.13","110.93","110.93","105.00","29.80K","-3.10%"
"Jul 12, 2020","108.49","108.49","108.49","108.49","-","0.00%"
"Jul 11, 2020","108.49","108.49","108.49","108.49","-","0.00%"
"Jul 10, 2020","108.49","106.62","108.49","106.62","27.73K","1.01%"
"Jul 09, 2020","107.40","106.44","107.40","105.75","25.09K","1.44%"
"Jul 08, 2020","105.88","105.36","105.88","104.80","42.54K","1.61%"
"Jul 07, 2020","104.20","104.99","105.92","104.20","28.80K","-0.75%"
"Jul 06, 2020","104.99","104.15","105.40","104.15","63.82K","2.99%"
"Jul 05, 2020","101.94","101.94","101.94","101.94","-","0.00%"
"Jul 04, 2020","101.94","101.94","101.94","101.94","-","0.00%"
"Jul 02, 2020","101.94","102.54","102.73","101.83","58.79K","1.22%"
"Jul 01, 2020","100.71","99.85","101.10","99.74","39.60K","1.35%"
"Jun 30, 2020","99.37","98.68","99.49","98.68","30.28K","2.40%"
"Jun 29, 2020","97.04","95.57","97.04","95.57","18.82K","0.79%"
"Jun 26, 2020","96.28","98.13","98.13","96.06","12.66K","-2.01%"
"Jun 25, 2020","98.25","96.57","98.25","96.57","25.42K","1.01%"
"Jun 24, 2020","97.27","98.29","98.29","96.92","13.96K","-2.00%"
"Jun 23, 2020","99.26","99.47","100.09","99.26","33.61K","0.54%"
"Jun 22, 2020","98.73","98.15","98.73","98.15","11.19K","0.76%"
"Jun 19, 2020","97.99","99.26","99.26","97.56","26.87K","-0.06%"
"Jun 18, 2020","98.05","97.60","98.05","97.45","12.37K","0.60%"
"Jun 17, 2020","97.47","97.50","98.00","97.47","28.21K","0.99%"
"Jun 16, 2020","96.51","97.13","97.13","96.21","25.18K","1.56%"
"Jun 15, 2020","95.03","92.36","95.03","92.36","21.27K","1.89%"
"Jun 12, 2020","93.27","94.66","95.11","91.63","39.31K","1.05%"
"Jun 11, 2020","92.30","95.20","95.21","92.29","36.33K","-5.59%"
"Jun 10, 2020","97.76","97.25","98.15","97.25","29.68K","1.62%"
"Jun 09, 2020","96.20","95.59","96.32","95.59","23.84K","0.38%"
"Jun 08, 2020","95.84","95.39","95.84","94.32","28.49K","0.88%"
"Jun 07, 2020","95.00","95.00","95.00","95.00","-","0.00%"
"Jun 05, 2020","95.00","94.17","95.46","94.17","25.16K","2.12%"
"Jun 04, 2020","93.03","94.00","94.00","93.03","13.42K","-0.56%"
"Jun 03, 2020","93.55","93.27","93.74","93.27","14.82K","0.84%"
"Jun 02, 2020","92.77","91.99","92.77","91.34","25.12K","0.94%"
"Jun 01, 2020","91.91","91.07","91.95","91.07","14.61K","0.25%"
"May 29, 2020","91.68","89.96","91.68","89.68","16.09K","2.13%"
"May 28, 2020","89.77","90.24","90.61","89.58","14.94K","-0.70%"
"May 27, 2020","90.40","89.56","90.40","87.85","42.22K","0.36%"
"May 26, 2020","90.08","92.20","92.20","90.08","13.71K","-0.21%"
"May 22, 2020","90.27","90.23","90.39","89.32","14.21K","-0.12%"
"May 21, 2020","90.38","91.11","91.11","89.98","19.08K","-1.29%"
"May 20, 2020","91.56","91.14","91.74","91.14","13.19K","2.06%"
"May 19, 2020","89.71","89.97","90.67","89.71","30.65K","0.15%"
"May 18, 2020","89.58","89.08","89.78","89.08","32.29K","2.56%"
"May 15, 2020","87.34","86.55","87.34","86.55","24.00K","0.20%"
"May 14, 2020","87.17","84.20","87.17","84.20","20.77K","1.49%"
"May 13, 2020","85.89","84.84","85.89","84.77","26.58K","-1.32%"
"May 12, 2020","87.04","89.83","89.83","87.04","58.10K","-2.43%"
