"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2021","69.56","66.45","69.84","66.33","8.11M","5.47%"
"Feb 02, 2021","65.95","67.56","68.04","65.93","6.12M","0.53%"
"Feb 01, 2021","65.60","65.96","66.45","64.14","6.55M","1.99%"
"Jan 29, 2021","64.32","66.16","67.90","63.93","7.95M","-3.64%"
"Jan 28, 2021","66.75","67.67","68.69","65.36","5.84M","-0.13%"
"Jan 27, 2021","66.84","64.58","68.74","64.06","10.01M","1.18%"
"Jan 26, 2021","66.06","68.66","69.81","66.04","4.70M","-2.62%"
"Jan 25, 2021","67.84","67.30","68.45","66.05","5.82M","-0.31%"
"Jan 22, 2021","68.05","65.83","68.11","65.20","6.25M","0.44%"
"Jan 21, 2021","67.75","69.86","70.44","66.48","7.82M","-3.37%"
"Jan 20, 2021","70.11","71.23","71.49","69.26","6.78M","-0.55%"
"Jan 19, 2021","70.50","70.71","71.29","69.61","7.57M","1.78%"
"Jan 15, 2021","69.27","70.62","70.74","68.31","10.50M","-3.40%"
"Jan 14, 2021","71.71","69.96","72.47","69.82","10.56M","3.42%"
"Jan 13, 2021","69.34","70.50","70.56","68.85","9.42M","-1.81%"
"Jan 12, 2021","70.62","67.65","70.78","67.65","13.04M","5.59%"
"Jan 11, 2021","66.88","63.92","66.99","63.24","7.24M","2.11%"
"Jan 08, 2021","65.50","67.17","67.20","64.98","9.40M","-1.55%"
"Jan 07, 2021","66.53","65.96","67.38","65.26","6.97M","1.95%"
"Jan 06, 2021","65.26","63.46","65.81","63.00","12.93M","3.88%"
"Jan 05, 2021","62.82","59.78","64.52","59.70","16.02M","6.42%"
"Jan 04, 2021","59.03","59.31","60.24","58.03","6.75M","0.91%"
"Dec 31, 2020","58.50","58.97","59.30","58.34","4.66M","-1.38%"
"Dec 30, 2020","59.32","57.36","59.54","57.28","6.17M","3.36%"
"Dec 29, 2020","57.39","58.47","58.74","57.04","5.05M","-0.92%"
"Dec 28, 2020","57.92","59.41","59.73","57.77","5.38M","-1.83%"
"Dec 24, 2020","59.00","59.93","59.93","58.40","3.55M","-1.45%"
"Dec 23, 2020","59.87","57.98","60.74","57.90","7.12M","4.50%"
"Dec 22, 2020","57.29","58.15","58.65","57.16","4.85M","-1.72%"
"Dec 21, 2020","58.29","56.55","58.86","55.94","6.89M","-2.23%"
"Dec 18, 2020","59.62","60.47","60.87","59.03","6.37M","-1.31%"
"Dec 17, 2020","60.41","60.87","61.15","59.71","5.13M","0.00%"
"Dec 16, 2020","60.41","61.46","61.50","60.11","10.72M","-1.34%"
"Dec 15, 2020","61.23","60.70","61.40","59.42","10.04M","2.14%"
"Dec 14, 2020","59.95","63.77","63.95","59.76","11.37M","-4.05%"
"Dec 11, 2020","62.48","63.40","63.44","61.32","8.09M","-1.92%"
"Dec 10, 2020","63.70","60.48","64.09","60.22","12.25M","5.64%"
"Dec 09, 2020","60.30","60.80","62.12","59.19","14.95M","0.72%"
"Dec 08, 2020","59.87","58.48","60.72","58.28","11.47M","1.53%"
"Dec 07, 2020","58.97","60.05","60.41","58.53","12.47M","-3.33%"
"Dec 04, 2020","61.00","57.60","61.06","57.57","16.43M","8.44%"
"Dec 03, 2020","56.25","55.88","57.28","54.86","10.21M","1.28%"
"Dec 02, 2020","55.54","53.60","56.97","53.28","12.43M","3.23%"
"Dec 01, 2020","53.80","55.65","56.10","53.62","9.22M","-0.48%"
"Nov 30, 2020","54.06","57.17","57.38","53.90","10.30M","-6.60%"
"Nov 27, 2020","57.88","58.35","58.86","57.30","5.35M","-1.43%"
"Nov 25, 2020","58.72","58.98","59.44","57.64","7.13M","-1.51%"
"Nov 24, 2020","59.62","58.60","60.01","58.23","13.16M","5.15%"
"Nov 23, 2020","56.70","52.99","56.83","52.95","12.09M","8.91%"
"Nov 20, 2020","52.06","52.37","52.84","51.67","4.85M","-0.97%"
"Nov 19, 2020","52.57","51.00","52.72","50.42","6.69M","2.42%"
"Nov 18, 2020","51.33","52.97","53.99","51.30","8.85M","-2.15%"
"Nov 17, 2020","52.46","50.88","52.50","50.14","7.07M","1.63%"
"Nov 16, 2020","51.62","51.09","51.81","49.90","10.94M","5.65%"
"Nov 13, 2020","48.86","46.78","49.11","46.67","7.45M","5.44%"
"Nov 12, 2020","46.34","47.45","48.38","45.88","9.64M","-4.02%"
"Nov 11, 2020","48.28","49.34","49.43","47.80","6.35M","-0.74%"
"Nov 10, 2020","48.64","47.79","48.70","46.59","10.15M","3.14%"
"Nov 09, 2020","47.16","45.02","48.15","44.98","20.23M","16.19%"
"Nov 06, 2020","40.59","41.80","42.42","40.46","5.92M","-3.08%"
"Nov 05, 2020","41.88","41.63","42.97","41.40","5.25M","0.55%"
"Nov 04, 2020","41.65","41.93","42.65","40.58","10.27M","-0.36%"
"Nov 03, 2020","41.80","43.10","43.37","41.40","8.21M","-0.83%"
"Nov 02, 2020","42.15","41.05","42.75","39.80","8.62M","3.87%"
"Oct 30, 2020","40.58","40.27","40.82","39.45","8.17M","-0.20%"
"Oct 29, 2020","40.66","38.97","40.78","38.39","7.55M","2.55%"
"Oct 28, 2020","39.65","40.55","40.97","39.60","11.29M","-5.64%"
"Oct 27, 2020","42.02","42.57","42.69","41.79","5.50M","-1.22%"
"Oct 26, 2020","42.54","44.08","44.15","42.13","7.21M","-5.30%"
"Oct 23, 2020","44.92","44.97","45.52","44.36","5.87M","0.34%"
"Oct 22, 2020","44.77","42.64","44.86","42.46","9.61M","5.24%"
"Oct 21, 2020","42.54","43.44","43.84","42.51","7.13M","-2.39%"
"Oct 20, 2020","43.58","43.05","44.16","42.56","5.16M","2.13%"
"Oct 19, 2020","42.67","43.84","44.04","42.63","8.31M","-2.04%"
"Oct 16, 2020","43.56","44.89","44.96","43.51","4.67M","-3.24%"
"Oct 15, 2020","45.02","43.30","45.05","42.90","5.03M","2.11%"
"Oct 14, 2020","44.09","44.14","45.65","44.08","5.42M","0.48%"
"Oct 13, 2020","43.88","44.74","45.27","43.85","3.65M","-2.38%"
"Oct 12, 2020","44.95","44.68","45.16","43.90","3.57M","0.22%"
"Oct 11, 2020","44.85","44.85","44.85","44.85","-","0.00%"
"Oct 09, 2020","44.85","45.91","46.31","44.44","5.76M","-1.54%"
"Oct 08, 2020","45.55","44.00","45.58","43.72","6.06M","4.33%"
"Oct 07, 2020","43.66","42.81","43.79","42.60","4.85M","2.83%"
"Oct 06, 2020","42.46","44.26","44.85","42.35","8.05M","-2.37%"
"Oct 05, 2020","43.49","42.40","43.54","42.12","5.97M","4.49%"
"Oct 04, 2020","41.62","41.62","41.62","41.62","-","0.00%"
"Oct 03, 2020","41.62","41.62","41.62","41.62","-","0.00%"
"Oct 02, 2020","41.62","39.25","42.04","39.16","6.57M","2.34%"
"Oct 01, 2020","40.67","41.56","41.80","40.43","8.62M","-3.33%"
"Sep 30, 2020","42.07","42.49","43.04","41.82","6.62M","-0.90%"
"Sep 29, 2020","42.45","43.45","43.56","41.57","7.10M","-2.99%"
"Sep 28, 2020","43.76","43.40","44.29","42.73","7.53M","3.23%"
"Sep 27, 2020","42.39","42.39","42.39","42.39","-","0.00%"
"Sep 26, 2020","42.39","42.39","42.39","42.39","-","0.00%"
"Sep 25, 2020","42.39","42.35","42.73","41.77","5.72M","-1.19%"
"Sep 24, 2020","42.90","42.25","43.95","41.52","8.62M","0.70%"
"Sep 23, 2020","42.60","45.17","45.56","42.57","7.38M","-5.23%"
"Sep 22, 2020","44.95","45.40","46.29","44.85","9.80M","-0.82%"
"Sep 21, 2020","45.32","45.62","45.79","44.38","7.95M","-4.63%"
"Sep 18, 2020","47.52","47.60","48.04","46.85","7.36M","-0.04%"
"Sep 17, 2020","47.54","46.44","47.55","46.10","7.11M","0.19%"
"Sep 16, 2020","47.45","45.72","48.34","45.34","15.12M","4.91%"
"Sep 15, 2020","45.23","45.89","46.22","45.12","7.41M","-0.44%"
"Sep 14, 2020","45.43","44.91","45.91","44.46","5.73M","1.84%"
"Sep 13, 2020","44.61","44.61","44.61","44.61","-","0.00%"
"Sep 11, 2020","44.61","44.67","44.98","44.00","6.82M","0.36%"
"Sep 10, 2020","44.45","47.06","47.18","44.42","11.66M","-5.63%"
"Sep 09, 2020","47.10","47.24","47.48","46.36","6.35M","1.05%"
"Sep 08, 2020","46.61","48.33","48.53","46.27","9.91M","-5.74%"
"Sep 04, 2020","49.45","49.95","50.47","48.54","7.89M","-0.10%"
"Sep 03, 2020","49.50","49.62","50.86","49.21","8.04M","-0.86%"
"Sep 02, 2020","49.93","51.12","51.12","49.85","10.42M","-2.63%"
"Sep 01, 2020","51.28","51.20","51.58","50.56","3.60M","-0.35%"
"Aug 31, 2020","51.46","53.10","53.10","51.38","4.36M","-2.92%"
"Aug 30, 2020","53.01","53.01","53.01","53.01","-","0.00%"
"Aug 28, 2020","53.01","52.38","53.22","52.13","3.10M","1.34%"
"Aug 27, 2020","52.31","52.22","52.45","51.45","4.27M","0.91%"
"Aug 26, 2020","51.84","53.24","53.29","51.79","4.84M","-3.21%"
"Aug 25, 2020","53.56","53.93","54.15","52.70","4.13M","0.47%"
"Aug 24, 2020","53.31","52.26","53.90","51.66","5.65M","3.03%"
"Aug 23, 2020","51.74","51.74","51.74","51.74","-","0.00%"
"Aug 21, 2020","51.74","52.18","52.46","51.38","5.05M","-1.52%"
"Aug 20, 2020","52.54","53.42","53.79","52.54","5.71M","-3.37%"
"Aug 19, 2020","54.37","54.73","55.21","54.17","3.32M","-0.69%"
"Aug 18, 2020","54.75","55.50","55.94","54.59","3.60M","-1.95%"
"Aug 17, 2020","55.84","56.08","56.08","55.12","4.03M","-0.57%"
"Aug 14, 2020","56.16","54.55","56.29","54.31","5.45M","2.28%"
"Aug 13, 2020","54.91","56.02","56.29","54.68","4.75M","-2.28%"
"Aug 12, 2020","56.19","56.38","56.70","55.50","8.27M","1.78%"
"Aug 11, 2020","55.21","57.46","57.95","54.99","7.44M","-1.64%"
"Aug 10, 2020","56.13","54.49","56.29","54.42","7.99M","3.69%"
"Aug 09, 2020","54.13","54.13","54.13","54.13","-","0.00%"
"Aug 08, 2020","54.13","54.13","54.13","54.13","-","0.00%"
"Aug 07, 2020","54.13","52.73","54.33","52.28","7.38M","1.75%"
"Aug 06, 2020","53.20","53.63","54.20","53.02","5.33M","-1.55%"
"Aug 05, 2020","54.04","54.29","54.57","53.18","6.98M","2.12%"
"Aug 04, 2020","52.92","51.67","53.31","51.31","7.86M","1.89%"
"Aug 03, 2020","51.94","51.67","52.51","51.10","4.90M","1.11%"
"Aug 02, 2020","51.37","51.37","51.37","51.37","-","0.00%"
"Jul 31, 2020","51.37","50.98","51.41","50.24","7.21M","-0.08%"
"Jul 30, 2020","51.41","51.65","51.93","50.27","7.77M","-2.56%"
"Jul 29, 2020","52.76","51.35","52.83","50.85","6.50M","3.31%"
"Jul 28, 2020","51.07","51.53","52.28","50.97","5.77M","-1.45%"
"Jul 27, 2020","51.82","52.47","52.73","51.36","7.16M","-1.82%"
"Jul 26, 2020","52.78","52.78","52.78","52.78","-","0.00%"
"Jul 25, 2020","52.78","52.78","52.78","52.78","-","0.00%"
"Jul 24, 2020","52.78","53.02","54.02","52.74","7.74M","-0.66%"
"Jul 23, 2020","53.13","52.68","53.67","52.30","7.09M","0.04%"
"Jul 22, 2020","53.11","52.84","53.22","51.87","8.01M","-1.06%"
"Jul 21, 2020","53.68","51.22","54.25","51.22","11.50M","6.95%"
"Jul 20, 2020","50.19","51.30","51.52","50.17","7.23M","-0.83%"
"Jul 17, 2020","50.61","51.85","52.86","50.41","9.56M","-2.22%"
"Jul 16, 2020","51.76","51.29","52.78","50.75","8.75M","-0.25%"
"Jul 15, 2020","51.89","51.69","52.12","50.56","8.07M","2.98%"
"Jul 14, 2020","50.39","48.08","50.40","47.68","12.41M","4.26%"
"Jul 13, 2020","48.33","49.99","49.99","48.24","8.95M","-2.19%"
"Jul 12, 2020","49.41","49.41","49.41","49.41","-","0.00%"
"Jul 11, 2020","49.41","49.41","49.41","49.41","-","0.00%"
"Jul 10, 2020","49.41","47.43","49.45","47.21","7.69M","3.63%"
"Jul 09, 2020","47.68","50.31","50.50","47.63","8.76M","-5.23%"
"Jul 08, 2020","50.31","50.32","51.12","49.61","8.24M","0.10%"
"Jul 07, 2020","50.26","51.37","51.73","50.16","7.14M","-3.48%"
"Jul 06, 2020","52.07","53.16","53.28","51.22","7.17M","0.21%"
"Jul 05, 2020","51.96","51.96","51.96","51.96","-","0.00%"
"Jul 04, 2020","51.96","51.96","51.96","51.96","-","0.00%"
"Jul 02, 2020","51.96","52.01","52.83","51.50","7.37M","2.57%"
"Jul 01, 2020","50.66","52.30","53.22","50.48","8.56M","-2.91%"
"Jun 30, 2020","52.18","50.23","52.42","49.75","7.30M","2.76%"
"Jun 29, 2020","50.78","50.17","51.29","49.53","7.38M","2.09%"
"Jun 26, 2020","49.74","51.63","51.71","49.48","8.80M","-4.80%"
"Jun 25, 2020","52.25","50.54","52.78","50.17","8.03M","2.07%"
"Jun 24, 2020","51.19","54.01","54.10","51.06","12.93M","-7.18%"
"Jun 23, 2020","55.15","56.22","56.58","54.93","6.05M","-0.33%"
"Jun 22, 2020","55.33","55.45","55.92","54.46","8.75M","-1.34%"
"Jun 19, 2020","56.08","59.51","59.56","56.04","9.76M","-2.72%"
"Jun 18, 2020","57.65","56.80","59.15","56.24","5.82M","0.49%"
"Jun 17, 2020","57.37","59.98","59.98","57.37","10.60M","-4.69%"
