"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","51.44","52.13","52.13","51.44","31.46K","-0.45%"
"Dec 24, 2020","51.67","51.28","51.72","51.28","13.36K","0.90%"
"Dec 23, 2020","51.21","51.44","51.44","50.96","202.17K","0.35%"
"Dec 22, 2020","51.03","50.53","51.13","50.41","32.16K","1.61%"
"Dec 21, 2020","50.22","49.96","50.22","49.44","18.93K","-0.85%"
"Dec 18, 2020","50.65","50.89","50.89","50.24","23.50K","-0.02%"
"Dec 17, 2020","50.66","50.38","50.66","50.17","44.86K","0.38%"
"Dec 16, 2020","50.47","51.31","51.50","50.46","65.71K","-1.33%"
"Dec 15, 2020","51.15","49.98","51.18","49.64","62.05K","2.98%"
"Dec 14, 2020","49.67","50.01","50.42","49.57","58.87K","2.20%"
"Dec 11, 2020","48.60","48.77","49.06","48.24","70.56K","-0.67%"
"Dec 10, 2020","48.93","48.35","49.13","48.35","47.60K","0.91%"
"Dec 09, 2020","48.49","49.29","49.35","48.17","60.74K","-1.14%"
"Dec 08, 2020","49.05","48.58","49.16","48.53","49.89K","1.01%"
"Dec 07, 2020","48.56","49.17","49.30","48.46","14.96K","-0.90%"
"Dec 04, 2020","49.00","48.63","49.06","48.48","35.19K","1.24%"
"Dec 03, 2020","48.40","48.20","48.60","48.00","16.44K","0.62%"
"Dec 02, 2020","48.10","47.78","48.10","47.57","26.71K","0.04%"
"Dec 01, 2020","48.08","48.32","48.33","47.87","54.23K","0.48%"
"Nov 30, 2020","47.85","48.62","48.79","47.68","63.02K","-1.28%"
"Nov 27, 2020","48.47","48.12","48.54","48.12","78.12K","1.21%"
"Nov 25, 2020","47.89","47.77","47.90","47.50","54.35K","-0.42%"
"Nov 24, 2020","48.09","48.10","48.44","48.00","38.78K","0.27%"
"Nov 23, 2020","47.96","48.42","48.42","47.89","32.82K","-0.39%"
"Nov 20, 2020","48.15","48.69","48.69","48.15","25.84K","-0.84%"
"Nov 19, 2020","48.56","48.10","48.60","47.90","39.06K","1.10%"
"Nov 18, 2020","48.03","49.03","49.17","47.97","46.99K","-1.52%"
"Nov 17, 2020","48.77","48.43","48.89","48.13","37.71K","0.43%"
"Nov 16, 2020","48.56","49.13","49.13","48.34","54.45K","-0.12%"
"Nov 13, 2020","48.62","48.17","48.78","48.17","34.55K","1.52%"
"Nov 12, 2020","47.89","48.16","48.16","47.57","127.00K","-0.73%"
"Nov 11, 2020","48.24","48.55","48.75","48.05","57.97K","-0.21%"
"Nov 10, 2020","48.34","48.05","48.50","47.44","115.12K","1.26%"
"Nov 09, 2020","47.74","48.60","48.84","47.69","114.87K","3.31%"
"Nov 06, 2020","46.21","46.69","46.75","46.05","33.40K","-1.53%"
"Nov 05, 2020","46.93","47.65","47.65","46.85","191.36K","-0.40%"
"Nov 04, 2020","47.12","45.94","47.73","45.94","416.08K","4.27%"
"Nov 03, 2020","45.19","45.23","45.40","45.05","16.95K","1.19%"
"Nov 02, 2020","44.66","44.53","44.67","44.12","13.58K","1.24%"
"Oct 30, 2020","44.11","44.30","44.37","43.72","28.13K","-0.90%"
