"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","65.09","65.37","65.59","64.82","3.15M","0.51%"
"Dec 24, 2020","64.76","64.93","65.12","64.30","918.85K","-0.02%"
"Dec 23, 2020","64.77","64.60","65.04","64.36","2.21M","0.72%"
"Dec 22, 2020","64.31","64.00","64.47","63.65","2.30M","1.52%"
"Dec 21, 2020","63.35","62.17","63.44","61.91","1.93M","0.00%"
"Dec 18, 2020","63.35","63.89","64.09","63.03","2.65M","-0.35%"
"Dec 17, 2020","63.57","62.76","63.58","62.70","2.08M","1.87%"
"Dec 16, 2020","62.40","62.27","62.65","61.85","2.32M","0.29%"
"Dec 15, 2020","62.22","60.96","62.22","60.95","2.78M","2.64%"
"Dec 14, 2020","60.62","61.87","61.95","60.56","4.84M","-1.04%"
"Dec 11, 2020","61.26","61.64","62.10","60.70","1.95M","-1.10%"
"Dec 10, 2020","61.94","61.44","62.17","61.04","1.86M","-0.10%"
"Dec 09, 2020","62.00","62.38","62.74","61.24","2.41M","-0.51%"
"Dec 08, 2020","62.32","61.97","62.61","61.81","2.25M","0.68%"
"Dec 07, 2020","61.90","62.18","62.32","61.63","1.54M","-0.50%"
"Dec 04, 2020","62.21","61.55","62.21","61.19","2.33M","1.20%"
"Dec 03, 2020","61.47","61.00","61.97","60.93","2.97M","1.00%"
"Dec 02, 2020","60.86","60.35","60.89","59.79","2.21M","0.08%"
"Dec 01, 2020","60.81","60.94","61.10","60.18","3.47M","1.22%"
"Nov 30, 2020","60.08","61.30","61.40","59.24","5.78M","-1.85%"
"Nov 27, 2020","61.21","61.04","61.33","60.81","2.04M","0.86%"
"Nov 25, 2020","60.69","60.45","60.99","60.04","5.03M","-0.16%"
"Nov 24, 2020","60.79","60.50","60.90","59.78","3.99M","1.79%"
"Nov 23, 2020","59.72","58.01","59.94","58.01","4.10M","3.73%"
"Nov 20, 2020","57.57","57.83","58.13","57.35","7.07M","-0.10%"
"Nov 19, 2020","57.63","56.32","57.68","56.30","3.91M","2.29%"
"Nov 18, 2020","56.34","56.49","57.44","56.33","3.72M","0.11%"
"Nov 17, 2020","56.28","55.47","56.50","55.08","2.81M","0.41%"
"Nov 16, 2020","56.05","55.38","56.08","54.87","2.97M","2.67%"
"Nov 13, 2020","54.59","53.94","54.76","53.94","2.46M","2.04%"
"Nov 12, 2020","53.50","54.47","54.61","53.12","3.08M","-2.19%"
"Nov 11, 2020","54.70","55.08","55.08","54.29","3.12M","0.05%"
"Nov 10, 2020","54.67","54.63","55.04","53.74","3.17M","0.57%"
"Nov 09, 2020","54.36","56.38","56.56","54.33","7.56M","1.23%"
"Nov 06, 2020","53.70","53.97","54.22","53.52","2.35M","-0.50%"
"Nov 05, 2020","53.97","52.97","54.24","52.97","2.96M","3.13%"
"Nov 04, 2020","52.33","52.58","52.90","51.98","4.50M","-0.25%"
