"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","168.38","170.76","171.59","168.26","36.11K","-0.07%"
"Dec 24, 2020","168.50","168.54","168.54","167.13","17.86K","0.50%"
"Dec 23, 2020","167.67","169.11","169.31","167.67","48.00K","-0.34%"
"Dec 22, 2020","168.24","166.32","168.53","166.09","25.34K","1.56%"
"Dec 21, 2020","165.66","163.97","165.91","162.63","40.53K","-0.13%"
"Dec 18, 2020","165.87","166.51","167.88","164.87","54.21K","0.04%"
"Dec 17, 2020","165.80","165.84","165.90","164.66","36.18K","0.74%"
"Dec 16, 2020","164.59","165.81","165.81","162.95","39.56K","-0.38%"
"Dec 15, 2020","165.22","163.06","165.61","162.97","70.11K","2.57%"
"Dec 14, 2020","161.08","160.33","161.95","160.30","50.81K","1.51%"
"Dec 11, 2020","158.68","159.16","160.38","157.14","44.77K","-0.91%"
"Dec 10, 2020","160.14","158.40","161.36","158.03","31.42K","0.29%"
"Dec 09, 2020","159.68","165.31","165.92","158.85","149.51K","-3.53%"
"Dec 08, 2020","165.52","163.84","165.80","163.58","28.47K","0.96%"
"Dec 07, 2020","163.95","164.16","164.27","163.00","35.13K","0.18%"
"Dec 04, 2020","163.66","160.07","163.71","159.68","39.42K","2.64%"
"Dec 03, 2020","159.46","160.05","161.36","159.29","36.68K","0.09%"
"Dec 02, 2020","159.31","157.83","159.75","157.41","28.75K","0.46%"
"Dec 01, 2020","158.58","158.68","159.70","157.87","52.91K","0.76%"
"Nov 30, 2020","157.38","156.53","157.39","153.18","42.67K","0.99%"
"Nov 27, 2020","155.84","154.80","156.81","154.80","31.05K","1.38%"
"Nov 25, 2020","153.72","154.33","154.38","152.85","32.95K","-0.38%"
"Nov 24, 2020","154.30","153.77","154.38","151.52","36.98K","1.34%"
"Nov 23, 2020","152.26","151.33","152.33","150.30","38.91K","1.42%"
"Nov 20, 2020","150.13","149.98","152.02","149.88","33.18K","0.25%"
"Nov 19, 2020","149.76","145.53","149.76","145.53","48.90K","2.46%"
"Nov 18, 2020","146.16","148.05","148.81","146.12","82.82K","-1.17%"
"Nov 17, 2020","147.89","147.77","148.36","146.21","37.21K","-0.47%"
"Nov 16, 2020","148.59","146.91","148.77","146.51","136.74K","1.95%"
"Nov 13, 2020","145.75","145.57","147.26","144.81","37.91K","1.07%"
"Nov 12, 2020","144.21","146.67","146.67","143.33","28.37K","-1.56%"
"Nov 11, 2020","146.50","143.93","146.83","143.93","34.86K","3.40%"
"Nov 10, 2020","141.68","144.81","145.78","141.32","44.85K","-2.90%"
"Nov 09, 2020","145.91","152.36","152.58","145.83","89.39K","-1.43%"
"Nov 06, 2020","148.02","145.59","148.42","144.99","41.87K","1.65%"
"Nov 05, 2020","145.62","142.38","145.94","142.34","316.88K","4.89%"
"Nov 04, 2020","138.83","137.13","139.17","134.80","211.40K","2.73%"
"Nov 03, 2020","135.14","134.13","135.92","134.13","100.90K","2.01%"
