"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","154.42","157.74","157.74","154.38","36.66K","-0.78%"
"Dec 24, 2020","155.63","156.55","156.55","155.25","17.33K","-0.09%"
"Dec 23, 2020","155.77","157.74","157.74","155.76","34.62K","-0.61%"
"Dec 22, 2020","156.73","154.15","156.73","154.15","27.76K","2.35%"
"Dec 21, 2020","153.13","151.59","153.29","150.56","11.48K","0.05%"
"Dec 18, 2020","153.05","151.79","153.29","151.47","15.97K","1.37%"
"Dec 17, 2020","150.99","149.47","150.99","149.47","17.93K","1.92%"
"Dec 16, 2020","148.14","147.57","148.43","147.32","16.26K","0.99%"
"Dec 15, 2020","146.69","145.90","146.69","145.21","13.54K","0.90%"
"Dec 14, 2020","145.38","146.07","146.61","145.05","14.31K","0.47%"
"Dec 11, 2020","144.70","144.22","145.10","142.95","21.43K","0.16%"
"Dec 10, 2020","144.46","141.00","144.46","140.99","19.11K","1.77%"
"Dec 09, 2020","141.95","144.90","144.98","141.21","22.99K","-1.73%"
"Dec 08, 2020","144.45","143.44","144.71","143.44","27.59K","0.84%"
"Dec 07, 2020","143.25","143.32","143.84","142.97","13.34K","0.19%"
"Dec 04, 2020","142.97","141.23","142.99","141.23","18.59K","1.78%"
"Dec 03, 2020","140.47","139.49","141.58","139.49","16.23K","1.09%"
"Dec 02, 2020","138.95","138.76","139.04","137.25","14.50K","-0.38%"
"Dec 01, 2020","139.48","140.66","140.70","139.04","29.84K","-0.13%"
"Nov 30, 2020","139.66","140.94","140.94","137.95","23.29K","-0.40%"
"Nov 27, 2020","140.21","139.15","140.26","139.15","8.38K","1.47%"
"Nov 25, 2020","138.18","135.74","138.56","135.72","54.24K","1.70%"
"Nov 24, 2020","135.87","136.02","136.06","135.41","10.72K","0.53%"
"Nov 23, 2020","135.15","134.46","135.35","133.51","22.47K","1.00%"
"Nov 20, 2020","133.82","133.15","134.65","132.88","13.46K","0.50%"
"Nov 19, 2020","133.15","131.04","133.22","131.04","8.68K","1.64%"
"Nov 18, 2020","131.00","132.31","132.70","130.89","20.65K","-0.76%"
"Nov 17, 2020","132.00","129.99","132.19","129.72","8.07K","0.99%"
"Nov 16, 2020","130.70","129.44","130.98","129.44","21.90K","0.98%"
"Nov 13, 2020","129.43","128.91","129.44","128.29","10.54K","1.20%"
"Nov 12, 2020","127.89","129.08","129.56","127.23","11.09K","-0.78%"
"Nov 11, 2020","128.90","128.61","129.21","127.99","13.96K","1.21%"
"Nov 10, 2020","127.36","128.82","129.10","125.86","28.87K","-1.60%"
"Nov 09, 2020","129.43","131.87","133.16","129.22","24.11K","0.16%"
"Nov 06, 2020","129.23","129.22","129.86","128.20","18.35K","0.11%"
