"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","85.83","86.61","86.61","85.83","2.27K","0.24%"
"Dec 24, 2020","85.62","85.54","85.62","85.39","1.78K","-0.11%"
"Dec 23, 2020","85.72","85.85","85.88","85.51","1.95K","-0.16%"
"Dec 22, 2020","85.85","84.30","85.88","84.30","3.83K","2.28%"
"Dec 21, 2020","83.94","83.18","84.04","81.75","3.96K","-0.96%"
"Dec 18, 2020","84.75","84.63","84.80","84.61","5.12K","1.05%"
"Dec 17, 2020","83.87","83.56","84.18","83.50","5.57K","0.56%"
"Dec 16, 2020","83.40","83.70","84.62","83.26","3.35K","-0.43%"
"Dec 15, 2020","83.76","82.88","83.90","82.85","15.35K","1.17%"
"Dec 14, 2020","82.80","82.63","83.79","82.63","1.92K","1.15%"
"Dec 11, 2020","81.85","81.07","82.12","81.07","4.38K","0.15%"
"Dec 10, 2020","81.73","80.64","81.73","80.64","2.38K","0.74%"
"Dec 09, 2020","81.13","82.75","82.92","81.00","1.75K","-1.40%"
"Dec 08, 2020","82.29","81.48","82.29","81.48","2.29K","0.39%"
"Dec 07, 2020","81.97","82.08","82.32","81.97","2.81K","0.77%"
"Dec 04, 2020","81.34","81.19","81.34","80.87","2.78K","1.16%"
"Dec 03, 2020","80.41","80.24","80.89","80.24","10.96K","0.55%"
"Dec 02, 2020","79.97","79.37","79.97","79.37","2.93K","0.75%"
"Dec 01, 2020","79.38","79.54","79.54","79.20","3.43K","0.84%"
"Nov 30, 2020","78.72","79.84","80.04","78.56","3.55K","-1.00%"
"Nov 27, 2020","79.51","79.29","79.51","79.28","1.12K","0.66%"
"Nov 25, 2020","78.99","78.88","78.99","78.88","0.51K","0.04%"
"Nov 24, 2020","78.95","78.57","78.99","78.57","4.22K","1.23%"
"Nov 23, 2020","77.99","77.08","77.99","77.08","2.50K","1.17%"
"Nov 20, 2020","77.09","77.14","77.42","77.09","2.02K","0.53%"
"Nov 19, 2020","76.69","76.41","76.69","76.20","4.92K","0.32%"
"Nov 18, 2020","76.44","77.23","77.56","76.44","3.79K","-1.13%"
"Nov 17, 2020","77.31","76.55","77.50","76.50","6.27K","0.18%"
"Nov 16, 2020","77.17","76.92","77.17","76.87","1.19K","1.33%"
"Nov 13, 2020","76.16","74.91","76.16","74.91","1.90K","2.36%"
"Nov 12, 2020","74.40","74.34","74.40","74.34","0.56K","-0.61%"
"Nov 11, 2020","74.86","74.42","74.86","74.30","2.02K","0.92%"
"Nov 10, 2020","74.18","74.43","74.43","73.99","4.05K","-0.41%"
"Nov 09, 2020","74.48","77.25","77.25","74.48","6.90K","0.95%"
"Nov 06, 2020","73.78","74.30","74.30","73.68","4.35K","0.23%"
"Nov 05, 2020","73.61","72.03","73.79","72.03","3.38K","3.92%"
"Nov 04, 2020","70.83","71.08","71.59","70.83","6.65K","0.00%"
"Nov 03, 2020","70.83","70.83","70.83","70.83","0.40K","3.07%"
"Nov 02, 2020","68.73","69.02","69.02","68.15","2.55K","1.04%"
"Oct 30, 2020","68.02","68.46","68.46","67.99","6.17K","-1.26%"
"Oct 29, 2020","68.88","67.58","68.88","67.58","1.70K","1.33%"
"Oct 28, 2020","67.98","68.26","68.40","67.93","3.03K","-3.10%"
"Oct 27, 2020","70.15","70.06","70.31","70.03","1.04K","0.12%"
"Oct 26, 2020","70.07","71.17","71.17","69.54","2.69K","-2.03%"
"Oct 23, 2020","71.52","71.52","71.52","71.52","0.58K","0.02%"
"Oct 22, 2020","71.51","71.37","71.61","71.37","11.07K","-0.06%"
"Oct 21, 2020","71.55","71.93","71.93","71.55","2.26K","-0.09%"
"Oct 20, 2020","71.62","71.86","71.86","71.62","1.03K","0.17%"
"Oct 19, 2020","71.50","72.43","72.43","71.46","1.45K","-0.47%"
"Oct 16, 2020","71.83","72.35","72.35","71.83","0.74K","-0.04%"
"Oct 15, 2020","71.86","70.81","71.86","70.73","35.10K","-0.04%"
"Oct 14, 2020","71.89","71.61","71.91","71.61","0.90K","-0.43%"
"Oct 13, 2020","72.20","73.25","73.41","72.14","1.85K","-1.23%"
"Oct 12, 2020","73.10","72.69","73.10","72.69","1.21K","1.34%"
"Oct 11, 2020","72.13","72.13","72.13","72.13","-","0.00%"
"Oct 09, 2020","72.13","71.81","72.22","71.81","5.23K","1.76%"
"Oct 08, 2020","70.89","70.68","70.89","70.68","1.03K","1.50%"
"Oct 07, 2020","69.84","69.33","69.84","69.33","1.52K","1.14%"
"Oct 06, 2020","69.05","69.28","70.24","69.04","12.21K","-0.44%"
"Oct 05, 2020","69.36","68.17","69.36","68.17","2.16K","2.13%"
"Oct 04, 2020","67.91","67.91","67.91","67.91","-","0.00%"
"Oct 03, 2020","67.91","67.91","67.91","67.91","-","0.00%"
"Oct 02, 2020","67.91","67.92","67.92","67.91","6.43K","0.15%"
"Oct 01, 2020","67.81","67.61","67.81","67.61","20.80K","0.40%"
