"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2020","71.55","72.17","72.36","71.50","22.39K","0.22%"
"Dec 24, 2020","71.39","71.88","71.88","71.11","9.35K","-0.05%"
"Dec 23, 2020","71.43","71.22","71.82","71.22","45.43K","0.91%"
"Dec 22, 2020","70.79","71.37","71.37","70.74","68.61K","-0.42%"
"Dec 21, 2020","71.09","70.70","71.43","69.99","38.30K","-1.17%"
"Dec 18, 2020","71.93","72.40","72.40","71.54","40.10K","-0.32%"
"Dec 17, 2020","72.16","72.26","72.26","71.43","76.17K","0.81%"
"Dec 16, 2020","71.58","71.93","71.93","71.19","33.67K","-0.26%"
"Dec 15, 2020","71.77","71.62","71.83","70.50","35.01K","1.27%"
"Dec 14, 2020","70.87","73.12","73.50","70.85","445.22K","-1.96%"
"Dec 11, 2020","72.29","72.72","72.82","71.79","36.05K","-1.08%"
"Dec 10, 2020","73.08","71.94","73.11","71.73","68.90K","0.45%"
"Dec 09, 2020","72.75","73.25","73.75","72.00","390.10K","-0.01%"
"Dec 08, 2020","72.76","72.06","72.95","72.00","19.76K","0.29%"
"Dec 07, 2020","72.55","72.85","73.18","72.36","19.15K","-0.53%"
"Dec 04, 2020","72.94","72.47","72.95","72.23","44.80K","1.46%"
"Dec 03, 2020","71.89","71.26","72.60","71.11","25.52K","1.55%"
"Dec 02, 2020","70.79","69.82","70.93","69.35","36.00K","0.68%"
"Dec 01, 2020","70.31","70.81","71.07","70.31","58.02K","0.98%"
"Nov 30, 2020","69.63","70.84","70.84","69.18","13.70K","-1.44%"
"Nov 27, 2020","70.65","71.36","71.36","70.58","16.65K","-0.42%"
"Nov 25, 2020","70.94","71.19","71.19","69.85","52.32K","-0.45%"
"Nov 24, 2020","71.26","70.00","71.39","69.71","65.60K","3.64%"
"Nov 23, 2020","68.76","68.23","68.88","68.00","26.07K","1.88%"
"Nov 20, 2020","67.49","68.24","68.24","67.36","109.13K","-1.49%"
"Nov 19, 2020","68.51","68.14","68.51","67.59","37.64K","0.16%"
"Nov 18, 2020","68.40","68.93","69.97","68.39","77.81K","-0.16%"
"Nov 17, 2020","68.51","67.94","68.62","67.11","30.11K","0.25%"
"Nov 16, 2020","68.34","68.87","68.87","67.36","38.01K","3.01%"
"Nov 13, 2020","66.34","64.85","66.41","64.85","20.76K","3.38%"
"Nov 12, 2020","64.17","64.99","65.52","63.80","19.67K","-1.96%"
"Nov 11, 2020","65.45","67.10","67.10","64.95","68.41K","-1.45%"
"Nov 10, 2020","66.41","65.75","66.62","65.50","29.68K","0.46%"
"Nov 09, 2020","66.11","67.07","68.78","65.23","63.49K","7.29%"
"Nov 06, 2020","61.62","61.93","61.97","61.49","16.62K","-1.00%"
"Nov 05, 2020","62.24","60.88","62.52","60.88","28.74K","3.34%"
"Nov 04, 2020","60.23","60.67","61.61","60.22","13.28K","-0.44%"
"Nov 03, 2020","60.49","59.75","60.77","59.75","41.01K","2.61%"
"Nov 02, 2020","58.95","59.12","59.19","58.50","11.93K","0.65%"
"Oct 30, 2020","58.57","58.53","59.00","58.00","12.16K","-0.68%"
"Oct 29, 2020","58.97","57.36","59.25","57.36","20.30K","2.65%"
"Oct 28, 2020","57.45","58.40","58.40","57.45","44.84K","-3.98%"
"Oct 27, 2020","59.83","61.21","61.21","59.80","12.61K","-1.98%"
"Oct 26, 2020","61.04","62.16","62.16","60.56","19.16K","-3.13%"
"Oct 23, 2020","63.01","62.75","63.07","62.41","14.09K","0.62%"
