"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","3,142.68","3,132.55","3,150.78","3,112.44","-","0.13%"
"Nov 26, 2020","3,138.62","3,141.43","3,149.90","3,119.46","-","0.13%"
"Nov 25, 2020","3,134.52","3,111.75","3,134.71","3,089.16","-","1.25%"
"Nov 24, 2020","3,095.84","3,071.80","3,098.83","3,053.16","-","1.60%"
"Nov 23, 2020","3,047.06","3,066.64","3,094.06","3,042.61","-","-0.13%"
"Nov 20, 2020","3,051.04","3,050.81","3,060.91","3,035.56","-","0.15%"
"Nov 19, 2020","3,046.49","3,067.06","3,071.25","3,040.66","-","-1.11%"
"Nov 18, 2020","3,080.68","3,046.02","3,086.77","3,035.57","-","0.93%"
"Nov 17, 2020","3,052.22","3,081.05","3,087.19","3,027.76","-","-0.89%"
"Nov 16, 2020","3,079.74","3,054.35","3,081.28","3,046.77","-","1.80%"
"Nov 13, 2020","3,025.22","3,007.16","3,027.45","2,995.17","-","-0.02%"
"Nov 12, 2020","3,025.83","2,997.79","3,028.52","2,988.03","-","0.36%"
"Nov 11, 2020","3,015.03","3,004.63","3,031.69","3,004.20","-","0.55%"
"Nov 10, 2020","2,998.61","2,965.92","3,013.57","2,943.43","-","0.36%"
"Nov 09, 2020","2,987.75","2,919.08","2,988.88","2,910.42","-","3.18%"
"Nov 06, 2020","2,895.62","2,845.74","2,896.07","2,832.98","-","1.20%"
"Nov 05, 2020","2,861.39","2,824.45","2,869.91","2,812.67","-","2.69%"
"Nov 03, 2020","2,786.42","2,753.97","2,791.77","2,750.26","-","1.79%"
"Nov 02, 2020","2,737.54","2,681.19","2,743.98","2,658.49","-","1.74%"
"Oct 30, 2020","2,690.59","2,698.94","2,706.34","2,664.44","-","-0.68%"
"Oct 29, 2020","2,709.04","2,704.50","2,728.97","2,682.68","-","0.58%"
"Oct 28, 2020","2,693.46","2,758.84","2,758.84","2,680.83","-","-2.52%"
"Oct 27, 2020","2,763.03","2,784.13","2,790.19","2,758.00","-","-0.81%"
"Oct 26, 2020","2,785.59","2,812.48","2,819.05","2,785.59","-","-1.10%"
