"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","90.53","87.18","91.00","87.18","38.00M","3.62%"
"Nov 26, 2020","87.37","87.69","89.08","86.89","17.20M","-0.36%"
"Nov 25, 2020","87.69","85.70","87.98","84.10","25.99M","2.27%"
"Nov 24, 2020","85.74","86.93","87.51","83.60","32.53M","-1.37%"
"Nov 23, 2020","86.93","88.72","89.38","86.50","22.59M","-1.64%"
"Nov 20, 2020","88.38","89.01","89.40","87.66","13.81M","-1.30%"
"Nov 19, 2020","89.54","89.38","91.20","88.12","36.54M","0.72%"
"Nov 18, 2020","88.90","86.20","90.15","85.74","36.74M","3.01%"
"Nov 17, 2020","86.30","86.50","87.40","85.04","31.61M","-0.12%"
"Nov 16, 2020","86.40","81.85","86.51","81.75","37.23M","6.40%"
"Nov 13, 2020","81.20","79.98","81.65","78.76","18.13M","2.11%"
"Nov 12, 2020","79.52","79.94","80.59","78.55","18.42M","-0.19%"
"Nov 11, 2020","79.67","79.00","80.50","78.47","18.45M","0.54%"
"Nov 10, 2020","79.24","79.79","80.87","78.34","22.71M","-0.84%"
"Nov 09, 2020","79.91","77.36","81.94","76.76","36.42M","4.08%"
"Nov 06, 2020","76.78","74.66","77.60","74.16","21.30M","2.51%"
"Nov 05, 2020","74.90","72.41","75.76","71.90","23.25M","4.19%"
"Nov 03, 2020","71.89","71.20","72.13","70.65","12.89M","1.31%"
"Nov 02, 2020","70.96","70.95","71.38","70.08","10.50M","0.30%"
"Oct 30, 2020","70.75","71.60","71.69","69.94","14.07M","-1.48%"
"Oct 29, 2020","71.81","70.88","72.20","69.23","23.57M","2.24%"
"Oct 28, 2020","70.24","74.56","74.65","69.91","22.43M","-5.67%"
"Oct 27, 2020","74.46","74.35","74.92","73.52","11.05M","0.42%"
"Oct 26, 2020","74.15","74.72","75.89","74.02","9.10M","-1.05%"
"Oct 23, 2020","74.94","75.20","75.50","74.63","4.92M","-0.32%"
"Oct 22, 2020","75.18","74.30","75.58","74.30","7.58M","0.47%"
"Oct 21, 2020","74.83","75.10","75.62","73.87","8.78M","-0.86%"
"Oct 20, 2020","75.48","75.32","75.66","74.51","6.91M","-0.21%"
"Oct 19, 2020","75.64","76.00","76.43","75.00","8.78M","-0.47%"
