"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","1,147.20","1,149.00","1,154.80","1,132.80","1.05M","0.00%"
"Nov 26, 2020","1,147.20","1,125.00","1,149.20","1,123.60","1.19M","1.70%"
"Nov 25, 2020","1,128.00","1,140.00","1,143.00","1,121.00","1.33M","-0.97%"
"Nov 24, 2020","1,139.00","1,117.40","1,144.80","1,115.40","1.24M","2.15%"
"Nov 23, 2020","1,115.00","1,107.20","1,122.80","1,107.20","840.55K","0.70%"
"Nov 20, 2020","1,107.20","1,096.40","1,108.00","1,096.20","417.25K","0.16%"
"Nov 19, 2020","1,105.40","1,114.00","1,121.40","1,095.40","802.33K","-1.11%"
"Nov 18, 2020","1,117.80","1,118.00","1,124.00","1,107.40","888.52K","0.14%"
"Nov 17, 2020","1,116.20","1,132.60","1,134.00","1,106.00","1.22M","-1.40%"
"Nov 16, 2020","1,132.00","1,114.80","1,134.80","1,111.40","1.31M","2.07%"
"Nov 13, 2020","1,109.00","1,091.60","1,110.00","1,085.00","971.94K","1.61%"
"Nov 12, 2020","1,091.40","1,095.60","1,104.80","1,082.60","1.21M","-0.46%"
"Nov 11, 2020","1,096.40","1,095.00","1,102.60","1,087.60","1.03M","0.29%"
"Nov 10, 2020","1,093.20","1,097.60","1,099.00","1,081.60","1.25M","-0.44%"
"Nov 09, 2020","1,098.00","1,100.00","1,106.80","1,083.00","1.59M","0.66%"
"Nov 06, 2020","1,090.80","1,074.00","1,095.60","1,065.40","1.30M","0.91%"
"Nov 05, 2020","1,081.00","1,119.40","1,124.80","1,066.80","2.48M","-2.37%"
"Nov 03, 2020","1,107.20","1,100.00","1,113.80","1,087.40","930.61K","1.30%"
"Nov 02, 2020","1,093.00","1,085.00","1,099.80","1,067.00","925.50K","0.74%"
"Oct 30, 2020","1,085.00","1,051.20","1,092.20","1,038.00","1.49M","2.75%"
"Oct 29, 2020","1,056.00","1,042.00","1,060.80","1,039.00","896.97K","1.52%"
"Oct 28, 2020","1,040.20","1,058.20","1,061.00","1,035.00","1.45M","-2.13%"
"Oct 27, 2020","1,062.80","1,064.00","1,081.00","1,059.60","1.35M","-0.02%"
"Oct 26, 2020","1,063.00","1,064.00","1,071.60","1,042.00","767.48K","-0.37%"
"Oct 23, 2020","1,067.00","1,061.40","1,070.00","1,052.20","1.06M","0.49%"
"Oct 22, 2020","1,061.80","1,015.40","1,062.60","1,014.80","2.21M","5.21%"
"Oct 21, 2020","1,009.20","1,007.80","1,017.60","1,002.00","659.38K","0.34%"
"Oct 20, 2020","1,005.80","988.60","1,008.80","988.00","655.97K","1.80%"
"Oct 19, 2020","988.00","999.80","1,000.80","982.00","459.36K","-0.72%"
"Oct 16, 2020","995.20","1,001.80","1,006.80","992.60","609.25K","-0.66%"
"Oct 15, 2020","1,001.80","1,006.80","1,006.80","997.00","551.67K","-0.32%"
"Oct 14, 2020","1,005.00","984.40","1,007.60","984.40","677.64K","1.21%"
"Oct 13, 2020","993.00","1,008.40","1,016.20","989.20","732.30K","-1.68%"
"Oct 12, 2020","1,010.00","1,004.60","1,012.00","998.20","573.28K","1.04%"
"Oct 09, 2020","999.60","1,004.20","1,007.00","995.40","458.06K","-0.06%"
"Oct 08, 2020","1,000.20","993.00","1,007.80","993.00","705.28K","0.54%"
"Oct 07, 2020","994.80","996.00","1,003.60","990.20","784.59K","-0.40%"
"Oct 06, 2020","998.80","1,008.60","1,008.60","992.40","743.74K","-0.66%"
"Oct 05, 2020","1,005.40","1,004.40","1,012.00","997.60","867.39K","0.38%"
"Oct 02, 2020","1,001.60","994.00","1,005.60","988.00","516.44K","0.50%"
"Oct 01, 2020","996.60","998.00","1,003.40","986.80","581.41K","0.46%"
"Sep 30, 2020","992.00","1,010.00","1,010.60","988.40","852.71K","-1.59%"
"Sep 29, 2020","1,008.00","984.00","1,013.80","981.20","1.69M","2.54%"
"Sep 28, 2020","983.00","985.80","995.20","975.60","883.20K","-0.16%"
"Sep 25, 2020","984.60","973.40","987.00","967.80","701.35K","0.98%"
"Sep 24, 2020","975.00","974.80","979.00","962.20","800.94K","0.72%"
"Sep 23, 2020","968.00","976.80","983.60","967.20","1.26M","-0.84%"
"Sep 22, 2020","976.20","967.40","981.60","966.60","879.99K","0.41%"
