"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","392.20","395.80","396.10","389.00","2.57M","-0.28%"
"Nov 26, 2020","393.30","400.00","403.70","392.00","1.00M","-1.11%"
"Nov 25, 2020","397.70","393.00","404.60","392.00","2.22M","-1.68%"
"Nov 24, 2020","404.50","390.30","404.50","386.10","2.93M","4.71%"
"Nov 23, 2020","386.30","379.00","386.30","378.10","1.45M","2.22%"
"Nov 20, 2020","377.90","376.70","382.50","376.40","1.26M","0.00%"
"Nov 19, 2020","377.90","378.10","381.30","371.50","1.46M","-1.23%"
"Nov 18, 2020","382.60","380.20","382.60","374.30","1.77M","0.71%"
"Nov 17, 2020","379.90","380.70","381.30","373.00","2.37M","0.26%"
"Nov 16, 2020","378.90","375.90","384.90","374.00","2.25M","2.29%"
"Nov 13, 2020","370.40","371.60","373.30","366.00","1.90M","-1.28%"
"Nov 12, 2020","375.20","369.80","376.90","366.60","2.31M","1.38%"
"Nov 11, 2020","370.10","372.30","375.40","365.50","2.76M","-1.41%"
"Nov 10, 2020","375.40","376.90","384.36","373.50","2.51M","0.19%"
"Nov 09, 2020","374.70","377.10","389.40","373.10","2.42M","0.54%"
"Nov 06, 2020","372.70","358.10","374.80","358.10","1.75M","2.70%"
"Nov 05, 2020","362.90","362.80","371.40","356.80","4.01M","0.75%"
"Nov 04, 2020","360.20","363.80","363.80","353.40","2.41M","-1.56%"
"Nov 03, 2020","365.90","360.30","371.30","360.30","1.72M","1.64%"
"Nov 02, 2020","360.00","358.00","364.00","355.70","2.50M","0.14%"
"Oct 30, 2020","359.50","354.50","363.40","353.70","2.50M","-0.33%"
"Oct 29, 2020","360.70","363.00","364.50","353.80","1.95M","0.22%"
"Oct 28, 2020","359.90","369.60","370.50","353.20","3.15M","-3.25%"
"Oct 27, 2020","372.00","377.40","377.40","370.50","2.41M","-1.54%"
"Oct 26, 2020","377.80","375.30","385.91","375.30","1.57M","-1.67%"
"Oct 23, 2020","384.20","372.10","386.30","372.00","1.95M","1.83%"
"Oct 22, 2020","377.30","370.80","380.40","368.50","3.99M","0.83%"
"Oct 21, 2020","374.20","369.20","378.80","364.80","4.07M","3.54%"
"Oct 20, 2020","361.40","354.00","363.40","354.00","900.35K","0.98%"
"Oct 19, 2020","357.90","366.00","366.00","354.80","1.14M","-0.89%"
"Oct 16, 2020","361.10","360.00","363.40","357.40","1.15M","0.95%"
"Oct 15, 2020","357.70","356.80","359.60","352.30","1.44M","-0.97%"
"Oct 14, 2020","361.20","357.50","365.50","356.90","1.50M","1.49%"
"Oct 13, 2020","355.90","359.50","363.20","352.40","1.58M","-1.55%"
"Oct 12, 2020","361.50","357.60","366.80","357.60","1.49M","1.35%"
